^SAMPLE = GSM1230874
!Sample_title = COV434:Ctrl_3
!Sample_geo_accession = GSM1230874
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = COV434 Control
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: COV434
!Sample_characteristics_ch1 = cell type: ovarian cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = vehicle
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230874/suppl/GSM1230874_CEL_283_4717_02_07_2012.CEL.gz
!Sample_series_id = GSE50831
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.166
AFFX-BioB-M_at	3.785
AFFX-BioB-3_at	3.631
AFFX-BioC-5_at	6.902
AFFX-BioC-3_at	7.525
AFFX-BioDn-5_at	8.613
AFFX-BioDn-3_at	9.574
AFFX-CreX-5_at	10.974
AFFX-CreX-3_at	11.226
AFFX-DapX-5_at	2.063
AFFX-DapX-M_at	1.983
AFFX-DapX-3_at	2.623
AFFX-LysX-5_at	1.925
AFFX-LysX-M_at	2.186
AFFX-LysX-3_at	1.94
AFFX-PheX-5_at	2.385
AFFX-PheX-M_at	2.047
AFFX-PheX-3_at	3.532
AFFX-ThrX-5_at	2.478
AFFX-ThrX-M_at	2.19
AFFX-ThrX-3_at	3.143
AFFX-TrpnX-5_at	2.575
AFFX-TrpnX-M_at	2.233
AFFX-TrpnX-3_at	2.173
AFFX-r2-Ec-bioB-5_at	3.606
AFFX-r2-Ec-bioB-M_at	3.617
AFFX-r2-Ec-bioB-3_at	4.372
AFFX-r2-Ec-bioC-5_at	7.442
AFFX-r2-Ec-bioC-3_at	7.789
AFFX-r2-Ec-bioD-5_at	9.728
AFFX-r2-Ec-bioD-3_at	10.192
AFFX-r2-P1-cre-5_at	11.723
AFFX-r2-P1-cre-3_at	11.892
AFFX-r2-Bs-dap-5_at	2.226
AFFX-r2-Bs-dap-M_at	2.09
AFFX-r2-Bs-dap-3_at	1.675
AFFX-r2-Bs-lys-5_at	2.083
AFFX-r2-Bs-lys-M_at	1.773
AFFX-r2-Bs-lys-3_at	2.031
AFFX-r2-Bs-phe-5_at	1.932
AFFX-r2-Bs-phe-M_at	1.865
AFFX-r2-Bs-phe-3_at	2.372
AFFX-r2-Bs-thr-3_s_at	3.14
AFFX-r2-Bs-thr-M_s_at	3.015
AFFX-r2-Bs-thr-5_s_at	2.18
AFFX-HUMISGF3A/M97935_5_at	6.709
AFFX-HUMISGF3A/M97935_MA_at	7.02
AFFX-HUMISGF3A/M97935_MB_at	7.485
AFFX-HUMISGF3A/M97935_3_at	9.91
AFFX-HUMRGE/M10098_5_at	12.563
AFFX-HUMRGE/M10098_M_at	12.084
AFFX-HUMRGE/M10098_3_at	11.788
AFFX-HUMGAPDH/M33197_5_at	11.956
AFFX-HUMGAPDH/M33197_M_at	12.22
AFFX-HUMGAPDH/M33197_3_at	12.255
AFFX-HSAC07/X00351_5_at	11.598
AFFX-HSAC07/X00351_M_at	12.102
AFFX-HSAC07/X00351_3_at	12.255
AFFX-M27830_5_at	12.002
AFFX-M27830_M_at	9.541
AFFX-M27830_3_at	3.94
AFFX-hum_alu_at	12.857
1007_s_at	8.433
1053_at	7.733
117_at	3.924
121_at	6.794
1255_g_at	2.243
1294_at	4.212
1316_at	5.289
1320_at	3.552
1405_i_at	2.366
1431_at	3.192
1438_at	4.204
1487_at	6.803
1494_f_at	4.917
1598_g_at	7.504
160020_at	5.471
1729_at	6.66
