^SAMPLE = GSM748870
!Sample_title = U2OS cells, IR, 3h, rep2
!Sample_geo_accession = GSM748870
!Sample_status = Public on Aug 01 2011
!Sample_submission_date = Jun 27 2011
!Sample_last_update_date = Aug 01 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = U2OS cells, IR 3h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: U2OS
!Sample_characteristics_ch1 = stress: 5 Gy IR
!Sample_characteristics_ch1 = time: 3h
!Sample_treatment_protocol_ch1 = Cells were irradiated at 63.25 R/min to a dose of either 5 Gy, using a Keithly model 96035 (15 cc) ion chamber accompanied with a Keithly model 35050A electrometer. Irradiated cells were incubated for selected time periods at 37°C. Mock-irradiated controls were treated identically, excluding the IR treatment.
!Sample_growth_protocol_ch1 = Cells were grown  in DMEM which was routinely supplemented with 10% FCS; Cells were maintained in a humidified, 5% CO2 atmosphere at 37°C.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasyÒ Plus mini kit (Qiagen), in combination with QIAshredderTM columns (Qiagen), according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNAs were prepared according to Affymetrix standard GeneChip® Array Protocols, as instructed in the Affymetrix  GeneChip® Expression analysis technical manual.
!Sample_hyb_protocol = Five ug of fragmented cRNAs were hybridized  for 16 hr at 45°C  to Affymetrix Human Genome U133A 2.0 Arrays; Arrays were washed and stained in the Affymetrix Fluidics Station 450. Hybridization and downstream processing of the arrays were performed as recommended by the manufacturer.
!Sample_scan_protocol = Arrays were scanned using GeneChip® Scanner 3000.
!Sample_description = Expression data from irradiated U2OS cells, 3h (5 Gy)
!Sample_data_processing = CEL files were processed using Affy Eexpression Console Tool (rma method).
!Sample_platform_id = GPL570
!Sample_contact_name = Ran,,Elkon
!Sample_contact_department = Human Genetics
!Sample_contact_institute = Tel Aviv University
!Sample_contact_address = Ramat Aviv
!Sample_contact_city = Tel Aviv
!Sample_contact_zip/postal_code = 69494
!Sample_contact_country = Israel
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM748nnn/GSM748870/suppl/GSM748870_U.IR3.b.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM748nnn/GSM748870/suppl/GSM748870_U.IR3b.rma.chp.gz
!Sample_series_id = GSE30240
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = rma signal
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	8.3006
AFFX-BioB-M_at	8.49636
AFFX-BioB-3_at	8.23517
AFFX-BioC-5_at	9.54438
AFFX-BioC-3_at	9.65349
AFFX-BioDn-5_at	10.8697
AFFX-BioDn-3_at	11.8895
AFFX-CreX-5_at	12.5406
AFFX-CreX-3_at	12.8183
AFFX-DapX-5_at	6.42772
AFFX-DapX-M_at	7.98112
AFFX-DapX-3_at	8.98548
AFFX-LysX-5_at	3.88888
AFFX-LysX-M_at	4.90102
AFFX-LysX-3_at	6.06798
AFFX-PheX-5_at	4.88796
AFFX-PheX-M_at	4.70667
AFFX-PheX-3_at	6.38633
AFFX-ThrX-5_at	5.46614
AFFX-ThrX-M_at	5.69448
AFFX-ThrX-3_at	7.52831
AFFX-TrpnX-5_at	2.88182
AFFX-TrpnX-M_at	2.71305
AFFX-TrpnX-3_at	2.6197
AFFX-r2-Ec-bioB-5_at	8.75839
AFFX-r2-Ec-bioB-M_at	8.90029
AFFX-r2-Ec-bioB-3_at	9.07937
AFFX-r2-Ec-bioC-5_at	10.3409
AFFX-r2-Ec-bioC-3_at	10.2334
AFFX-r2-Ec-bioD-5_at	12.1428
AFFX-r2-Ec-bioD-3_at	12.3954
AFFX-r2-P1-cre-5_at	13.1343
AFFX-r2-P1-cre-3_at	13.1319
AFFX-r2-Bs-dap-5_at	7.20451
AFFX-r2-Bs-dap-M_at	7.56059
AFFX-r2-Bs-dap-3_at	8.33968
AFFX-r2-Bs-lys-5_at	3.77835
AFFX-r2-Bs-lys-M_at	4.92932
AFFX-r2-Bs-lys-3_at	4.80269
AFFX-r2-Bs-phe-5_at	5.27401
AFFX-r2-Bs-phe-M_at	4.40664
AFFX-r2-Bs-phe-3_at	5.94848
AFFX-r2-Bs-thr-3_s_at	7.95426
AFFX-r2-Bs-thr-M_s_at	6.30774
AFFX-r2-Bs-thr-5_s_at	5.85196
AFFX-HUMISGF3A/M97935_5_at	4.18049
AFFX-HUMISGF3A/M97935_MA_at	6.42019
AFFX-HUMISGF3A/M97935_MB_at	6.24943
AFFX-HUMISGF3A/M97935_3_at	9.01429
AFFX-HUMRGE/M10098_5_at	10.0093
AFFX-HUMRGE/M10098_M_at	6.09534
AFFX-HUMRGE/M10098_3_at	6.15009
AFFX-HUMGAPDH/M33197_5_at	13.3857
AFFX-HUMGAPDH/M33197_M_at	13.4867
AFFX-HUMGAPDH/M33197_3_at	13.5053
AFFX-HSAC07/X00351_5_at	12.3482
AFFX-HSAC07/X00351_M_at	12.7839
AFFX-HSAC07/X00351_3_at	13.3474
