^SAMPLE = GSM219592
!Sample_title = SCMC-RMZ,Alveolar,rhabdomyosarcoma cell line
!Sample_geo_accession = GSM219592
!Sample_status = Public on Jun 04 2009
!Sample_submission_date = Aug 21 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = SCMC-RMZ
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Cell line from a rhabdomyosarcoma tumor
!Sample_biomaterial_provider_ch1 = T. Sawada, Kyoto Prefectural University of Medicine, Japan
!Sample_growth_protocol_ch1 = SCMC-RMZ cells were cultured in RPMI (Invitrogen) containing 10% fetal calf serum at 37 degrees Celsius.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was isolated using Trizol (Invitrogen) and purified with RNeasy (Qiagen) according to manufacturer’s protocol.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = RNA sample integrity was checked on an Agilent 2100 Bioanalyzer
!Sample_label_protocol_ch1 = (Agilent Technologies). 4 µg of total RNA was used for cRNA synthesis 
!Sample_label_protocol_ch1 = and fragmented. Labeling was performed with One-Cycle cDNA synthesis 
!Sample_label_protocol_ch1 = Kit (Affymetrix) according to manufacturer’s protocol. Sample quality was 
!Sample_label_protocol_ch1 = checked on a Bioanalyzer prior and after fragmentation.
!Sample_hyb_protocol = 10 µg of labeled cRNA was hybridized to Affymetrix Human genome 
!Sample_hyb_protocol = U133 Plus 2.0 arrays according to manufacturer’s protocol (Affymetrix).
!Sample_scan_protocol = Arrays were scanned with a GeneChip Scanner 3000 (Affymetrix) according to manufacturer’s protocol
!Sample_description = RMS cells were grown under standard conditions and harvested at 70%
!Sample_description = confluency. Total RNA was isolated and analyzed on Affymetrix U133
!Sample_description = Plus 2.0 to generate expression profiles.
!Sample_data_processing = Expression data (.cel files) were normalized with the MAS5.0 algorithm 
!Sample_data_processing = (target signal = 100) using GCOS software (Affymetrix)
!Sample_platform_id = GPL570
!Sample_contact_name = Richard,,Volckmann
!Sample_contact_email = r.volckmann@amsterdamumc.nl
!Sample_contact_laboratory = Cancer Center Amsterdam
!Sample_contact_department = Laboratory of Experimental Oncology and Radiobiology
!Sample_contact_institute = msterdam UMC and University of Amsterdam
!Sample_contact_address = van der Boechorststraat 6a
!Sample_contact_city = Amsterdam
!Sample_contact_state = Noord-Holland
!Sample_contact_zip/postal_code = 1081BT
!Sample_contact_country = Netherlands
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM219nnn/GSM219592/suppl/GSM219592.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM219nnn/GSM219592/suppl/GSM219592.CHP.gz
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE8840
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = Mas5-calculated signal intensity
#ABS_CALL = ABS_CALL
#DETECTION P-VALUE = DETECTION P-VALUE
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	134.55	P	0.000389797
AFFX-BioB-M_at	114.853	P	4.42873e-05
AFFX-BioB-3_at	77.9515	P	0.00010954
AFFX-BioC-5_at	282.854	P	4.42873e-05
AFFX-BioC-3_at	418.387	P	4.42873e-05
AFFX-BioDn-5_at	693.589	P	4.42873e-05
AFFX-BioDn-3_at	1469.07	P	6.02111e-05
AFFX-CreX-5_at	2953.83	P	5.16732e-05
AFFX-CreX-3_at	3669.73	P	4.42873e-05
AFFX-DapX-5_at	317.573	P	4.42873e-05
AFFX-DapX-M_at	756.177	P	0.000224668
AFFX-DapX-3_at	1095.98	P	4.42873e-05
AFFX-LysX-5_at	54.8266	P	0.000169227
AFFX-LysX-M_at	89.0025	P	0.000195116
AFFX-LysX-3_at	153.943	P	4.42873e-05
AFFX-PheX-5_at	73.0974	P	9.4384e-05
AFFX-PheX-M_at	106.49	P	4.42873e-05
AFFX-PheX-3_at	129.002	P	4.42873e-05
AFFX-ThrX-5_at	96.7592	P	6.02111e-05
AFFX-ThrX-M_at	193.028	P	4.42873e-05
AFFX-ThrX-3_at	314.619	P	4.42873e-05
AFFX-TrpnX-5_at	6.54811	A	0.0780018
AFFX-TrpnX-M_at	1.70075	A	0.852061
AFFX-TrpnX-3_at	0.366141	A	0.904352
AFFX-r2-Ec-bioB-5_at	180.299	P	0.000244141
AFFX-r2-Ec-bioB-M_at	152.713	P	0.000244141
AFFX-r2-Ec-bioB-3_at	124.251	P	0.000244141
AFFX-r2-Ec-bioC-5_at	302.968	P	0.000244141
AFFX-r2-Ec-bioC-3_at	463.854	P	0.000244141
AFFX-r2-Ec-bioD-5_at	1809.38	P	0.000244141
AFFX-r2-Ec-bioD-3_at	1969.75	P	0.000244141
AFFX-r2-P1-cre-5_at	3826.92	P	0.000244141
AFFX-r2-P1-cre-3_at	5767.34	P	0.000244141
AFFX-r2-Bs-dap-5_at	463.927	P	0.000244141
AFFX-r2-Bs-dap-M_at	848.681	P	0.000244141
AFFX-r2-Bs-dap-3_at	1417.72	P	0.000244141
AFFX-r2-Bs-lys-5_at	79.3318	P	0.000244141
AFFX-r2-Bs-lys-M_at	78.8949	P	0.000244141
AFFX-r2-Bs-lys-3_at	96.5682	P	0.000244141
AFFX-r2-Bs-phe-5_at	128.931	P	0.000244141
AFFX-r2-Bs-phe-M_at	145.978	P	0.000244141
AFFX-r2-Bs-phe-3_at	224.882	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	388.137	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	235.258	P	0.000244141
AFFX-r2-Bs-thr-5_s_at	146.892	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	25.9015	P	0.0166701
AFFX-HUMISGF3A/M97935_MA_at	63.879	P	0.00255552
AFFX-HUMISGF3A/M97935_MB_at	85.0902	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	285.294	P	7.00668e-05
AFFX-HUMRGE/M10098_5_at	135.863	P	6.02111e-05
AFFX-HUMRGE/M10098_M_at	285.9	P	5.16732e-05
