^SAMPLE = GSM1230837
!Sample_title = OVTOKO:Ctrl_2
!Sample_geo_accession = GSM1230837
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = OVTOKO Control
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: OVTOKO
!Sample_characteristics_ch1 = cell type: ovarian cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = vehicle
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230837/suppl/GSM1230837_CEL_282_4680_02_06_2012.CEL.gz
!Sample_series_id = GSE50831
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	5.337
AFFX-BioB-M_at	5.517
AFFX-BioB-3_at	4.97
AFFX-BioC-5_at	6.484
AFFX-BioC-3_at	7.12
AFFX-BioDn-5_at	7.911
AFFX-BioDn-3_at	9.161
AFFX-CreX-5_at	10.646
AFFX-CreX-3_at	10.899
AFFX-DapX-5_at	1.964
AFFX-DapX-M_at	1.958
AFFX-DapX-3_at	2.502
AFFX-LysX-5_at	1.978
AFFX-LysX-M_at	2.254
AFFX-LysX-3_at	1.927
AFFX-PheX-5_at	2.155
AFFX-PheX-M_at	2.014
AFFX-PheX-3_at	3.419
AFFX-ThrX-5_at	2.385
AFFX-ThrX-M_at	1.961
AFFX-ThrX-3_at	3.172
AFFX-TrpnX-5_at	2.655
AFFX-TrpnX-M_at	2.157
AFFX-TrpnX-3_at	1.73
AFFX-r2-Ec-bioB-5_at	5.158
AFFX-r2-Ec-bioB-M_at	5.554
AFFX-r2-Ec-bioB-3_at	5.843
AFFX-r2-Ec-bioC-5_at	6.967
AFFX-r2-Ec-bioC-3_at	7.387
AFFX-r2-Ec-bioD-5_at	9.089
AFFX-r2-Ec-bioD-3_at	9.725
AFFX-r2-P1-cre-5_at	11.343
AFFX-r2-P1-cre-3_at	11.672
AFFX-r2-Bs-dap-5_at	2.182
AFFX-r2-Bs-dap-M_at	1.708
AFFX-r2-Bs-dap-3_at	1.638
AFFX-r2-Bs-lys-5_at	1.842
AFFX-r2-Bs-lys-M_at	1.881
AFFX-r2-Bs-lys-3_at	1.887
AFFX-r2-Bs-phe-5_at	1.786
AFFX-r2-Bs-phe-M_at	1.887
AFFX-r2-Bs-phe-3_at	2.153
AFFX-r2-Bs-thr-3_s_at	2.957
AFFX-r2-Bs-thr-M_s_at	3.136
AFFX-r2-Bs-thr-5_s_at	2.308
AFFX-HUMISGF3A/M97935_5_at	7.298
AFFX-HUMISGF3A/M97935_MA_at	7.869
AFFX-HUMISGF3A/M97935_MB_at	7.968
AFFX-HUMISGF3A/M97935_3_at	10.368
AFFX-HUMRGE/M10098_5_at	12.594
AFFX-HUMRGE/M10098_M_at	12.062
AFFX-HUMRGE/M10098_3_at	11.701
AFFX-HUMGAPDH/M33197_5_at	12.602
AFFX-HUMGAPDH/M33197_M_at	12.824
AFFX-HUMGAPDH/M33197_3_at	12.821
AFFX-HSAC07/X00351_5_at	10.989
AFFX-HSAC07/X00351_M_at	11.52
AFFX-HSAC07/X00351_3_at	11.997
AFFX-M27830_5_at	12.148
AFFX-M27830_M_at	10.121
AFFX-M27830_3_at	4.677
AFFX-hum_alu_at	12.823
1007_s_at	8.95
1053_at	7.818
117_at	4.208
121_at	9.597
1255_g_at	2.149
1294_at	4.986
1316_at	4.629
1320_at	3.999
1405_i_at	2.113
1431_at	2.92
1438_at	4.235
1487_at	6.926
1494_f_at	4.935
1598_g_at	7.866
160020_at	5.615
1729_at	7.791
1773_at	5.193
177_at	4.471
179_at	7.087
1861_at	6.171
200000_s_at	7.982
200001_at	9.101
200002_at	11.605
200003_s_at	12.356
200004_at	11.605
200005_at	10.058
200006_at	11.394
200007_at	10.808
200008_s_at	9.511
200009_at	11.054
200010_at	11.935
