^SAMPLE = GSM748816
!Sample_title = G361 cells, untreated, 0h, rep2
!Sample_geo_accession = GSM748816
!Sample_status = Public on Aug 01 2011
!Sample_submission_date = Jun 27 2011
!Sample_last_update_date = Aug 01 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = G361 cells, untreated, 0h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: G361
!Sample_characteristics_ch1 = stress: untreated
!Sample_characteristics_ch1 = time: 0h
!Sample_treatment_protocol_ch1 = Cells were irradiated at 63.25 R/min to a dose of either 5 Gy, using a Keithly model 96035 (15 cc) ion chamber accompanied with a Keithly model 35050A electrometer. Irradiated cells were incubated for selected time periods at 37°C. Mock-irradiated controls were treated identically, excluding the IR treatment.
!Sample_growth_protocol_ch1 = Cells were grown  in DMEM which was routinely supplemented with 10% FCS; Cells were maintained in a humidified, 5% CO2 atmosphere at 37°C.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasyÒ Plus mini kit (Qiagen), in combination with QIAshredderTM columns (Qiagen), according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNAs were prepared according to Affymetrix standard GeneChip® Array Protocols, as instructed in the Affymetrix  GeneChip® Expression analysis technical manual.
!Sample_hyb_protocol = Five ug of fragmented cRNAs were hybridized  for 16 hr at 45°C  to Affymetrix Human Genome U133A 2.0 Arrays; Arrays were washed and stained in the Affymetrix Fluidics Station 450. Hybridization and downstream processing of the arrays were performed as recommended by the manufacturer.
!Sample_scan_protocol = Arrays were scanned using GeneChip® Scanner 3000.
!Sample_description = Expression data from untreated G361 cells, 0h
!Sample_data_processing = CEL files were processed using Affy Eexpression Console Tool (rma method).
!Sample_platform_id = GPL570
!Sample_contact_name = Ran,,Elkon
!Sample_contact_department = Human Genetics
!Sample_contact_institute = Tel Aviv University
!Sample_contact_address = Ramat Aviv
!Sample_contact_city = Tel Aviv
!Sample_contact_zip/postal_code = 69494
!Sample_contact_country = Israel
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM748nnn/GSM748816/suppl/GSM748816_G.C0b.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM748nnn/GSM748816/suppl/GSM748816_G.C0b.rma.chp.gz
!Sample_series_id = GSE30240
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = rma signal
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	7.02266
AFFX-BioB-M_at	7.62443
AFFX-BioB-3_at	7.19396
AFFX-BioC-5_at	8.6316
AFFX-BioC-3_at	8.83038
AFFX-BioDn-5_at	10.2031
AFFX-BioDn-3_at	11.2553
AFFX-CreX-5_at	12.1485
AFFX-CreX-3_at	12.4632
AFFX-DapX-5_at	6.07388
AFFX-DapX-M_at	7.69479
AFFX-DapX-3_at	8.72071
AFFX-LysX-5_at	3.81895
AFFX-LysX-M_at	4.57975
AFFX-LysX-3_at	6.04883
AFFX-PheX-5_at	4.58696
AFFX-PheX-M_at	4.87275
AFFX-PheX-3_at	5.97124
AFFX-ThrX-5_at	5.25014
AFFX-ThrX-M_at	5.61181
AFFX-ThrX-3_at	7.01317
AFFX-TrpnX-5_at	2.73617
AFFX-TrpnX-M_at	2.66083
AFFX-TrpnX-3_at	2.515
AFFX-r2-Ec-bioB-5_at	7.47972
AFFX-r2-Ec-bioB-M_at	7.56688
AFFX-r2-Ec-bioB-3_at	7.84689
AFFX-r2-Ec-bioC-5_at	9.092
AFFX-r2-Ec-bioC-3_at	9.14898
AFFX-r2-Ec-bioD-5_at	11.3004
AFFX-r2-Ec-bioD-3_at	11.6565
AFFX-r2-P1-cre-5_at	12.7418
AFFX-r2-P1-cre-3_at	12.728
AFFX-r2-Bs-dap-5_at	7.0244
AFFX-r2-Bs-dap-M_at	7.65893
AFFX-r2-Bs-dap-3_at	8.6023
AFFX-r2-Bs-lys-5_at	4.06976
AFFX-r2-Bs-lys-M_at	4.851
AFFX-r2-Bs-lys-3_at	4.9539
AFFX-r2-Bs-phe-5_at	5.32938
AFFX-r2-Bs-phe-M_at	4.5841
AFFX-r2-Bs-phe-3_at	6.28452
AFFX-r2-Bs-thr-3_s_at	7.47728
AFFX-r2-Bs-thr-M_s_at	6.21243
AFFX-r2-Bs-thr-5_s_at	5.74755
AFFX-HUMISGF3A/M97935_5_at	3.90421
AFFX-HUMISGF3A/M97935_MA_at	5.76613
AFFX-HUMISGF3A/M97935_MB_at	5.86543
AFFX-HUMISGF3A/M97935_3_at	8.60256
AFFX-HUMRGE/M10098_5_at	5.32924
AFFX-HUMRGE/M10098_M_at	3.94871
AFFX-HUMRGE/M10098_3_at	4.86659
AFFX-HUMGAPDH/M33197_5_at	13.1846
AFFX-HUMGAPDH/M33197_M_at	13.2055
AFFX-HUMGAPDH/M33197_3_at	13.1936
AFFX-HSAC07/X00351_5_at	12.2025
AFFX-HSAC07/X00351_M_at	12.734
AFFX-HSAC07/X00351_3_at	13.2681
AFFX-M27830_5_at	4.96693
AFFX-M27830_M_at	9.98489
AFFX-M27830_3_at	4.74697
AFFX-hum_alu_at	13.4538
1007_s_at	7.87437
1053_at	8.66549
117_at	4.41796
121_at	6.34592
1255_g_at	2.51395
1294_at	4.61784
1316_at	4.28288
1320_at	3.48715
1405_i_at	2.75044
1431_at	2.53617
1438_at	3.85411
1487_at	7.30129
1494_f_at	3.78211
1598_g_at	6.71461
160020_at	8.623
1729_at	6.74571
1773_at	6.81299
177_at	4.47147
179_at	6.95362
1861_at	5.60309
200000_s_at	9.08743
200001_at	10.3862
200002_at	12.9876
200003_s_at	12.8373
