^SAMPLE = GSM748855
!Sample_title = TK6 cells, IR, 3h, rep2
!Sample_geo_accession = GSM748855
!Sample_status = Public on Aug 01 2011
!Sample_submission_date = Jun 27 2011
!Sample_last_update_date = Aug 01 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = TK6 cells, IR 3h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: TK6
!Sample_characteristics_ch1 = stress: 5 Gy IR
!Sample_characteristics_ch1 = time: 3h
!Sample_treatment_protocol_ch1 = Cells were irradiated at 63.25 R/min to a dose of either 5 Gy, using a Keithly model 96035 (15 cc) ion chamber accompanied with a Keithly model 35050A electrometer. Irradiated cells were incubated for selected time periods at 37°C. Mock-irradiated controls were treated identically, excluding the IR treatment.
!Sample_growth_protocol_ch1 = Cells were grown  in DMEM which was routinely supplemented with 10% FCS; Cells were maintained in a humidified, 5% CO2 atmosphere at 37°C.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasyÒ Plus mini kit (Qiagen), in combination with QIAshredderTM columns (Qiagen), according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNAs were prepared according to Affymetrix standard GeneChip® Array Protocols, as instructed in the Affymetrix  GeneChip® Expression analysis technical manual.
!Sample_hyb_protocol = Five ug of fragmented cRNAs were hybridized  for 16 hr at 45°C  to Affymetrix Human Genome U133A 2.0 Arrays; Arrays were washed and stained in the Affymetrix Fluidics Station 450. Hybridization and downstream processing of the arrays were performed as recommended by the manufacturer.
!Sample_scan_protocol = Arrays were scanned using GeneChip® Scanner 3000.
!Sample_description = Expression data from irradiated TK6 cells, 3h (5 Gy)
!Sample_data_processing = CEL files were processed using Affy Eexpression Console Tool (rma method).
!Sample_platform_id = GPL570
!Sample_contact_name = Ran,,Elkon
!Sample_contact_department = Human Genetics
!Sample_contact_institute = Tel Aviv University
!Sample_contact_address = Ramat Aviv
!Sample_contact_city = Tel Aviv
!Sample_contact_zip/postal_code = 69494
!Sample_contact_country = Israel
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM748nnn/GSM748855/suppl/GSM748855_T.IR3.b.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM748nnn/GSM748855/suppl/GSM748855_T.IR3b.rma.chp.gz
!Sample_series_id = GSE30240
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = rma signal
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	7.14398
AFFX-BioB-M_at	7.23965
AFFX-BioB-3_at	6.76711
AFFX-BioC-5_at	8.40588
AFFX-BioC-3_at	8.6315
AFFX-BioDn-5_at	9.98594
AFFX-BioDn-3_at	10.9986
AFFX-CreX-5_at	11.886
AFFX-CreX-3_at	12.23
AFFX-DapX-5_at	7.56719
AFFX-DapX-M_at	8.90263
AFFX-DapX-3_at	9.48758
AFFX-LysX-5_at	4.92194
AFFX-LysX-M_at	5.43899
AFFX-LysX-3_at	6.64521
AFFX-PheX-5_at	5.89319
AFFX-PheX-M_at	5.9117
AFFX-PheX-3_at	6.56019
AFFX-ThrX-5_at	6.73217
AFFX-ThrX-M_at	7.26644
AFFX-ThrX-3_at	7.93473
AFFX-TrpnX-5_at	2.898
AFFX-TrpnX-M_at	2.57848
AFFX-TrpnX-3_at	2.46178
AFFX-r2-Ec-bioB-5_at	7.3625
AFFX-r2-Ec-bioB-M_at	7.68247
AFFX-r2-Ec-bioB-3_at	7.54392
AFFX-r2-Ec-bioC-5_at	9.04243
AFFX-r2-Ec-bioC-3_at	9.09699
AFFX-r2-Ec-bioD-5_at	11.0282
AFFX-r2-Ec-bioD-3_at	11.5727
AFFX-r2-P1-cre-5_at	12.5786
AFFX-r2-P1-cre-3_at	12.4858
AFFX-r2-Bs-dap-5_at	8.33543
AFFX-r2-Bs-dap-M_at	9.10612
AFFX-r2-Bs-dap-3_at	9.48818
AFFX-r2-Bs-lys-5_at	5.60441
AFFX-r2-Bs-lys-M_at	6.03081
AFFX-r2-Bs-lys-3_at	5.51012
AFFX-r2-Bs-phe-5_at	6.38556
AFFX-r2-Bs-phe-M_at	6.26709
AFFX-r2-Bs-phe-3_at	7.24412
AFFX-r2-Bs-thr-3_s_at	8.22724
AFFX-r2-Bs-thr-M_s_at	7.59117
AFFX-r2-Bs-thr-5_s_at	7.23476
AFFX-HUMISGF3A/M97935_5_at	5.33333
AFFX-HUMISGF3A/M97935_MA_at	6.84361
AFFX-HUMISGF3A/M97935_MB_at	6.25637
AFFX-HUMISGF3A/M97935_3_at	8.71124
AFFX-HUMRGE/M10098_5_at	9.2649
AFFX-HUMRGE/M10098_M_at	5.77278
AFFX-HUMRGE/M10098_3_at	6.20161
AFFX-HUMGAPDH/M33197_5_at	13.2232
AFFX-HUMGAPDH/M33197_M_at	13.3278
AFFX-HUMGAPDH/M33197_3_at	13.1647
AFFX-HSAC07/X00351_5_at	12.5674
AFFX-HSAC07/X00351_M_at	12.8641
AFFX-HSAC07/X00351_3_at	13.1674
AFFX-M27830_5_at	6.12112
AFFX-M27830_M_at	10.6611
AFFX-M27830_3_at	4.66255
AFFX-hum_alu_at	13.3463
1007_s_at	8.66864
1053_at	8.73282
117_at	4.14351
121_at	7.32881
1255_g_at	2.48992
1294_at	5.91123
1316_at	4.41968
1320_at	3.63891
1405_i_at	9.33721
1431_at	3.05851
1438_at	3.99968
1487_at	7.71015
1494_f_at	4.18065
1598_g_at	6.53918
160020_at	6.37068
1729_at	7.59836
1773_at	5.91572
177_at	6.93428
179_at	7.54505
1861_at	6.30108
200000_s_at	9.5219
200001_at	10.2117
200002_at	12.9223
200003_s_at	13.1852
200004_at	11.7377
200005_at	11.0019
200006_at	11.5696
200007_at	11.6085
200008_s_at	10.2939
200009_at	11.4329
200010_at	12.6648
200011_s_at	9.36408
200012_x_at	13.2753
200013_at	12.9992
200014_s_at	11.0906
200015_s_at	11.0566
200016_x_at	12.8344
200017_at	12.8398
200018_at	13.2612
200019_s_at	12.4556
200020_at	9.7995
200021_at	12.8566
200022_at	13.2096
200023_s_at	11.899
200024_at	12.8763
200025_s_at	13.1026
200026_at	12.7767
200027_at	10.9688
200028_s_at	11.0317
200029_at	13.1002
200030_s_at	12.3466
200031_s_at	13.2623
200032_s_at	13.205
200033_at	11.7616
200034_s_at	12.5813
200035_at	8.30107
200036_s_at	12.9106
200037_s_at	11.1447
200038_s_at	13.1976
200039_s_at	11.3625
200040_at	11.3948
200041_s_at	11.3608
200042_at	10.16
200043_at	11.6071
200044_at	10.0236
200045_at	9.18749
200046_at	10.2318
200047_s_at	10.8735
200048_s_at	10.89
200049_at	6.95
200050_at	9.78427
200051_at	6.96925
200052_s_at	10.6211
200053_at	9.14959
200054_at	7.78209
200055_at	9.66614
200056_s_at	9.50784
200057_s_at	11.344
200058_s_at	9.5113
200059_s_at	12.2249
200060_s_at	10.5177
200061_s_at	13.4144
200062_s_at	12.9636
200063_s_at	12.9347
200064_at	12.5403
200065_s_at	11.3395
200066_at	9.63754
200067_x_at	10.2825
200068_s_at	11.376
200069_at	8.52219
200070_at	7.56055
200071_at	9.79744
200072_s_at	11.0037
200073_s_at	11.492
200074_s_at	12.4193
200075_s_at	9.91965
200076_s_at	9.20209
200077_s_at	12.4443
200078_s_at	9.9527
200079_s_at	11.3309
200080_s_at	12.0892
200081_s_at	13.2943
200082_s_at	12.9499
200083_at	9.62003
200084_at	10.7267
200085_s_at	11.431
200086_s_at	12.0668
200087_s_at	10.9351
200088_x_at	13.4093
200089_s_at	12.6693
200090_at	10.6612
200091_s_at	12.6484
200092_s_at	12.9264
200093_s_at	11.1953
200094_s_at	12.3804
200095_x_at	13.2728
200096_s_at	10.3777
200097_s_at	10.648
200098_s_at	10.2932
200099_s_at	13.4156
200593_s_at	10.0666
200594_x_at	11.3161
200595_s_at	10.2567
200596_s_at	9.25787
200597_at	6.70964
200598_s_at	9.9573
200599_s_at	11.1206
200600_at	11.1273
200601_at	8.18229
200602_at	6.70523
200603_at	11.0259
200604_s_at	8.72141
200605_s_at	10.748
200606_at	3.01956
200607_s_at	9.18388
200608_s_at	10.1893
200609_s_at	11.1043
200610_s_at	11.6177
200611_s_at	10.7336
200612_s_at	8.13179
200613_at	10.1176
200614_at	11.6888
200615_s_at	7.82966
200616_s_at	9.76966
200617_at	8.89241
200618_at	9.79577
200619_at	9.52403
200620_at	9.59293
200621_at	8.8132
200622_x_at	9.85435
200623_s_at	7.95686
200624_s_at	10.5609
200625_s_at	10.8198
200626_s_at	10.9624
200627_at	12.3022
200628_s_at	8.80384
200629_at	9.63974
200630_x_at	10.359
200631_s_at	11.4001
200632_s_at	5.9518
200633_at	12.9581
200634_at	12.0392
200635_s_at	4.35931
200636_s_at	4.44755
200637_s_at	3.2775
200638_s_at	11.2523
200639_s_at	10.8573
200640_at	11.0948
200641_s_at	10.5163
200642_at	12.0492
200643_at	7.64424
200644_at	9.74468
200645_at	9.86215
200646_s_at	5.73766
200647_x_at	10.9203
200648_s_at	3.81287
200649_at	6.67903
200650_s_at	13.0735
200651_at	13.1844
200652_at	10.6768
200653_s_at	11.059
200654_at	10.5524
200655_s_at	10.1762
200656_s_at	9.01071
200657_at	12.4984
200658_s_at	10.6968
200659_s_at	8.54065
200660_at	3.67451
200661_at	8.30903
200662_s_at	10.9732
200663_at	10.3266
200664_s_at	9.16163
200665_s_at	6.52118
200666_s_at	9.25466
200667_at	10.2369
200668_s_at	11.5657
200669_s_at	10.8463
200670_at	8.40057
200671_s_at	5.51296
200672_x_at	7.10721
200673_at	9.96926
200674_s_at	13.3192
200675_at	9.21722
200676_s_at	6.34268
200677_at	9.86847
200678_x_at	8.02692
200679_x_at	12.1111
200680_x_at	12.8469
200681_at	11.5045
200682_s_at	11.5556
200683_s_at	9.17749
200684_s_at	7.48419
200685_at	6.70203
200686_s_at	10.476
200687_s_at	9.85417
200688_at	6.34455
200689_x_at	12.9196
200690_at	9.00583
200691_s_at	10.9414
200692_s_at	10.2899
200693_at	11.5801
200694_s_at	9.40156
200695_at	9.14887
200696_s_at	4.67719
200697_at	6.41418
200698_at	8.62959
200699_at	7.75992
200700_s_at	9.91161
200701_at	8.82052
200702_s_at	7.636
200703_at	11.8259
200704_at	9.63071
200705_s_at	12.7525
200706_s_at	8.76868
200707_at	8.53418
200708_at	11.1986
200709_at	10.676
200710_at	9.48934
200711_s_at	9.64108
200712_s_at	9.98106
200713_s_at	11.5443
200714_x_at	8.39132
200715_x_at	12.8021
200716_x_at	13.4694
200717_x_at	13.2457
200718_s_at	11.8437
200719_at	7.16864
200720_s_at	8.50489
200721_s_at	7.19354
200722_s_at	9.34818
200723_s_at	11.1342
200724_at	4.37943
200725_x_at	12.9434
200726_at	11.6611
200727_s_at	8.93934
200728_at	10.687
200729_s_at	10.2515
200730_s_at	9.66286
200731_s_at	9.62645
200732_s_at	10.3981
200733_s_at	9.99944
200734_s_at	8.86393
200735_x_at	12.8659
200736_s_at	11.2109
200737_at	10.8331
200738_s_at	12.5019
200739_s_at	8.82035
200740_s_at	10.2617
200741_s_at	13.2019
200742_s_at	6.96527
200743_s_at	8.47875
200744_s_at	9.9017
200745_s_at	10.3616
200746_s_at	10.421
200747_s_at	7.30511
200748_s_at	12.5216
200749_at	10.2427
200750_s_at	12.6472
200751_s_at	11.3398
200752_s_at	6.82645
200753_x_at	10.7744
200754_x_at	12.3811
200755_s_at	8.34692
200756_x_at	8.00802
200757_s_at	8.14314
200758_s_at	9.08913
200759_x_at	9.34353
200760_s_at	11.0688
200761_s_at	10.6477
200762_at	10.4792
200763_s_at	13.1132
200764_s_at	7.76229
200765_x_at	8.6074
200766_at	5.59987
200767_s_at	6.48417
200768_s_at	10.6922
200769_s_at	8.68213
200770_s_at	8.34374
200771_at	8.99846
200772_x_at	11.7052
200773_x_at	12.1697
200774_at	10.3525
200775_s_at	12.0993
200776_s_at	10.9118
200777_s_at	11.3698
200778_s_at	10.362
200779_at	11.7243
200780_x_at	11.9588
