^SAMPLE = GSM562822
!Sample_title = AMO-1
!Sample_geo_accession = GSM562822
!Sample_status = Public on Apr 30 2011
!Sample_submission_date = Jul 06 2010
!Sample_last_update_date = Nov 06 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Plasmacytoma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: AMO-1
!Sample_characteristics_ch1 = culturing medium: RPMI-1640, 20% FBS
!Sample_treatment_protocol_ch1 = Untreated. The density of the culture was determined and 5 million cells were harvested and stored in 1 ml Trizol until RNA extraction.
!Sample_growth_protocol_ch1 = The cell lines were subcultured 2 times per week. Subcultured 24 hours before harvest for RNA extraction.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using Invitrogen TRIzol Reagent combined with Qiagen RNeasy Mini kit. RNA quality was assessed using the Bioanalyser
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 ug total RNA (Expression Analysis Technical Manual, P/N 702232 Rev. 2, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 -18 hr at 45˚ C on GeneChip HG U133 Plus 2.0. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the Affymetrix GeneChip Scanner.
!Sample_description = Gene expression data from the plasmacytoma cell line AMO-1
!Sample_data_processing = .CEL files were background corrected and normalized by the just.rma function in the Bioconductor package affy
!Sample_platform_id = GPL570
!Sample_contact_name = Martin,,Boegsted
!Sample_contact_email = martin.boegsted@rn.dk
!Sample_contact_department = Department of Haematology
!Sample_contact_institute = Aalborg Hospital, Aarhus University Hospital
!Sample_contact_address = Sdr. Skovvej 15
!Sample_contact_city = Aalborg
!Sample_contact_zip/postal_code = 9000
!Sample_contact_country = Denmark
!Sample_contact_web_link = www.blodet.dk
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM562nnn/GSM562822/suppl/GSM562822.CEL.gz
!Sample_relation = Reanalyzed by: GSM1300966
!Sample_series_id = GSE22759
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 RMA signal
!sample_table_begin
ID_REF	VALUE
1007_s_at	6.41217679
1053_at	9.407458035
117_at	5.635462502
121_at	8.341341591
1255_g_at	3.203280062
1294_at	5.947135129
1316_at	5.577884155
1320_at	4.665814875
1405_i_at	9.827695624
1431_at	3.891145921
1438_at	5.663103755
1487_at	8.659589028
1494_f_at	6.051750935
1552256_a_at	9.072654896
1552257_a_at	9.828765381
1552258_at	5.663891739
1552261_at	5.356419619
1552263_at	7.092516571
1552264_a_at	8.554717444
1552266_at	3.851832516
1552269_at	4.234051749
1552271_at	6.785232643
1552272_a_at	6.751395603
1552274_at	7.177600626
1552275_s_at	6.795649864
1552276_a_at	6.547156008
1552277_a_at	8.405260822
1552278_a_at	4.762418016
1552279_a_at	6.677807085
1552280_at	4.084634387
1552281_at	7.552943511
1552283_s_at	7.833947209
1552286_at	6.644351633
1552287_s_at	8.324444537
1552288_at	4.584629183
1552289_a_at	4.882799936
1552291_at	7.20466508
1552293_at	5.913759242
1552295_a_at	7.14553152
1552296_at	5.238182341
1552299_at	5.118189903
1552301_a_at	6.054754618
1552302_at	4.597593503
1552303_a_at	5.989560534
1552304_at	6.840587718
1552306_at	7.826706513
1552307_a_at	4.438694339
1552309_a_at	3.42917612
1552310_at	8.653023329
1552311_a_at	7.398282888
1552312_a_at	8.764429923
1552314_a_at	5.79799371
1552315_at	4.976751358
1552316_a_at	3.526415848
1552318_at	3.367527425
1552319_a_at	4.724337058
1552320_a_at	3.543950721
1552321_a_at	4.098808784
1552322_at	3.390488304
1552323_s_at	5.317550975
1552325_at	3.038251226
1552326_a_at	5.186845978
1552327_at	3.365071191
1552329_at	6.245563291
1552330_at	6.97986222
1552332_at	7.230559222
1552334_at	5.273807537
1552335_at	5.713758251
1552337_s_at	6.820607876
1552338_at	5.021517523
1552340_at	5.203270901
1552343_s_at	6.238288247
1552344_s_at	8.187217774
1552347_at	7.781638053
1552348_at	6.284523533
1552349_a_at	5.435102302
1552354_at	5.052724642
1552355_s_at	6.207425886
1552359_at	3.267533218
1552360_a_at	5.648727854
1552362_a_at	7.197691884
1552364_s_at	7.10359082
1552365_at	3.437933764
1552367_a_at	3.474694924
1552368_at	3.564195875
1552370_at	7.069418912
1552372_at	3.048480069
1552373_s_at	3.170024356
1552375_at	4.107165221
1552377_s_at	6.601966524
1552378_s_at	5.627518828
