^SAMPLE = GSM1230229
!Sample_title = UACC-812_ERI_3
!Sample_geo_accession = GSM1230229
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = UACC-812 Eribulin_24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: UACC-812
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230229/suppl/GSM1230229_CEL_286_5010_04_30_2012.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	5.696
AFFX-BioB-M_at	5.802
AFFX-BioB-3_at	5.465
AFFX-BioC-5_at	6.692
AFFX-BioC-3_at	7.277
AFFX-BioDn-5_at	8.419
AFFX-BioDn-3_at	9.299
AFFX-CreX-5_at	10.919
AFFX-CreX-3_at	11.141
AFFX-DapX-5_at	2.339
AFFX-DapX-M_at	2.266
AFFX-DapX-3_at	2.703
AFFX-LysX-5_at	2.075
AFFX-LysX-M_at	2.707
AFFX-LysX-3_at	1.985
AFFX-PheX-5_at	2.698
AFFX-PheX-M_at	2.192
AFFX-PheX-3_at	3.733
AFFX-ThrX-5_at	2.731
AFFX-ThrX-M_at	2.318
AFFX-ThrX-3_at	3.552
AFFX-TrpnX-5_at	3.287
AFFX-TrpnX-M_at	2.425
AFFX-TrpnX-3_at	2.077
AFFX-r2-Ec-bioB-5_at	5.661
AFFX-r2-Ec-bioB-M_at	5.874
AFFX-r2-Ec-bioB-3_at	6.05
AFFX-r2-Ec-bioC-5_at	7.054
AFFX-r2-Ec-bioC-3_at	7.528
AFFX-r2-Ec-bioD-5_at	9.636
AFFX-r2-Ec-bioD-3_at	9.802
AFFX-r2-P1-cre-5_at	11.621
AFFX-r2-P1-cre-3_at	11.81
AFFX-r2-Bs-dap-5_at	2.52
AFFX-r2-Bs-dap-M_at	2.284
AFFX-r2-Bs-dap-3_at	1.924
AFFX-r2-Bs-lys-5_at	2.034
AFFX-r2-Bs-lys-M_at	2.179
AFFX-r2-Bs-lys-3_at	2.291
AFFX-r2-Bs-phe-5_at	2.178
AFFX-r2-Bs-phe-M_at	2.477
AFFX-r2-Bs-phe-3_at	2.341
AFFX-r2-Bs-thr-3_s_at	3.144
AFFX-r2-Bs-thr-M_s_at	3.377
AFFX-r2-Bs-thr-5_s_at	2.453
AFFX-HUMISGF3A/M97935_5_at	4.653
AFFX-HUMISGF3A/M97935_MA_at	5.307
AFFX-HUMISGF3A/M97935_MB_at	5.48
