^SAMPLE = GSM1230200
!Sample_title = HCC-1419_ERI_1
!Sample_geo_accession = GSM1230200
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = HCC-1419 Eribulin_24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: HCC-1419
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230200/suppl/GSM1230200_CEL_284_4942_04_03_2012.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	3.927
AFFX-BioB-M_at	3.375
AFFX-BioB-3_at	3.467
AFFX-BioC-5_at	7.38
AFFX-BioC-3_at	8.032
AFFX-BioDn-5_at	9.332
AFFX-BioDn-3_at	10.311
AFFX-CreX-5_at	11.588
AFFX-CreX-3_at	11.826
AFFX-DapX-5_at	2.37
AFFX-DapX-M_at	2.236
AFFX-DapX-3_at	2.745
AFFX-LysX-5_at	2.187
AFFX-LysX-M_at	2.945
AFFX-LysX-3_at	2.069
AFFX-PheX-5_at	2.584
AFFX-PheX-M_at	2.492
AFFX-PheX-3_at	3.833
AFFX-ThrX-5_at	2.867
AFFX-ThrX-M_at	2.352
AFFX-ThrX-3_at	3.627
AFFX-TrpnX-5_at	3.448
AFFX-TrpnX-M_at	2.583
AFFX-TrpnX-3_at	2.053
AFFX-r2-Ec-bioB-5_at	3.764
AFFX-r2-Ec-bioB-M_at	3.266
AFFX-r2-Ec-bioB-3_at	4.134
AFFX-r2-Ec-bioC-5_at	7.969
AFFX-r2-Ec-bioC-3_at	8.304
AFFX-r2-Ec-bioD-5_at	10.64
AFFX-r2-Ec-bioD-3_at	10.887
AFFX-r2-P1-cre-5_at	12.22
AFFX-r2-P1-cre-3_at	12.452
AFFX-r2-Bs-dap-5_at	2.575
AFFX-r2-Bs-dap-M_at	2.018
AFFX-r2-Bs-dap-3_at	1.813
AFFX-r2-Bs-lys-5_at	2.007
AFFX-r2-Bs-lys-M_at	2.233
AFFX-r2-Bs-lys-3_at	2.313
AFFX-r2-Bs-phe-5_at	2.078
AFFX-r2-Bs-phe-M_at	2.32
AFFX-r2-Bs-phe-3_at	2.634
AFFX-r2-Bs-thr-3_s_at	3.433
AFFX-r2-Bs-thr-M_s_at	3.371
AFFX-r2-Bs-thr-5_s_at	2.789
AFFX-HUMISGF3A/M97935_5_at	4.437
AFFX-HUMISGF3A/M97935_MA_at	5.851
AFFX-HUMISGF3A/M97935_MB_at	5.955
AFFX-HUMISGF3A/M97935_3_at	8.929
AFFX-HUMRGE/M10098_5_at	13.012
AFFX-HUMRGE/M10098_M_at	12.544
AFFX-HUMRGE/M10098_3_at	12.033
AFFX-HUMGAPDH/M33197_5_at	12.339
AFFX-HUMGAPDH/M33197_M_at	12.478
AFFX-HUMGAPDH/M33197_3_at	12.596
AFFX-HSAC07/X00351_5_at	11.03
AFFX-HSAC07/X00351_M_at	11.647
AFFX-HSAC07/X00351_3_at	12.326
AFFX-M27830_5_at	12.412
AFFX-M27830_M_at	10.559
AFFX-M27830_3_at	5.194
AFFX-hum_alu_at	13.27
1007_s_at	10.114
1053_at	7.71
117_at	5.088
121_at	7.349
1255_g_at	2.352
1294_at	4.738
1316_at	4.895
1320_at	4.584
1405_i_at	2.476
1431_at	3.068
1438_at	5.162
1487_at	7.388
1494_f_at	5.4
1598_g_at	7.636
160020_at	6.318
1729_at	6.737
1773_at	5.616
177_at	4.544
179_at	7.788
1861_at	7.537
200000_s_at	8.024
200001_at	9.429
200002_at	12.539
200003_s_at	12.449
200004_at	12.085
200005_at	10.294
200006_at	11.793
200007_at	11.377
200008_s_at	9.278
200009_at	11.045
200010_at	12.207
200011_s_at	8.449
200012_x_at	12.383
200013_at	12.544
200014_s_at	11.15
200015_s_at	10.823
200016_x_at	12.474
200017_at	12.388
200018_at	12.507
200019_s_at	11.766
200020_at	9.966
200021_at	12.305
200022_at	12.075
200023_s_at	11.291
