^SAMPLE = GSM1230625
!Sample_title = HEC-265_ERI_2
!Sample_geo_accession = GSM1230625
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = HEC-265 Eribulin 24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: HEC-265
!Sample_characteristics_ch1 = cell type: endometrial cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230625/suppl/GSM1230625_CEL_275_4419_12_13_2011.CEL.gz
!Sample_series_id = GSE50830
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.977
AFFX-BioB-M_at	5.879
AFFX-BioB-3_at	5.189
AFFX-BioC-5_at	8.776
AFFX-BioC-3_at	9.255
AFFX-BioDn-5_at	10.437
AFFX-BioDn-3_at	11.096
AFFX-CreX-5_at	12.406
AFFX-CreX-3_at	12.631
AFFX-DapX-5_at	2.492
AFFX-DapX-M_at	2.207
AFFX-DapX-3_at	2.926
AFFX-LysX-5_at	1.936
AFFX-LysX-M_at	2.737
AFFX-LysX-3_at	2.147
AFFX-PheX-5_at	2.705
AFFX-PheX-M_at	2.507
AFFX-PheX-3_at	4.031
AFFX-ThrX-5_at	2.973
AFFX-ThrX-M_at	2.525
AFFX-ThrX-3_at	3.553
AFFX-TrpnX-5_at	2.891
AFFX-TrpnX-M_at	2.621
AFFX-TrpnX-3_at	2.315
AFFX-r2-Ec-bioB-5_at	5.373
AFFX-r2-Ec-bioB-M_at	5.608
AFFX-r2-Ec-bioB-3_at	5.913
AFFX-r2-Ec-bioC-5_at	9.265
AFFX-r2-Ec-bioC-3_at	9.556
AFFX-r2-Ec-bioD-5_at	11.607
AFFX-r2-Ec-bioD-3_at	11.837
AFFX-r2-P1-cre-5_at	12.933
AFFX-r2-P1-cre-3_at	13.095
AFFX-r2-Bs-dap-5_at	2.585
AFFX-r2-Bs-dap-M_at	2.371
AFFX-r2-Bs-dap-3_at	2.173
AFFX-r2-Bs-lys-5_at	2.282
AFFX-r2-Bs-lys-M_at	2.466
AFFX-r2-Bs-lys-3_at	2.486
AFFX-r2-Bs-phe-5_at	2.184
AFFX-r2-Bs-phe-M_at	2.377
AFFX-r2-Bs-phe-3_at	2.718
AFFX-r2-Bs-thr-3_s_at	3.744
AFFX-r2-Bs-thr-M_s_at	3.373
AFFX-r2-Bs-thr-5_s_at	2.436
AFFX-HUMISGF3A/M97935_5_at	5.81
AFFX-HUMISGF3A/M97935_MA_at	6.955
AFFX-HUMISGF3A/M97935_MB_at	7.073
AFFX-HUMISGF3A/M97935_3_at	8.737
AFFX-HUMRGE/M10098_5_at	13.211
AFFX-HUMRGE/M10098_M_at	12.531
AFFX-HUMRGE/M10098_3_at	12.31
AFFX-HUMGAPDH/M33197_5_at	12.422
AFFX-HUMGAPDH/M33197_M_at	12.602
AFFX-HUMGAPDH/M33197_3_at	12.587
AFFX-HSAC07/X00351_5_at	12.436
AFFX-HSAC07/X00351_M_at	12.643
AFFX-HSAC07/X00351_3_at	12.774
AFFX-M27830_5_at	12.598
