^SAMPLE = GSM587192
!Sample_title = glioblastoma stem-like cell line, serum free, later passage_GS-1 p28
!Sample_geo_accession = GSM587192
!Sample_status = Public on Feb 12 2011
!Sample_submission_date = Aug 25 2010
!Sample_last_update_date = Feb 12 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = glioblastoma stem-like cell line, GSr cell line (Günther HS et al.)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample name: GS-1 p28
!Sample_characteristics_ch1 = sample type: glioblastoma stem-like (GS) cell line
!Sample_growth_protocol_ch1 = conventional glioma cell lines and self established glioma cell lines (ML lines) -->Dulbecco´s modified Eagle´s medium, supplemented with 10% fetal calf serum, 2 mM L-glutamine, and 1 mM sodium pyruvate / glioblastoma stem-like cell lines (GS lines) -->  neurobasal medium with B27 supplement (20 μl ml−1), Glutamax (10 μl ml−1), fibroblast growth factor-2 (20 ng ml−1), epidermal growth factor (20 ng ml−1) and heparin (32 IE ml−1)
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasy Protect Mini Kit (Qiagen). Genomic DNA contamination was removed through an on-column DNase digestion step.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocols
!Sample_hyb_protocol = standard Affymetrix protocols
!Sample_scan_protocol = standard Affymetrix protocols
!Sample_description = glioblastoma stem-like cell lines, serum free conditions, later passage
!Sample_data_processing = background-adjusted, normalized intensities were computed using the gcRMA package. Gene detection was performed using the PANP package (http://bioconductor.org/packages/bioc/vignettes/panp/inst/doc/panp.pdf) for the R program.
!Sample_platform_id = GPL570
!Sample_contact_name = Hauke,Simon,Guenther
!Sample_contact_laboratory = Endolab2
!Sample_contact_department = Neurochirurgie
!Sample_contact_institute = UKE
!Sample_contact_address = Martinistraße 52
!Sample_contact_city = Hamburg
!Sample_contact_zip/postal_code = 20246
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM587nnn/GSM587192/suppl/GSM587192.CEL.gz
!Sample_series_id = GSE23806
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2, gcRMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	9.743325
1053_at	9.094185
117_at	3.833554
121_at	3.634743
1255_g_at	1.92619
1294_at	3.359904
1316_at	2.907524
1320_at	2.950222
1405_i_at	2.677024
1431_at	2.339623
1438_at	3.367823
1487_at	5.312297
1494_f_at	2.527974
1552256_a_at	7.69614
1552257_a_at	6.121385
1552258_at	3.060132
1552261_at	2.719045
1552263_at	3.100156
1552264_a_at	5.461553
1552266_at	2.45578
1552269_at	2.255786
1552271_at	2.265192
1552272_a_at	2.32183
1552274_at	6.669417
1552275_s_at	6.159654
1552276_a_at	2.433691
1552277_a_at	9.562477
1552278_a_at	2.520532
1552279_a_at	3.5763
1552280_at	2.190728
1552281_at	2.953696
1552283_s_at	3.15519
1552286_at	2.624292
1552287_s_at	5.667913
1552288_at	3.204819
1552289_a_at	2.15724
1552291_at	10.194983
1552293_at	2.474685
1552295_a_at	4.264784
1552296_at	1.957106
1552299_at	2.344461
1552301_a_at	2.906703
1552302_at	3.40814
1552303_a_at	2.661843
1552304_at	2.230778
1552306_at	5.272348
1552307_a_at	2.671237
1552309_a_at	1.803533
1552310_at	6.262474
1552311_a_at	3.262998
1552312_a_at	3.669495
1552314_a_at	4.264578
1552315_at	2.48452
1552316_a_at	1.647557
1552318_at	2.536216
1552319_a_at	2.608288
1552320_a_at	3.040576
1552321_a_at	2.386309
1552322_at	2.30881
1552323_s_at	3.230309
1552325_at	3.10652
1552326_a_at	2.669213
1552327_at	2.967548
1552329_at	5.486244
1552330_at	5.074378
1552332_at	3.776348
1552334_at	3.297822
1552335_at	2.875025
1552337_s_at	2.724996
1552338_at	1.420676
1552340_at	2.277382
1552343_s_at	2.577999
1552344_s_at	4.59248
1552347_at	7.123655
1552348_at	2.72141
1552349_a_at	2.656309
1552354_at	2.533358
1552355_s_at	2.473797
1552359_at	2.389112
1552360_a_at	3.691216
1552362_a_at	3.730575
1552364_s_at	3.713835
1552365_at	1.944644
1552367_a_at	2.492277
1552368_at	2.417947
1552370_at	3.571575
1552372_at	1.969594
1552373_s_at	2.262388
1552375_at	4.348186
1552377_s_at	2.528088
1552378_s_at	9.384068
1552379_at	1.722146
1552381_at	4.843587
1552383_at	3.485841
1552384_a_at	2.406831
1552386_at	2.043161
1552388_at	2.114512
1552389_at	2.677619
