^SAMPLE = GSM1230085
!Sample_title = SKBR3_ERI_2
!Sample_geo_accession = GSM1230085
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = SKBR3 Eribulin_24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: SKBR3
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230085/suppl/GSM1230085_CEL_284_4826_04_03_2012.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	6.9
AFFX-BioB-M_at	7.13
AFFX-BioB-3_at	6.777
AFFX-BioC-5_at	8.044
AFFX-BioC-3_at	8.603
AFFX-BioDn-5_at	9.621
AFFX-BioDn-3_at	10.507
AFFX-CreX-5_at	11.778
AFFX-CreX-3_at	12.06
AFFX-DapX-5_at	2.236
AFFX-DapX-M_at	2.43
AFFX-DapX-3_at	2.876
AFFX-LysX-5_at	2.039
AFFX-LysX-M_at	2.859
AFFX-LysX-3_at	2.068
AFFX-PheX-5_at	2.665
AFFX-PheX-M_at	2.424
AFFX-PheX-3_at	3.573
AFFX-ThrX-5_at	2.73
AFFX-ThrX-M_at	2.553
AFFX-ThrX-3_at	3.78
AFFX-TrpnX-5_at	3.481
AFFX-TrpnX-M_at	2.714
AFFX-TrpnX-3_at	2.273
AFFX-r2-Ec-bioB-5_at	7.068
AFFX-r2-Ec-bioB-M_at	7.361
AFFX-r2-Ec-bioB-3_at	7.232
AFFX-r2-Ec-bioC-5_at	8.693
AFFX-r2-Ec-bioC-3_at	8.972
AFFX-r2-Ec-bioD-5_at	10.84
AFFX-r2-Ec-bioD-3_at	11.195
AFFX-r2-P1-cre-5_at	12.399
AFFX-r2-P1-cre-3_at	12.538
AFFX-r2-Bs-dap-5_at	2.851
AFFX-r2-Bs-dap-M_at	2.117
AFFX-r2-Bs-dap-3_at	2.192
AFFX-r2-Bs-lys-5_at	2.117
AFFX-r2-Bs-lys-M_at	2.077
AFFX-r2-Bs-lys-3_at	2.46
AFFX-r2-Bs-phe-5_at	2.008
AFFX-r2-Bs-phe-M_at	2.443
AFFX-r2-Bs-phe-3_at	2.505
AFFX-r2-Bs-thr-3_s_at	3.32
AFFX-r2-Bs-thr-M_s_at	3.285
AFFX-r2-Bs-thr-5_s_at	2.927
AFFX-HUMISGF3A/M97935_5_at	4.776
AFFX-HUMISGF3A/M97935_MA_at	5.852
AFFX-HUMISGF3A/M97935_MB_at	6.03
AFFX-HUMISGF3A/M97935_3_at	8.821
AFFX-HUMRGE/M10098_5_at	13.069
AFFX-HUMRGE/M10098_M_at	12.699
AFFX-HUMRGE/M10098_3_at	12.221
AFFX-HUMGAPDH/M33197_5_at	12.51
AFFX-HUMGAPDH/M33197_M_at	12.631
AFFX-HUMGAPDH/M33197_3_at	12.736
AFFX-HSAC07/X00351_5_at	10.942
AFFX-HSAC07/X00351_M_at	11.644
AFFX-HSAC07/X00351_3_at	12.168
AFFX-M27830_5_at	12.515
AFFX-M27830_M_at	10.967
AFFX-M27830_3_at	5.27
AFFX-hum_alu_at	13.158
1007_s_at	10.701
1053_at	8.505
117_at	7.614
121_at	7.047
1255_g_at	2.478
1294_at	5.345
1316_at	5.692
1320_at	5.628
1405_i_at	5.75
1431_at	3.352
1438_at	5.233
1487_at	8.388
1494_f_at	5.298
1598_g_at	6.579
160020_at	5.707
1729_at	6.804
1773_at	5.51
177_at	4.73
179_at	7.445
1861_at	5.971
200000_s_at	7.858
200001_at	8.96
200002_at	12.31
200003_s_at	12.717
200004_at	12.084
200005_at	10.562
200006_at	11.962
200007_at	11.628
200008_s_at	10.318
200009_at	11.604
200010_at	12.217
200011_s_at	8.048
200012_x_at	12.862
200013_at	12.417
200014_s_at	10.948
200015_s_at	10.632
200016_x_at	12.712
200017_at	12.686
200018_at	12.839
200019_s_at	12.084
200020_at	9.981
200021_at	12.021
200022_at	12.399
200023_s_at	11.488
200024_at	12.394
200025_s_at	12.523
200026_at	12.594
200027_at	11.394
200028_s_at	10.979
200029_at	13.769
200030_s_at	11.938
200031_s_at	12.807
200032_s_at	12.4
200033_at	12.177
200034_s_at	12.589
200035_at	6.982
200036_s_at	11.745
200037_s_at	11.915
200038_s_at	12.329
200039_s_at	10.708
200040_at	10.551
200041_s_at	8.105
200042_at	8.924
200043_at	11.787
200044_at	10.113
200045_at	9.451
200046_at	10.688
200047_s_at	10.925
200048_s_at	11.971
200049_at	6.507
200050_at	10.343
200051_at	7.356
200052_s_at	10.539
200053_at	8.008
200054_at	8.614
200055_at	9.259
200056_s_at	9.235
200057_s_at	11.154
200058_s_at	9.672
200059_s_at	11.604
200060_s_at	9.617
200061_s_at	13.168
200062_s_at	12.74
200063_s_at	12.545
200064_at	11.096
200065_s_at	10.982
200066_at	9.311
200067_x_at	10.679
200068_s_at	11.613
200069_at	7.316
200070_at	7.909
200071_at	9.746
200072_s_at	10.711
200073_s_at	11.271
200074_s_at	12.054
200075_s_at	9.226
200076_s_at	7.685
200077_s_at	12.324
200078_s_at	10.299
200079_s_at	10.226
200080_s_at	12.735
200081_s_at	12.49
200082_s_at	12.329
200083_at	9.089
200084_at	10.849
200085_s_at	11.241
200086_s_at	11.294
200087_s_at	11.571
200088_x_at	12.544
200089_s_at	12.374
200090_at	10.325
200091_s_at	12.529
200092_s_at	12.915
200093_s_at	11.056
200094_s_at	10.871
200095_x_at	12.884
200096_s_at	11.144
200097_s_at	11.128
200098_s_at	8.811
200099_s_at	13.023
200593_s_at	9.764
200594_x_at	11.284
200595_s_at	10.422
200596_s_at	9.873
200597_at	7.858
200598_s_at	11.347
200599_s_at	11.768
200600_at	3.969
200601_at	7.731
200602_at	10.803
200603_at	11.813
200604_s_at	8.812
200605_s_at	11.506
200606_at	10.566
200607_s_at	10.602
200608_s_at	11.837
200609_s_at	9.641
200610_s_at	11.278
200611_s_at	9.143
200612_s_at	7.141
200613_at	8.721
200614_at	11.373
200615_s_at	7.911
200616_s_at	10.045
200617_at	7.011
200618_at	10.488
200619_at	8.634
200620_at	10.945
200621_at	10.967
200622_x_at	8.873
200623_s_at	7.239
200624_s_at	10.537
200625_s_at	10.974
200626_s_at	11.09
200627_at	12.025
200628_s_at	6.283
200629_at	7.305
200630_x_at	11.885
200631_s_at	11.667
200632_s_at	10.434
200633_at	12.586
200634_at	9.511
200635_s_at	10.074
200636_s_at	11.496
200637_s_at	8.151
200638_s_at	11.603
200639_s_at	11.044
200640_at	10.868
200641_s_at	10.694
200642_at	11.79
200643_at	7.035
200644_at	9.88
200645_at	9.891
200646_s_at	4.612
200647_x_at	10.415
200648_s_at	7.231
200649_at	6.281
200650_s_at	12.413
200651_at	12.362
200652_at	10.995
200653_s_at	11.717
200654_at	11.118
200655_s_at	11.803
200656_s_at	9.907
200657_at	11.993
200658_s_at	9.354
200659_s_at	7.382
200660_at	9.959
200661_at	10.112
200662_s_at	10.9
200663_at	11.415
200664_s_at	8.281
200665_s_at	2.978
200666_s_at	9.252
200667_at	10.728
200668_s_at	11.717
200669_s_at	11.444
200670_at	9.92
200671_s_at	5.544
200672_x_at	7.484
200673_at	11.595
200674_s_at	12.694
200675_at	10.294
200676_s_at	5.844
200677_at	11.544
200678_x_at	7.577
200679_x_at	10.987
200680_x_at	12.168
200681_at	10.174
200682_s_at	10.679
200683_s_at	8.397
200684_s_at	7.707
200685_at	7.836
200686_s_at	10.881
200687_s_at	7.418
200688_at	6.057
200689_x_at	12.308
200690_at	8.493
200691_s_at	11.376
200692_s_at	10.405
200693_at	11.667
200694_s_at	8.855
200695_at	6.693
200696_s_at	8.924
200697_at	10.236
200698_at	11.218
200699_at	9.894
200700_s_at	10.788
200701_at	9.775
200702_s_at	8.073
200703_at	11.492
200704_at	10.302
200705_s_at	12.206
200706_s_at	9.822
200707_at	5.401
200708_at	10.374
200709_at	8.942
200710_at	8.807
200711_s_at	9.109
200712_s_at	8.225
200713_s_at	10.851
200714_x_at	8.174
200715_x_at	11.601
200716_x_at	12.809
200717_x_at	13.522
200718_s_at	11.597
200719_at	6.094
200720_s_at	6.929
200721_s_at	5.747
200722_s_at	8.239
200723_s_at	10.786
200724_at	4.64
200725_x_at	12.281
200726_at	11.407
200727_s_at	9.359
200728_at	10.861
200729_s_at	10.977
200730_s_at	9.078
200731_s_at	7.878
200732_s_at	8.93
200733_s_at	10.086
200734_s_at	9.095
200735_x_at	12.538
200736_s_at	3.483
200737_at	9.76
200738_s_at	11.793
200739_s_at	8.374
200740_s_at	10.498
200741_s_at	13.101
200742_s_at	6.627
200743_s_at	7.833
200744_s_at	9.312
200745_s_at	10.558
200746_s_at	9.759
200747_s_at	7.89
200748_s_at	12.056
200749_at	9.854
200750_s_at	11.536
200751_s_at	10.998
200752_s_at	7.421
200753_x_at	9.882
200754_x_at	11.052
200755_s_at	9.75
200756_x_at	9.001
200757_s_at	10.711
200758_s_at	7.694
200759_x_at	8.178
200760_s_at	9.208
200761_s_at	10.312
200762_at	3.809
200763_s_at	12.95
200764_s_at	10.072
200765_x_at	11.465
200766_at	7.909
200767_s_at	8.315
200768_s_at	9.521
200769_s_at	7.417
200770_s_at	5.247
200771_at	5.401
200772_x_at	12.182
200773_x_at	12.127
200774_at	11.93
200775_s_at	11.806
200776_s_at	9.246
200777_s_at	10.722
200778_s_at	8.483
200779_at	11.359
200780_x_at	12.227
200781_s_at	12.758
200782_at	10.599
200783_s_at	9.139
200784_s_at	5.697
200785_s_at	4.81
200786_at	11.198
200787_s_at	7.469
200788_s_at	10.162
200789_at	8.218
200790_at	9.916
200791_s_at	9.808
200792_at	10.595
200793_s_at	7.872
200794_x_at	11.167
200795_at	2.877
200796_s_at	4.956
200797_s_at	10.705
200798_x_at	10.405
200799_at	11.797
200800_s_at	10.848
