^SAMPLE = GSM1230616
!Sample_title = HEC-50B_ERI_1
!Sample_geo_accession = GSM1230616
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = HEC-50B Eribulin 24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: HEC-50B
!Sample_characteristics_ch1 = cell type: endometrial cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230616/suppl/GSM1230616_CEL_275_4409_12_13_2011.CEL.gz
!Sample_series_id = GSE50830
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.441
AFFX-BioB-M_at	4.706
AFFX-BioB-3_at	4.018
AFFX-BioC-5_at	8.233
AFFX-BioC-3_at	8.751
AFFX-BioDn-5_at	10.001
AFFX-BioDn-3_at	10.723
AFFX-CreX-5_at	11.992
AFFX-CreX-3_at	12.288
AFFX-DapX-5_at	2.323
AFFX-DapX-M_at	2.44
AFFX-DapX-3_at	2.596
AFFX-LysX-5_at	2.238
AFFX-LysX-M_at	2.494
AFFX-LysX-3_at	2.308
AFFX-PheX-5_at	2.565
AFFX-PheX-M_at	2.43
AFFX-PheX-3_at	4.543
AFFX-ThrX-5_at	2.602
AFFX-ThrX-M_at	2.505
AFFX-ThrX-3_at	3.449
AFFX-TrpnX-5_at	2.745
AFFX-TrpnX-M_at	2.794
AFFX-TrpnX-3_at	2.054
AFFX-r2-Ec-bioB-5_at	4.364
AFFX-r2-Ec-bioB-M_at	4.957
AFFX-r2-Ec-bioB-3_at	5.236
AFFX-r2-Ec-bioC-5_at	8.717
AFFX-r2-Ec-bioC-3_at	9.04
AFFX-r2-Ec-bioD-5_at	11.215
AFFX-r2-Ec-bioD-3_at	11.288
AFFX-r2-P1-cre-5_at	12.617
AFFX-r2-P1-cre-3_at	12.718
AFFX-r2-Bs-dap-5_at	2.426
AFFX-r2-Bs-dap-M_at	2.135
AFFX-r2-Bs-dap-3_at	2.172
AFFX-r2-Bs-lys-5_at	2.146
AFFX-r2-Bs-lys-M_at	2.231
AFFX-r2-Bs-lys-3_at	2.775
AFFX-r2-Bs-phe-5_at	2.074
AFFX-r2-Bs-phe-M_at	2.202
AFFX-r2-Bs-phe-3_at	3.152
AFFX-r2-Bs-thr-3_s_at	3.176
AFFX-r2-Bs-thr-M_s_at	3.179
AFFX-r2-Bs-thr-5_s_at	2.477
AFFX-HUMISGF3A/M97935_5_at	5.894
AFFX-HUMISGF3A/M97935_MA_at	6.789
AFFX-HUMISGF3A/M97935_MB_at	6.806
AFFX-HUMISGF3A/M97935_3_at	8.741
AFFX-HUMRGE/M10098_5_at	13.124
AFFX-HUMRGE/M10098_M_at	12.492
AFFX-HUMRGE/M10098_3_at	12.31
AFFX-HUMGAPDH/M33197_5_at	12.701
AFFX-HUMGAPDH/M33197_M_at	12.922
AFFX-HUMGAPDH/M33197_3_at	12.809
AFFX-HSAC07/X00351_5_at	12.248
AFFX-HSAC07/X00351_M_at	12.452
AFFX-HSAC07/X00351_3_at	12.387
AFFX-M27830_5_at	13.131
AFFX-M27830_M_at	11.2
AFFX-M27830_3_at	5.145
AFFX-hum_alu_at	13.445
1007_s_at	7.471
1053_at	8.654
117_at	4.958
121_at	9.879
1255_g_at	2.504
1294_at	4.743
1316_at	5.471
1320_at	4.617
1405_i_at	4.034
1431_at	3.265
1438_at	5.021
1487_at	8.454
1494_f_at	5.058
1598_g_at	7.009
160020_at	5.424
1729_at	7.987
1773_at	5.351
177_at	4.662
179_at	7.457
1861_at	6.46
200000_s_at	9.571
200001_at	8.987
200002_at	12.548
200003_s_at	12.899
200004_at	11.994
200005_at	11.065
200006_at	12.056
200007_at	11.878
200008_s_at	10.173
200009_at	11.326
200010_at	12.574
200011_s_at	7.668
200012_x_at	12.971
200013_at	12.934
200014_s_at	11.638
200015_s_at	11.761
200016_x_at	12.731
200017_at	12.762
200018_at	12.785
200019_s_at	12.577
200020_at	10.511
200021_at	12.36
200022_at	12.568
200023_s_at	11.69
200024_at	12.721
200025_s_at	12.938
200026_at	11.888
200027_at	11.455
200028_s_at	10.781
200029_at	12.857
200030_s_at	12.382
200031_s_at	12.935
200032_s_at	12.778
200033_at	12.259
200034_s_at	12.868
200035_at	8.254
200036_s_at	12.239
200037_s_at	11.73
200038_s_at	12.561
200039_s_at	11.6
200040_at	10.803
200041_s_at	9.166
200042_at	9.958
200043_at	11.725
200044_at	11.309
200045_at	9.394
200046_at	11.061
200047_s_at	11.643
200048_s_at	10.932
200049_at	7.407
200050_at	10.854
200051_at	8.598
200052_s_at	10.945
200053_at	9.661
200054_at	8.947
200055_at	9.759
200056_s_at	10.107
200057_s_at	11.806
200058_s_at	10.372
200059_s_at	12.167
200060_s_at	10.958
200061_s_at	12.958
200062_s_at	13.074
200063_s_at	13.043
200064_at	12.23
200065_s_at	11.342
200066_at	9.422
200067_x_at	11.15
200068_s_at	11.902
200069_at	9.29
200070_at	7.814
200071_at	11.253
200072_s_at	11.526
200073_s_at	11.794
200074_s_at	12.328
200075_s_at	9.319
200076_s_at	8.359
200077_s_at	12.571
200078_s_at	9.801
200079_s_at	11.712
200080_s_at	12.212
200081_s_at	12.52
200082_s_at	12.91
200083_at	10.574
200084_at	11.052
200085_s_at	11.744
200086_s_at	11.857
200087_s_at	11.747
200088_x_at	13.045
200089_s_at	12.394
200090_at	10.626
200091_s_at	12.744
200092_s_at	12.663
200093_s_at	11.835
200094_s_at	11.52
200095_x_at	13.146
200096_s_at	11.611
200097_s_at	11.169
200098_s_at	10.15
200099_s_at	13.102
200593_s_at	10.983
200594_x_at	11.784
200595_s_at	10.908
200596_s_at	10.64
200597_at	8.557
200598_s_at	12.025
200599_s_at	11.91
200600_at	10.745
200601_at	8.212
200602_at	11.158
200603_at	11.519
200604_s_at	9.014
200605_s_at	11.351
200606_at	9.045
200607_s_at	10.277
200608_s_at	11.348
200609_s_at	10.895
200610_s_at	12.148
200611_s_at	10.593
200612_s_at	8.704
200613_at	9.621
200614_at	12.189
200615_s_at	8.998
200616_s_at	10.699
200617_at	7.943
200618_at	11.307
200619_at	9.941
200620_at	9.194
200621_at	9.027
200622_x_at	9.246
200623_s_at	8.16
200624_s_at	11.125
200625_s_at	11.235
200626_s_at	11.347
200627_at	12.19
200628_s_at	8.156
200629_at	8.998
200630_x_at	12.016
200631_s_at	11.631
200632_s_at	8.625
200633_at	13.258
200634_at	11.169
200635_s_at	8.758
200636_s_at	9.797
200637_s_at	6.926
200638_s_at	12.508
200639_s_at	12.178
200640_at	12.052
200641_s_at	11.878
200642_at	12.476
200643_at	8.724
200644_at	9.998
200645_at	9.605
200646_s_at	4.284
200647_x_at	11.557
200648_s_at	6.962
200649_at	5.699
200650_s_at	12.646
200651_at	13.18
200652_at	10.847
200653_s_at	11.24
200654_at	11.163
200655_s_at	11.468
200656_s_at	10.517
200657_at	12.108
200658_s_at	11.227
200659_s_at	9.143
200660_at	10.144
200661_at	9.133
200662_s_at	11.535
200663_at	11.463
200664_s_at	8.373
200665_s_at	10.427
200666_s_at	8.293
200667_at	10.255
200668_s_at	11.738
200669_s_at	11.56
200670_at	9.291
200671_s_at	7.57
200672_x_at	8.587
200673_at	11.369
200674_s_at	12.678
200675_at	9.967
200676_s_at	5.671
200677_at	11.762
200678_x_at	9.49
200679_x_at	11.986
200680_x_at	12.591
200681_at	11.031
200682_s_at	11.065
200683_s_at	8.633
200684_s_at	7.482
200685_at	8.698
200686_s_at	11.733
200687_s_at	8.472
200688_at	7.326
200689_x_at	12.65
200690_at	9.561
200691_s_at	11.799
200692_s_at	11.08
200693_at	11.733
200694_s_at	9.773
200695_at	6.557
200696_s_at	6.104
200697_at	10.323
200698_at	10.818
200699_at	9.738
200700_s_at	10.769
200701_at	10.122
200702_s_at	9.65
200703_at	11.64
200704_at	10.345
