^SAMPLE = GSM587227
!Sample_title = primary tumor_T-GS-10
!Sample_geo_accession = GSM587227
!Sample_status = Public on Feb 12 2011
!Sample_submission_date = Aug 25 2010
!Sample_last_update_date = Feb 12 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = tumor tissue corresponding cell line GS-10
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample name: T-GS-10
!Sample_characteristics_ch1 = sample type: glioblastoma (GBM), original tumor
!Sample_characteristics_ch1 = tumor grade: WHO IV
!Sample_growth_protocol_ch1 = conventional glioma cell lines and self established glioma cell lines (ML lines) -->Dulbecco´s modified Eagle´s medium, supplemented with 10% fetal calf serum, 2 mM L-glutamine, and 1 mM sodium pyruvate / glioblastoma stem-like cell lines (GS lines) -->  neurobasal medium with B27 supplement (20 μl ml−1), Glutamax (10 μl ml−1), fibroblast growth factor-2 (20 ng ml−1), epidermal growth factor (20 ng ml−1) and heparin (32 IE ml−1)
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasy Protect Mini Kit (Qiagen). Genomic DNA contamination was removed through an on-column DNase digestion step.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocols
!Sample_hyb_protocol = standard Affymetrix protocols
!Sample_scan_protocol = standard Affymetrix protocols
!Sample_description = primary tumor, tumor tissue
!Sample_data_processing = background-adjusted, normalized intensities were computed using the gcRMA package. Gene detection was performed using the PANP package (http://bioconductor.org/packages/bioc/vignettes/panp/inst/doc/panp.pdf) for the R program.
!Sample_platform_id = GPL570
!Sample_contact_name = Hauke,Simon,Guenther
!Sample_contact_laboratory = Endolab2
!Sample_contact_department = Neurochirurgie
!Sample_contact_institute = UKE
!Sample_contact_address = Martinistraße 52
!Sample_contact_city = Hamburg
!Sample_contact_zip/postal_code = 20246
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM587nnn/GSM587227/suppl/GSM587227.CEL.gz
!Sample_series_id = GSE23806
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2, gcRMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	11.634217
1053_at	7.921966
117_at	3.363461
121_at	3.569859
1255_g_at	2.016783
1294_at	3.25983
1316_at	3.436595
1320_at	2.599334
1405_i_at	3.980524
1431_at	2.345094
1438_at	3.491002
1487_at	4.771064
1494_f_at	2.543656
1552256_a_at	6.445717
1552257_a_at	7.273506
1552258_at	2.584413
1552261_at	2.803822
1552263_at	2.253793
1552264_a_at	5.225956
1552266_at	2.763986
1552269_at	2.2798
1552271_at	2.346864
1552272_a_at	2.673089
1552274_at	7.324911
1552275_s_at	6.374519
1552276_a_at	2.242378
1552277_a_at	7.746255
1552278_a_at	2.34895
1552279_a_at	3.614533
1552280_at	2.317218
1552281_at	3.095885
1552283_s_at	3.479633
1552286_at	3.148861
1552287_s_at	5.134678
1552288_at	3.043612
1552289_a_at	1.533325
1552291_at	8.163438
1552293_at	2.885447
1552295_a_at	2.989271
1552296_at	2.167412
1552299_at	3.199331
1552301_a_at	2.940381
1552302_at	5.626723
1552303_a_at	3.686688
1552304_at	2.180059
1552306_at	3.712335
1552307_a_at	2.690268
1552309_a_at	2.939955
1552310_at	7.822948
1552311_a_at	3.416389
1552312_a_at	2.223615
1552314_a_at	2.611584
1552315_at	3.101906
1552316_a_at	3.261962
1552318_at	2.926376
1552319_a_at	2.445904
1552320_a_at	3.502964
1552321_a_at	3.223302
1552322_at	2.296062
1552323_s_at	2.815483
1552325_at	3.562607
1552326_a_at	3.10312
1552327_at	3.042584
1552329_at	7.679016
1552330_at	4.178712
1552332_at	4.146237
1552334_at	3.463695
1552335_at	2.307308
1552337_s_at	2.358782
1552338_at	1.54579
1552340_at	2.011418
1552343_s_at	2.385817
1552344_s_at	2.196055
1552347_at	7.30146
1552348_at	3.217998
1552349_a_at	2.63596
1552354_at	2.672687
1552355_s_at	2.388227
1552359_at	2.154799
1552360_a_at	2.686964
1552362_a_at	4.322536
1552364_s_at	2.931886
1552365_at	7.824224
1552367_a_at	4.552614
1552368_at	2.192719
1552370_at	5.182459
1552372_at	1.957544
1552373_s_at	2.406562
1552375_at	3.620392
1552377_s_at	2.443942
1552378_s_at	3.490741
1552379_at	1.668461
1552381_at	3.687923
1552383_at	5.074378
1552384_a_at	2.526853
1552386_at	6.463162
