^SAMPLE = GSM170865
!Sample_title = Melanoma cell line CJM
!Sample_geo_accession = GSM170865
!Sample_status = Public on Mar 31 2007
!Sample_submission_date = Feb 22 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Melanoma cell line CJM
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Melanoma cell line established from metastatic melanoma
!Sample_biomaterial_provider_ch1 = Ms M. Down
!Sample_growth_protocol_ch1 = Melanoma cell lines were cultured in RPMI 1640 in the presence of 10% fetal bovine serum. 
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNA extractions were performed using Qiagen RNeasy Midi-kits as per the manufacturer’s instructions. RNA quality and concentration were assessed using a 2100 BioAnalyser (Agilent Technologies). 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). 
!Sample_hyb_protocol = This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. 
!Sample_scan_protocol = Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). 
!Sample_description = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_data_processing = Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_platform_id = GPL570
!Sample_contact_name = Leisl,,Packer
!Sample_contact_laboratory = Oncogenomics Laboratory
!Sample_contact_department = Cancer and Cell Biology
!Sample_contact_institute = Queensland Institute of Medical Research
!Sample_contact_address = 300 Herston Rd
!Sample_contact_city = Herston
!Sample_contact_state = QLD
!Sample_contact_zip/postal_code = 4006
!Sample_contact_country = Australia
!Sample_contact_web_link = www.qimr.edu.au
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM170nnn/GSM170865/suppl/GSM170865.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM170nnn/GSM170865/suppl/GSM170865.CHP.gz
!Sample_relation = Affiliated with: GSM700987
!Sample_relation = Affiliated with: GSM804322
!Sample_relation = Affiliated with: GSM804323
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE7127
!Sample_series_id = GSE7152
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = signal value
#ABS_CALL = signal absent/present
#DETECTION-P-VALUE = detection p-value
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION-P-VALUE
AFFX-BioB-5_at	290.364	P	0.000340305
AFFX-BioB-M_at	403.169	P	4.42873e-05
AFFX-BioB-3_at	209.461	P	0.00010954
AFFX-BioC-5_at	559.598	P	4.42873e-05
AFFX-BioC-3_at	560.326	P	4.42873e-05
AFFX-BioDn-5_at	565.704	P	4.42873e-05
AFFX-BioDn-3_at	2809.53	P	7.00668e-05
AFFX-CreX-5_at	5953.11	P	5.16732e-05
AFFX-CreX-3_at	8868.98	P	4.42873e-05
AFFX-DapX-5_at	152.79	P	6.02111e-05
AFFX-DapX-M_at	258.259	P	0.000972149
AFFX-DapX-3_at	276.566	P	0.000126798
AFFX-LysX-5_at	20.4398	P	0.0113844
AFFX-LysX-M_at	33.3075	A	0.0676785
AFFX-LysX-3_at	71.324	P	0.000169227
AFFX-PheX-5_at	27.6255	P	0.000296708
AFFX-PheX-M_at	39.433	P	0.00255552
AFFX-PheX-3_at	46.2963	P	0.0044838
AFFX-ThrX-5_at	48.2527	P	0.000972149
AFFX-ThrX-M_at	49.0254	P	0.00227496
AFFX-ThrX-3_at	64.3723	P	0.000509415
AFFX-TrpnX-5_at	21.5257	P	0.036569
AFFX-TrpnX-M_at	18.2261	A	0.354453
AFFX-TrpnX-3_at	4.79542	A	0.544587
AFFX-r2-Ec-bioB-5_at	307.355	P	0.000244141
AFFX-r2-Ec-bioB-M_at	404.339	P	0.000244141
AFFX-r2-Ec-bioB-3_at	224.718	P	0.000244141
AFFX-r2-Ec-bioC-5_at	579.411	P	0.000244141
AFFX-r2-Ec-bioC-3_at	816.343	P	0.000244141
AFFX-r2-Ec-bioD-5_at	2351.89	P	0.000244141
AFFX-r2-Ec-bioD-3_at	2912.48	P	0.000244141
AFFX-r2-P1-cre-5_at	10483.8	P	0.000244141
AFFX-r2-P1-cre-3_at	12045.5	P	0.000244141
AFFX-r2-Bs-dap-5_at	196.875	P	0.000244141
AFFX-r2-Bs-dap-M_at	281.96	P	0.000244141
AFFX-r2-Bs-dap-3_at	376.829	P	0.000244141
AFFX-r2-Bs-lys-5_at	27.7516	P	0.000244141
AFFX-r2-Bs-lys-M_at	23.3503	P	0.00415039
AFFX-r2-Bs-lys-3_at	29.9284	P	0.000732422
AFFX-r2-Bs-phe-5_at	46.7002	P	0.000732422
AFFX-r2-Bs-phe-M_at	34.1364	P	0.000244141
AFFX-r2-Bs-phe-3_at	73.4001	P	0.00292969
AFFX-r2-Bs-thr-3_s_at	97.903	P	0.0239258
AFFX-r2-Bs-thr-M_s_at	94.094	P	0.0185547
AFFX-r2-Bs-thr-5_s_at	61.8508	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	837.661	P	9.4506e-05
AFFX-HUMISGF3A/M97935_MA_at	1038.66	P	4.42873e-05
AFFX-HUMISGF3A/M97935_MB_at	951.134	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	2329.96	P	4.42873e-05
AFFX-HUMRGE/M10098_5_at	89.5729	P	0.00499819
AFFX-HUMRGE/M10098_M_at	90.6232	P	0.00110197
AFFX-HUMRGE/M10098_3_at	116.364	P	0.00618711
AFFX-HUMGAPDH/M33197_5_at	12993.5	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	11453.6	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	11828	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	9644.63	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	9656.81	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	9594.65	P	4.42873e-05
AFFX-M27830_5_at	300.759	P	4.42873e-05
AFFX-M27830_M_at	749.21	P	0.000509415
AFFX-M27830_3_at	22.1657	A	0.425962
AFFX-hum_alu_at	12416.9	P	2.6068e-13
1007_s_at	313.315	P	0.00189162
1053_at	323.098	P	0.000804598
117_at	42.3676	P	0.0218664
121_at	242.893	P	0.00160229
1255_g_at	1.90558	A	0.918663
1294_at	67.0281	P	0.0489947
1316_at	36.0918	P	0.00564279
1320_at	16.8529	A	0.47938
1405_i_at	13.0834	A	0.110449
1431_at	22.1957	P	0.00261695
1438_at	19.4479	A	0.204022
1487_at	393.173	P	0.0114474
1494_f_at	23.1734	A	0.089405
1598_g_at	88.1709	A	0.267463
160020_at	682.786	P	0.000388206
1729_at	206.233	P	0.000218889
1773_at	575.267	P	0.000321521
177_at	106.598	P	0.000218889
179_at	95.8863	P	0.0278597
1861_at	148.888	P	0.000321521
200000_s_at	992.427	P	0.000244141
200001_at	3221.54	P	0.000244141
