^SAMPLE = GSM1230696
!Sample_title = SNG-M_ERI_2
!Sample_geo_accession = GSM1230696
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = SNG-M Eribulin 24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: SNG-M
!Sample_characteristics_ch1 = cell type: endometrial cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230696/suppl/GSM1230696_CEL_277_4491_12_18_2011.CEL.gz
!Sample_series_id = GSE50830
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.765
AFFX-BioB-M_at	4.968
AFFX-BioB-3_at	4.193
AFFX-BioC-5_at	8.284
AFFX-BioC-3_at	8.932
AFFX-BioDn-5_at	10.046
AFFX-BioDn-3_at	10.735
AFFX-CreX-5_at	12.12
AFFX-CreX-3_at	12.41
AFFX-DapX-5_at	2.818
AFFX-DapX-M_at	2.498
AFFX-DapX-3_at	3.007
AFFX-LysX-5_at	2.168
AFFX-LysX-M_at	2.793
AFFX-LysX-3_at	2.413
AFFX-PheX-5_at	2.808
AFFX-PheX-M_at	2.414
AFFX-PheX-3_at	4.196
AFFX-ThrX-5_at	2.904
AFFX-ThrX-M_at	2.759
AFFX-ThrX-3_at	3.568
AFFX-TrpnX-5_at	2.82
AFFX-TrpnX-M_at	2.595
AFFX-TrpnX-3_at	2.132
AFFX-r2-Ec-bioB-5_at	4.958
AFFX-r2-Ec-bioB-M_at	5.25
AFFX-r2-Ec-bioB-3_at	5.35
AFFX-r2-Ec-bioC-5_at	8.778
AFFX-r2-Ec-bioC-3_at	9.18
AFFX-r2-Ec-bioD-5_at	11.225
AFFX-r2-Ec-bioD-3_at	11.483
AFFX-r2-P1-cre-5_at	12.678
AFFX-r2-P1-cre-3_at	12.87
AFFX-r2-Bs-dap-5_at	2.829
AFFX-r2-Bs-dap-M_at	2.257
AFFX-r2-Bs-dap-3_at	2.079
AFFX-r2-Bs-lys-5_at	1.997
AFFX-r2-Bs-lys-M_at	2.233
AFFX-r2-Bs-lys-3_at	2.481
AFFX-r2-Bs-phe-5_at	2.086
AFFX-r2-Bs-phe-M_at	2.695
AFFX-r2-Bs-phe-3_at	2.883
AFFX-r2-Bs-thr-3_s_at	3.114
AFFX-r2-Bs-thr-M_s_at	3.217
AFFX-r2-Bs-thr-5_s_at	2.671
AFFX-HUMISGF3A/M97935_5_at	6.358
AFFX-HUMISGF3A/M97935_MA_at	6.961
AFFX-HUMISGF3A/M97935_MB_at	7.774
AFFX-HUMISGF3A/M97935_3_at	9.887
AFFX-HUMRGE/M10098_5_at	13.01
AFFX-HUMRGE/M10098_M_at	12.311
AFFX-HUMRGE/M10098_3_at	12.102
AFFX-HUMGAPDH/M33197_5_at	12.588
AFFX-HUMGAPDH/M33197_M_at	12.784
AFFX-HUMGAPDH/M33197_3_at	12.835
AFFX-HSAC07/X00351_5_at	11.567
AFFX-HSAC07/X00351_M_at	12.084
AFFX-HSAC07/X00351_3_at	12.305
AFFX-M27830_5_at	12.843
AFFX-M27830_M_at	11.055
AFFX-M27830_3_at	4.804
AFFX-hum_alu_at	13.374
1007_s_at	9.65
1053_at	8.825
117_at	4.714
121_at	9.344
1255_g_at	2.569
1294_at	5.519
1316_at	5.787
1320_at	4.976
1405_i_at	2.109
1431_at	3.174
1438_at	4.737
1487_at	7.559
1494_f_at	4.96
1598_g_at	6.57
160020_at	5.5
1729_at	7.661
1773_at	5.889
177_at	5.194
179_at	7.202
1861_at	6.82
200000_s_at	9.103
200001_at	10.092
200002_at	12.594
200003_s_at	12.938
200004_at	12.258
200005_at	10.586
200006_at	12.163
200007_at	11.755
200008_s_at	10.19
200009_at	11.552
200010_at	12.438
200011_s_at	8.738
200012_x_at	12.956
200013_at	12.731
200014_s_at	11.602
200015_s_at	11.492
200016_x_at	12.961
200017_at	12.703
200018_at	12.878
200019_s_at	12.222
200020_at	10.691
200021_at	12.279
200022_at	12.5
200023_s_at	11.552
200024_at	12.506
200025_s_at	12.973
200026_at	12.006
200027_at	11.991
200028_s_at	10.711
200029_at	12.787
200030_s_at	12.277
200031_s_at	12.861
200032_s_at	12.776
200033_at	12.339
200034_s_at	12.834
200035_at	8.348
200036_s_at	12.214
200037_s_at	12.063
200038_s_at	12.759
200039_s_at	11.555
200040_at	11.104
200041_s_at	9.454
200042_at	9.973
200043_at	12.105
200044_at	11.286
200045_at	9.372
200046_at	11.232
200047_s_at	11.57
200048_s_at	11.587
200049_at	7.396
200050_at	10.882
200051_at	7.781
200052_s_at	10.827
200053_at	9.455
200054_at	8.106
200055_at	10.313
200056_s_at	10.33
200057_s_at	11.66
200058_s_at	10.08
200059_s_at	12.135
200060_s_at	10.197
200061_s_at	12.908
200062_s_at	12.756
200063_s_at	12.91
200064_at	12.285
200065_s_at	10.926
200066_at	9.26
200067_x_at	11.516
200068_s_at	10.902
200069_at	8.808
200070_at	8.109
200071_at	10.93
200072_s_at	11.416
200073_s_at	11.813
200074_s_at	12.202
200075_s_at	9.673
200076_s_at	8.343
200077_s_at	12.509
200078_s_at	10.268
200079_s_at	10.916
200080_s_at	12.634
200081_s_at	12.676
200082_s_at	12.58
200083_at	10.219
200084_at	10.972
200085_s_at	11.42
200086_s_at	11.638
200087_s_at	12.129
200088_x_at	12.85
200089_s_at	12.406
200090_at	10.521
200091_s_at	12.525
200092_s_at	12.902
200093_s_at	12.115
200094_s_at	11.133
200095_x_at	13.195
200096_s_at	11.091
200097_s_at	11.594
200098_s_at	10.186
200099_s_at	13.235
200593_s_at	10.618
200594_x_at	11.887
200595_s_at	11.166
200596_s_at	10.434
200597_at	8.94
200598_s_at	12.07
200599_s_at	12.247
200600_at	10.094
200601_at	7.919
200602_at	11.586
200603_at	11.559
200604_s_at	8.361
200605_s_at	11.248
200606_at	11.025
200607_s_at	8.804
200608_s_at	11.026
200609_s_at	10.815
200610_s_at	11.932
200611_s_at	10.264
200612_s_at	9.536
200613_at	8.89
200614_at	12.34
200615_s_at	8.879
200616_s_at	10.671
200617_at	8.373
200618_at	11.132
200619_at	9.606
200620_at	9.931
200621_at	8.653
200622_x_at	9.197
200623_s_at	8.325
200624_s_at	10.911
200625_s_at	11.35
200626_s_at	11.492
200627_at	12.432
200628_s_at	7.785
200629_at	9.053
200630_x_at	12.4
200631_s_at	11.74
200632_s_at	8.886
200633_at	13.198
200634_at	10.812
200635_s_at	9.794
200636_s_at	11.107
200637_s_at	7.946
200638_s_at	12.156
200639_s_at	11.699
200640_at	11.519
200641_s_at	11.155
200642_at	12.236
200643_at	8.006
200644_at	3.616
200645_at	10.403
200646_s_at	4.743
200647_x_at	10.856
200648_s_at	2.815
200649_at	6.078
200650_s_at	12.79
200651_at	12.566
200652_at	10.717
200653_s_at	11.335
200654_at	10.856
200655_s_at	11.816
200656_s_at	9.835
200657_at	12.031
200658_s_at	10.644
200659_s_at	8.946
200660_at	10.703
200661_at	8.562
200662_s_at	11.711
200663_at	11.552
200664_s_at	8.688
200665_s_at	3.806
200666_s_at	9.38
200667_at	10.713
200668_s_at	11.724
200669_s_at	11.214
200670_at	9.556
200671_s_at	6.733
200672_x_at	8.087
200673_at	11.593
200674_s_at	12.728
200675_at	10.731
200676_s_at	7.201
200677_at	12.328
200678_x_at	8.949
200679_x_at	11.962
200680_x_at	12.737
200681_at	11.112
200682_s_at	11.045
200683_s_at	9.62
200684_s_at	8.61
200685_at	8.471
200686_s_at	11.464
200687_s_at	8.832
200688_at	6.482
200689_x_at	12.442
200690_at	9.104
200691_s_at	11.613
200692_s_at	10.568
200693_at	11.881
200694_s_at	9.944
200695_at	6.555
200696_s_at	9.079
200697_at	10.188
200698_at	10.98
200699_at	10.109
200700_s_at	10.422
200701_at	10.436
200702_s_at	9.33
200703_at	11.956
200704_at	10.332
200705_s_at	12.451
200706_s_at	10.356
200707_at	6.151
200708_at	10.12
200709_at	9.276
200710_at	9.165
200711_s_at	10.302
200712_s_at	9.053
200713_s_at	11.346
200714_x_at	8.227
200715_x_at	11.224
200716_x_at	12.752
200717_x_at	13.064
200718_s_at	12.393
200719_at	7.828
200720_s_at	8.271
200721_s_at	7.939
200722_s_at	8.953
200723_s_at	11.089
200724_at	4.708
200725_x_at	12.145
200726_at	11.921
200727_s_at	9.681
200728_at	11.126
200729_s_at	10.661
200730_s_at	10.096
200731_s_at	9.022
200732_s_at	10.37
200733_s_at	10.869
200734_s_at	8.617
200735_x_at	12.422
200736_s_at	11.622
200737_at	10.154
200738_s_at	12.137
200739_s_at	7.742
200740_s_at	10.103
200741_s_at	13.022
200742_s_at	6.399
200743_s_at	8.279
200744_s_at	10.259
200745_s_at	11.218
200746_s_at	10.685
200747_s_at	7.361
200748_s_at	13.069
200749_at	11.349
200750_s_at	12.383
200751_s_at	11.587
200752_s_at	7.505
200753_x_at	10.594
200754_x_at	11.742
200755_s_at	8.841
200756_x_at	8.053
200757_s_at	10.204
200758_s_at	9.217
200759_x_at	9.535
200760_s_at	10.452
200761_s_at	11.064
200762_at	10.713
200763_s_at	13.109
200764_s_at	9.422
200765_x_at	10.414
200766_at	6.515
200767_s_at	8.178
200768_s_at	10.341
200769_s_at	7.907
200770_s_at	9.987
200771_at	11.481
200772_x_at	12.68
200773_x_at	12.524
200774_at	11.916
200775_s_at	12.153
200776_s_at	10.636
200777_s_at	11.794
200778_s_at	9.534
200779_at	11.758
200780_x_at	12.002
200781_s_at	12.84
200782_at	11.605
200783_s_at	9.678
200784_s_at	5.949
200785_s_at	5.154
200786_at	11.661
200787_s_at	7.33
200788_s_at	9.726
200789_at	8.925
200790_at	11.885
200791_s_at	10.15
200792_at	11.656
200793_s_at	7.49
200794_x_at	11.484
200795_at	2.772
200796_s_at	5.2
200797_s_at	10.779
200798_x_at	10.161
200799_at	3.956
200800_s_at	10.121
200801_x_at	12.356
200802_at	10.091
200803_s_at	10.3
200804_at	11.398
200805_at	9.444
200806_s_at	12.55
200807_s_at	12.972
200808_s_at	6.755
200809_x_at	12.697
200810_s_at	9.348
200811_at	8.193
200812_at	11.363
200813_s_at	8.189
200814_at	10.922
200815_s_at	9.002
200816_s_at	9.908
200817_x_at	13.028
200818_at	11.903
200819_s_at	12.812
200820_at	10.213
200821_at	9.729
200822_x_at	11.747
200823_x_at	12.156
200824_at	11.884
200825_s_at	8.159
200826_at	12.036
200827_at	8.236
200828_s_at	10.552
200829_x_at	10.883
200830_at	10.354
200831_s_at	6.391
200832_s_at	6.953
200833_s_at	11.625
200834_s_at	12.885
200835_s_at	9.063
200836_s_at	7.446
200837_at	9.998
200838_at	10.195
200839_s_at	11.064
200840_at	12.21
200841_s_at	7.923
200842_s_at	10.117
200843_s_at	9.48
200844_s_at	11.415
200845_s_at	11.325
200846_s_at	9.95
200847_s_at	11.154
200848_at	10.183
200849_s_at	10.201
200850_s_at	10.813
200851_s_at	10.016
200852_x_at	8.954
200853_at	12.205
200854_at	8.691
200855_at	7.361
200856_x_at	7.435
200857_s_at	7.481
200858_s_at	12.44
