^SAMPLE = GSM1230154
!Sample_title = AU565_Ctrl_3
!Sample_geo_accession = GSM1230154
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = AU565 Control
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: AU565
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = vehicle
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230154/suppl/GSM1230154_CEL_284_4896_04_03_2012_2.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	8.36
AFFX-BioB-M_at	8.714
AFFX-BioB-3_at	8.388
AFFX-BioC-5_at	9.933
AFFX-BioC-3_at	10.333
AFFX-BioDn-5_at	11.348
AFFX-BioDn-3_at	11.953
AFFX-CreX-5_at	12.802
AFFX-CreX-3_at	12.891
AFFX-DapX-5_at	2.48
AFFX-DapX-M_at	2.275
AFFX-DapX-3_at	3.134
AFFX-LysX-5_at	2.166
AFFX-LysX-M_at	3.088
AFFX-LysX-3_at	2.063
AFFX-PheX-5_at	2.659
AFFX-PheX-M_at	2.652
AFFX-PheX-3_at	3.962
AFFX-ThrX-5_at	2.831
AFFX-ThrX-M_at	2.38
AFFX-ThrX-3_at	3.86
AFFX-TrpnX-5_at	3.538
AFFX-TrpnX-M_at	2.82
AFFX-TrpnX-3_at	2.451
AFFX-r2-Ec-bioB-5_at	8.469
AFFX-r2-Ec-bioB-M_at	8.707
AFFX-r2-Ec-bioB-3_at	8.769
AFFX-r2-Ec-bioC-5_at	10.464
AFFX-r2-Ec-bioC-3_at	10.569
AFFX-r2-Ec-bioD-5_at	12.194
AFFX-r2-Ec-bioD-3_at	12.412
AFFX-r2-P1-cre-5_at	13.023
AFFX-r2-P1-cre-3_at	13.141
AFFX-r2-Bs-dap-5_at	2.681
AFFX-r2-Bs-dap-M_at	1.972
AFFX-r2-Bs-dap-3_at	2.505
AFFX-r2-Bs-lys-5_at	2.013
AFFX-r2-Bs-lys-M_at	2.299
AFFX-r2-Bs-lys-3_at	2.353
AFFX-r2-Bs-phe-5_at	2.303
AFFX-r2-Bs-phe-M_at	2.366
AFFX-r2-Bs-phe-3_at	2.858
AFFX-r2-Bs-thr-3_s_at	3.334
AFFX-r2-Bs-thr-M_s_at	3.133
AFFX-r2-Bs-thr-5_s_at	2.961
AFFX-HUMISGF3A/M97935_5_at	4.409
AFFX-HUMISGF3A/M97935_MA_at	5.874
AFFX-HUMISGF3A/M97935_MB_at	6.013
AFFX-HUMISGF3A/M97935_3_at	8.672
AFFX-HUMRGE/M10098_5_at	12.949
AFFX-HUMRGE/M10098_M_at	12.524
AFFX-HUMRGE/M10098_3_at	12.022
AFFX-HUMGAPDH/M33197_5_at	12.727
AFFX-HUMGAPDH/M33197_M_at	12.869
AFFX-HUMGAPDH/M33197_3_at	12.903
AFFX-HSAC07/X00351_5_at	10.693
AFFX-HSAC07/X00351_M_at	11.218
AFFX-HSAC07/X00351_3_at	12.095
AFFX-M27830_5_at	12.016
AFFX-M27830_M_at	10.404
AFFX-M27830_3_at	5.502
AFFX-hum_alu_at	13.045
1007_s_at	10.775
1053_at	9.489
117_at	4.694
121_at	6.99
1255_g_at	2.527
1294_at	5.574
1316_at	6.764
1320_at	5.494
1405_i_at	2.729
1431_at	3.279
1438_at	5.5
1487_at	8.387
1494_f_at	5.892
1598_g_at	7.074
160020_at	5.858
1729_at	7.258
1773_at	6.082
177_at	4.944
179_at	8.023
1861_at	6.838
200000_s_at	8.391
200001_at	8.922
200002_at	12.157
200003_s_at	12.612
200004_at	11.789
200005_at	10.856
200006_at	11.828
200007_at	11.461
200008_s_at	10.138
200009_at	11.483
200010_at	12.097
200011_s_at	7.947
200012_x_at	12.853
200013_at	12.397
200014_s_at	11.263
200015_s_at	10.702
200016_x_at	12.761
200017_at	12.597
200018_at	12.895
200019_s_at	12.147
200020_at	9.66
200021_at	11.744
200022_at	12.376
200023_s_at	11.769
200024_at	12.369
200025_s_at	12.539
200026_at	12.251
200027_at	11.579
200028_s_at	10.97
200029_at	13.729
200030_s_at	12.032
200031_s_at	12.722
200032_s_at	12.521
200033_at	11.907
200034_s_at	12.73
200035_at	7.283
200036_s_at	11.921
200037_s_at	11.955
200038_s_at	12.539
200039_s_at	10.612
200040_at	10.451
200041_s_at	8.182
200042_at	9.373
200043_at	11.837
200044_at	10.379
200045_at	9.367
200046_at	10.995
200047_s_at	11.317
200048_s_at	12.094
200049_at	6.448
200050_at	10.178
200051_at	7.502
200052_s_at	10.828
200053_at	8.558
200054_at	8.722
200055_at	9.122
200056_s_at	9.161
200057_s_at	11.214
200058_s_at	9.99
200059_s_at	11.69
200060_s_at	9.567
200061_s_at	12.992
200062_s_at	12.637
200063_s_at	12.5
200064_at	11.238
200065_s_at	10.96
200066_at	9.474
200067_x_at	10.922
200068_s_at	11.813
200069_at	6.82
200070_at	7.863
200071_at	9.434
200072_s_at	10.423
200073_s_at	11.065
200074_s_at	12.039
200075_s_at	9.757
200076_s_at	7.869
200077_s_at	12.318
200078_s_at	9.864
200079_s_at	10.298
200080_s_at	12.798
200081_s_at	12.625
200082_s_at	12.499
200083_at	8.536
200084_at	10.88
200085_s_at	11.599
200086_s_at	11.418
200087_s_at	11.757
200088_x_at	12.544
200089_s_at	12.442
200090_at	9.94
200091_s_at	12.442
200092_s_at	13.061
200093_s_at	11.131
200094_s_at	10.865
200095_x_at	12.804
200096_s_at	10.592
200097_s_at	11.083
200098_s_at	9.055
200099_s_at	13
200593_s_at	9.722
200594_x_at	11.269
200595_s_at	10.969
200596_s_at	9.509
200597_at	7.821
200598_s_at	11.34
200599_s_at	11.897
200600_at	4.467
