^SAMPLE = GSM1230136
!Sample_title = MDA-MB-231_Ctrl_3
!Sample_geo_accession = GSM1230136
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = MDA-MB-231 Control
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: MDA-MB-231
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = vehicle
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230136/suppl/GSM1230136_CEL_284_4878_04_03_2012.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	6.896
AFFX-BioB-M_at	7.184
AFFX-BioB-3_at	6.902
AFFX-BioC-5_at	8.055
AFFX-BioC-3_at	8.587
AFFX-BioDn-5_at	9.601
AFFX-BioDn-3_at	10.44
AFFX-CreX-5_at	11.821
AFFX-CreX-3_at	12.04
AFFX-DapX-5_at	2.602
AFFX-DapX-M_at	2.312
AFFX-DapX-3_at	2.936
AFFX-LysX-5_at	2.113
AFFX-LysX-M_at	2.786
AFFX-LysX-3_at	2.299
AFFX-PheX-5_at	2.812
AFFX-PheX-M_at	2.348
AFFX-PheX-3_at	3.71
AFFX-ThrX-5_at	2.85
AFFX-ThrX-M_at	2.45
AFFX-ThrX-3_at	3.661
AFFX-TrpnX-5_at	3.211
AFFX-TrpnX-M_at	2.69
AFFX-TrpnX-3_at	2.127
AFFX-r2-Ec-bioB-5_at	7.11
AFFX-r2-Ec-bioB-M_at	7.358
AFFX-r2-Ec-bioB-3_at	7.222
AFFX-r2-Ec-bioC-5_at	8.582
AFFX-r2-Ec-bioC-3_at	8.773
AFFX-r2-Ec-bioD-5_at	10.713
AFFX-r2-Ec-bioD-3_at	11.049
AFFX-r2-P1-cre-5_at	12.364
AFFX-r2-P1-cre-3_at	12.506
AFFX-r2-Bs-dap-5_at	2.671
AFFX-r2-Bs-dap-M_at	2.11
AFFX-r2-Bs-dap-3_at	2.195
AFFX-r2-Bs-lys-5_at	2.097
AFFX-r2-Bs-lys-M_at	2.384
AFFX-r2-Bs-lys-3_at	2.304
AFFX-r2-Bs-phe-5_at	2.171
AFFX-r2-Bs-phe-M_at	2.445
AFFX-r2-Bs-phe-3_at	2.438
AFFX-r2-Bs-thr-3_s_at	3.715
AFFX-r2-Bs-thr-M_s_at	3.32
AFFX-r2-Bs-thr-5_s_at	2.892
AFFX-HUMISGF3A/M97935_5_at	4.764
AFFX-HUMISGF3A/M97935_MA_at	6.044
AFFX-HUMISGF3A/M97935_MB_at	6.506
AFFX-HUMISGF3A/M97935_3_at	9.034
AFFX-HUMRGE/M10098_5_at	12.872
AFFX-HUMRGE/M10098_M_at	12.323
AFFX-HUMRGE/M10098_3_at	11.818
AFFX-HUMGAPDH/M33197_5_at	12.23
AFFX-HUMGAPDH/M33197_M_at	12.378
AFFX-HUMGAPDH/M33197_3_at	12.548
AFFX-HSAC07/X00351_5_at	10.765
AFFX-HSAC07/X00351_M_at	11.513
AFFX-HSAC07/X00351_3_at	12.035
AFFX-M27830_5_at	12.013
AFFX-M27830_M_at	10.485
AFFX-M27830_3_at	4.801
AFFX-hum_alu_at	13.071
1007_s_at	8.754
1053_at	8.8
117_at	4.606
121_at	7.143
1255_g_at	2.515
1294_at	4.943
1316_at	5.541
1320_at	4.598
1405_i_at	2.739
1431_at	3.396
1438_at	4.744
1487_at	7.624
1494_f_at	5.04
1598_g_at	9.192
160020_at	7.13
1729_at	6.97
1773_at	5.392
177_at	5.266
179_at	7.28
1861_at	7.265
200000_s_at	8.801
200001_at	8.907
200002_at	12.696
200003_s_at	12.715
200004_at	11.807
200005_at	10.491
200006_at	11.745
200007_at	11.267
200008_s_at	9.854
200009_at	11.319
200010_at	12.296
200011_s_at	7.998
200012_x_at	12.629
200013_at	12.757
200014_s_at	11.374
200015_s_at	10.92
200016_x_at	12.785
200017_at	12.591
200018_at	12.811
200019_s_at	12.246
200020_at	10.22
200021_at	12.202
200022_at	12.34
200023_s_at	11.812
200024_at	12.291
200025_s_at	12.914
200026_at	12.299
200027_at	11.339
200028_s_at	10.443
200029_at	12.648
200030_s_at	12.25
200031_s_at	12.542
200032_s_at	12.706
200033_at	12.077
200034_s_at	12.65
200035_at	8.389
200036_s_at	12.073
200037_s_at	11.754
200038_s_at	12.562
200039_s_at	10.874
200040_at	10.779
200041_s_at	9.055
200042_at	9.006
200043_at	11.964
200044_at	11.072
200045_at	9.74
200046_at	10.465
200047_s_at	11.231
200048_s_at	11.234
200049_at	7.241
200050_at	10.471
200051_at	7.594
200052_s_at	10.295
200053_at	8.988
200054_at	8.81
200055_at	9.432
200056_s_at	9.564
200057_s_at	11.481
200058_s_at	9.737
200059_s_at	11.932
200060_s_at	9.527
200061_s_at	12.81
200062_s_at	12.733
200063_s_at	12.867
200064_at	11.639
200065_s_at	10.795
200066_at	9.315
200067_x_at	10.641
200068_s_at	11.792
200069_at	8.833
200070_at	7.409
200071_at	10.584
200072_s_at	11.045
200073_s_at	11.649
200074_s_at	12.288
200075_s_at	9.183
200076_s_at	8.302
200077_s_at	12.319
200078_s_at	9.418
200079_s_at	10.401
200080_s_at	12.451
200081_s_at	12.397
200082_s_at	12.392
200083_at	9.497
200084_at	11.275
200085_s_at	11.264
200086_s_at	11.07
200087_s_at	11.798
200088_x_at	12.688
200089_s_at	11.983
200090_at	10.33
200091_s_at	12.479
200092_s_at	12.995
200093_s_at	12.089
200094_s_at	10.775
200095_x_at	13.26
200096_s_at	11.355
200097_s_at	11.256
200098_s_at	9.757
200099_s_at	13.105
200593_s_at	10.35
200594_x_at	11.488
200595_s_at	11.012
200596_s_at	9.914
200597_at	8.381
200598_s_at	11.333
200599_s_at	11.863
200600_at	10.397
200601_at	8.134
200602_at	10.496
200603_at	11.589
200604_s_at	7.985
200605_s_at	11.141
200606_at	10.075
200607_s_at	9.083
200608_s_at	11.325
200609_s_at	11.188
200610_s_at	11.497
200611_s_at	9.681
200612_s_at	9.228
200613_at	8.202
200614_at	12.148
200615_s_at	8.297
200616_s_at	10.305
200617_at	7.428
200618_at	11.259
200619_at	9.062
200620_at	10.261
200621_at	8.672
200622_x_at	8.844
200623_s_at	8.415
200624_s_at	10.526
200625_s_at	10.919
200626_s_at	11.217
200627_at	11.881
200628_s_at	7.205
200629_at	8.495
200630_x_at	11.995
200631_s_at	11.68
200632_s_at	9.566
200633_at	12.98
200634_at	10.259
200635_s_at	8.62
200636_s_at	10.676
200637_s_at	6.936
200638_s_at	12.067
200639_s_at	11.342
200640_at	11.314
200641_s_at	11.084
200642_at	11.818
200643_at	6.979
200644_at	8.069
200645_at	10.423
200646_s_at	4.361
200647_x_at	9.962
200648_s_at	6.196
200649_at	5.683
200650_s_at	12.72
200651_at	12.511
200652_at	10.625
200653_s_at	11.022
200654_at	10.469
200655_s_at	11.542
