^SAMPLE = GSM1044969
!Sample_title = Jeko-1  2.5uM AEB071  3h rep2
!Sample_geo_accession = GSM1044969
!Sample_status = Public on Dec 01 2013
!Sample_submission_date = Nov 27 2012
!Sample_last_update_date = Dec 01 2013
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Jeko-1 cells
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = mantle cell lymphoma (mcl) line: Jeko-1
!Sample_characteristics_ch1 = stn sensitivity: sensitive
!Sample_characteristics_ch1 = agent: 2.5uM Sotrastaurin
!Sample_treatment_protocol_ch1 = 3 million cells were resuspended in 3ml of fresh media in 6 well dishes.  The next day, DMSO or Sotrastaurin was added for 3hrs.
!Sample_growth_protocol_ch1 = Jeko-1 and Mino cells were cultured in 20% FBS RPMI; Z-138 and Maver-1 cells were cultured in 10% FBS RPMI.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNeasy Plus kit (qiagen) following the manufacturers instructions
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Nugen Ovation RNA Amplification System+ WB + FL cDNA Biotin Module V2 (NuGen Lts)
!Sample_hyb_protocol = Affymetrix GeneChip eukaryotic hybridization protocol (Affymetrix Inc.)
!Sample_scan_protocol = GeneChip Scanner 3000 (Affymetrix Inc.)
!Sample_description = Gene expression data from Jeko-1 cells treated with 2.5uM Sotrastaurin
!Sample_data_processing = Micorarray Analysis Suite version 5.0 (MAS 5.0) background correction, scaled to 150
!Sample_platform_id = GPL570
!Sample_contact_name = Joshua,M,Korn
!Sample_contact_email = joshkorn@gmail.com
!Sample_contact_institute = Novartis
!Sample_contact_address = 250 Mass Ave
!Sample_contact_city = Cambridge
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02141
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1044nnn/GSM1044969/suppl/GSM1044969_NUID-0000-0144-6826.cel.gz
!Sample_series_id = GSE42549
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5 with a target trimmed mean of 150
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	309.6
AFFX-BioB-M_at	517.7
AFFX-BioB-3_at	389.5
AFFX-BioC-5_at	955.9
AFFX-BioC-3_at	846.2
AFFX-BioDn-5_at	1961.7
AFFX-BioDn-3_at	2572
AFFX-CreX-5_at	5976.8
AFFX-CreX-3_at	5267.2
AFFX-DapX-5_at	68
AFFX-DapX-M_at	118.9
AFFX-DapX-3_at	165.3
AFFX-LysX-5_at	5
AFFX-LysX-M_at	12.3
AFFX-LysX-3_at	11.8
AFFX-PheX-5_at	11.8
AFFX-PheX-M_at	12.2
AFFX-PheX-3_at	21.5
AFFX-ThrX-5_at	18.7
AFFX-ThrX-M_at	12.4
AFFX-ThrX-3_at	27.5
AFFX-TrpnX-5_at	2.5
AFFX-TrpnX-M_at	1.7
AFFX-TrpnX-3_at	0.2
AFFX-r2-Ec-bioB-5_at	431.4
AFFX-r2-Ec-bioB-M_at	459.2
AFFX-r2-Ec-bioB-3_at	512.5
AFFX-r2-Ec-bioC-5_at	1168.6
AFFX-r2-Ec-bioC-3_at	1129.1
AFFX-r2-Ec-bioD-5_at	3119
AFFX-r2-Ec-bioD-3_at	3597.3
AFFX-r2-P1-cre-5_at	5233.9
AFFX-r2-P1-cre-3_at	6487.7
AFFX-r2-Bs-dap-5_at	88.4
AFFX-r2-Bs-dap-M_at	121.9
AFFX-r2-Bs-dap-3_at	201.9
AFFX-r2-Bs-lys-5_at	10.1
AFFX-r2-Bs-lys-M_at	13.9
AFFX-r2-Bs-lys-3_at	11.9
AFFX-r2-Bs-phe-5_at	14.7
AFFX-r2-Bs-phe-M_at	8
AFFX-r2-Bs-phe-3_at	22.9
AFFX-r2-Bs-thr-3_s_at	24.9
AFFX-r2-Bs-thr-M_s_at	20
AFFX-r2-Bs-thr-5_s_at	10.6
AFFX-HUMISGF3A/M97935_5_at	173.2
AFFX-HUMISGF3A/M97935_MA_at	23.1
AFFX-HUMISGF3A/M97935_MB_at	80.5
AFFX-HUMISGF3A/M97935_3_at	473.6
AFFX-HUMRGE/M10098_5_at	59.5
AFFX-HUMRGE/M10098_M_at	1225.5
AFFX-HUMRGE/M10098_3_at	58.9
AFFX-HUMGAPDH/M33197_5_at	2853.8
AFFX-HUMGAPDH/M33197_M_at	2888
AFFX-HUMGAPDH/M33197_3_at	3840.1
AFFX-HSAC07/X00351_5_at	2468.6
AFFX-HSAC07/X00351_M_at	3597
AFFX-HSAC07/X00351_3_at	5679.5
AFFX-M27830_5_at	57.3
AFFX-M27830_M_at	99.6
AFFX-M27830_3_at	8.5
AFFX-hum_alu_at	5428.3
1007_s_at	17.8
1053_at	522.4
117_at	10.6
121_at	6.5
1255_g_at	13.8
1294_at	27.9
1316_at	29.6
1320_at	1.2
1405_i_at	1.9
1431_at	10.9
1438_at	3.1
1487_at	420.6
1494_f_at	2.7
1598_g_at	9.9
160020_at	9.7
1729_at	35.3
1773_at	14.3
177_at	3.3
179_at	5.8
1861_at	50.5
200000_s_at	494.9
200001_at	450.5
200002_at	3341.7
200003_s_at	2919.4
200004_at	3040.9
200005_at	1979.4
200006_at	2377.1
200007_at	3354.5
200008_s_at	1948.4
200009_at	4232.2
200010_at	3592
200011_s_at	943.3
200012_x_at	4717.7
200013_at	5458.1
200014_s_at	3110.1
200015_s_at	2465.9
200016_x_at	5172.1
200017_at	6047.1
200018_at	4631.5
200019_s_at	2966.1
200020_at	3122
200021_at	3086.8
200022_at	3192.9
200023_s_at	3495.3
200024_at	1958.3
200025_s_at	3693.5
200026_at	4198.6
200027_at	2308.9
200028_s_at	3531.9
200029_at	2835.1
200030_s_at	3229.9
200031_s_at	5411.6
200032_s_at	5457.8
200033_at	3621.6
200034_s_at	4314.5
200035_at	287.3
200036_s_at	2168.6
200037_s_at	3458.1
200038_s_at	4136.5
200039_s_at	1501
200040_at	3308.8
200041_s_at	3893.8
200042_at	834.7
200043_at	2611.3
200044_at	3054.1
200045_at	457.6
200046_at	713.1
200047_s_at	2306.4
200048_s_at	1109.4
200049_at	561.4
200050_at	1107.7
200051_at	271.2
200052_s_at	2658.5
200053_at	215
200054_at	309.5
200055_at	538.3
200056_s_at	425.1
200057_s_at	3928.2
200058_s_at	1460
200059_s_at	2954.7
200060_s_at	2198.7
200061_s_at	4364.5
200062_s_at	3986.9
200063_s_at	5390.8
200064_at	2668.5
200065_s_at	1943.7
200066_at	1038.9
200067_x_at	913.5
200068_s_at	3343.3
200069_at	560.9
200070_at	1167.4
200071_at	2106.4
200072_s_at	2179.1
200073_s_at	3911.2
200074_s_at	3675.5
200075_s_at	323.4
200076_s_at	267
