^SAMPLE = GSM1230560
!Sample_title = ECC-1_control_1
!Sample_geo_accession = GSM1230560
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = ECC-1 Control
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: ECC-1
!Sample_characteristics_ch1 = cell type: endometrial cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = vehicle
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230560/suppl/GSM1230560_CEL_273_4336_12_06_2011.CEL.gz
!Sample_series_id = GSE50830
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.688
AFFX-BioB-M_at	4.897
AFFX-BioB-3_at	4.336
AFFX-BioC-5_at	8.443
AFFX-BioC-3_at	8.957
AFFX-BioDn-5_at	10.214
AFFX-BioDn-3_at	10.909
AFFX-CreX-5_at	12.113
AFFX-CreX-3_at	12.431
AFFX-DapX-5_at	2.447
AFFX-DapX-M_at	2.395
AFFX-DapX-3_at	2.745
AFFX-LysX-5_at	2.169
AFFX-LysX-M_at	2.681
AFFX-LysX-3_at	2.092
AFFX-PheX-5_at	2.663
AFFX-PheX-M_at	2.516
AFFX-PheX-3_at	4.166
AFFX-ThrX-5_at	2.869
AFFX-ThrX-M_at	2.735
AFFX-ThrX-3_at	3.667
AFFX-TrpnX-5_at	2.979
AFFX-TrpnX-M_at	2.915
AFFX-TrpnX-3_at	2.478
AFFX-r2-Ec-bioB-5_at	4.783
AFFX-r2-Ec-bioB-M_at	5.046
AFFX-r2-Ec-bioB-3_at	5.376
AFFX-r2-Ec-bioC-5_at	8.904
AFFX-r2-Ec-bioC-3_at	9.162
AFFX-r2-Ec-bioD-5_at	11.391
AFFX-r2-Ec-bioD-3_at	11.578
AFFX-r2-P1-cre-5_at	12.69
AFFX-r2-P1-cre-3_at	12.798
AFFX-r2-Bs-dap-5_at	2.319
AFFX-r2-Bs-dap-M_at	2.19
AFFX-r2-Bs-dap-3_at	2.183
AFFX-r2-Bs-lys-5_at	2.105
AFFX-r2-Bs-lys-M_at	2.242
AFFX-r2-Bs-lys-3_at	2.518
AFFX-r2-Bs-phe-5_at	1.995
AFFX-r2-Bs-phe-M_at	2.602
AFFX-r2-Bs-phe-3_at	2.555
AFFX-r2-Bs-thr-3_s_at	3.115
AFFX-r2-Bs-thr-M_s_at	3.315
AFFX-r2-Bs-thr-5_s_at	2.479
AFFX-HUMISGF3A/M97935_5_at	6.09
AFFX-HUMISGF3A/M97935_MA_at	6.39
AFFX-HUMISGF3A/M97935_MB_at	6.4
AFFX-HUMISGF3A/M97935_3_at	8.601
AFFX-HUMRGE/M10098_5_at	13.143
AFFX-HUMRGE/M10098_M_at	12.632
AFFX-HUMRGE/M10098_3_at	11.986
AFFX-HUMGAPDH/M33197_5_at	12.909
AFFX-HUMGAPDH/M33197_M_at	13.048
AFFX-HUMGAPDH/M33197_3_at	13.026
AFFX-HSAC07/X00351_5_at	11.749
AFFX-HSAC07/X00351_M_at	12.128
AFFX-HSAC07/X00351_3_at	12.533
AFFX-M27830_5_at	12.306
AFFX-M27830_M_at	9.964
AFFX-M27830_3_at	5.227
AFFX-hum_alu_at	13.279
1007_s_at	9.47
1053_at	8.926
117_at	4.918
121_at	9.998
1255_g_at	2.524
1294_at	5.06
1316_at	6.387
1320_at	4.486
1405_i_at	2.179
1431_at	3.289
1438_at	5.212
1487_at	7.804
1494_f_at	5.063
1598_g_at	9.077
160020_at	5.988
1729_at	7.54
1773_at	5.585
177_at	4.671
179_at	7.404
1861_at	7.057
200000_s_at	9.181
200001_at	9.354
200002_at	12.587
200003_s_at	12.874
200004_at	12.214
200005_at	10.501
200006_at	12.025
200007_at	11.877
200008_s_at	10.183
200009_at	11.486
200010_at	12.539
200011_s_at	8.74
200012_x_at	13.131
200013_at	12.897
200014_s_at	11.583
200015_s_at	11.51
200016_x_at	13.016
200017_at	12.784
200018_at	12.9
200019_s_at	12.149
200020_at	10.304
200021_at	12.213
200022_at	12.519
200023_s_at	11.744
200024_at	12.568
200025_s_at	13.029
200026_at	12.419
200027_at	11.82
200028_s_at	10.792
200029_at	12.891
200030_s_at	12.492
200031_s_at	12.862
200032_s_at	13.011
200033_at	12.351
200034_s_at	12.906
200035_at	8.594
200036_s_at	12.46
200037_s_at	11.999
200038_s_at	12.959
200039_s_at	11.147
200040_at	11.005
200041_s_at	9.349
200042_at	9.372
200043_at	11.953
200044_at	11.48
200045_at	8.242
200046_at	11.055
200047_s_at	11.623
200048_s_at	11.696
200049_at	6.862
200050_at	10.657
200051_at	7.714
200052_s_at	11.055
200053_at	9.406
200054_at	7.737
200055_at	10.081
200056_s_at	10.44
200057_s_at	12.087
200058_s_at	10.245
200059_s_at	12.123
200060_s_at	9.985
200061_s_at	13.322
200062_s_at	12.901
200063_s_at	12.898
200064_at	12.081
200065_s_at	10.986
200066_at	9.802
200067_x_at	11.337
200068_s_at	11.585
200069_at	8.638
200070_at	8.292
200071_at	11.319
200072_s_at	11.577
200073_s_at	11.65
200074_s_at	12.429
200075_s_at	9.029
200076_s_at	7.986
200077_s_at	12.796
200078_s_at	10.687
200079_s_at	10.96
200080_s_at	12.952
200081_s_at	12.924
200082_s_at	12.59
200083_at	10.166
200084_at	11.201
200085_s_at	11.369
200086_s_at	11.879
200087_s_at	12.123
200088_x_at	13.197
200089_s_at	12.604
200090_at	10.875
200091_s_at	12.598
200092_s_at	12.93
200093_s_at	12.439
200094_s_at	11.699
200095_x_at	13.148
200096_s_at	10.936
200097_s_at	11.929
200098_s_at	9.959
200099_s_at	13.385
200593_s_at	10.765
200594_x_at	11.953
200595_s_at	11.435
200596_s_at	10.957
200597_at	9.33
200598_s_at	12.397
200599_s_at	12.237
200600_at	9.767
200601_at	7.989
200602_at	10.936
200603_at	11.65
200604_s_at	8.478
200605_s_at	11.558
200606_at	11.019
200607_s_at	10.575
200608_s_at	11.489
200609_s_at	10.065
200610_s_at	11.98
200611_s_at	9.655
200612_s_at	8.319
200613_at	10.098
200614_at	12.183
200615_s_at	8.291
200616_s_at	11.196
200617_at	8.557
200618_at	10.596
200619_at	9.794
200620_at	10.606
200621_at	9.22
200622_x_at	9.076
200623_s_at	7.954
200624_s_at	11.208
200625_s_at	10.746
200626_s_at	11.575
200627_at	12.575
200628_s_at	7.788
200629_at	8.961
200630_x_at	12.483
200631_s_at	11.755
200632_s_at	6.766
200633_at	13.015
200634_at	10.983
200635_s_at	9.071
200636_s_at	10.432
200637_s_at	7.086
200638_s_at	12.21
200639_s_at	11.686
200640_at	11.359
200641_s_at	11.273
200642_at	12.305
200643_at	8.297
200644_at	10.276
200645_at	10.787
200646_s_at	5.087
200647_x_at	10.405
200648_s_at	7.188
200649_at	6.321
200650_s_at	12.291
200651_at	12.734
200652_at	10.73
200653_s_at	11.829
200654_at	10.901
200655_s_at	12.02
200656_s_at	10.236
200657_at	12.274
200658_s_at	10.516
200659_s_at	8.846
200660_at	10.417
200661_at	8.444
200662_s_at	11.905
200663_at	11.792
200664_s_at	8.094
200665_s_at	4.729
200666_s_at	9
200667_at	10.816
200668_s_at	11.748
200669_s_at	11.481
200670_at	9.658
200671_s_at	7.078
200672_x_at	8.031
200673_at	11.441
200674_s_at	12.971
200675_at	10.382
200676_s_at	6.563
200677_at	11.335
200678_x_at	8.955
200679_x_at	12.288
200680_x_at	12.762
200681_at	11.057
200682_s_at	11.114
200683_s_at	9.318
200684_s_at	8.367
200685_at	8.763
200686_s_at	11.587
200687_s_at	9.127
200688_at	7.23
200689_x_at	12.562
200690_at	8.768
200691_s_at	11.313
200692_s_at	10.746
200693_at	11.812
200694_s_at	9.722
200695_at	6.603
200696_s_at	8.651
200697_at	9.162
200698_at	11.535
200699_at	10.273
200700_s_at	10.548
200701_at	9.957
200702_s_at	9.756
200703_at	11.804
200704_at	10.075
200705_s_at	12.796
200706_s_at	10.031
200707_at	6.718
200708_at	10.002
200709_at	8.708
200710_at	8.197
200711_s_at	10.573
200712_s_at	8.747
200713_s_at	10.661
200714_x_at	8.948
200715_x_at	12.116
200716_x_at	12.92
200717_x_at	13.143
200718_s_at	12.576
200719_at	7.835
