^SAMPLE = GSM748869
!Sample_title = U2OS cells, IR, 3h, rep1
!Sample_geo_accession = GSM748869
!Sample_status = Public on Aug 01 2011
!Sample_submission_date = Jun 27 2011
!Sample_last_update_date = Aug 01 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = U2OS cells, IR 3h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: U2OS
!Sample_characteristics_ch1 = stress: 5 Gy IR
!Sample_characteristics_ch1 = time: 3h
!Sample_treatment_protocol_ch1 = Cells were irradiated at 63.25 R/min to a dose of either 5 Gy, using a Keithly model 96035 (15 cc) ion chamber accompanied with a Keithly model 35050A electrometer. Irradiated cells were incubated for selected time periods at 37°C. Mock-irradiated controls were treated identically, excluding the IR treatment.
!Sample_growth_protocol_ch1 = Cells were grown  in DMEM which was routinely supplemented with 10% FCS; Cells were maintained in a humidified, 5% CO2 atmosphere at 37°C.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasyÒ Plus mini kit (Qiagen), in combination with QIAshredderTM columns (Qiagen), according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNAs were prepared according to Affymetrix standard GeneChip® Array Protocols, as instructed in the Affymetrix  GeneChip® Expression analysis technical manual.
!Sample_hyb_protocol = Five ug of fragmented cRNAs were hybridized  for 16 hr at 45°C  to Affymetrix Human Genome U133A 2.0 Arrays; Arrays were washed and stained in the Affymetrix Fluidics Station 450. Hybridization and downstream processing of the arrays were performed as recommended by the manufacturer.
!Sample_scan_protocol = Arrays were scanned using GeneChip® Scanner 3000.
!Sample_description = Expression data from irradiated U2OS cells, 3h (5 Gy)
!Sample_data_processing = CEL files were processed using Affy Eexpression Console Tool (rma method).
!Sample_platform_id = GPL570
!Sample_contact_name = Ran,,Elkon
!Sample_contact_department = Human Genetics
!Sample_contact_institute = Tel Aviv University
!Sample_contact_address = Ramat Aviv
!Sample_contact_city = Tel Aviv
!Sample_contact_zip/postal_code = 69494
!Sample_contact_country = Israel
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM748nnn/GSM748869/suppl/GSM748869_U.IR3.a.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM748nnn/GSM748869/suppl/GSM748869_U.IR3a.rma.chp.gz
!Sample_series_id = GSE30240
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = rma signal
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	6.93259
AFFX-BioB-M_at	7.34755
AFFX-BioB-3_at	6.65057
AFFX-BioC-5_at	8.34385
AFFX-BioC-3_at	8.57033
AFFX-BioDn-5_at	9.98573
AFFX-BioDn-3_at	11.0412
AFFX-CreX-5_at	12.1182
AFFX-CreX-3_at	12.385
AFFX-DapX-5_at	7.23622
AFFX-DapX-M_at	8.68911
AFFX-DapX-3_at	9.45782
AFFX-LysX-5_at	4.3767
AFFX-LysX-M_at	5.07849
AFFX-LysX-3_at	6.49962
AFFX-PheX-5_at	5.2627
AFFX-PheX-M_at	5.58471
AFFX-PheX-3_at	6.11551
AFFX-ThrX-5_at	6.05682
AFFX-ThrX-M_at	6.70199
AFFX-ThrX-3_at	7.56414
AFFX-TrpnX-5_at	2.63748
AFFX-TrpnX-M_at	2.56892
AFFX-TrpnX-3_at	2.42789
AFFX-r2-Ec-bioB-5_at	7.18946
AFFX-r2-Ec-bioB-M_at	7.38445
AFFX-r2-Ec-bioB-3_at	7.46162
AFFX-r2-Ec-bioC-5_at	8.87451
AFFX-r2-Ec-bioC-3_at	8.85699
AFFX-r2-Ec-bioD-5_at	11.1244
AFFX-r2-Ec-bioD-3_at	11.6002
AFFX-r2-P1-cre-5_at	12.7082
AFFX-r2-P1-cre-3_at	12.7055
AFFX-r2-Bs-dap-5_at	7.98054
AFFX-r2-Bs-dap-M_at	8.81088
AFFX-r2-Bs-dap-3_at	9.53205
AFFX-r2-Bs-lys-5_at	5.37044
AFFX-r2-Bs-lys-M_at	5.55708
AFFX-r2-Bs-lys-3_at	5.34878
AFFX-r2-Bs-phe-5_at	6.07193
AFFX-r2-Bs-phe-M_at	5.56123
AFFX-r2-Bs-phe-3_at	6.9135
AFFX-r2-Bs-thr-3_s_at	7.77096
AFFX-r2-Bs-thr-M_s_at	7.16221
AFFX-r2-Bs-thr-5_s_at	6.70518
AFFX-HUMISGF3A/M97935_5_at	4.18301
AFFX-HUMISGF3A/M97935_MA_at	6.50342
AFFX-HUMISGF3A/M97935_MB_at	6.65175
AFFX-HUMISGF3A/M97935_3_at	9.4848
AFFX-HUMRGE/M10098_5_at	6.70234
AFFX-HUMRGE/M10098_M_at	4.37342
AFFX-HUMRGE/M10098_3_at	5.29332
AFFX-HUMGAPDH/M33197_5_at	13.3974
AFFX-HUMGAPDH/M33197_M_at	13.4147
AFFX-HUMGAPDH/M33197_3_at	13.4862
AFFX-HSAC07/X00351_5_at	12.418
AFFX-HSAC07/X00351_M_at	12.9668
AFFX-HSAC07/X00351_3_at	13.4418
AFFX-M27830_5_at	4.93287
