^SAMPLE = GSM618011
!Sample_title = AGS treated rep 1
!Sample_geo_accession = GSM618011
!Sample_status = Public on Jan 12 2011
!Sample_submission_date = Nov 04 2010
!Sample_last_update_date = Jan 13 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = AGS cells treated with 10 μg/ml H. pylori LPS for 8h rep 1
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: gastric epithelial cells
!Sample_characteristics_ch1 = cell line: AGS
!Sample_treatment_protocol_ch1 = The morning of treatment, the cell culture medium was replaced with either fresh medium (untreated) or medium containing 10 μg/ml H. pylori lipopolysaccharide
!Sample_growth_protocol_ch1 = AGS cells were routinely maintained in nutrient mixture F-12 Ham (Sigma) supplemented with 10% foetal calf serum (Gibco), 2 mM L-glutamine (Sigma), 100 U/ml penicillin (Sigma) and 100 μg/ml streptomycin. The day before treatment, cells were seeded in 6-well plates at 1x106 cells/well.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = 8h post-stimulation, cells were harvested and RNA isolated using the Nucleospin RNAII kit (Machery Nagel) according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 μg total RNA (Expression Analysis Technical Manual, 2001, Affymetrix) using the Affymetrix IVT labeling kit.
!Sample_hyb_protocol = Following fragmentation, cRNA was hybridized for 16 hr at 45C on Affymetrix U133 plus 2.0 genechips. GeneChips were washed and stained in the Automated fluidics 450 station.
!Sample_scan_protocol = Genechips were scanned using the GeneChip 3000 7G scanner
!Sample_description = gene expression in H. pylori LPS-treated cells
!Sample_data_processing = Scanned images, obtained using Affymetrix Software (MAS5), were normalized using robust multichip average (RMA) analysis with RMAExpress version 0.4.1.
!Sample_platform_id = GPL570
!Sample_contact_name = Sinead,Marian,Smith
!Sample_contact_laboratory = Trinity Centre for Health Sciences
!Sample_contact_institute = Trinity College Dublin
!Sample_contact_address = St. James's Hospital
!Sample_contact_city = Dublin 8
!Sample_contact_zip/postal_code = D8
!Sample_contact_country = Ireland
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM618nnn/GSM618011/suppl/GSM618011.CEL.gz
!Sample_series_id = GSE25146
!Sample_series_id = GSE25155
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 RMA signal
!sample_table_begin
ID_REF	VALUE
1007_s_at	11.202775
1053_at	10.357711
117_at	6.257095
121_at	8.730742
1255_g_at	3.971062
1294_at	5.784036
1316_at	6.071841
1320_at	7.775338
1405_i_at	3.912365
1431_at	4.581237
1438_at	6.397475
1487_at	9.87395
1494_f_at	5.74053
1552256_a_at	9.952227
1552257_a_at	9.498915
1552258_at	6.566023
1552261_at	6.400991
1552263_at	8.124685
1552264_a_at	8.739952
1552266_at	4.949826
1552269_at	4.923488
1552271_at	6.169661
1552272_a_at	6.835469
1552274_at	9.033647
1552275_s_at	7.86053
1552276_a_at	6.159342
1552277_a_at	9.544223
1552278_a_at	7.633687
1552279_a_at	9.062561
1552280_at	4.532625
1552281_at	8.130153
1552283_s_at	6.317569
1552286_at	7.685078
1552287_s_at	8.030295
1552288_at	5.484611
1552289_a_at	5.808616
1552291_at	9.191489
1552293_at	5.626903
1552295_a_at	8.369359
1552296_at	4.444639
1552299_at	5.512447
1552301_a_at	5.931419
1552302_at	4.46373
1552303_a_at	6.361497
1552304_at	5.926724
1552306_at	7.335748
1552307_a_at	6.625002
1552309_a_at	4.256993
1552310_at	9.236878
1552311_a_at	7.809214
1552312_a_at	8.14496
1552314_a_at	5.738762
1552315_at	5.433229
1552316_a_at	4.137673
1552318_at	3.65998
1552319_a_at	6.625615
1552320_a_at	3.833234
1552321_a_at	3.865725
1552322_at	3.70211
1552323_s_at	5.615065
1552325_at	3.910555
1552326_a_at	5.3561
1552327_at	4.302927
1552329_at	6.652142
1552330_at	8.320406
1552332_at	8.304126
1552334_at	7.80458
1552335_at	7.148516
1552337_s_at	5.082977
1552338_at	5.199601
1552340_at	4.86837
1552343_s_at	6.589862
1552344_s_at	9.783298
1552347_at	8.522632
1552348_at	7.374269
1552349_a_at	5.721063
1552354_at	5.888972
1552355_s_at	6.178778
1552359_at	3.98137
1552360_a_at	6.879185
1552362_a_at	5.589522
1552364_s_at	8.201599
1552365_at	4.112352
1552367_a_at	3.722954
1552368_at	4.677681
1552370_at	7.173536
1552372_at	3.524441
1552373_s_at	3.899113
1552375_at	5.644595
1552377_s_at	7.358328
1552378_s_at	6.057038
1552379_at	3.587372
1552381_at	3.84606
1552383_at	7.494506
1552384_a_at	5.730317
1552386_at	3.831881
1552388_at	6.624063
1552389_at	4.140437
1552390_a_at	3.966919
1552391_at	5.488393
1552393_at	3.689527
1552394_a_at	3.868973
1552395_at	8.256204
1552396_at	5.487571
1552398_a_at	4.314247
