^SAMPLE = GSM960275
!Sample_title = 1-HeLa control a
!Sample_geo_accession = GSM960275
!Sample_status = Public on Jul 03 2013
!Sample_submission_date = Jul 12 2012
!Sample_last_update_date = Jul 03 2013
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = HeLa cells, 72h growth
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = organ: cervix
!Sample_characteristics_ch1 = disease: adenocarcinoma
!Sample_characteristics_ch1 = cell type: epithelial
!Sample_characteristics_ch1 = cell line: HeLa
!Sample_biomaterial_provider_ch1 = ATCC: CCL-2™
!Sample_treatment_protocol_ch1 = attached cells (24 h after passaging), grown for 72 h in renewed medium
!Sample_growth_protocol_ch1 = cultured at 37°C, 5% CO2 in DMEM, supplemented with 10% fetal calf serum , 1% L-glutamine, 1% nonessential amino acids, 1% sodium pyruvate and 1% HEPES
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = 106 cells were lysed with TRIzol reagent for 3 minutes at RT, 20% chloroform was added, centrifuged for 15 minutes at 4°C at 13.000 g, RNA was further isolated with RNeasy Mini Kit (Qiagen)
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = RNA concentration and purity were determined spectrophotometrically using the Nanodrop ND-1000 (Nanodrop Technologies) and RNA integrity was assessed using a Bioanalyser 2100 (Agilent). Per sample, an amount of 100 ng of total RNA spiked with bacterial RNA transcript positive controls (Affymetrix) was amplified and labeled using the GeneChip 3' IVT express kit (Affymetrix). All steps were carried out according to the manufacturers protocol (Affymetrix).
!Sample_hyb_protocol = A mixture of purified and fragmented biotinylated aRNA and hybridisation controls (Affymetrix) was hybridised on Affymetrix HG U133 Plus 2.0 arrays followed by staining and washing in a GeneChip® fluidics station 450  (Affymetrix) according to the manufacturer’s procedures.
!Sample_scan_protocol = To assess the raw probe signal intensities, chips were scanned using a GeneChip® scanner 3000 (Affymetrix).
!Sample_description = ---
!Sample_data_processing = Data were normalized using RMA as implemented in the Affy package (version 1.34.0) of Bioconductor. Expression values are represented on a log2-scale.
!Sample_platform_id = GPL570
!Sample_contact_name = Rekin's,,Janky
!Sample_contact_email = Nucleomics.Bioinformatics@vib.be
!Sample_contact_department = Nucleomics Core
!Sample_contact_institute = VIB
!Sample_contact_address = Herestraat 49 Box 816
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = B-3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM960nnn/GSM960275/suppl/GSM960275_hyb12843.CEL.gz
!Sample_series_id = GSE39293
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 RMA normalized signal intensity
#ABS_CALL = the MAS 5.0 detection call in an absolute analysis that indicates if the transcript was present (P), absent (A), marginal (M), or no call (NC)
#DETECTION P-VALUE = 'detection p-value', p-value that indicates the significance level of the detection call
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	8.237113829	P	0.000673
1053_at	8.296716415	P	0.000266
117_at	3.735715325	P	0.017
121_at	6.075997721	P	0.013092
1255_g_at	2.009014532	A	0.378185
1294_at	4.015217048	A	0.175989
1316_at	5.785877611	P	0.000266
1320_at	3.266736912	A	0.715253
1405_i_at	2.076757355	A	0.198363
1431_at	2.098899691	A	0.47938
1438_at	4.120908319	A	0.621815
1487_at	6.167289029	P	0.039365
1494_f_at	4.002564943	A	0.302547
1552256_a_at	8.311575812	P	0.001673
1552257_a_at	8.739595357	P	0.001673
1552258_at	4.029627259	M	0.054755
1552261_at	2.490078342	A	0.703144
1552263_at	5.198485187	P	0.001673
1552264_a_at	6.293845623	P	0.001673
1552266_at	1.693582123	A	0.238453
1552269_at	2.36144406	A	0.761547
1552271_at	3.341113779	A	0.986884
1552272_a_at	3.815938564	A	0.143002
1552274_at	5.331773562	P	0.003823
1552275_s_at	3.528570022	P	0.02043
1552276_a_at	4.278271922	A	0.394838
1552277_a_at	7.842103454	P	0.001673
1552278_a_at	5.225794332	P	0.004963
1552279_a_at	5.843498336	P	0.003823
1552280_at	2.402306425	A	0.733153
1552281_at	4.321975204	A	0.703144
1552283_s_at	2.916373991	A	0.091157
1552286_at	4.361542597	P	0.02523
1552287_s_at	6.468791507	P	0.001673
1552288_at	2.264634001	A	0.703144
1552289_a_at	2.520359828	A	0.703144
1552291_at	6.219754386	P	0.001673
1552293_at	2.8184465	A	0.703144
1552295_a_at	5.49275911	A	0.123873
1552296_at	2.542248002	A	0.856998
1552299_at	2.522184155	A	0.788202
1552301_a_at	4.009594901	P	0.02043
1552302_at	2.49576839	P	0.001673
1552303_a_at	4.132370248	P	0.02523
1552304_at	4.670811334	P	0.013116
1552306_at	5.874238006	P	0.001673
1552307_a_at	6.338881449	P	0.010398
1552309_a_at	9.340863356	P	0.001673
1552310_at	7.904770168	P	0.001673
1552311_a_at	5.307415053	A	0.164032
1552312_a_at	5.886824717	P	0.001673
1552314_a_at	3.946607557	P	0.006396
1552315_at	3.324653172	A	0.238453
1552316_a_at	1.695997835	A	0.969058
1552318_at	1.833563746	A	0.605162
1552319_a_at	2.991605839	A	0.361054
1552320_a_at	1.58396974	A	0.186972
1552321_a_at	1.635854832	A	0.945245
1552322_at	1.827426781	A	0.211798
1552323_s_at	3.444068476	P	0.003823
1552325_at	1.241954223	A	0.296856
1552326_a_at	2.46709273	A	0.238017
1552327_at	1.815722228	A	0.813146
1552329_at	7.084244235	P	0.001673
1552330_at	5.429189006	P	0.001673
1552332_at	6.335210306	A	0.429432
1552334_at	4.418549901	P	0.008184
1552335_at	5.049857037	A	0.065333
1552337_s_at	1.940357467	A	0.761547
1552338_at	2.264135065	A	0.986884
1552340_at	2.849551894	A	0.638946
1552343_s_at	3.475340687	P	0.013116
1552344_s_at	6.49710261	P	0.001673
1552347_at	5.268489324	P	0.001673
1552348_at	2.562728125	A	0.605162
1552349_a_at	2.940948325	A	0.605213
1552354_at	2.954297359	A	0.97957
1552355_s_at	3.41198011	A	0.908843
1552359_at	1.806337621	A	0.703144
1552360_a_at	4.419345042	P	0.002924
1552362_a_at	4.613878151	A	0.07743
1552364_s_at	5.583366622	P	0.001673
1552365_at	1.569952373	A	0.671679
1552367_a_at	2.002636592	A	0.266847
1552368_at	1.58396974	A	0.535424
1552370_at	6.211029515	P	0.00222
1552372_at	1.318780139	A	0.761547
1552373_s_at	1.345196735	A	0.429432
1552375_at	2.172884863	A	0.164032
1552377_s_at	5.207693697	A	0.186972
1552378_s_at	7.397411829	P	0.001673
1552379_at	1.288131568	A	0.605162
1552381_at	1.585515089	A	0.671679
1552383_at	3.928623694	A	0.296856
1552384_a_at	2.778025033	A	0.266847
1552386_at	1.483273249	A	0.238453
1552388_at	7.690751031	P	0.010398
1552389_at	1.601227977	A	0.962604
1552390_a_at	1.700249887	A	0.106612
1552391_at	2.344018318	A	0.535424
1552393_at	1.651829259	A	0.733153
1552394_a_at	1.591268367	A	0.761547
1552395_at	5.341226265	A	0.788202
1552396_at	2.715746256	A	0.813028
1552398_a_at	1.674644923	A	0.945245
1552399_a_at	2.826549347	M	0.054755
1552400_a_at	3.072408497	A	0.296856
1552401_a_at	2.480175756	A	0.091157
1552402_at	2.866927278	A	0.266847
1552405_at	2.912592772	A	0.091157
1552408_at	2.03036148	A	0.143002
1552409_a_at	4.151460656	A	0.394838
