^SAMPLE = GSM2322616
!Sample_title = NTS2
!Sample_geo_accession = GSM2322616
!Sample_status = Public on Jan 02 2017
!Sample_submission_date = Sep 20 2016
!Sample_last_update_date = Jan 02 2017
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = MCL cell line 2
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: Mantle cell lymphoma
!Sample_characteristics_ch1 = cell line: NTS2
!Sample_growth_protocol_ch1 = Cells were maintained in RPMI-1640 medium supplemented with 10% FCS and 2mM glutamine
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNA was extracted using the RNeasy Kit (Qiagen, Hilden, Germany)
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA was amplified with a double in vitro transcription and hybridized to the human U133 2.0 plus GeneChips, according to the manu- facturer’s instructions (Affymetrix, Santa Clara, CA, USA)
!Sample_hyb_protocol = Biotinylated cRNA was amplified with a double in vitro transcription and hybridized to the human U133 2.0 plus GeneChips, according to the manu- facturer’s instructions (Affymetrix, Santa Clara, CA, USA)
!Sample_scan_protocol = Fluorescence intensities were quantified and analyzed using the GCOS software
!Sample_description = Gene expression data
!Sample_data_processing = Gene expression data were normalized with the MAS5 algorithm and analyzed with our bioinformatics platforms: RAGE (http://rage.montp.inserm.fr/)
!Sample_platform_id = GPL570
!Sample_contact_name = David,,CHIRON
!Sample_contact_email = chiron.david@gmail.com, david.chiron@univ-nantes.fr
!Sample_contact_institute = CRCNA
!Sample_contact_address = 8 quai Moncousu
!Sample_contact_city = Nantes
!Sample_contact_zip/postal_code = 44007
!Sample_contact_country = France
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2322nnn/GSM2322616/suppl/GSM2322616_NTS2.CEL.gz
!Sample_series_id = GSE86322
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = Probe sets with a variation coefficient <=100 were excluded from the analysis.
!sample_table_begin
ID_REF	VALUE
229819_at	55.4
232462_s_at	28.0
220951_s_at	21.1
241547_at	0.2
233139_at	2.4
1560411_at	11.1
1566215_at	0.7
1566217_at	0.7
1566866_at	4.0
1566867_at	4.6
217757_at	5.7
1558450_at	16.9
241206_at	0.2
1564139_at	2.0
1553505_at	4.4
1564307_a_at	3.5
236394_at	6.0
219488_at	9.5
221131_at	16.5
241552_at	12.3
218075_at	69.1
218434_s_at	439.4
1570020_at	2.4
205969_at	1.3
240420_at	0.4
223593_at	3.5
227534_at	338.6
202851_at	29.3
202852_s_at	466.3
243284_at	9.1
205434_s_at	331.8
205435_s_at	23.5
211186_s_at	21.2
214956_at	0.5
214998_at	6.0
225522_at	347.1
238100_at	6.7
241297_at	11.7
220268_at	8.6
221599_at	40.7
221600_s_at	31.0
201511_at	264.9
207225_at	0.9
218089_at	187.0
201000_at	658.4
230024_at	27.7
231845_at	84.2
222064_s_at	127.9
228041_at	117.0
235435_at	160.0
202169_s_at	1241.1
202170_s_at	469.2
224313_at	4.0
210852_s_at	0.2
214829_at	0.4
209165_at	480.7
240401_at	4.5
1562083_at	7.3
205986_at	17.3
206527_at	12.3
209459_s_at	51.7
209460_at	19.9
224098_at	0.9
203504_s_at	6.4
203505_at	9.2
216066_at	1.6
1570279_at	0.4
215869_at	1.4
1565776_at	3.0
1565777_at	0.6
223889_at	2.9
220159_at	24.0
215465_at	3.6
1553295_at	6.8
1553604_at	0.2
1553605_a_at	1.8
1557297_at	0.3
231164_at	9.5
210099_at	1.1
210100_s_at	2.7
212772_s_at	9.9
204343_at	7.6
210082_at	10.1
1569102_at	0.7
213353_at	78.8
241705_at	8.7
237969_at	1.4
217504_at	71.8
219577_s_at	42.3
204719_at	0.4
1565778_at	0.8
1565780_at	1.6
235335_at	4.3
239185_at	7.2
242541_at	6.8
236184_at	0.4
209993_at	4.7
243951_at	5.3
209994_s_at	22.1
223320_s_at	490.8
208288_at	1.0
211224_s_at	1.3
207819_s_at	24.9
1570505_at	4.7
237138_at	3.1
1557641_at	1.3
240717_at	5.2
