^SAMPLE = GSM1177894
!Sample_title = A375_Passage 1 xenograft_R1
!Sample_geo_accession = GSM1177894
!Sample_status = Public on Jul 01 2013
!Sample_submission_date = Jun 30 2013
!Sample_last_update_date = Jul 01 2013
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = A375, passage 1 xenograft
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = originating cell line: A375
!Sample_characteristics_ch1 = tumor type: metastatic malignant melanoma
!Sample_characteristics_ch1 = in vivo passage: P01
!Sample_treatment_protocol_ch1 = N/A
!Sample_growth_protocol_ch1 = All cell lines were obtained from the Division of Cancer Treatment and Diagnosis Tumor Repository (DTP, FNLCR, Frederick, MD) or American Type Culture Collection (ATCC) (Manassas, Va). In addition, the identities of all cell lines used in this study were confirmed using Identifiler® STR genotyping (Applied Biosystems). All mice used in the study were obtained from the Animal Production Program (FNLCR, Frederick, MD). Tumor cells for inoculation were derived from the 4th in vitro passage from cryopreserved cell stocks. Cells (1 x 10^7 cells/0.1 ml/inoculation) were inoculated subcutaneously into mice (n=10 or more mice depending on the tumor cell line). For comparative purposes, 2-3 samples of in vitro cultivated cells at passage 4 post-cryopreservation were also prepared for microarray analysis (P0). When tumors at P1, P4 and P10 reached approximately 500 mg (10x10 mm), 5 tumors were harvested, cut into small pieces and flash frozen in liquid nitrogen using pre-chilled tubes. Samples were transferred to a -70°C freezer for holding prior to processing. Serial tumor passage was achieved by harvesting donor tumor material (n=2 to 5 donors) at each passage, mincing the tumors (2x2 mm fragments), pooling the samples and inoculating the next recipients subcutaneously using tumor implant trocars. Athymic nude mice (nu/nu NCr) served as the primary host for most xenograft studies. In several instances (particularly with human leukemias and lymphomas) it was difficult to establish and passage tumors in nu/nu NCr mice. In these instances, SCID.NCr or NOD.SCID/NCr mice were assessed for suitability. In general, female mice were used as they are less aggressive, easily group-housed and routinely used in xenograft experiments. Male mice were used for prostate tumors (PC-3, PC-3/M). Finally, in those instances where hormone effects on tumor growth are important (e.g., estradiol-dependent breast), mice were supplemented with estradiol.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was isolated using RNeasy (Qiagen).
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = The RNA samples were submitted to Expression Analysis, Inc. (Durham, NC) for microarray analysis using the GeneChip® Human U133 Plus 2.0 Array (Affymetrix, Santa Clara, CA). Samples were labeled according to the "Affymetrix Technical Manual" (www.expressionanalysis.com).
!Sample_hyb_protocol = Samples were hybridized according to the "Affymetrix Technical Manual" (www.expressionanalysis.com).
!Sample_scan_protocol = Microarray images were captured using a GeneChip® 3000 Scanner.
!Sample_description = A375 P01 T1
!Sample_description = Gene expression data from A375 Passage 1 xenograft.
!Sample_data_processing = Affymetrix Expression Console v1.3.
!Sample_platform_id = GPL570
!Sample_contact_name = Luke,Hunter,Stockwin
!Sample_contact_email = stockwinl@mail.nih.gov
!Sample_contact_phone = 301-846-5431
!Sample_contact_department = DTP
!Sample_contact_institute = NCI Frederick
!Sample_contact_address = Ft. Detrick
!Sample_contact_city = Frederick
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 21701
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1177nnn/GSM1177894/suppl/GSM1177894_EA06017_95538_H133+_256.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1177nnn/GSM1177894/suppl/GSM1177894_EA06017_95538_H133+_256.CHP.gz
!Sample_series_id = GSE48433
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = indicating whether the transcript was present (P), absent (A), or marginal (M)
#DETECTION P-VALUE = p-value that indicates the significance level of the detection call
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	428.585	P	0.000856509
AFFX-BioB-M_at	651.135	P	6.02111e-05
AFFX-BioB-3_at	351.713	P	0.000753643
AFFX-BioC-5_at	1401.34	P	5.16732e-05
AFFX-BioC-3_at	1773.77	P	5.16732e-05
AFFX-BioDn-5_at	2499.28	P	4.42873e-05
AFFX-BioDn-3_at	5426.01	P	7.00668e-05
AFFX-CreX-5_at	18344.8	P	5.16732e-05
AFFX-CreX-3_at	21535.8	P	4.42873e-05
AFFX-DapX-5_at	3.65031	A	0.783476
AFFX-DapX-M_at	37.1119	A	0.250796
AFFX-DapX-3_at	16.7766	A	0.52976
AFFX-LysX-5_at	3.23631	A	0.794268
AFFX-LysX-M_at	4.79727	A	0.794268
AFFX-LysX-3_at	12.3676	A	0.262827
AFFX-PheX-5_at	2.16242	A	0.772364
AFFX-PheX-M_at	1.89319	A	0.963431
AFFX-PheX-3_at	30.1411	A	0.455413
AFFX-ThrX-5_at	6.60358	A	0.672921
AFFX-ThrX-M_at	3.85595	A	0.868639
AFFX-ThrX-3_at	5.92919	A	0.645547
AFFX-TrpnX-5_at	17.2933	A	0.287743
AFFX-TrpnX-M_at	2.20468	A	0.910522
AFFX-TrpnX-3_at	7.84944	A	0.699394
AFFX-r2-Ec-bioB-5_at	699.53	P	0.000244141
AFFX-r2-Ec-bioB-M_at	607.733	P	0.000244141
AFFX-r2-Ec-bioB-3_at	469.089	P	0.000244141
AFFX-r2-Ec-bioC-5_at	1700.24	P	0.000244141
AFFX-r2-Ec-bioC-3_at	1798.35	P	0.000244141
AFFX-r2-Ec-bioD-5_at	6732.03	P	0.000244141
AFFX-r2-Ec-bioD-3_at	9154.11	P	0.000244141
AFFX-r2-P1-cre-5_at	22883	P	0.000244141
AFFX-r2-P1-cre-3_at	30246.6	P	0.000244141
AFFX-r2-Bs-dap-5_at	1.85619	A	0.953857
AFFX-r2-Bs-dap-M_at	25.456	A	0.246094
AFFX-r2-Bs-dap-3_at	1.01304	A	0.780518
AFFX-r2-Bs-lys-5_at	16.1252	A	0.366211
AFFX-r2-Bs-lys-M_at	2.03076	A	0.888428
AFFX-r2-Bs-lys-3_at	36.6576	A	0.129639
AFFX-r2-Bs-phe-5_at	1.80633	A	0.962402
AFFX-r2-Bs-phe-M_at	2.08011	A	0.943848
AFFX-r2-Bs-phe-3_at	13.3868	A	0.303711
AFFX-r2-Bs-thr-3_s_at	3.50155	A	0.969727
AFFX-r2-Bs-thr-M_s_at	7.06694	A	0.466064
AFFX-r2-Bs-thr-5_s_at	1.78775	A	0.533936
AFFX-HUMISGF3A/M97935_5_at	265.09	P	0.00359458
AFFX-HUMISGF3A/M97935_MA_at	835.661	P	0.000445901
AFFX-HUMISGF3A/M97935_MB_at	568.345	P	6.02111e-05
AFFX-HUMISGF3A/M97935_3_at	1746.91	P	7.00668e-05
AFFX-HUMRGE/M10098_5_at	7.88026	A	0.712257
AFFX-HUMRGE/M10098_M_at	13.776	A	0.58862
AFFX-HUMRGE/M10098_3_at	60.8482	A	0.156732
AFFX-HUMGAPDH/M33197_5_at	38607.3	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	32680.4	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	34833.6	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	26832.1	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	29197.6	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	33082.2	P	4.42873e-05
AFFX-M27830_5_at	58.5991	A	0.0894781
AFFX-M27830_M_at	37.4345	A	0.58862
AFFX-M27830_3_at	18.7859	A	0.631562
AFFX-hum_alu_at	37643.3	P	2.6068e-13
1007_s_at	2290.64	P	0.000218889
1053_at	1786.59	P	0.000265621
117_at	203.769	P	0.000467546
121_at	495.332	P	0.00358487
1255_g_at	32.9402	A	0.561639
1294_at	321.675	P	0.00306668
