^SAMPLE = GSM170848
!Sample_title = Melanoma cell line MM426
!Sample_geo_accession = GSM170848
!Sample_status = Public on Mar 31 2007
!Sample_submission_date = Feb 21 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Melanoma cell line MM426
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Melanoma cell line established from metastatic melanoma
!Sample_biomaterial_provider_ch1 = Dr Peter G. Parsons
!Sample_growth_protocol_ch1 = Melanoma cell lines were cultured in RPMI 1640 in the presence of 10% fetal bovine serum. 
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNA extractions were performed using Qiagen RNeasy Midi-kits as per the manufacturer’s instructions. RNA quality and concentration were assessed using a 2100 BioAnalyser (Agilent Technologies). 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). 
!Sample_hyb_protocol = This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. 
!Sample_scan_protocol = Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). 
!Sample_description = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_data_processing = Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set.
!Sample_platform_id = GPL570
!Sample_contact_name = Leisl,,Packer
!Sample_contact_laboratory = Oncogenomics Laboratory
!Sample_contact_department = Cancer and Cell Biology
!Sample_contact_institute = Queensland Institute of Medical Research
!Sample_contact_address = 300 Herston Rd
!Sample_contact_city = Herston
!Sample_contact_state = QLD
!Sample_contact_zip/postal_code = 4006
!Sample_contact_country = Australia
!Sample_contact_web_link = www.qimr.edu.au
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM170nnn/GSM170848/suppl/GSM170848.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM170nnn/GSM170848/suppl/GSM170848.CHP.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE7127
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = signal value
#ABS_CALL = signal absent/present
#DETECTION-P-VALUE = detection p-value
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION-P-VALUE
AFFX-BioB-5_at	363.365	P	0.000224668
AFFX-BioB-M_at	511.902	P	4.42873e-05
AFFX-BioB-3_at	252.486	P	8.14279e-05
AFFX-BioC-5_at	677.665	P	6.02111e-05
AFFX-BioC-3_at	679.951	P	5.16732e-05
AFFX-BioDn-5_at	808.354	P	4.42873e-05
AFFX-BioDn-3_at	3230.71	P	4.42873e-05
AFFX-CreX-5_at	7801.99	P	5.16732e-05
AFFX-CreX-3_at	10798.1	P	4.42873e-05
AFFX-DapX-5_at	377.986	P	6.02111e-05
AFFX-DapX-M_at	575.106	P	0.000753643
AFFX-DapX-3_at	667.817	P	6.02111e-05
AFFX-LysX-5_at	49.0722	P	0.00010954
AFFX-LysX-M_at	66.2056	P	0.00401721
AFFX-LysX-3_at	96.6483	P	0.00010954
AFFX-PheX-5_at	41.9481	P	0.000258358
AFFX-PheX-M_at	78.0894	P	0.000445901
AFFX-PheX-3_at	91.7516	P	0.000753643
AFFX-ThrX-5_at	95.1546	P	0.000509415
AFFX-ThrX-M_at	134.154	P	6.02111e-05
AFFX-ThrX-3_at	177.002	P	5.16732e-05
AFFX-TrpnX-5_at	17.186	A	0.108979
AFFX-TrpnX-M_at	4.6266	A	0.772383
AFFX-TrpnX-3_at	12.832	A	0.470241
AFFX-r2-Ec-bioB-5_at	328.379	P	0.000244141
AFFX-r2-Ec-bioB-M_at	532.424	P	0.000244141
AFFX-r2-Ec-bioB-3_at	369.362	P	0.000244141
AFFX-r2-Ec-bioC-5_at	744.661	P	0.000244141
AFFX-r2-Ec-bioC-3_at	943.541	P	0.000244141
AFFX-r2-Ec-bioD-5_at	3043.52	P	0.000244141
AFFX-r2-Ec-bioD-3_at	3782.81	P	0.000244141
AFFX-r2-P1-cre-5_at	12900.8	P	0.000244141
AFFX-r2-P1-cre-3_at	14764.1	P	0.000244141
AFFX-r2-Bs-dap-5_at	564.892	P	0.000244141
AFFX-r2-Bs-dap-M_at	651.575	P	0.000244141
AFFX-r2-Bs-dap-3_at	914.677	P	0.000244141
AFFX-r2-Bs-lys-5_at	63.909	P	0.000732422
AFFX-r2-Bs-lys-M_at	44.6966	P	0.000244141
AFFX-r2-Bs-lys-3_at	54.4583	P	0.00805664
AFFX-r2-Bs-phe-5_at	102.46	P	0.000244141
AFFX-r2-Bs-phe-M_at	92.4494	P	0.000732422
AFFX-r2-Bs-phe-3_at	116.215	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	235.471	P	0.000732422
AFFX-r2-Bs-thr-M_s_at	185.717	P	0.000732422
AFFX-r2-Bs-thr-5_s_at	115.969	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	392.655	P	0.000169227
AFFX-HUMISGF3A/M97935_MA_at	526.458	P	5.16732e-05
AFFX-HUMISGF3A/M97935_MB_at	547.742	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	1290.4	P	4.42873e-05
AFFX-HUMRGE/M10098_5_at	105.568	P	0.0020226
AFFX-HUMRGE/M10098_M_at	58.4883	P	0.0032123
AFFX-HUMRGE/M10098_3_at	122.761	P	0.0044838
AFFX-HUMGAPDH/M33197_5_at	14339.8	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	12659.1	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	13704.3	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	9951.73	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	10651.3	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	10688.2	P	4.42873e-05
AFFX-M27830_5_at	799.187	P	4.42873e-05
AFFX-M27830_M_at	970.486	P	0.000856509
AFFX-M27830_3_at	21.7881	A	0.5
AFFX-hum_alu_at	14220.1	P	2.6068e-13
1007_s_at	614.371	P	0.000561689
1053_at	791.727	P	0.000265621
117_at	40.0013	A	0.0668649
121_at	134.428	P	0.00998544
1255_g_at	4.16114	A	0.715253
1294_at	69.5625	A	0.0668649
1316_at	25.7929	P	0.0278597
1320_at	30.1018	A	0.378184
1405_i_at	6.00263	A	0.586954
1431_at	13.8395	A	0.267463
1438_at	21.6593	A	0.267463
1487_at	254.249	P	0.00261695
1494_f_at	14.9084	A	0.189687
1598_g_at	78.3423	A	0.218983
160020_at	750.376	P	0.000265621
1729_at	257.076	P	0.00135385
1773_at	557.737	P	0.000388206
177_at	97.4054	P	0.000265621
