^SAMPLE = GSM320611
!Sample_title = breast cancer cell line_SKBR3
!Sample_geo_accession = GSM320611
!Sample_status = Public on Jan 12 2009
!Sample_submission_date = Sep 15 2008
!Sample_last_update_date = Feb 29 2012
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Breast cancer
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gene_expression_subtype: Luminal
!Sample_characteristics_ch1 = Her2_status: Her2 amplified
!Sample_treatment_protocol_ch1 = Cells untreated
!Sample_growth_protocol_ch1 = Cell maintained in RPMI1640 or DMEM supplemented with 10% fetal bovine serum, non-essential amino acids and 2mmol/L L-glutamine
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen Rneasy kit used for the extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Human Genome U133P 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.
!Sample_description = breast cancer cell line_SKBR3
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL570
!Sample_contact_name = Mark,,Lackner
!Sample_contact_email = lackner.mark@gene.com
!Sample_contact_institute = Genentech
!Sample_contact_address = 1 DNA Way
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM320nnn/GSM320611/suppl/GSM320611.CEL.gz
!Sample_relation = Reanalysis of: GSM276015
!Sample_series_id = GSE12777
!Sample_series_id = GSE12790
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal intensity
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	374.0208
AFFX-BioB-M_at	480.5425
AFFX-BioB-3_at	288.608
AFFX-BioC-5_at	1044.021
AFFX-BioC-3_at	1247.906
AFFX-BioDn-5_at	2040.131
AFFX-BioDn-3_at	6634.884
AFFX-CreX-5_at	13251.39
AFFX-CreX-3_at	17548.44
AFFX-DapX-5_at	70.82936
AFFX-DapX-M_at	134.5044
AFFX-DapX-3_at	226.6727
AFFX-LysX-5_at	26.37737
AFFX-LysX-M_at	55.77709
AFFX-LysX-3_at	83.10792
AFFX-PheX-5_at	6.311192
AFFX-PheX-M_at	3.553212
AFFX-PheX-3_at	62.17986
AFFX-ThrX-5_at	7.85007
AFFX-ThrX-M_at	7.564957
AFFX-ThrX-3_at	49.98677
AFFX-TrpnX-5_at	45.57203
AFFX-TrpnX-M_at	5.73904
AFFX-TrpnX-3_at	15.54745
AFFX-r2-Ec-bioB-5_at	417.8263
AFFX-r2-Ec-bioB-M_at	531.9832
AFFX-r2-Ec-bioB-3_at	518.0771
AFFX-r2-Ec-bioC-5_at	1376.631
AFFX-r2-Ec-bioC-3_at	1455.983
AFFX-r2-Ec-bioD-5_at	7376.55
AFFX-r2-Ec-bioD-3_at	8741.907
AFFX-r2-P1-cre-5_at	18953.28
AFFX-r2-P1-cre-3_at	26957.47
AFFX-r2-Bs-dap-5_at	30.1612
AFFX-r2-Bs-dap-M_at	96.47693
AFFX-r2-Bs-dap-3_at	339.6589
AFFX-r2-Bs-lys-5_at	23.31331
AFFX-r2-Bs-lys-M_at	27.34184
AFFX-r2-Bs-lys-3_at	32.63507
AFFX-r2-Bs-phe-5_at	13.48841
AFFX-r2-Bs-phe-M_at	58.97487
AFFX-r2-Bs-phe-3_at	86.86364
AFFX-r2-Bs-thr-3_s_at	94.10364
AFFX-r2-Bs-thr-M_s_at	109.9043
AFFX-r2-Bs-thr-5_s_at	66.4003
AFFX-HUMISGF3A/M97935_5_at	236.8513
AFFX-HUMISGF3A/M97935_MA_at	546.4615
AFFX-HUMISGF3A/M97935_MB_at	564.1418
AFFX-HUMISGF3A/M97935_3_at	2153.615
AFFX-HUMRGE/M10098_5_at	97.48421
AFFX-HUMRGE/M10098_M_at	82.00865
