^SAMPLE = GSM1230014
!Sample_title = MDA-MB-436_ERI_2
!Sample_geo_accession = GSM1230014
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = MDA-MB-436 Eribulin_24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: MDA-MB-436
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230014/suppl/GSM1230014_CEL_284_4755_04_03_2012_2.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	6.659
AFFX-BioB-M_at	6.917
AFFX-BioB-3_at	6.582
AFFX-BioC-5_at	7.9
AFFX-BioC-3_at	8.54
AFFX-BioDn-5_at	9.589
AFFX-BioDn-3_at	10.593
AFFX-CreX-5_at	11.78
AFFX-CreX-3_at	12.098
AFFX-DapX-5_at	2.38
AFFX-DapX-M_at	2.289
AFFX-DapX-3_at	2.92
AFFX-LysX-5_at	2.108
AFFX-LysX-M_at	2.837
AFFX-LysX-3_at	2.123
AFFX-PheX-5_at	2.548
AFFX-PheX-M_at	2.359
AFFX-PheX-3_at	3.613
AFFX-ThrX-5_at	3.125
AFFX-ThrX-M_at	2.454
AFFX-ThrX-3_at	3.793
AFFX-TrpnX-5_at	3.271
AFFX-TrpnX-M_at	2.502
AFFX-TrpnX-3_at	2.403
AFFX-r2-Ec-bioB-5_at	6.716
AFFX-r2-Ec-bioB-M_at	7.127
AFFX-r2-Ec-bioB-3_at	7.09
AFFX-r2-Ec-bioC-5_at	8.458
AFFX-r2-Ec-bioC-3_at	8.768
AFFX-r2-Ec-bioD-5_at	10.737
AFFX-r2-Ec-bioD-3_at	11.107
AFFX-r2-P1-cre-5_at	12.377
AFFX-r2-P1-cre-3_at	12.55
AFFX-r2-Bs-dap-5_at	2.478
AFFX-r2-Bs-dap-M_at	2.068
AFFX-r2-Bs-dap-3_at	2.108
AFFX-r2-Bs-lys-5_at	2.061
AFFX-r2-Bs-lys-M_at	2.118
AFFX-r2-Bs-lys-3_at	2.206
AFFX-r2-Bs-phe-5_at	2.126
AFFX-r2-Bs-phe-M_at	2.514
AFFX-r2-Bs-phe-3_at	2.508
AFFX-r2-Bs-thr-3_s_at	3.289
AFFX-r2-Bs-thr-M_s_at	3.262
AFFX-r2-Bs-thr-5_s_at	3.197
AFFX-HUMISGF3A/M97935_5_at	5.018
AFFX-HUMISGF3A/M97935_MA_at	6.623
AFFX-HUMISGF3A/M97935_MB_at	6.15
AFFX-HUMISGF3A/M97935_3_at	9.122
AFFX-HUMRGE/M10098_5_at	12.832
AFFX-HUMRGE/M10098_M_at	12.299
AFFX-HUMRGE/M10098_3_at	12.125
AFFX-HUMGAPDH/M33197_5_at	12.713
AFFX-HUMGAPDH/M33197_M_at	12.912
AFFX-HUMGAPDH/M33197_3_at	12.992
AFFX-HSAC07/X00351_5_at	11.759
AFFX-HSAC07/X00351_M_at	12.246
AFFX-HSAC07/X00351_3_at	12.79
AFFX-M27830_5_at	12.529
AFFX-M27830_M_at	10.745
AFFX-M27830_3_at	5.6
AFFX-hum_alu_at	13.28
1007_s_at	8.535
1053_at	8.265
117_at	7.307
121_at	7.743
1255_g_at	2.656
1294_at	4.664
1316_at	5.064
1320_at	4.247
1405_i_at	4.919
1431_at	3.204
1438_at	5.146
1487_at	8.516
1494_f_at	5.266
1598_g_at	8.082
160020_at	5.854
1729_at	6.862
1773_at	5.473
177_at	4.367
179_at	7.996
1861_at	6.282
200000_s_at	9.305
200001_at	8.446
200002_at	12.503
200003_s_at	12.358
200004_at	11.495
200005_at	10.258
200006_at	11.317
200007_at	11.972
200008_s_at	9.205
200009_at	10.943
200010_at	12.075
200011_s_at	6.979
200012_x_at	12.632
200013_at	12.808
200014_s_at	11.29
200015_s_at	10.448
200016_x_at	12.365
200017_at	12.717
200018_at	12.652
200019_s_at	12.349
200020_at	9.713
200021_at	12.135
200022_at	12.162
200023_s_at	11.833
200024_at	12.609
200025_s_at	12.563
200026_at	12.169
200027_at	11.197
200028_s_at	10.595
200029_at	12.357
200030_s_at	11.773
200031_s_at	12.446
200032_s_at	12.875
200033_at	11.612
200034_s_at	12.441
200035_at	8.267
200036_s_at	11.613
200037_s_at	11.553
200038_s_at	12.425
200039_s_at	11.678
200040_at	10.709
200041_s_at	8.461
200042_at	8.953
200043_at	11.418
200044_at	11.047
200045_at	8.79
200046_at	11.056
200047_s_at	10.775
200048_s_at	11.513
200049_at	6.939
200050_at	9.605
200051_at	8.398
200052_s_at	10.737
200053_at	9.548
200054_at	8.136
200055_at	9.4
200056_s_at	9.681
200057_s_at	11.496
200058_s_at	10.121
200059_s_at	11.963
200060_s_at	10.567
200061_s_at	12.876
200062_s_at	12.488
200063_s_at	12.963
200064_at	11.493
200065_s_at	11.132
200066_at	9.426
200067_x_at	11.427
200068_s_at	11.626
200069_at	7.513
200070_at	7.895
200071_at	10.744
200072_s_at	10.847
200073_s_at	10.81
200074_s_at	12.101
200075_s_at	10.134
200076_s_at	8.464
200077_s_at	12.301
200078_s_at	10.972
200079_s_at	10.362
200080_s_at	12.179
200081_s_at	12.407
200082_s_at	12.628
200083_at	9.08
200084_at	10.52
200085_s_at	11.281
200086_s_at	11.851
200087_s_at	11.924
200088_x_at	12.565
200089_s_at	12.448
200090_at	10.498
200091_s_at	12.118
200092_s_at	12.979
200093_s_at	11.798
200094_s_at	11.056
200095_x_at	12.598
200096_s_at	11.524
200097_s_at	11.3
200098_s_at	10.402
200099_s_at	13.157
200593_s_at	9.944
200594_x_at	11.396
200595_s_at	10.49
200596_s_at	9.25
200597_at	6.923
200598_s_at	10.625
200599_s_at	11.092
200600_at	10.584
200601_at	7.622
200602_at	10.253
200603_at	10.986
200604_s_at	7.384
200605_s_at	9.898
200606_at	7.943
200607_s_at	9.832
200608_s_at	11.743
200609_s_at	10.382
200610_s_at	11.6
200611_s_at	10.348
200612_s_at	7.827
200613_at	7.784
200614_at	11.337
200615_s_at	8.459
200616_s_at	10.372
200617_at	7.543
200618_at	9.955
200619_at	9.697
200620_at	10.2
200621_at	8.662
200622_x_at	8.926
200623_s_at	7.116
200624_s_at	10.536
200625_s_at	10.926
200626_s_at	10.983
200627_at	11.704
200628_s_at	7.365
200629_at	8.534
200630_x_at	12.136
200631_s_at	11.542
200632_s_at	9.087
200633_at	12.498
200634_at	10.811
200635_s_at	9.314
200636_s_at	10.862
200637_s_at	7.495
200638_s_at	9.92
200639_s_at	9.141
200640_at	8.786
200641_s_at	8.302
200642_at	11.964
200643_at	8.127
200644_at	8.55
200645_at	10.88
200646_s_at	4.797
200647_x_at	11.274
200648_s_at	6.65
200649_at	6.193
200650_s_at	11.964
200651_at	13.009
200652_at	10.425
200653_s_at	10.353
200654_at	9.946
200655_s_at	10.524
200656_s_at	8.19
200657_at	12.021
200658_s_at	10.095
200659_s_at	7.504
200660_at	10.553
200661_at	8.806
200662_s_at	11.415
200663_at	11.335
200664_s_at	8.865
200665_s_at	3.332
200666_s_at	9.465
200667_at	9.791
200668_s_at	11.372
200669_s_at	11.09
200670_at	8.31
200671_s_at	5.637
200672_x_at	7.823
200673_at	11.632
200674_s_at	13.046
200675_at	9.733
200676_s_at	5.632
200677_at	10.211
200678_x_at	8.26
200679_x_at	9.833
200680_x_at	11.387
200681_at	10.421
200682_s_at	10.402
200683_s_at	7.862
200684_s_at	7.119
200685_at	7.301
200686_s_at	11.205
200687_s_at	7.612
200688_at	5.121
200689_x_at	12.372
200690_at	8.686
200691_s_at	11.452
