^SAMPLE = GSM960294
!Sample_title = 12-HaCaT control c
!Sample_geo_accession = GSM960294
!Sample_status = Public on Jul 03 2013
!Sample_submission_date = Jul 12 2012
!Sample_last_update_date = Jul 03 2013
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = HaCaT cells, 72h growth
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: skin
!Sample_characteristics_ch1 = cell type: keratinocyte
!Sample_characteristics_ch1 = description: in vitro spontaneously transformed
!Sample_characteristics_ch1 = cell line: HaCaT
!Sample_biomaterial_provider_ch1 = CLS: #300493
!Sample_treatment_protocol_ch1 = attached cells (24 h after passaging), grown for 72 h in renewed medium
!Sample_growth_protocol_ch1 = cultured at 37°C, 5% CO2 in DMEM, supplemented with 10% fetal calf serum , 1% L-glutamine, 1% nonessential amino acids, 1% sodium pyruvate and 1% HEPES
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = 106 cells were lysed with TRIzol reagent for 3 minutes at RT, 20% chloroform was added, centrifuged for 15 minutes at 4°C at 13.000 g, RNA was further isolated with RNeasy Mini Kit (Qiagen)
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = RNA concentration and purity were determined spectrophotometrically using the Nanodrop ND-1000 (Nanodrop Technologies) and RNA integrity was assessed using a Bioanalyser 2100 (Agilent). Per sample, an amount of 100 ng of total RNA spiked with bacterial RNA transcript positive controls (Affymetrix) was amplified and labeled using the GeneChip 3' IVT express kit (Affymetrix). All steps were carried out according to the manufacturers protocol (Affymetrix).
!Sample_hyb_protocol = A mixture of purified and fragmented biotinylated aRNA and hybridisation controls (Affymetrix) was hybridised on Affymetrix HG U133 Plus 2.0 arrays followed by staining and washing in a GeneChip® fluidics station 450  (Affymetrix) according to the manufacturer’s procedures.
!Sample_scan_protocol = To assess the raw probe signal intensities, chips were scanned using a GeneChip® scanner 3000 (Affymetrix).
!Sample_description = ---
!Sample_data_processing = Data were normalized using RMA as implemented in the Affy package (version 1.34.0) of Bioconductor. Expression values are represented on a log2-scale.
!Sample_platform_id = GPL570
!Sample_contact_name = Rekin's,,Janky
!Sample_contact_email = Nucleomics.Bioinformatics@vib.be
!Sample_contact_department = Nucleomics Core
!Sample_contact_institute = VIB
!Sample_contact_address = Herestraat 49 Box 816
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = B-3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM960nnn/GSM960294/suppl/GSM960294_hyb12862.CEL.gz
!Sample_series_id = GSE39293
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 RMA normalized signal intensity
#ABS_CALL = the MAS 5.0 detection call in an absolute analysis that indicates if the transcript was present (P), absent (A), marginal (M), or no call (NC)
#DETECTION P-VALUE = 'detection p-value', p-value that indicates the significance level of the detection call
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	9.181570392	P	0.000266
1053_at	7.652496545	P	0.000219
117_at	3.051254206	M	0.05447
121_at	5.898326848	P	0.043968
1255_g_at	1.926065466	A	0.098017
1294_at	4.975608671	P	0.006532
1316_at	5.256025345	P	0.000219
1320_at	3.48727289	A	0.117161
1405_i_at	7.087564757	P	0.000491
1431_at	2.219081415	P	0.021866
1438_at	4.474796902	A	0.089405
1487_at	7.174833527	P	0.011447
1494_f_at	3.77444453	A	0.150527
1552256_a_at	5.976064035	P	0.003823
1552257_a_at	7.122278518	P	0.00222
1552258_at	4.340649104	A	0.164032
1552261_at	3.291350329	P	0.006396
1552263_at	5.626634551	P	0.001673
1552264_a_at	6.303431539	P	0.001673
1552266_at	1.52113141	A	0.394838
1552269_at	3.412140922	A	0.361054
1552271_at	3.785670602	A	0.983573
1552272_a_at	3.868759683	A	0.211798
1552274_at	5.631451513	P	0.003823
1552275_s_at	3.620629894	P	0.008184
1552276_a_at	3.749468323	A	0.296856
1552277_a_at	8.455102138	P	0.001673
1552278_a_at	4.674308961	A	0.143002
1552279_a_at	5.751842504	P	0.003823
1552280_at	2.365066269	A	0.733153
1552281_at	3.981651295	A	0.761547
1552283_s_at	4.245480855	P	0.00222
1552286_at	4.337436624	P	0.030942
1552287_s_at	7.21528015	P	0.001673
1552288_at	2.342931081	A	0.703144
1552289_a_at	2.618554198	A	0.605162
1552291_at	6.645049902	P	0.00222
1552293_at	2.749039696	A	0.464576
1552295_a_at	5.283316643	A	0.143002
1552296_at	2.275551136	A	0.908843
1552299_at	3.560544702	P	0.016427
1552301_a_at	5.251481174	P	0.001673
1552302_at	3.158096172	P	0.00222
1552303_a_at	4.54502703	P	0.003823
1552304_at	5.04438044	P	0.003823
1552306_at	5.916324395	P	0.001673
1552307_a_at	4.035695753	A	0.164032
1552309_a_at	3.984186952	P	0.001673
1552310_at	7.589859014	P	0.001673
1552311_a_at	5.039217353	A	0.143002
1552312_a_at	6.048864604	P	0.001673
1552314_a_at	4.102154582	P	0.001673
1552315_at	3.141607901	A	0.394838
1552316_a_at	1.912783477	A	0.328321
1552318_at	1.597818447	A	0.835968
1552319_a_at	6.620052533	P	0.001673
1552320_a_at	1.684933122	A	0.238453
1552321_a_at	1.69483438	A	0.394838
1552322_at	2.177076265	A	0.091157
1552323_s_at	4.052026052	P	0.002924
1552325_at	1.338744747	A	0.570568
1552326_a_at	2.362481808	A	0.813028
1552327_at	2.559983886	A	0.07743
1552329_at	6.228219365	P	0.001673
1552330_at	5.870853141	P	0.001673
1552332_at	6.641846323	A	0.266847
1552334_at	5.084810651	P	0.006396
1552335_at	5.847293588	P	0.010398
1552337_s_at	1.868334587	A	0.570568
1552338_at	2.599288584	A	0.97477
1552340_at	2.5491104	A	0.788202
1552343_s_at	3.145718885	P	0.02043
1552344_s_at	6.526769371	P	0.001673
1552347_at	5.384807278	P	0.001673
1552348_at	2.66196399	A	0.394838
1552349_a_at	2.864558599	A	0.703144
1552354_at	3.104089805	A	0.986884
