^SAMPLE = GSM206457
!Sample_title = CL40
!Sample_geo_accession = GSM206457
!Sample_status = Public on Aug 31 2007
!Sample_submission_date = Jun 29 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = CL40 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = No treatment.  See ATCC/DSMZ for cell line details.
!Sample_growth_protocol_ch1 = B128RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_hyb_protocol = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_scan_protocol = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_description = Baseline gene expression for cancer cell line grown in vitro
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings (see Clin Cancer Res 2005;11(24) December 15, 2005).  The mean value of replicates was used.
!Sample_platform_id = GPL570
!Sample_contact_name = Guy,,Cavet
!Sample_contact_institute = Genentech, Inc.
!Sample_contact_address = 1 DNA Way MS93
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM206nnn/GSM206457/suppl/GSM206457_1.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM206nnn/GSM206457/suppl/GSM206457_2.CEL.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE8332
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal intensity
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	508.65
AFFX-BioB-M_at	939.64
AFFX-BioB-3_at	495.02
AFFX-BioC-5_at	1438.95
AFFX-BioC-3_at	1701.41
AFFX-BioDn-5_at	1879.82
AFFX-BioDn-3_at	7536.06
AFFX-CreX-5_at	16743.15
AFFX-CreX-3_at	18274.24
AFFX-DapX-5_at	4412.67
AFFX-DapX-M_at	7071.68
AFFX-DapX-3_at	8100.16
AFFX-LysX-5_at	1001.88
AFFX-LysX-M_at	1269.24
AFFX-LysX-3_at	2737.58
AFFX-PheX-5_at	1348.11
AFFX-PheX-M_at	1564.51
AFFX-PheX-3_at	1150.78
AFFX-ThrX-5_at	16827.58
AFFX-ThrX-M_at	20293.7
AFFX-ThrX-3_at	23435.7
AFFX-TrpnX-5_at	15.73
AFFX-TrpnX-M_at	5.68
AFFX-TrpnX-3_at	22.3
AFFX-r2-Ec-bioB-5_at	504.12
AFFX-r2-Ec-bioB-M_at	801.33
AFFX-r2-Ec-bioB-3_at	714.87
AFFX-r2-Ec-bioC-5_at	1512.52
AFFX-r2-Ec-bioC-3_at	2183.35
AFFX-r2-Ec-bioD-5_at	6787.34
AFFX-r2-Ec-bioD-3_at	7321.21
AFFX-r2-P1-cre-5_at	22023.96
AFFX-r2-P1-cre-3_at	25160.97
AFFX-r2-Bs-dap-5_at	4664.28
AFFX-r2-Bs-dap-M_at	9153.68
AFFX-r2-Bs-dap-3_at	9977.45
AFFX-r2-Bs-lys-5_at	1599.62
AFFX-r2-Bs-lys-M_at	1739.92
AFFX-r2-Bs-lys-3_at	1576.07
AFFX-r2-Bs-phe-5_at	1656.02
AFFX-r2-Bs-phe-M_at	2090.48
AFFX-r2-Bs-phe-3_at	2981.11
AFFX-r2-Bs-thr-3_s_at	26842.09
AFFX-r2-Bs-thr-M_s_at	24450.78
AFFX-r2-Bs-thr-5_s_at	19447.65
AFFX-HUMISGF3A/M97935_5_at	791.53
AFFX-HUMISGF3A/M97935_MA_at	1612.12
AFFX-HUMISGF3A/M97935_MB_at	1756.25
AFFX-HUMISGF3A/M97935_3_at	4661.97
AFFX-HUMRGE/M10098_5_at	2369.82
