^SAMPLE = GSM1230106
!Sample_title = BT-474_PTX_2
!Sample_geo_accession = GSM1230106
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = BT-474 Paclitaxel_24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: BT-474
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230106/suppl/GSM1230106_CEL_284_4847_04_03_2012.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	6.421
AFFX-BioB-M_at	6.615
AFFX-BioB-3_at	6.324
AFFX-BioC-5_at	8.323
AFFX-BioC-3_at	8.897
AFFX-BioDn-5_at	9.919
AFFX-BioDn-3_at	10.849
AFFX-CreX-5_at	11.898
AFFX-CreX-3_at	12.217
AFFX-DapX-5_at	2.337
AFFX-DapX-M_at	2.192
AFFX-DapX-3_at	2.771
AFFX-LysX-5_at	2.108
AFFX-LysX-M_at	3.015
AFFX-LysX-3_at	2.071
AFFX-PheX-5_at	2.678
AFFX-PheX-M_at	2.591
AFFX-PheX-3_at	3.897
AFFX-ThrX-5_at	2.698
AFFX-ThrX-M_at	2.329
AFFX-ThrX-3_at	3.642
AFFX-TrpnX-5_at	3.243
AFFX-TrpnX-M_at	2.818
AFFX-TrpnX-3_at	2.178
AFFX-r2-Ec-bioB-5_at	6.625
AFFX-r2-Ec-bioB-M_at	6.75
AFFX-r2-Ec-bioB-3_at	6.836
AFFX-r2-Ec-bioC-5_at	8.84
AFFX-r2-Ec-bioC-3_at	9.144
AFFX-r2-Ec-bioD-5_at	11.163
AFFX-r2-Ec-bioD-3_at	11.408
AFFX-r2-P1-cre-5_at	12.531
AFFX-r2-P1-cre-3_at	12.653
AFFX-r2-Bs-dap-5_at	2.684
AFFX-r2-Bs-dap-M_at	2.128
AFFX-r2-Bs-dap-3_at	1.904
AFFX-r2-Bs-lys-5_at	2.123
AFFX-r2-Bs-lys-M_at	2.276
AFFX-r2-Bs-lys-3_at	2.289
AFFX-r2-Bs-phe-5_at	2.179
AFFX-r2-Bs-phe-M_at	2.438
AFFX-r2-Bs-phe-3_at	2.449
AFFX-r2-Bs-thr-3_s_at	3.448
AFFX-r2-Bs-thr-M_s_at	3.2
AFFX-r2-Bs-thr-5_s_at	2.819
AFFX-HUMISGF3A/M97935_5_at	4.736
AFFX-HUMISGF3A/M97935_MA_at	5.758
AFFX-HUMISGF3A/M97935_MB_at	6.279
AFFX-HUMISGF3A/M97935_3_at	8.72
AFFX-HUMRGE/M10098_5_at	12.907
AFFX-HUMRGE/M10098_M_at	12.337
AFFX-HUMRGE/M10098_3_at	11.763
