^SAMPLE = GSM1589673
!Sample_title = BA Her2, TUM038_repB
!Sample_geo_accession = GSM1589673
!Sample_status = Public on Jan 23 2015
!Sample_submission_date = Jan 22 2015
!Sample_last_update_date = Jan 23 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Breast tumor sample from IHC defined Er- Her2+ subgroup
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample_group: Her2
!Sample_characteristics_ch1 = array_batch: B7
!Sample_characteristics_ch1 = hybridation batch: H4
!Sample_growth_protocol_ch1 = Tumor samples were obtained from patients treated at the hospital of Institut Curie (Biological Resource Center, Paris, France). Healthy samples were obtained from mammary plastic surgery. Cell lines were grown from the American Type Culture Collection (ATCC),
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted and purified from frozen tumor samples using the RNeasy Mini Kit (Qiagen) followed by the RNA clean up kit (Macherey Nagel), according to manufacturers’ instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Following RNA quality and quantity control, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.
!Sample_hyb_protocol = standard Affymetrix protocol
!Sample_scan_protocol = standard Affymetrix protocol
!Sample_description = Breast tumor sample from IHC defined Er- Her2+ subgroup
!Sample_data_processing = Data were analyzed using standard AffyCDF or Brainarray HGU133Plus2_Hs_ENTREZG version 13 custom chipset definition file. Data were normalized using GC-RMA. Batch and hybridization effects were corrected using a linear model in which they were treated as fixed effects. Samples with technical replicates were subsequently averaged.
!Sample_platform_id = GPL14877
!Sample_contact_name = Thierry,,Dubois
!Sample_contact_email = thierry.dubois@curie.fr
!Sample_contact_laboratory = Breast Cancer Biology Group
!Sample_contact_department = Recherche Center
!Sample_contact_institute = Institut Curie
!Sample_contact_address = 26 rue d’Ulm
!Sample_contact_city = PARIS
!Sample_contact_zip/postal_code = 75005
!Sample_contact_country = France
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1589nnn/GSM1589673/suppl/GSM1589673_BC04_ARN0053_s1h1s1_U133p2.CEL.gz
!Sample_relation = Reanalysis of: GSM1589023
!Sample_series_id = GSE65212
!Sample_series_id = GSE65216
!Sample_data_row_count = 18123
#ID_REF = 
#VALUE = log2 GCRMA signal from Brainarray Entrez V13 custom cdf
!sample_table_begin
ID_REF	VALUE
100009676_at	2.005909813
10000_at	2.546453647
10001_at	7.85829778
10002_at	2.519083349
10003_at	2.443989894
100048912_at	2.084188823
100049716_at	2.811521549
10004_at	2.164944587
10005_at	6.884847453
10006_at	9.965762544
10007_at	9.0064882
10008_at	2.613094835
100093630_at	9.214688235
10009_at	7.786071991
1000_at	2.687738353
100101938_at	1.879723581
10010_at	9.742393628
100113407_at	4.487176983
10011_at	7.517258843
100124700_at	3.983541414
100125288_at	2.480093815
100126784_at	2.371759052
100126791_at	2.091134134
100126793_at	2.380158911
100127886_at	2.357900074
100127888_at	1.963172452
100127891_at	2.68482759
100127983_at	3.168768855
100128003_at	2.100675052
100128025_at	1.755405289
100128071_at	1.784283721
100128074_at	1.844327498
100128090_at	2.042623433
100128093_at	2.175101621
100128098_at	7.923674962
100128124_at	2.994231457
100128126_at	1.930340671
100128139_at	2.453418689
100128164_at	2.128459167
100128191_at	2.244103304
100128236_at	1.941302862
100128239_at	2.217256901
100128288_at	3.508048811
100128292_at	2.416711692
100128334_at	3.789646442
100128361_at	1.993457813
100128370_at	2.658426683
100128392_at	2.641236839
100128403_at	1.86032984
100128430_at	2.392381557
100128496_at	2.094253969
100128511_at	1.995089963
100128731_at	11.63201199
100128737_at	1.967735097
100128782_at	2.16526903
100128788_at	2.124050916
100128822_at	7.325270382
100128843_at	2.208451452
100128881_at	1.476386011
100128893_at	2.73807484
100128909_at	1.880201724
100128922_at	2.279413449
100128927_at	4.164108095
100128977_at	2.132444601
100128998_at	2.575541395
100129098_at	2.68416975
100129104_at	2.759690238
100129122_at	2.59200326
100129128_at	1.683363125
100129194_at	2.020916819
100129195_at	4.816950431
100129250_at	5.258370279
100129268_at	2.239068022
100129271_at	2.0675228
100129335_at	1.988714529
100129361_at	9.634685551
100129387_at	5.705173156
100129482_at	4.618716322
100129500_at	1.777359121
100129503_at	2.091204828
100129550_at	3.301814191
100129637_at	2.250950408
100129656_at	1.909473164
100129716_at	1.940916834
100129726_at	2.054607927
100129792_at	2.611919318
100129794_at	2.8497358
100129827_at	2.089839218
100129890_at	2.308168255
100129907_at	2.503588842
100129935_at	2.212908192
100129969_at	2.153128315
100129988_at	2.289711572
100130054_at	1.920665175
100130100_at	9.196069267
100130111_at	2.158039125
100130155_at	2.344391799
100130262_at	2.067218381
100130264_at	2.432250014
100130285_at	3.018378806
100130331_at	1.970833231
100130418_at	2.369778716
100130449_at	2.207096078
100130452_at	2.325588285
100130458_at	2.100054549
100130494_at	1.767712386
100130502_at	1.78971509
100130503_at	2.48510819
100130522_at	2.256774452
100130557_at	2.066916953
100130613_at	2.819627432
100130633_at	8.348991393
100130691_at	2.752481844
100130700_at	2.969003227
100130717_at	1.921149327
100130733_at	3.089218685
100130776_at	1.745412017
100130840_at	2.294148313
100130872_at	2.25927738
100130889_at	2.181575459
100130905_at	1.716008149
100130911_at	2.458005299
100130938_at	1.936321986
100130958_at	4.296858416
100130967_at	1.857532883
100130987_at	3.956670093
100130992_at	2.486068438
100131138_at	2.408023096
100131187_at	10.37753913
100131211_at	2.444310832
100131213_at	2.519224118
100131227_at	1.870103723
100131261_at	8.948351368
100131283_at	2.546185491
100131311_at	1.779632142
100131354_at	1.846070769
100131414_at	5.539654705
100131435_at	2.265463093
100131454_at	2.380792851
100131455_at	1.793127477
100131496_at	2.641198873
100131512_at	2.427851442
100131561_at	1.874036951
100131564_at	3.549212945
100131683_at	2.072248141
100131733_at	2.691847891
100131754_at	15.63666257
100131756_at	2.287056647
100131801_at	8.747482873
100131814_at	2.37710896
100131816_at	2.020354478
100131827_at	1.879563699
100132013_at	4.141270417
100132051_at	2.090815461
100132234_at	2.062632256
100132288_at	6.924156541
100132319_at	2.138350953
100132341_at	5.652709275
100132354_at	2.269950363
100132356_at	2.164486301
100132369_at	2.472707097
100132386_at	1.779220658
100132464_at	5.27595465
100132570_at	1.840190056
100132596_at	2.098429984
100132618_at	2.249336148
100132625_at	1.771833221
100132707_at	2.145760734
100132767_at	1.956034671
100132884_at	4.143622626
100132911_at	2.483913522
100132923_at	2.373503463
100133116_at	1.844897909
100133142_at	2.472017448
100133205_at	2.425687771
