^SAMPLE = GSM1589689
!Sample_title = BA TNBC, TUM051_repA
!Sample_geo_accession = GSM1589689
!Sample_status = Public on Jan 23 2015
!Sample_submission_date = Jan 22 2015
!Sample_last_update_date = Jun 18 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Breast tumor sample from IHC defined Triple Negative subgroup
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample_group: TNBC
!Sample_characteristics_ch1 = array_batch: B2
!Sample_characteristics_ch1 = hybridation batch: H3
!Sample_growth_protocol_ch1 = Tumor samples were obtained from patients treated at the hospital of Institut Curie (Biological Resource Center, Paris, France). Healthy samples were obtained from mammary plastic surgery. Cell lines were grown from the American Type Culture Collection (ATCC),
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted and purified from frozen tumor samples using the RNeasy Mini Kit (Qiagen) followed by the RNA clean up kit (Macherey Nagel), according to manufacturers’ instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Following RNA quality and quantity control, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.
!Sample_hyb_protocol = standard Affymetrix protocol
!Sample_scan_protocol = standard Affymetrix protocol
!Sample_description = Breast tumor sample from IHC defined Triple Negative subgroup
!Sample_data_processing = Data were analyzed using standard AffyCDF or Brainarray HGU133Plus2_Hs_ENTREZG version 13 custom chipset definition file. Data were normalized using GC-RMA. Batch and hybridization effects were corrected using a linear model in which they were treated as fixed effects. Samples with technical replicates were subsequently averaged.
!Sample_platform_id = GPL14877
!Sample_contact_name = Thierry,,Dubois
!Sample_contact_email = thierry.dubois@curie.fr
!Sample_contact_laboratory = Breast Cancer Biology Group
!Sample_contact_department = Recherche Center
!Sample_contact_institute = Institut Curie
!Sample_contact_address = 26 rue d’Ulm
!Sample_contact_city = PARIS
!Sample_contact_zip/postal_code = 75005
!Sample_contact_country = France
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1589nnn/GSM1589689/suppl/GSM1589689_BC16_ARN0069_s1h1s1_U133p2.CEL.gz
!Sample_relation = Reanalysis of: GSM1589039
!Sample_relation = Reanalyzed by: GSM1715193
!Sample_series_id = GSE65212
!Sample_series_id = GSE65216
!Sample_data_row_count = 18123
#ID_REF = 
#VALUE = log2 GCRMA signal from Brainarray Entrez V13 custom cdf
!sample_table_begin
ID_REF	VALUE
100009676_at	2.013680771
10000_at	3.683758964
10001_at	7.672729373
10002_at	2.528602523
10003_at	2.495638848
100048912_at	2.093095177
100049716_at	5.20483034
10004_at	2.179597424
10005_at	5.360468859
10006_at	11.36136581
10007_at	8.622023047
10008_at	2.672141111
100093630_at	9.980112757
10009_at	8.068344458
1000_at	2.906014258
100101938_at	1.862154258
10010_at	9.231719563
100113407_at	3.649345863
10011_at	7.065375841
100124700_at	2.768715179
100125288_at	2.299011753
100126784_at	2.379857435
100126791_at	2.10008633
100126793_at	2.406583147
100127886_at	2.4026955
100127888_at	1.980072822
100127891_at	2.400796917
100127983_at	3.183875898
100128003_at	2.106362719
100128025_at	1.764419507
100128071_at	1.791549345
100128074_at	1.883622856
100128090_at	2.057529332
100128093_at	2.166910171
100128098_at	2.73991069
100128124_at	3.026660457
100128126_at	1.942019667
100128139_at	2.504788054
100128164_at	2.1482586
100128191_at	2.248922602
100128236_at	1.958460248
100128239_at	2.235579968
100128288_at	3.864299763
100128292_at	2.414624881
100128334_at	3.589918588
100128361_at	2.00894511
100128370_at	2.60559472
100128392_at	2.647896667
100128403_at	1.872353882
100128430_at	2.300890955
100128496_at	2.096910309
100128511_at	2.012032656
100128731_at	11.05485909
100128737_at	1.988620896
100128782_at	2.171456157
100128788_at	2.124224821
100128822_at	9.988380604
100128843_at	2.236368548
100128881_at	1.475744356
100128893_at	3.235022363
100128909_at	1.892761978
100128922_at	2.318050605
100128927_at	2.467712885
100128977_at	2.151597478
100128998_at	2.618495999
100129098_at	2.663326775
100129104_at	3.437274151
100129122_at	2.589252833
100129128_at	1.769993312
100129194_at	2.038850074
100129195_at	4.29819028
100129250_at	4.30388112
100129268_at	2.211633166
100129271_at	2.132019607
100129335_at	2.009672906
100129361_at	11.61421825
100129387_at	5.192355952
100129482_at	4.597512948
100129500_at	1.785690153
100129503_at	2.088488301
100129550_at	3.597738732
100129637_at	2.456178228
100129656_at	1.93001187
100129716_at	1.947047122
100129726_at	2.084964762
100129792_at	2.679303271
100129794_at	2.923134686
100129827_at	2.128725579
100129890_at	2.349760962
100129907_at	2.623907459
100129935_at	2.225942273
100129969_at	2.146344701
100129988_at	2.328225678
100130054_at	1.933391777
100130100_at	3.258686146
100130111_at	2.169058917
100130155_at	2.365025372
100130262_at	2.061324626
100130264_at	2.468876997
100130285_at	3.204727175
100130331_at	1.971847787
100130418_at	2.468076387
100130449_at	1.968933141
100130452_at	2.368482676
100130458_at	2.118035456
100130494_at	1.794427342
100130502_at	3.370658079
