^SAMPLE = GSM276761
!Sample_title = 92.1_Signal_8387
!Sample_geo_accession = GSM276761
!Sample_status = Public on Jan 29 2009
!Sample_submission_date = Mar 21 2008
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = human melanoma, melphalan
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = treatment: melphalan
!Sample_characteristics_ch1 = metastatic melanoma
!Sample_characteristics_ch1 = BRAF Mutant
!Sample_characteristics_ch1 = NRAS WT
!Sample_biomaterial_provider_ch1 = Dr. P. Mruthyunjaya, Eye Center, Duke University Medical Center
!Sample_treatment_protocol_ch1 = Cells were grown in standard media (Iscove) supplemented with 10% fetal bovine serum, 2mM L-glutaming and 1% penicillin/streptomycin.   No other drugs or treatments were added.
!Sample_growth_protocol_ch1 = Cells were grown in a sterile incubator maintained at 37°C, 5%CO2.  Cells were split every 3 to 5 days at 1:5 to 1:10 (depending on growth rate) using 0.25% trypsin.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Cells were harvested from a T150 flask at 80% confluence and RNA isolated using Qiagen RNeasy-plus kit which included a step to eliminate genomic DNA.  Cell pellets were lysed with Qiagen RLT lysis buffer containing 1% β-mercaptoethanol.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = one-cycle cDNA synthesis of 1ug total RNA followed by in-vitro transcription and biotin labeling of antisense cRNA
!Sample_hyb_protocol = Labeled cRNA was hybridized to the HU133plus2 Affymetrix GeneChip for 16hrs followed by washing and staining with biotinylated antistreptavidin antibody according to standard Affymetrix protocols.
!Sample_scan_protocol = Stained array was scanned using the Affymetrix Microarray Suite (GeneChip Operating Software - GCOS) and the GeneChip Scanner 3000
!Sample_description = cells grown in culture for less than 20 passages.
!Sample_data_processing = Expression values across 54675 probe sets or genes were calculated as a function of the difference between the perfect match and mismatch probe signal intensities.  Values were normalized with a scaling factor unique to each array such that average signal intensity for each array was equal to 500.
!Sample_platform_id = GPL570
!Sample_contact_name = Christina,,Augustine
!Sample_contact_email = christi.augustine@duke.edu
!Sample_contact_department = Surgery
!Sample_contact_institute = Duke University Medical Center
!Sample_contact_address = VAMC RmE4001 508 Fulton St.
!Sample_contact_city = Durham
!Sample_contact_state = NC
!Sample_contact_zip/postal_code = 27705
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM276nnn/GSM276761/suppl/GSM276761.CEL.gz
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE10916
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	335.3	P	0.0014
AFFX-BioB-M_at	480.6	P	0.0003
AFFX-BioB-3_at	352.7	P	0.0016
AFFX-BioC-5_at	836.4	P	0.0001
AFFX-BioC-3_at	1222.0	P	0.0000
AFFX-BioDn-5_at	2347.3	P	0.0001
AFFX-BioDn-3_at	5640.2	P	0.0003
AFFX-CreX-5_at	14500.1	P	0.0000
AFFX-CreX-3_at	21026.7	P	0.0000
AFFX-DapX-5_at	29.6	A	0.2628
AFFX-DapX-M_at	14.9	A	0.7249
AFFX-DapX-3_at	26.1	A	0.4406
AFFX-LysX-5_at	2.9	A	0.7943
AFFX-LysX-M_at	56.7	A	0.5594
AFFX-LysX-3_at	3.6	A	0.4851
AFFX-PheX-5_at	24.2	A	0.5298
AFFX-PheX-M_at	2.4	A	0.9800
AFFX-PheX-3_at	48.6	A	0.3545
AFFX-ThrX-5_at	18.0	A	0.7724
AFFX-ThrX-M_at	45.6	A	0.5446
AFFX-ThrX-3_at	32.9	A	0.5000
AFFX-TrpnX-5_at	44.0	A	0.2057
AFFX-TrpnX-M_at	3.9	A	0.9603
AFFX-TrpnX-3_at	5.6	A	0.5886
AFFX-r2-Ec-bioB-5_at	420.4	P	0.0002
AFFX-r2-Ec-bioB-M_at	594.6	P	0.0002
AFFX-r2-Ec-bioB-3_at	462.3	P	0.0002
AFFX-r2-Ec-bioC-5_at	1343.1	P	0.0002
AFFX-r2-Ec-bioC-3_at	1516.8	P	0.0002
AFFX-r2-Ec-bioD-5_at	6160.6	P	0.0002
AFFX-r2-Ec-bioD-3_at	7595.9	P	0.0002
AFFX-r2-P1-cre-5_at	25315.1	P	0.0002
AFFX-r2-P1-cre-3_at	34512.8	P	0.0002
AFFX-r2-Bs-dap-5_at	2.7	A	0.9893
AFFX-r2-Bs-dap-M_at	1.9	A	0.8884
AFFX-r2-Bs-dap-3_at	9.5	A	0.8286
AFFX-r2-Bs-lys-5_at	19.9	A	0.3037
AFFX-r2-Bs-lys-M_at	19.2	A	0.2742
AFFX-r2-Bs-lys-3_at	22.8	A	0.3037
AFFX-r2-Bs-phe-5_at	7.5	A	0.8503
AFFX-r2-Bs-phe-M_at	3.3	A	0.9048
AFFX-r2-Bs-phe-3_at	52.0	A	0.2461
AFFX-r2-Bs-thr-3_s_at	9.2	A	0.8884
AFFX-r2-Bs-thr-M_s_at	46.2	A	0.6011
AFFX-r2-Bs-thr-5_s_at	64.7	M	0.0535
AFFX-HUMISGF3A/M97935_5_at	166.2	P	0.0020
AFFX-HUMISGF3A/M97935_MA_at	704.7	P	0.0056
AFFX-HUMISGF3A/M97935_MB_at	455.1	P	0.0000
AFFX-HUMISGF3A/M97935_3_at	1602.9	P	0.0001
AFFX-HUMRGE/M10098_5_at	814.0	P	0.0001
AFFX-HUMRGE/M10098_M_at	996.8	P	0.0001
AFFX-HUMRGE/M10098_3_at	942.4	P	0.0006
AFFX-HUMGAPDH/M33197_5_at	47829.3	P	0.0000
AFFX-HUMGAPDH/M33197_M_at	44905.3	P	0.0000
AFFX-HUMGAPDH/M33197_3_at	50738.7	P	0.0000
AFFX-HSAC07/X00351_5_at	31430.4	P	0.0000
AFFX-HSAC07/X00351_M_at	39361.3	P	0.0000
AFFX-HSAC07/X00351_3_at	40587.9	P	0.0000
AFFX-M27830_5_at	7153.1	P	0.0000
AFFX-M27830_M_at	9631.7	P	0.0001
AFFX-M27830_3_at	364.4	A	0.1022
AFFX-hum_alu_at	56796.8	P	0.0000
1007_s_at	1600.6	P	0.0005
1053_at	2223.8	P	0.0002
117_at	237.1	P	0.0010
121_at	648.6	P	0.0219
1255_g_at	46.3	A	0.1897
1294_at	235.5	P	0.0100
1316_at	121.0	P	0.0042
1320_at	62.5	A	0.3980
1405_i_at	4.7	A	0.8773
1431_at	21.3	A	0.4384
1438_at	252.2	P	0.0313
1487_at	1737.8	P	0.0036
1494_f_at	235.8	P	0.0394
1598_g_at	452.8	A	0.2346
160020_at	1889.3	P	0.0011
1729_at	485.5	P	0.0008
1773_at	1436.0	P	0.0006
177_at	144.7	P	0.0036
179_at	548.2	A	0.0813
1861_at	355.9	P	0.0049
200000_s_at	8751.6	P	0.0002
200001_at	10845.7	P	0.0002
200002_at	30540.5	P	0.0002
200003_s_at	40816.4	P	0.0002
200004_at	29736.6	P	0.0002
200005_at	14812.1	P	0.0002
200006_at	20720.9	P	0.0002
200007_at	12049.4	P	0.0002
200008_s_at	5781.5	P	0.0002
200009_at	14068.7	P	0.0002
200010_at	32747.0	P	0.0002
200011_s_at	3504.9	P	0.0002
200012_x_at	30254.2	P	0.0002
200013_at	40649.2	P	0.0002
200014_s_at	7535.9	P	0.0002
200015_s_at	1843.0	P	0.0012
200016_x_at	36660.2	P	0.0002
200017_at	44402.2	P	0.0002
200018_at	46177.2	P	0.0002
200019_s_at	28915.6	P	0.0002
200020_at	9619.7	P	0.0002
200021_at	37806.3	P	0.0007
200022_at	37366.0	P	0.0002
200023_s_at	20564.3	P	0.0002
200024_at	25898.2	P	0.0002
200025_s_at	39221.2	P	0.0002
200026_at	32219.3	P	0.0002
200027_at	14400.0	P	0.0002
200028_s_at	10615.9	P	0.0002
200029_at	43220.4	P	0.0002
200030_s_at	25916.0	P	0.0002
200031_s_at	56680.7	P	0.0002
200032_s_at	39330.5	P	0.0002
200033_at	14455.5	P	0.0002
200034_s_at	30013.3	P	0.0002
200035_at	2633.7	P	0.0002
200036_s_at	25764.8	P	0.0002
200037_s_at	10104.7	P	0.0002
200038_s_at	39771.9	P	0.0002
200039_s_at	19361.7	P	0.0002
200040_at	8387.8	P	0.0002
200041_s_at	18321.3	P	0.0002
200042_at	5286.7	P	0.0002
200043_at	18408.3	P	0.0002
200044_at	7293.4	P	0.0002
200045_at	5433.4	P	0.0002
200046_at	6874.6	P	0.0002
200047_s_at	5441.9	P	0.0002
200048_s_at	11815.1	P	0.0002
200049_at	1682.6	P	0.0002
200050_at	2840.1	P	0.0007
200051_at	1591.6	P	0.0002
200052_s_at	8263.1	P	0.0002
200053_at	3044.5	P	0.0002
200054_at	1420.3	P	0.0007
200055_at	8950.6	P	0.0002
200056_s_at	1287.5	P	0.0002
200057_s_at	37497.7	P	0.0002
200058_s_at	10697.7	P	0.0002
200059_s_at	21296.2	P	0.0002
200060_s_at	11016.1	P	0.0002
200061_s_at	33772.5	P	0.0002
200062_s_at	35815.9	P	0.0002
200063_s_at	40010.0	P	0.0002
200064_at	42142.5	P	0.0002
200065_s_at	22411.3	P	0.0002
200066_at	2980.6	P	0.0002
200067_x_at	5751.9	P	0.0002
200068_s_at	17215.7	P	0.0002
200069_at	802.0	P	0.0002
200070_at	1405.7	P	0.0002
200071_at	2830.7	P	0.0002
200072_s_at	10604.6	P	0.0002
200073_s_at	8044.6	P	0.0002
200074_s_at	31881.1	P	0.0002
200075_s_at	3995.8	P	0.0002
200076_s_at	2464.4	P	0.0007
200077_s_at	25873.1	P	0.0002
200078_s_at	8272.2	P	0.0002
200079_s_at	11589.5	P	0.0002
200080_s_at	15947.3	P	0.0002
200081_s_at	34952.7	P	0.0002
200082_s_at	35852.8	P	0.0002
200083_at	12062.6	P	0.0002
200084_at	11007.6	P	0.0002
200085_s_at	7792.5	P	0.0002
200086_s_at	10890.9	P	0.0002
200087_s_at	6639.1	P	0.0002
200088_x_at	44125.2	P	0.0002
200089_s_at	25054.5	P	0.0002
200090_at	5251.2	P	0.0002
200091_s_at	19693.2	P	0.0002
200092_s_at	42898.3	P	0.0002
200093_s_at	14839.7	P	0.0002
200094_s_at	31103.7	P	0.0002
200095_x_at	54104.6	P	0.0002
200096_s_at	13085.0	P	0.0002
200097_s_at	8866.4	P	0.0002
200098_s_at	6526.1	P	0.0002
200099_s_at	42143.3	P	0.0002
200593_s_at	7268.7	P	0.0002
200594_x_at	10600.3	P	0.0002
200595_s_at	6595.5	P	0.0002
200596_s_at	5099.6	P	0.0002
