^SAMPLE = GSM1035335
!Sample_title = SU-DHL-7
!Sample_geo_accession = GSM1035335
!Sample_status = Public on Nov 10 2012
!Sample_submission_date = Nov 09 2012
!Sample_last_update_date = Nov 10 2012
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Diffuse large B-cell lymphoma cell line SUDHL7
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: SUDHL7
!Sample_characteristics_ch1 = cell type: diffuse large B-cell lymphoma (DLBCL) cells
!Sample_characteristics_ch1 = tumor subtype: germinal center B-cell like
!Sample_treatment_protocol_ch1 = No treatment was performed.
!Sample_growth_protocol_ch1 = Cells were grown in RPMI 1640 10 mM HEPES supplemented with 10% fetal bovine serum, 100 units/mL of penicillin and 100 mg/mL of streptomycin at 37ºC and 5% CO2.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = The cells were harvested with TRIzol Reagent (Invitrogen) and the RNA was extracted according to the manufacturer's instructions. As a last step of the extraction procedure, the RNA was purified with the RNeasy Mini-kit (Qiagen, Hilden, Germany).
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = The cDNA was prepared from 2 microg total RNA using the One-Cycle cDNA Synthesis kit from Affymetrix. This cDNA was used for synthesizing the cRNA using the IVT labeling kit (Affymetrix). The synthesized cRNA was purified with the GeneChip Sample Cleanup Module (Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 15 microg of cRNA were hybridized to the Affymetrix HG-U133 Plus 2.0 chip according to the protocols provided by the manufacturer.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 from Affymetrix.
!Sample_description = Gene expression data from a DLBCL cell line.
!Sample_data_processing = Data were normalized with Bioconductor software using the RMA algorithm.
!Sample_platform_id = GPL570
!Sample_contact_name = Raquel,,Malumbres
!Sample_contact_email = rmalumbres@yahoo.com
!Sample_contact_phone = +34 948194700
!Sample_contact_laboratory = Multiple Myeloma
!Sample_contact_department = Hemato-Oncology
!Sample_contact_institute = University of Navarra/ Clínica Universidad de Navarra
!Sample_contact_address = Avenida Pio XII 55
!Sample_contact_city = Pamplona
!Sample_contact_state = Navarra
!Sample_contact_zip/postal_code = 31008
!Sample_contact_country = Spain
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1035nnn/GSM1035335/suppl/GSM1035335_SU_DHL_7.CEL.gz
!Sample_series_id = GSE42203
!Sample_series_id = GSE42204
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = RMA signal
!sample_table_begin
ID_REF	VALUE
1007_s_at	59.77709537
1053_at	505.5421309
117_at	30.28088444
121_at	160.7181468
1255_g_at	8.155830188
1294_at	235.1937615
1316_at	23.93834077
1320_at	11.82741943
1405_i_at	35.52576633
1431_at	12.78612673
1438_at	55.59425682
1487_at	326.8464565
1494_f_at	41.6880203
1552256_a_at	466.6111087
1552257_a_at	447.4475574
1552258_at	26.02725416
1552261_at	15.85707892
1552263_at	160.8886475
1552264_a_at	325.5674676
1552266_at	6.283391914
1552269_at	7.169999004
1552271_at	25.37217961
1552272_a_at	32.50099843
1552274_at	353.6319481
1552275_s_at	340.5286979
1552276_a_at	48.01408146
1552277_a_at	234.753475
1552278_a_at	9.489016021
1552279_a_at	56.55588002
1552280_at	13.48669644
1552281_at	62.72698647
1552283_s_at	50.03343354
1552286_at	46.48300048
1552287_s_at	269.0714342
1552288_at	10.59041628
1552289_a_at	20.12026981
1552291_at	208.2115347
1552293_at	15.07309545
1552295_a_at	114.0545451
1552296_at	11.51818006
1552299_at	17.38856251
1552301_a_at	35.93559134
1552302_at	35.23540091
1552303_a_at	44.50463107
1552304_at	27.59069801
1552306_at	55.60623633
1552307_a_at	7.462381604
1552309_a_at	11.83949256
1552310_at	80.77342344
1552311_a_at	58.98385245
1552312_a_at	147.5488323
1552314_a_at	31.80793031
1552315_at	18.5549751
1552316_a_at	7.205690198
1552318_at	12.5200576
1552319_a_at	11.71138394
1552320_a_at	5.587839825
1552321_a_at	6.135489246
1552322_at	41.32199388
1552323_s_at	185.4501172
1552325_at	5.379751135
1552326_a_at	13.34437403
1552327_at	7.865516684
1552329_at	115.7943099
1552330_at	79.33805786
1552332_at	100.0016572
1552334_at	62.29952754
1552335_at	30.11048417
1552337_s_at	12.0933105
1552338_at	16.53164669
1552340_at	20.72505802
1552343_s_at	19.65336876
1552344_s_at	128.2132308
1552347_at	168.7541599
1552348_at	31.88312541
1552349_a_at	11.00508128
1552354_at	14.87440883
1552355_s_at	39.09226992
1552359_at	6.570548036
1552360_a_at	94.75157106
1552362_a_at	128.2507797
1552364_s_at	151.4458972
1552365_at	6.461009602
1552367_a_at	6.410843458
1552368_at	10.06382069
1552370_at	138.2976093
1552372_at	4.782249273
1552373_s_at	4.908490078
1552375_at	15.22525953
1552377_s_at	43.98179072
1552378_s_at	18.19816497
1552379_at	5.739309031
1552381_at	6.738402452
1552383_at	46.01229963
1552384_a_at	22.02318422
1552386_at	90.85959771
1552388_at	41.55531574
1552389_at	7.295184413
1552390_a_at	4.930223229
1552391_at	9.201923415
1552393_at	6.536224212
1552394_a_at	8.157693293
1552395_at	106.3921204
1552396_at	13.63757434
1552398_a_at	13.57905848
1552399_a_at	17.46715473
1552400_a_at	12.84494677
1552401_a_at	11.56358044
1552402_at	10.00260994
1552405_at	16.78244249
1552408_at	7.612801182
1552409_a_at	41.20055561
1552410_at	16.84134106
1552411_at	51.63975141
1552412_a_at	8.760717574
1552414_at	8.455754092
1552415_a_at	15.21827946
1552417_a_at	185.359369
1552418_at	18.27551253
1552419_s_at	35.38831139
1552421_a_at	8.609538677
1552422_at	26.11453581
1552423_at	53.40520657
1552424_at	8.01526485
1552425_a_at	15.67032194
1552426_a_at	243.1697564
1552427_at	22.18025074
1552430_at	6.283391914
1552432_at	25.12580404
1552436_a_at	24.43952585
1552438_a_at	6.383183873
1552439_s_at	5.322284429
1552440_at	8.031850858
1552445_a_at	9.799500655
1552448_a_at	8.632335755
1552449_a_at	8.393803053
1552450_a_at	21.30971353
1552452_at	10.74840315
1552453_a_at	8.329935854
1552455_at	6.8506855
1552456_a_at	33.14936582
1552457_a_at	9.603285637
1552458_at	6.234968091
1552459_a_at	10.57796694
1552461_at	5.734978349
1552463_at	7.501761643
1552466_x_at	6.89642605
1552467_at	57.99256547
1552468_a_at	17.92268488
1552470_a_at	76.88618607
1552472_a_at	562.9092304
1552473_at	128.0877638
1552474_a_at	159.5302065
1552476_s_at	38.13766953
1552477_a_at	10.14271778
1552478_a_at	8.270574457
1552480_s_at	6.615378245
1552481_s_at	33.0565048
1552482_at	13.73425925
1552484_at	62.38607318
1552485_at	275.7909247
1552486_s_at	375.2979274
1552487_a_at	5.041791534
1552489_s_at	5.280630659
1552490_at	13.46680503
1552491_at	22.18877969
1552493_s_at	10.99211072
1552494_at	19.02712182
1552496_a_at	7.676289912
1552497_a_at	170.1469591
1552498_at	10.01941521
1552499_a_at	18.11712634
1552501_a_at	41.97114184
1552502_s_at	8.269898397
1552503_at	18.70326216
1552504_a_at	45.56838945
1552506_at	17.45601098
1552507_at	11.21712317
1552508_at	13.95394802
1552509_a_at	8.242685244
1552510_at	191.05375
1552511_a_at	6.081795201
1552514_at	9.908561405
1552515_at	11.01497118
1552516_a_at	78.05195466
1552518_s_at	38.17636878
1552519_at	13.02444157
1552520_at	10.79607842
1552521_a_at	5.868097386
1552522_at	5.406010991
1552523_a_at	12.0890396
1552524_at	52.53622731
1552526_at	14.46012826
1552528_at	61.83379834
1552531_a_at	15.9632873
1552532_a_at	6.291514516
1552535_at	36.1210416
1552536_at	26.1159372
1552538_a_at	8.975019017
1552540_s_at	53.69699037
1552541_at	99.97972975
1552542_s_at	133.776417
1552543_a_at	9.695276106
1552544_at	11.03462201
1552546_a_at	36.47036818
1552548_at	10.39784244
1552549_a_at	33.95162096
1552552_s_at	7.595044598
1552553_a_at	63.91126699
1552554_a_at	16.0805974
1552555_at	23.55847759
1552557_a_at	5.938035366
1552558_a_at	51.55733199
1552559_a_at	14.87804561
1552562_at	23.58125867
1552563_a_at	14.9475318
1552564_at	13.74420772
1552566_at	19.47691749
1552568_at	14.35069069
1552569_a_at	16.17986001
1552570_at	8.133746413
1552572_a_at	5.218944748
1552573_s_at	5.234696145
1552575_a_at	9.934188927
1552576_at	19.29046312
1552578_a_at	7.179048282
1552579_a_at	12.65918889
1552580_at	14.22189462
1552582_at	7.462381604
1552583_s_at	8.669842092
1552584_at	133.0635742
1552585_s_at	7.077553534
1552586_at	27.22601459
1552587_at	6.979774346
1552588_a_at	6.724673227
1552590_a_at	6.337363347
1552592_at	5.543554271
1552594_at	31.44448908
1552596_at	54.35706693
1552598_at	20.94292495
1552599_at	7.816376022
1552602_at	21.38733277
1552604_at	16.72800849
1552605_s_at	8.157615862
1552607_at	31.03466094
1552608_at	20.68611583
1552609_s_at	11.35185417
1552610_a_at	623.6168621
1552611_a_at	223.4275528
1552612_at	89.54943929
1552613_s_at	110.230117
1552615_at	112.3002438
1552616_a_at	22.36494169
1552617_a_at	459.7358772
1552618_at	162.9400812
1552619_a_at	345.1932596
1552620_at	76.2232898
1552621_at	483.6171772
1552622_s_at	274.4547814
1552623_at	200.5465125
1552625_a_at	212.2826785
1552626_a_at	22.57256017
1552627_a_at	16.02524278
