^SAMPLE = GSM1230062
!Sample_title = MCF-7_PTX_3
!Sample_geo_accession = GSM1230062
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = MCF-7 Paclitaxel_24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: MCF-7
!Sample_characteristics_ch1 = cell type: breast cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230062/suppl/GSM1230062_CEL_284_4803_04_03_2012.CEL.gz
!Sample_series_id = GSE50811
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	8.651
AFFX-BioB-M_at	9.067
AFFX-BioB-3_at	8.706
AFFX-BioC-5_at	9.785
AFFX-BioC-3_at	10.227
AFFX-BioDn-5_at	11.078
AFFX-BioDn-3_at	11.782
AFFX-CreX-5_at	12.547
AFFX-CreX-3_at	12.776
AFFX-DapX-5_at	2.81
AFFX-DapX-M_at	2.706
AFFX-DapX-3_at	3.249
AFFX-LysX-5_at	2.157
AFFX-LysX-M_at	2.974
AFFX-LysX-3_at	2.129
AFFX-PheX-5_at	2.701
AFFX-PheX-M_at	2.527
AFFX-PheX-3_at	3.954
AFFX-ThrX-5_at	3.36
AFFX-ThrX-M_at	2.669
AFFX-ThrX-3_at	4.132
AFFX-TrpnX-5_at	3.417
AFFX-TrpnX-M_at	2.82
AFFX-TrpnX-3_at	2.619
AFFX-r2-Ec-bioB-5_at	8.943
AFFX-r2-Ec-bioB-M_at	9.031
AFFX-r2-Ec-bioB-3_at	9.075
AFFX-r2-Ec-bioC-5_at	10.418
AFFX-r2-Ec-bioC-3_at	10.545
AFFX-r2-Ec-bioD-5_at	12.021
AFFX-r2-Ec-bioD-3_at	12.191
AFFX-r2-P1-cre-5_at	12.916
AFFX-r2-P1-cre-3_at	13.05
AFFX-r2-Bs-dap-5_at	2.559
AFFX-r2-Bs-dap-M_at	2.228
AFFX-r2-Bs-dap-3_at	1.964
AFFX-r2-Bs-lys-5_at	1.982
AFFX-r2-Bs-lys-M_at	2.337
AFFX-r2-Bs-lys-3_at	2.37
AFFX-r2-Bs-phe-5_at	2.021
AFFX-r2-Bs-phe-M_at	2.674
AFFX-r2-Bs-phe-3_at	2.486
AFFX-r2-Bs-thr-3_s_at	3.575
AFFX-r2-Bs-thr-M_s_at	3.472
AFFX-r2-Bs-thr-5_s_at	3.204
AFFX-HUMISGF3A/M97935_5_at	4.816
AFFX-HUMISGF3A/M97935_MA_at	6.405
AFFX-HUMISGF3A/M97935_MB_at	6.185
AFFX-HUMISGF3A/M97935_3_at	8.756
AFFX-HUMRGE/M10098_5_at	12.855
AFFX-HUMRGE/M10098_M_at	12.368
AFFX-HUMRGE/M10098_3_at	12.005
AFFX-HUMGAPDH/M33197_5_at	12.484
AFFX-HUMGAPDH/M33197_M_at	12.651
AFFX-HUMGAPDH/M33197_3_at	12.721
AFFX-HSAC07/X00351_5_at	11.099
AFFX-HSAC07/X00351_M_at	11.523
AFFX-HSAC07/X00351_3_at	12.03
AFFX-M27830_5_at	12.394
AFFX-M27830_M_at	10.771
AFFX-M27830_3_at	5.418
AFFX-hum_alu_at	13.189
1007_s_at	9.364
1053_at	8.143
117_at	6.556
121_at	7.311
1255_g_at	2.581
1294_at	5.114
1316_at	5.521
1320_at	4.636
1405_i_at	2.571
1431_at	3.325
1438_at	5.22
1487_at	8.049
1494_f_at	5.409
1598_g_at	7.693
160020_at	6.038
1729_at	6.722
1773_at	5.727
177_at	4.414
179_at	7.919
1861_at	6.503
200000_s_at	8.485
200001_at	8.923
200002_at	12.354
200003_s_at	12.613
200004_at	11.997
200005_at	10.816
200006_at	11.977
200007_at	11.488
200008_s_at	10.036
200009_at	11.35
200010_at	12.283
200011_s_at	7.507
200012_x_at	12.835
200013_at	12.788
200014_s_at	11.507
200015_s_at	10.911
200016_x_at	12.54
200017_at	12.501
200018_at	12.768
200019_s_at	12.428
200020_at	9.973
200021_at	11.653
200022_at	12.659
200023_s_at	11.753
200024_at	12.526
200025_s_at	12.923
200026_at	12.176
200027_at	11.655
200028_s_at	10.534
200029_at	12.819
200030_s_at	12.208
200031_s_at	12.736
200032_s_at	12.81
200033_at	12.034
200034_s_at	12.758
200035_at	7.906
200036_s_at	11.921
200037_s_at	11.8
200038_s_at	12.826
200039_s_at	11.352
200040_at	10.674
200041_s_at	9.065
200042_at	9.957
200043_at	11.758
200044_at	11.357
200045_at	9.474
200046_at	10.795
200047_s_at	11.56
200048_s_at	11.661
200049_at	6.995
200050_at	10.265
200051_at	7.677
200052_s_at	11.042
200053_at	8.787
200054_at	8.668
200055_at	10.141
200056_s_at	9.763
200057_s_at	11.416
200058_s_at	9.493
200059_s_at	11.912
200060_s_at	10.353
200061_s_at	12.643
200062_s_at	12.821
200063_s_at	12.79
200064_at	11.919
200065_s_at	10.785
200066_at	8.977
200067_x_at	11.046
200068_s_at	11.315
200069_at	8.545
200070_at	7.134
200071_at	10.734
200072_s_at	11.127
200073_s_at	10.996
200074_s_at	12.231
200075_s_at	9.896
200076_s_at	8.571
200077_s_at	12.593
200078_s_at	10.253
200079_s_at	11.018
200080_s_at	12.358
200081_s_at	12.71
200082_s_at	12.611
200083_at	9.34
200084_at	11.067
200085_s_at	11.508
200086_s_at	11.533
200087_s_at	11.894
200088_x_at	12.587
200089_s_at	12.346
200090_at	10.819
200091_s_at	12.301
200092_s_at	12.661
200093_s_at	12.048
200094_s_at	11.568
200095_x_at	13.031
200096_s_at	10.547
200097_s_at	11.428
200098_s_at	9.772
