^SAMPLE = GSM320226
!Sample_title = Breast tumor tissue_HF-11327
!Sample_geo_accession = GSM320226
!Sample_status = Public on Jan 12 2009
!Sample_submission_date = Sep 12 2008
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Breast cancer
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Luminal
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen Rneasy kit used for the extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Human Genome U133P 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.
!Sample_description = Breast tumor tissue_HF-11327
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL570
!Sample_contact_name = Mark,,Lackner
!Sample_contact_email = lackner.mark@gene.com
!Sample_contact_institute = Genentech
!Sample_contact_address = 1 DNA Way
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM320nnn/GSM320226/suppl/GSM320226.CEL.gz
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE12763
!Sample_series_id = GSE12790
!Sample_data_row_count = 44754
#ID_REF = 
#VALUE = MAS5.0 signal intensity
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	339.61691
AFFX-BioB-M_at	539.77222
AFFX-BioB-3_at	259.39471
AFFX-BioC-5_at	963.48511
AFFX-BioC-3_at	1070.19958
AFFX-BioDn-5_at	1911.5907
AFFX-BioDn-3_at	5109.00049
AFFX-CreX-5_at	14251.20117
AFFX-CreX-3_at	14851.49512
AFFX-DapX-5_at	263.52002
AFFX-DapX-M_at	571.64563
AFFX-DapX-3_at	806.57727
AFFX-LysX-5_at	50.057
AFFX-LysX-M_at	95.57465
AFFX-LysX-3_at	111.44125
AFFX-PheX-5_at	88.33527
AFFX-PheX-M_at	41.85427
AFFX-PheX-3_at	145.66473
AFFX-ThrX-5_at	64.20241
AFFX-ThrX-M_at	87.68344
AFFX-ThrX-3_at	214.54021
AFFX-TrpnX-5_at	16.06246
AFFX-TrpnX-M_at	6.41592
AFFX-TrpnX-3_at	3.51
AFFX-HUMISGF3A/M97935_5_at	162.78082
AFFX-HUMISGF3A/M97935_MA_at	797.49829
AFFX-HUMISGF3A/M97935_MB_at	1055.38721
AFFX-HUMISGF3A/M97935_3_at	6391.29248
AFFX-HUMRGE/M10098_5_at	67.29759
AFFX-HUMRGE/M10098_M_at	109.5969
AFFX-HUMRGE/M10098_3_at	92.52049
AFFX-HUMGAPDH/M33197_5_at	8160.71143
AFFX-HUMGAPDH/M33197_M_at	10701.54785
AFFX-HUMGAPDH/M33197_3_at	16024.58594
AFFX-HSAC07/X00351_5_at	8336.74121
AFFX-HSAC07/X00351_M_at	14103.0166
AFFX-HSAC07/X00351_3_at	23009.0332
AFFX-M27830_5_at	825.92596
AFFX-M27830_M_at	2469.67017
AFFX-M27830_3_at	360.32443
AFFX-hum_alu_at	9884.34863
31637_s_at	1000.13379
32402_s_at	309.80356
33579_i_at	16.01391
33646_g_at	113.31287
34063_at	109.08884
33494_at	164.62436
34031_i_at	1434.85876
34449_at	131.64511
34471_at	10.75815
34478_at	159.78378
