^SAMPLE = GSM629493
!Sample_title = JVM2_2_resistant
!Sample_geo_accession = GSM629493
!Sample_status = Public on Jul 01 2011
!Sample_submission_date = Nov 24 2010
!Sample_last_update_date = Jul 01 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Mantel cell lymphoma cell line, resistant to ABT-737
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: Mantel Cell Lymphoma
!Sample_characteristics_ch1 = cell line: JVM2
!Sample_growth_protocol_ch1 = Cells were cultured in RPMI-1640 medium supplemented with 10% FBS
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = The cells were harvested with TRIzol Reagent (Invitrogen)  and the RNA was extracted according to the manufacturer's instructions. As a last step of the extraction procedure, the RNA was purified with the RNeasy Mini-kit (Qiagen, Hilden, Germany).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = The cDNA was prepared from 2 microg total RNA using the One –Cycle cDNA Synthesis kit from Affymetrix. This cDNA was used for synthezising the cRNA using the IVT labeling kit (Affymetrix). The synthezised cRNA was purified with the GeneChip Sample Cleanup Module (Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 15 microg of cRNA were hybridized to the Affymetrix HG-U133Plus2 chip according to the protocols provided by the manufacturer.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 from Affymetrix.
!Sample_description = JVM2_D4
!Sample_data_processing = RMA in Bioconductor.
!Sample_platform_id = GPL570
!Sample_contact_name = Vicente,Jose,Fresquet
!Sample_contact_email = vfresquet@unav.es
!Sample_contact_phone = 34-948-194700
!Sample_contact_fax = 34-948-194714
!Sample_contact_laboratory = Molecular Oncology
!Sample_contact_department = Division of Oncology
!Sample_contact_institute = Center for Applied Medical Research (Cima)
!Sample_contact_address = Av Pio XII 55
!Sample_contact_city = Pamplona
!Sample_contact_state = Navarra
!Sample_contact_zip/postal_code = 31008
!Sample_contact_country = Spain
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM629nnn/GSM629493/suppl/GSM629493.CEL.gz
!Sample_series_id = GSE25613
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = RMA signal (log2 scale)
!sample_table_begin
ID_REF	VALUE
1007_s_at	8.59407908
1053_at	8.140408586
117_at	4.108429323
121_at	7.188565191
1255_g_at	2.913114633
1294_at	8.112634621
1316_at	4.538846123
1320_at	3.03890213
1405_i_at	9.562409714
1431_at	3.134247104
1438_at	4.35365704
1487_at	7.860715891
1494_f_at	5.342611904
1552256_a_at	8.827157352
1552257_a_at	8.6141985
1552258_at	4.267767663
1552261_at	3.660570462
1552263_at	8.652970635
1552264_a_at	9.084578033
1552266_at	2.3310399
1552269_at	2.677827581
1552271_at	4.773203701
1552272_a_at	4.438817529
1552274_at	8.24482569
1552275_s_at	7.335535133
1552276_a_at	5.075630394
1552277_a_at	8.212890825
1552278_a_at	3.796012994
1552279_a_at	6.019889957
1552280_at	3.51580252
1552281_at	5.939649584
1552283_s_at	2.919190408
1552286_at	6.088716145
1552287_s_at	7.149341908
1552288_at	3.186578704
1552289_a_at	4.177136461
1552291_at	7.625261889
1552293_at	3.958760831
1552295_a_at	5.988978225
1552296_at	3.293023679
1552299_at	4.101528445
1552301_a_at	4.3148621
1552302_at	6.623436835
1552303_a_at	7.051082532
1552304_at	4.226998052
1552306_at	5.687040801
1552307_a_at	5.610518711
1552309_a_at	6.092297722
1552310_at	7.39859607
1552311_a_at	5.747047246
1552312_a_at	5.507373846
1552314_a_at	5.242919161
1552315_at	4.456057322
1552316_a_at	3.458069326
1552318_at	3.249903844
1552319_a_at	3.110503484
1552320_a_at	2.655551213
1552321_a_at	2.512528925
1552322_at	2.927120182
1552323_s_at	5.480703137
1552325_at	2.150763464
1552326_a_at	3.539745777
1552327_at	2.798712141
1552329_at	6.27026218
1552330_at	5.79592897
1552332_at	6.697799548
1552334_at	5.485629914
1552335_at	4.659369661
1552337_s_at	3.255045526
1552338_at	3.322814316
1552340_at	5.022561005
1552343_s_at	5.784422016
1552344_s_at	5.791645534
1552347_at	7.481523118
1552348_at	4.426251099
1552349_a_at	3.830945362
1552354_at	3.723945703
1552355_s_at	5.241632264
1552359_at	2.531521138
1552360_a_at	5.565037275
1552362_a_at	6.732945655
1552364_s_at	6.444082463
1552365_at	2.713667166
1552367_a_at	2.537700503
1552368_at	2.939507618
1552370_at	7.260732865
1552372_at	2.260921024
1552373_s_at	2.194346168
1552375_at	4.788164615
1552377_s_at	5.937677865
