^SAMPLE = GSM1044977
!Sample_title = Z138 2.5uM AEB071  3h rep2
!Sample_geo_accession = GSM1044977
!Sample_status = Public on Dec 01 2013
!Sample_submission_date = Nov 27 2012
!Sample_last_update_date = Dec 01 2013
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Z-138 cells
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = mantle cell lymphoma (mcl) line: Z-138
!Sample_characteristics_ch1 = stn sensitivity: insensitive
!Sample_characteristics_ch1 = agent: 2.5uM Sotrastaurin
!Sample_treatment_protocol_ch1 = 3 million cells were resuspended in 3ml of fresh media in 6 well dishes.  The next day, DMSO or Sotrastaurin was added for 3hrs.
!Sample_growth_protocol_ch1 = Jeko-1 and Mino cells were cultured in 20% FBS RPMI; Z-138 and Maver-1 cells were cultured in 10% FBS RPMI.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNeasy Plus kit (qiagen) following the manufacturers instructions
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Nugen Ovation RNA Amplification System+ WB + FL cDNA Biotin Module V2 (NuGen Lts)
!Sample_hyb_protocol = Affymetrix GeneChip eukaryotic hybridization protocol (Affymetrix Inc.)
!Sample_scan_protocol = GeneChip Scanner 3000 (Affymetrix Inc.)
!Sample_description = Gene expression data from Z-138 cells treated with 2.5uM Sotrastaurin
!Sample_data_processing = Micorarray Analysis Suite version 5.0 (MAS 5.0) background correction, scaled to 150
!Sample_platform_id = GPL570
!Sample_contact_name = Joshua,M,Korn
!Sample_contact_email = joshkorn@gmail.com
!Sample_contact_institute = Novartis
!Sample_contact_address = 250 Mass Ave
!Sample_contact_city = Cambridge
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02141
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1044nnn/GSM1044977/suppl/GSM1044977_NUID-0000-0144-6844.cel.gz
!Sample_series_id = GSE42549
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5 with a target trimmed mean of 150
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	288.5
AFFX-BioB-M_at	495.6
AFFX-BioB-3_at	363.4
AFFX-BioC-5_at	841.1
AFFX-BioC-3_at	734.2
AFFX-BioDn-5_at	1804.6
AFFX-BioDn-3_at	2578.2
AFFX-CreX-5_at	5355.6
AFFX-CreX-3_at	4969.2
AFFX-DapX-5_at	68.5
AFFX-DapX-M_at	109.2
AFFX-DapX-3_at	148.1
AFFX-LysX-5_at	7.3
AFFX-LysX-M_at	10.1
AFFX-LysX-3_at	13.9
AFFX-PheX-5_at	11.7
AFFX-PheX-M_at	12.6
AFFX-PheX-3_at	19.1
AFFX-ThrX-5_at	15.7
AFFX-ThrX-M_at	17.1
AFFX-ThrX-3_at	26.2
AFFX-TrpnX-5_at	4.6
AFFX-TrpnX-M_at	1
AFFX-TrpnX-3_at	2.5
AFFX-r2-Ec-bioB-5_at	398.6
AFFX-r2-Ec-bioB-M_at	414.1
AFFX-r2-Ec-bioB-3_at	512.6
AFFX-r2-Ec-bioC-5_at	1076.6
AFFX-r2-Ec-bioC-3_at	1074.6
AFFX-r2-Ec-bioD-5_at	2953.7
AFFX-r2-Ec-bioD-3_at	3698.2
AFFX-r2-P1-cre-5_at	5114.9
AFFX-r2-P1-cre-3_at	6531.9
AFFX-r2-Bs-dap-5_at	89.2
AFFX-r2-Bs-dap-M_at	115.7
AFFX-r2-Bs-dap-3_at	188.9
AFFX-r2-Bs-lys-5_at	4.6
AFFX-r2-Bs-lys-M_at	12.4
AFFX-r2-Bs-lys-3_at	14.7
AFFX-r2-Bs-phe-5_at	16
AFFX-r2-Bs-phe-M_at	5.7
AFFX-r2-Bs-phe-3_at	23.5
AFFX-r2-Bs-thr-3_s_at	24.3
AFFX-r2-Bs-thr-M_s_at	16.9
AFFX-r2-Bs-thr-5_s_at	20.9
AFFX-HUMISGF3A/M97935_5_at	248.4
AFFX-HUMISGF3A/M97935_MA_at	31.7
AFFX-HUMISGF3A/M97935_MB_at	93.2
AFFX-HUMISGF3A/M97935_3_at	616.4
AFFX-HUMRGE/M10098_5_at	45.2
AFFX-HUMRGE/M10098_M_at	752.9
AFFX-HUMRGE/M10098_3_at	64.8
AFFX-HUMGAPDH/M33197_5_at	3033.3
AFFX-HUMGAPDH/M33197_M_at	2866.3
AFFX-HUMGAPDH/M33197_3_at	3911.3
AFFX-HSAC07/X00351_5_at	2060.6
AFFX-HSAC07/X00351_M_at	2767.5
AFFX-HSAC07/X00351_3_at	4872.9
AFFX-M27830_5_at	33.7
AFFX-M27830_M_at	90
AFFX-M27830_3_at	16.4
AFFX-hum_alu_at	5215
1007_s_at	3.6
1053_at	541.3
117_at	14.7
121_at	29.9
1255_g_at	0.7
1294_at	4.3
1316_at	14.5
1320_at	8.1
1405_i_at	12.7
1431_at	3.5
1438_at	2.8
1487_at	212.9
1494_f_at	2.9
1598_g_at	18.9
160020_at	27.8
1729_at	84.7
1773_at	8.7
177_at	3
179_at	12.2
1861_at	61.9
200000_s_at	587.4
200001_at	796.6
200002_at	2525.9
200003_s_at	2912.5
200004_at	3501.3
200005_at	2223.5
200006_at	2451.7
200007_at	2923.7
200008_s_at	1671.5
200009_at	3867.1
200010_at	3727.3
200011_s_at	1337.7
200012_x_at	4498
200013_at	4974.3
200014_s_at	2881.1
200015_s_at	2578.4
200016_x_at	5225.4
200017_at	5096.4
200018_at	4446.5
200019_s_at	2732.2
200020_at	2755.1
200021_at	2358.8
200022_at	3504
200023_s_at	3411.2
200024_at	2245.6
200025_s_at	3988.4
200026_at	3597.8
200027_at	3528.1
200028_s_at	3132.6
200029_at	3059.2
200030_s_at	3185.5
200031_s_at	5324.5
200032_s_at	4991.7
200033_at	3990.9
200034_s_at	5155.5
200035_at	390.3
200036_s_at	2026.9
200037_s_at	3535.6
200038_s_at	3973.8
200039_s_at	1592.7
200040_at	3318.7
200041_s_at	3249.3
200042_at	891.5
200043_at	2775.5
200044_at	2756.2
200045_at	418.5
200046_at	1019.3
200047_s_at	2175.8
200048_s_at	1425.1
200049_at	740.9
200050_at	1801.1
200051_at	242.9
200052_s_at	3178.3
200053_at	260
200054_at	278.9
200055_at	513.8
200056_s_at	322.9
200057_s_at	4039.3
200058_s_at	1255.4
200059_s_at	3051.8
200060_s_at	1758.5
200061_s_at	4296.6
200062_s_at	4001.6
200063_s_at	4901
200064_at	2148.8
200065_s_at	2265.2
200066_at	936.1
200067_x_at	1209.3
200068_s_at	4293.4
200069_at	661.1
200070_at	597.2
200071_at	2085.9
200072_s_at	1339.8
200073_s_at	3481.3
200074_s_at	3913.8
200075_s_at	386.9
200076_s_at	405.1
200077_s_at	3205.7
200078_s_at	311.5
200079_s_at	1195.8
200080_s_at	5458.3
200081_s_at	4566.2
200082_s_at	3763.8
200083_at	2131.5
200084_at	1455.1
200085_s_at	1099.5
200086_s_at	1826.1
200087_s_at	3861.7
200088_x_at	3998.6
200089_s_at	4821.5
200090_at	1482
200091_s_at	4147
200092_s_at	5155.3
200093_s_at	2384
200094_s_at	3240.3
200095_x_at	4083.9
200096_s_at	1513
200097_s_at	3528
200098_s_at	1589.8
200099_s_at	4647.3
200593_s_at	2439.5
200594_x_at	4202.5
200595_s_at	3881.6
200596_s_at	693.1
200597_at	1384.8
200598_s_at	1514
200599_s_at	3118.8
200600_at	1966.1
200601_at	220.2
200602_at	2025.3
200603_at	2391
200604_s_at	481.4
200605_s_at	2242.9
200606_at	0.1
200607_s_at	542.4
200608_s_at	2669.5
200609_s_at	432.2
200610_s_at	2648.2
200611_s_at	169.9
200612_s_at	350.5
200613_at	265.8
200614_at	2972.9
200615_s_at	238.9
200616_s_at	544.7
200617_at	1470.7
200618_at	459.1
200619_at	889.8
200620_at	1045.7
200621_at	152
200622_x_at	805.2
200623_s_at	3200.3
200624_s_at	2004.2
200625_s_at	1790.2
200626_s_at	2795
200627_at	3880.3
200628_s_at	681.2
200629_at	1103.8
200630_x_at	3290
200631_s_at	3866.8
200632_s_at	35.8
200633_at	2995.6
200634_at	2238.7
200635_s_at	128.4
200636_s_at	158.4
200637_s_at	14.7
200638_s_at	1653.9
200639_s_at	3451
200640_at	3517.3
200641_s_at	528.4
200642_at	2959.3
200643_at	232.2
200644_at	981.3
200645_at	1804.2
200646_s_at	67.8
200647_x_at	1313
200648_s_at	133.5
200649_at	154.7
200650_s_at	3672.8
200651_at	2624.5
200652_at	2406.3
200653_s_at	1587.9
200654_at	2301.6
200655_s_at	1457.2
200656_s_at	657.8
200657_at	2608
200658_s_at	788
200659_s_at	202.3
200660_at	95.1
200661_at	187.6
200662_s_at	3765.6
200663_at	1233.5
200664_s_at	156.9
200665_s_at	0.7
200666_s_at	885.4
200667_at	1838
200668_s_at	2968.6
200669_s_at	1417.4
200670_at	993.2
200671_s_at	185.1
200672_x_at	224.8
200673_at	1707
200674_s_at	2872.4
200675_at	1306.4
200676_s_at	222.5
200677_at	548.7
200678_x_at	49.6
200679_x_at	3601.4
200680_x_at	4220
200681_at	1772.5
200682_s_at	1297.8
200683_s_at	387.7
200684_s_at	506
200685_at	1568.5
200686_s_at	2308.7
200687_s_at	813.1
200688_at	32
200689_x_at	3708.1
200690_at	1462.1
200691_s_at	2648.9
