^SAMPLE = GSM587197
!Sample_title = glioblastoma stem-like cell line, serum free_GS-6 p10
!Sample_geo_accession = GSM587197
!Sample_status = Public on Feb 12 2011
!Sample_submission_date = Aug 25 2010
!Sample_last_update_date = Feb 12 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = glioblastoma stem-like cell line, GSr cell line (Günther HS et al.)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample name: GS-6 p10
!Sample_characteristics_ch1 = sample type: glioblastoma stem-like (GS) cell line
!Sample_growth_protocol_ch1 = conventional glioma cell lines and self established glioma cell lines (ML lines) -->Dulbecco´s modified Eagle´s medium, supplemented with 10% fetal calf serum, 2 mM L-glutamine, and 1 mM sodium pyruvate / glioblastoma stem-like cell lines (GS lines) -->  neurobasal medium with B27 supplement (20 μl ml−1), Glutamax (10 μl ml−1), fibroblast growth factor-2 (20 ng ml−1), epidermal growth factor (20 ng ml−1) and heparin (32 IE ml−1)
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cells using the RNeasy Protect Mini Kit (Qiagen). Genomic DNA contamination was removed through an on-column DNase digestion step.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocols
!Sample_hyb_protocol = standard Affymetrix protocols
!Sample_scan_protocol = standard Affymetrix protocols
!Sample_description = glioblastoma stem-like cell lines, serum free conditions
!Sample_data_processing = background-adjusted, normalized intensities were computed using the gcRMA package. Gene detection was performed using the PANP package (http://bioconductor.org/packages/bioc/vignettes/panp/inst/doc/panp.pdf) for the R program.
!Sample_platform_id = GPL570
!Sample_contact_name = Hauke,Simon,Guenther
!Sample_contact_laboratory = Endolab2
!Sample_contact_department = Neurochirurgie
!Sample_contact_institute = UKE
!Sample_contact_address = Martinistraße 52
!Sample_contact_city = Hamburg
!Sample_contact_zip/postal_code = 20246
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM587nnn/GSM587197/suppl/GSM587197.CEL.gz
!Sample_series_id = GSE23806
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2, gcRMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	9.979338
1053_at	8.624702
117_at	2.910488
121_at	3.234827
1255_g_at	1.578927
1294_at	3.08433
1316_at	3.107012
1320_at	3.140399
1405_i_at	3.118449
1431_at	2.012525
1438_at	4.638926
1487_at	5.090324
1494_f_at	2.984636
1552256_a_at	8.343768
1552257_a_at	7.131651
1552258_at	3.21078
1552261_at	2.400716
1552263_at	2.847906
1552264_a_at	6.866558
1552266_at	3.078119
1552269_at	2.116689
1552271_at	2.181062
1552272_a_at	2.325561
1552274_at	7.636878
1552275_s_at	7.689639
1552276_a_at	2.728737
1552277_a_at	7.817571
1552278_a_at	2.302649
1552279_a_at	3.772131
1552280_at	1.995338
1552281_at	2.565161
1552283_s_at	4.763514
1552286_at	3.286777
1552287_s_at	5.411237
1552288_at	3.919239
1552289_a_at	1.994069
1552291_at	8.645801
1552293_at	2.500319
1552295_a_at	5.726202
1552296_at	1.896688
1552299_at	3.116442
1552301_a_at	2.97578
1552302_at	3.510507
1552303_a_at	2.138438
1552304_at	2.355217
1552306_at	3.770976
1552307_a_at	3.596855
1552309_a_at	1.973838
1552310_at	6.639182
1552311_a_at	3.341396
1552312_a_at	5.306654
1552314_a_at	3.025212
1552315_at	2.666121
1552316_a_at	1.650261
1552318_at	2.172102
1552319_a_at	2.854505
1552320_a_at	3.239539
1552321_a_at	2.267578
1552322_at	1.933335
1552323_s_at	2.451806
1552325_at	3.25892
1552326_a_at	2.963986
1552327_at	2.138309
1552329_at	5.065348
1552330_at	5.48527
1552332_at	3.98704
1552334_at	3.499737
1552335_at	2.869627
1552337_s_at	2.447737
1552338_at	1.402885
1552340_at	8.225984
1552343_s_at	2.417699
1552344_s_at	3.839389
1552347_at	5.629462
1552348_at	3.562607
1552349_a_at	2.506804
1552354_at	2.908974
1552355_s_at	2.443125
1552359_at	2.311902
1552360_a_at	2.783538
1552362_a_at	3.486733
1552364_s_at	2.685044
1552365_at	5.561935
1552367_a_at	4.968725
1552368_at	2.680316
1552370_at	2.80321
1552372_at	2.511541
1552373_s_at	2.438453
1552375_at	3.00707
1552377_s_at	3.181607
1552378_s_at	7.510828
1552379_at	2.569248
1552381_at	3.969093
1552383_at	4.322536
1552384_a_at	2.334554
1552386_at	2.164171
1552388_at	2.370354
1552389_at	2.710782
1552390_a_at	2.103557
1552391_at	3.532805
1552393_at	2.158761
1552394_a_at	2.108603
1552395_at	2.999769
1552396_at	2.915135
1552398_a_at	3.873005
1552399_a_at	3.144339
1552400_a_at	2.591715
1552401_a_at	2.310852
1552402_at	2.819793
1552405_at	2.363073
1552408_at	2.636923
1552409_a_at	2.585889
1552410_at	1.891247
1552411_at	1.433317
1552412_a_at	2.399791
1552414_at	3.193736
1552415_a_at	2.61512
1552417_a_at	5.03178
1552418_at	2.369926
1552419_s_at	2.724267
1552421_a_at	1.851835
1552422_at	3.262565
1552423_at	3.225272
1552424_at	2.395776
1552425_a_at	2.169549
1552426_a_at	9.51592
1552427_at	2.769272
1552430_at	2.470753
1552432_at	2.285305
1552436_a_at	2.078821
1552438_a_at	2.281418
1552439_s_at	3.48512
1552440_at	2.852916
1552445_a_at	3.36507
1552448_a_at	1.904425
1552449_a_at	2.248871
1552450_a_at	2.803822
1552452_at	2.299256
1552453_a_at	1.64733
1552455_at	2.59204
1552456_a_at	2.566511
1552457_a_at	1.67325
1552458_at	2.688876
1552459_a_at	2.256439
1552461_at	2.186902
1552463_at	2.315353
1552466_x_at	3.397223
1552467_at	3.994848
1552468_a_at	1.875346
1552470_a_at	2.083335
1552472_a_at	4.235437
1552473_at	3.218439
1552474_a_at	6.55242
1552476_s_at	3.136144
1552477_a_at	1.838486
1552478_a_at	2.561201
1552480_s_at	2.557164
1552481_s_at	4.154757
1552482_at	2.48989
1552484_at	2.438176
1552485_at	4.067275
1552486_s_at	5.392578
1552487_a_at	2.076475
1552489_s_at	1.980768
1552490_at	2.468453
1552491_at	3.255042
1552493_s_at	2.028039
1552494_at	2.54683
1552496_a_at	1.878952
1552497_a_at	2.885447
1552498_at	2.394917
1552499_a_at	2.059077
1552501_a_at	2.845506
1552502_s_at	2.279303
1552503_at	1.94696
1552504_a_at	3.027965
1552506_at	1.664347
1552507_at	3.603963
1552508_at	3.506402
1552509_a_at	2.566692
1552510_at	2.551309
1552511_a_at	1.624612
1552514_at	2.136179
1552515_at	2.165739
1552516_a_at	4.452244
1552518_s_at	3.411582
1552519_at	2.487674
1552520_at	2.798059
1552521_a_at	2.110965
1552522_at	3.015889
1552523_a_at	2.765408
1552524_at	3.063564
1552526_at	2.145663
1552528_at	2.415325
1552531_a_at	1.765976
1552532_a_at	2.27827
1552535_at	2.831063
1552536_at	2.658434
1552538_a_at	2.924934
1552540_s_at	2.588685
1552541_at	2.631629
1552542_s_at	1.703462
1552543_a_at	1.998638
1552544_at	3.15528
1552546_a_at	2.215829
1552548_at	2.296982
1552549_a_at	2.736706
1552552_s_at	2.151714
1552553_a_at	2.154337
1552554_a_at	1.828226
1552555_at	2.94437
1552557_a_at	3.355181
1552558_a_at	3.059985
1552559_a_at	2.829689
1552562_at	2.315391
1552563_a_at	1.74285
1552564_at	2.666713
1552566_at	1.609654
1552568_at	2.780891
