^SAMPLE = GSM935083
!Sample_title = HCC 827
!Sample_geo_accession = GSM935083
!Sample_status = Public on Jun 16 2012
!Sample_submission_date = May 22 2012
!Sample_last_update_date = Jun 16 2012
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = HCC 827
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: HCC 827
!Sample_characteristics_ch1 = tissue: Lung
!Sample_characteristics_ch1 = erlotinib resistance: No
!Sample_treatment_protocol_ch1 = Growth media was treated with drug (Erlotinib), which was dissolved in 10 mM concentrate (1000x), or vehicle control (DMSO only).
!Sample_growth_protocol_ch1 = Grown and subcultured as according to ATCC protocol for HCC827
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen's RNeasy kit was used according to the manufacturer's instructions
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = 1-2 μg of total RNA were depleted of ribosomal RNA, (Ribominus Eukaryote kit, Invitrogen). Efficiency of the depletion was checked on BioAnalyzer. Resulting material was labeled using the Affymetrix WT Sense Target Labeling Assay (Affymetrix).
!Sample_hyb_protocol = 5.5 μg of single stranded cDNA was fragmented, labeled and hybridized to the Affymetrix array for 16 hours. Post hybridization staining and washing was performed according to the manufacturer’s instructions (Affymetrix).
!Sample_scan_protocol = chips were scanned with a high-numerical Aperture and flying objective (FOL) lens in the GS3000 scanner (Affymetrix). Images were quantified using GCOS 1.4 (GeneChip Operating Software, Affymetrix).
!Sample_description = Gene expression data from the parental cell line, HCC827
!Sample_data_processing = Raw CEL files were processed with Aroma Affymetrix (Bengtsson et al., 2008) using standard RMA background adjustment and quantile normalization. Summarization was fit to both exons and RefSeq transcripts using the HuEx-1_0-st-v2,main,A20071112,EP CDF annotation. Additionally, outlier profiles for all transcripts and outlier assignments in all tumors were determined from normalized expression data as detailed in Experimental Procedures and as previously described (Ghosh and Chinnaiyan, 2009).
!Sample_platform_id = GPL570
!Sample_contact_name = Elton,,Chan
!Sample_contact_email = echan@medicine.ucsf.edu
!Sample_contact_department = Medicine
!Sample_contact_institute = UCSF
!Sample_contact_address = 600 16th Street Rm N216R
!Sample_contact_city = San Francisco
!Sample_contact_state = California
!Sample_contact_zip/postal_code = 94158
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM935nnn/GSM935083/suppl/GSM935083.CEL.gz
!Sample_series_id = GSE38121
!Sample_data_row_count = 43946
#ID_REF = 
#VALUE = RMA background adjusted and quantile normalized
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	0.20128918
AFFX-BioB-M_at	0.19678879
AFFX-BioB-3_at	0.107951164
AFFX-BioC-5_at	0.124238014
AFFX-BioC-3_at	0.13255882
AFFX-BioDn-5_at	0.10049248
AFFX-BioDn-3_at	0.10236454
AFFX-CreX-5_at	-0.004211426
AFFX-CreX-3_at	0.022583008
AFFX-PheX-3_at	0.15066242
AFFX-ThrX-5_at	-0.09415865
AFFX-ThrX-3_at	-0.03997612
AFFX-r2-Ec-bioB-5_at	0.15510845
AFFX-r2-Ec-bioB-M_at	0.27703285
AFFX-r2-Ec-bioB-3_at	0.188591
AFFX-r2-Ec-bioC-5_at	0.15478134
AFFX-r2-Ec-bioC-3_at	0.1616087
AFFX-r2-Ec-bioD-5_at	0.18796921
AFFX-r2-Ec-bioD-3_at	0.08631611
AFFX-r2-P1-cre-5_at	0.03998947
AFFX-r2-P1-cre-3_at	0.011588097
AFFX-r2-Bs-thr-3_s_at	0.062503815
AFFX-r2-Bs-thr-M_s_at	0.028191566
AFFX-HUMISGF3A/M97935_5_at	-0.3376279
AFFX-HUMISGF3A/M97935_MA_at	-0.20454502
AFFX-HUMISGF3A/M97935_MB_at	-0.12169838
AFFX-HUMISGF3A/M97935_3_at	-0.04805374
AFFX-HUMRGE/M10098_5_at	-0.21746492
AFFX-HUMRGE/M10098_M_at	-0.19929886
AFFX-HUMRGE/M10098_3_at	0.006461144
AFFX-HUMGAPDH/M33197_5_at	0.021615028
AFFX-HUMGAPDH/M33197_M_at	0.014584541
AFFX-HUMGAPDH/M33197_3_at	0.010519981
AFFX-HSAC07/X00351_5_at	0.038090706
AFFX-HSAC07/X00351_M_at	0.07540512
AFFX-HSAC07/X00351_3_at	0.008945465
AFFX-M27830_5_at	-0.5568991
AFFX-M27830_M_at	-0.13769436
AFFX-M27830_3_at	0.018043995
AFFX-hum_alu_at	-0.08639908
1007_s_at	0.029979706
1053_at	0.05305004
117_at	0.031955242
121_at	0.07091713
1294_at	-0.08876276
1316_at	-0.12903261
1320_at	-0.03006649
1405_i_at	-0.33306503
1431_at	0.0701313
1438_at	-0.027551651
1487_at	0.20426083
1494_f_at	0.07418156
1598_g_at	-0.079333305
160020_at	-0.019648075
1729_at	0.19402504
1773_at	-0.046884537
177_at	-0.36330605
179_at	0.027285576
1861_at	0.005571365
200000_s_at	-0.00117588
200001_at	0.023201942
200002_at	0.010725021
200003_s_at	-0.006694794
200004_at	0.1435833
200005_at	-0.028266907
200006_at	0.17513561
200007_at	-0.017755508
200008_s_at	0.051018715
200009_at	-0.003160477
200010_at	-0.007410049
