^SAMPLE = GSM1230844
!Sample_title = OVTOKO:PTX_3
!Sample_geo_accession = GSM1230844
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = OVTOKO Paclitaxel 24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: OVTOKO
!Sample_characteristics_ch1 = cell type: ovarian cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230844/suppl/GSM1230844_CEL_283_4687_02_07_2012.CEL.gz
!Sample_series_id = GSE50831
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	6.085
AFFX-BioB-M_at	6.351
AFFX-BioB-3_at	5.816
AFFX-BioC-5_at	7.145
AFFX-BioC-3_at	7.805
AFFX-BioDn-5_at	8.615
AFFX-BioDn-3_at	9.857
AFFX-CreX-5_at	11.124
AFFX-CreX-3_at	11.453
AFFX-DapX-5_at	2.095
AFFX-DapX-M_at	1.884
AFFX-DapX-3_at	2.435
AFFX-LysX-5_at	2.014
AFFX-LysX-M_at	2.271
AFFX-LysX-3_at	2.065
AFFX-PheX-5_at	2.31
AFFX-PheX-M_at	2.009
AFFX-PheX-3_at	3.729
AFFX-ThrX-5_at	2.382
AFFX-ThrX-M_at	2.121
AFFX-ThrX-3_at	3.474
AFFX-TrpnX-5_at	2.816
AFFX-TrpnX-M_at	2.608
AFFX-TrpnX-3_at	1.98
AFFX-r2-Ec-bioB-5_at	6.089
AFFX-r2-Ec-bioB-M_at	6.339
AFFX-r2-Ec-bioB-3_at	6.308
AFFX-r2-Ec-bioC-5_at	7.706
AFFX-r2-Ec-bioC-3_at	8.136
AFFX-r2-Ec-bioD-5_at	9.822
AFFX-r2-Ec-bioD-3_at	10.371
AFFX-r2-P1-cre-5_at	11.781
AFFX-r2-P1-cre-3_at	12.035
AFFX-r2-Bs-dap-5_at	2.269
AFFX-r2-Bs-dap-M_at	1.711
AFFX-r2-Bs-dap-3_at	1.924
AFFX-r2-Bs-lys-5_at	1.864
AFFX-r2-Bs-lys-M_at	2.035
AFFX-r2-Bs-lys-3_at	1.902
AFFX-r2-Bs-phe-5_at	1.772
AFFX-r2-Bs-phe-M_at	2.044
AFFX-r2-Bs-phe-3_at	2.478
AFFX-r2-Bs-thr-3_s_at	3.019
AFFX-r2-Bs-thr-M_s_at	3.146
AFFX-r2-Bs-thr-5_s_at	2.776
AFFX-HUMISGF3A/M97935_5_at	6.436
AFFX-HUMISGF3A/M97935_MA_at	7.503
AFFX-HUMISGF3A/M97935_MB_at	7.75
AFFX-HUMISGF3A/M97935_3_at	10.162
AFFX-HUMRGE/M10098_5_at	12.482
AFFX-HUMRGE/M10098_M_at	11.881
AFFX-HUMRGE/M10098_3_at	11.601
AFFX-HUMGAPDH/M33197_5_at	12.528
AFFX-HUMGAPDH/M33197_M_at	12.802
