^SAMPLE = GSM169527
!Sample_title = melanoma cell line D20
!Sample_geo_accession = GSM169527
!Sample_status = Public on Mar 31 2007
!Sample_submission_date = Feb 19 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Melanoma cell line D20
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Melanoma cell line established from metastatic melanoma
!Sample_biomaterial_provider_ch1 = Dr C. Schmidt
!Sample_growth_protocol_ch1 = Melanoma cell lines were cultured in RPMI 1640 in the presence of 10% fetal bovine serum. 
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNA extractions were performed using Qiagen RNeasy Midi-kits as per the manufacturer’s instructions. RNA quality and concentration were assessed using a 2100 BioAnalyser (Agilent Technologies). 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). 
!Sample_hyb_protocol = This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450.
!Sample_scan_protocol = Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). 
!Sample_description = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_data_processing = Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_platform_id = GPL570
!Sample_contact_name = Leisl,,Packer
!Sample_contact_laboratory = Oncogenomics Laboratory
!Sample_contact_department = Cancer and Cell Biology
!Sample_contact_institute = Queensland Institute of Medical Research
!Sample_contact_address = 300 Herston Rd
!Sample_contact_city = Herston
!Sample_contact_state = QLD
!Sample_contact_zip/postal_code = 4006
!Sample_contact_country = Australia
!Sample_contact_web_link = www.qimr.edu.au
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM169nnn/GSM169527/suppl/GSM169527.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM169nnn/GSM169527/suppl/GSM169527.CHP.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE7127
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = signal value
#ABS_CALL = signal absent/present
#DETECTION-P-VALUE = detection p-value
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION-P-VALUE
AFFX-BioB-5_at	296.29	P	0.000389797
AFFX-BioB-M_at	437.086	P	4.42873e-05
AFFX-BioB-3_at	249.986	P	6.02111e-05
AFFX-BioC-5_at	621.316	P	6.02111e-05
AFFX-BioC-3_at	675.89	P	4.42873e-05
AFFX-BioDn-5_at	788.328	P	4.42873e-05
AFFX-BioDn-3_at	2808.37	P	4.42873e-05
AFFX-CreX-5_at	7450.15	P	4.42873e-05
AFFX-CreX-3_at	9664.52	P	4.42873e-05
AFFX-DapX-5_at	20.9728	P	0.000972149
AFFX-DapX-M_at	41.1539	P	0.0125468
AFFX-DapX-3_at	54.0879	P	0.0020226
AFFX-LysX-5_at	10.6594	A	0.262827
AFFX-LysX-M_at	5.39335	A	0.58862
AFFX-LysX-3_at	15.5896	P	0.0113844
AFFX-PheX-5_at	1.74251	A	0.834139
AFFX-PheX-M_at	1.89747	A	0.897835
AFFX-PheX-3_at	17.6013	A	0.239063
AFFX-ThrX-5_at	16.3637	A	0.340661
AFFX-ThrX-M_at	4.13542	A	0.544587
AFFX-ThrX-3_at	11.0386	A	0.275146
AFFX-TrpnX-5_at	6.37137	A	0.313708
AFFX-TrpnX-M_at	9.31126	A	0.5
AFFX-TrpnX-3_at	10.0173	A	0.139482
AFFX-r2-Ec-bioB-5_at	344.057	P	0.000244141
AFFX-r2-Ec-bioB-M_at	483.098	P	0.000244141
AFFX-r2-Ec-bioB-3_at	339.632	P	0.000244141
AFFX-r2-Ec-bioC-5_at	727.968	P	0.000244141
AFFX-r2-Ec-bioC-3_at	1017.15	P	0.000244141
AFFX-r2-Ec-bioD-5_at	2994.97	P	0.000244141
AFFX-r2-Ec-bioD-3_at	3613.72	P	0.000244141
AFFX-r2-P1-cre-5_at	12480	P	0.000244141
AFFX-r2-P1-cre-3_at	14232.1	P	0.000244141
AFFX-r2-Bs-dap-5_at	33.9318	P	0.00585938
AFFX-r2-Bs-dap-M_at	36.2376	P	0.00195313
AFFX-r2-Bs-dap-3_at	45.1855	P	0.000732422
AFFX-r2-Bs-lys-5_at	6.86145	A	0.111572
AFFX-r2-Bs-lys-M_at	2.75834	A	0.466064
AFFX-r2-Bs-lys-3_at	13.5606	P	0.0185547
AFFX-r2-Bs-phe-5_at	6.86949	A	0.129639
AFFX-r2-Bs-phe-M_at	1.40915	A	0.919434
AFFX-r2-Bs-phe-3_at	27.4616	P	0.0141602
AFFX-r2-Bs-thr-3_s_at	4.77821	A	0.80542
AFFX-r2-Bs-thr-M_s_at	19.6767	A	0.303711
AFFX-r2-Bs-thr-5_s_at	11.7311	P	0.0375977
AFFX-HUMISGF3A/M97935_5_at	290.602	P	0.000581214
AFFX-HUMISGF3A/M97935_MA_at	420.115	P	8.14279e-05
AFFX-HUMISGF3A/M97935_MB_at	410.885	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	1182.13	P	5.16732e-05
AFFX-HUMRGE/M10098_5_at	63.6456	P	0.0032123
AFFX-HUMRGE/M10098_M_at	75.7122	P	0.00401721
AFFX-HUMRGE/M10098_3_at	116.816	P	0.0032123
AFFX-HUMGAPDH/M33197_5_at	12768.7	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	11347.4	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	12077.5	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	8908.21	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	9723.53	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	10476.8	P	4.42873e-05
AFFX-M27830_5_at	205.161	P	4.42873e-05
AFFX-M27830_M_at	356.931	P	0.00762003
AFFX-M27830_3_at	8.87742	A	0.672921
AFFX-hum_alu_at	13484	P	2.6068e-13
1007_s_at	276.474	P	0.00189162
1053_at	880.393	P	0.000218889
117_at	138.91	P	0.000321521
121_at	187.031	P	0.00998544
1255_g_at	3.67231	A	0.732537
1294_at	91.2241	P	0.00564279
1316_at	24.1778	P	0.0278597
1320_at	17.6211	A	0.378184
1405_i_at	17.9079	P	0.0421419
1431_at	12.9682	M	0.0604193
1438_at	215.309	P	0.000561689
1487_at	251.47	P	0.024711
1494_f_at	38.6159	P	0.0170005
1598_g_at	74.3395	A	0.267463
160020_at	478.812	P	0.000467546
1729_at	231.225	P	0.000388206
1773_at	497.705	P	0.000388206
177_at	118.506	P	0.000218889
