^SAMPLE = GSM385020
!Sample_title = human non-Hodgkins lymphoma cell line, FarageX1_rep2
!Sample_geo_accession = GSM385020
!Sample_status = Public on May 11 2009
!Sample_submission_date = Mar 20 2009
!Sample_last_update_date = May 11 2009
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = human non-Hodgkins lymphoma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: FarageX1
!Sample_characteristics_ch1 = cell type: human non-Hodgkins lymphoma
!Sample_treatment_protocol_ch1 = Cells were untreated.
!Sample_growth_protocol_ch1 = Cells were maintained in RPMI1640 or DMEM supplemented with 10% fetal bovine serum, non-essential amino acids and 2mmol/L L-glutamine.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen Rneasy kit used for the extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Human Genome U133P 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.
!Sample_description = FarageX1_rep2
!Sample_data_processing = Expression was normalized and estimated using the GC-RMA package of BioConductor.
!Sample_platform_id = GPL570
!Sample_contact_name = Peng,,Yue
!Sample_contact_email = pengy@gene.com
!Sample_contact_phone = 650-467-3587
!Sample_contact_institute = Genentech Inc
!Sample_contact_address = 1 DNA Way
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM385nnn/GSM385020/suppl/GSM385020.CEL.gz
!Sample_series_id = GSE15329
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = GC-RMA value
!sample_table_begin
ID_REF	VALUE
1007_s_at	3.626811276
1053_at	10.90750144
117_at	3.066588098
121_at	6.194497912
1255_g_at	1.95040894
1294_at	2.944794423
1316_at	2.966080532
1320_at	2.630119768
1405_i_at	3.871838854
1431_at	2.899932658
1438_at	2.094151207
1487_at	6.779512366
1494_f_at	2.376023385
1552256_a_at	10.85088972
1552257_a_at	10.45604345
1552258_at	2.398247703
1552261_at	3.058381096
1552263_at	7.517927982
1552264_a_at	9.01318393
1552266_at	3.55500771
1552269_at	2.113168279
1552271_at	1.526583509
1552272_a_at	2.000625396
1552274_at	11.1478329
1552275_s_at	10.59946268
1552276_a_at	2.266144889
1552277_a_at	9.414555527
1552278_a_at	2.345321116
1552279_a_at	2.25595666
1552280_at	2.260729537
1552281_at	2.183729833
1552283_s_at	4.911939688
1552286_at	3.686175732
1552287_s_at	9.920797952
1552288_at	3.126331024
1552289_a_at	1.545247087
1552291_at	8.274704264
1552293_at	2.362609526
1552295_a_at	4.882671565
1552296_at	2.76510059
1552299_at	2.641389174
1552301_a_at	2.974793997
1552302_at	5.808952024
1552303_a_at	6.691774795
1552304_at	2.331423173
1552306_at	6.65900035
1552307_a_at	3.932826998
1552309_a_at	1.994365264
1552310_at	6.639683506
1552311_a_at	3.250383715
1552312_a_at	5.143092249
1552314_a_at	3.869794877
1552315_at	1.967395273
1552316_a_at	2.561694646
1552318_at	3.073103839
1552319_a_at	3.114229042
1552320_a_at	3.737625064
1552321_a_at	2.628075518
1552322_at	2.336790597
1552323_s_at	2.904049719
1552325_at	4.382246673
1552326_a_at	1.95217055
1552327_at	2.60071432
1552329_at	7.927141851
1552330_at	4.202824755
1552332_at	6.433883712
1552334_at	4.717714898
1552335_at	2.032666279
1552337_s_at	2.084667898
1552338_at	1.553998536
1552340_at	2.146637976
1552343_s_at	3.511158454
1552344_s_at	7.603113347
1552347_at	8.548908071
1552348_at	3.681184004
1552349_a_at	2.144800146
1552354_at	2.412940785
1552355_s_at	1.923412545
1552359_at	2.688936413
1552360_a_at	4.620078643
1552362_a_at	6.656789715
1552364_s_at	5.142877211
1552365_at	2.872529729
1552367_a_at	3.033524627
1552368_at	2.741400998
1552370_at	5.456970214
1552372_at	3.169927287
1552373_s_at	2.897046749
1552375_at	3.613073661
1552377_s_at	2.04212399
1552378_s_at	3.082326021
1552379_at	3.078461678
1552381_at	2.271660797
1552383_at	4.885181403
1552384_a_at	2.127838613
1552386_at	3.405153437
1552388_at	1.607579449
1552389_at	3.375935919
1552390_a_at	2.627682724
1552391_at	3.744079548
1552393_at	3.240891743
1552394_a_at	3.009588759
1552395_at	1.989778762
1552396_at	2.429291073
1552398_a_at	2.654500203
1552399_a_at	4.403294966
1552400_a_at	2.051324338
1552401_a_at	2.938242422
1552402_at	4.209274571
1552405_at	1.929388888
1552408_at	2.430373887
1552409_a_at	2.799435593
1552410_at	2.102824225
1552411_at	-0.165810752
1552412_a_at	2.742110223
1552414_at	2.843589417
1552415_a_at	2.056278988
1552417_a_at	8.483153564
1552418_at	2.118416559
1552419_s_at	1.786483814
1552421_a_at	2.496260057
1552422_at	4.703774457
1552423_at	3.176021185
1552424_at	2.577328532
1552425_a_at	2.378690216
1552426_a_at	10.49355298
1552427_at	6.211507627
1552430_at	3.388651506
1552432_at	2.280586127
1552436_a_at	1.552653586
1552438_a_at	2.525386812
1552439_s_at	2.856177591
1552440_at	3.790537844
1552445_a_at	4.344731049
1552448_a_at	2.372249342
1552449_a_at	2.403531485
1552450_a_at	1.640551688
1552452_at	2.221458072
1552453_a_at	2.13184673
1552455_at	2.483238971
1552456_a_at	2.198789275
1552457_a_at	2.220080578
1552458_at	3.005123376
1552459_a_at	1.903034893
1552461_at	2.448865467
1552463_at	2.491784236
1552466_x_at	3.963615556
1552467_at	2.855459121
1552468_a_at	2.108421928
1552470_a_at	1.880816097
1552472_a_at	6.051012473
1552473_at	5.673551959
1552474_a_at	7.360433783
1552476_s_at	2.003523218
1552477_a_at	2.205239194
1552478_a_at	2.950600702
1552480_s_at	3.25248743
1552481_s_at	2.907511021
1552482_at	2.557783802
1552484_at	1.853896624
1552485_at	4.955492174
1552486_s_at	5.992567532
1552487_a_at	2.766601449
1552489_s_at	2.738551446
1552490_at	2.593342542
1552491_at	1.818802532
1552493_s_at	2.403543967
1552494_at	1.880858273
1552496_a_at	2.459826295
1552497_a_at	3.356093375
1552498_at	1.890487541
1552499_a_at	1.765287273
1552501_a_at	2.073534685
1552502_s_at	2.408903616
1552503_at	1.814223028
1552504_a_at	2.687252111
1552506_at	1.688735946
1552507_at	1.950558465
1552508_at	1.846143102
1552509_a_at	2.184464743
1552510_at	3.853074262
1552511_a_at	2.607095334
1552514_at	2.380456392
1552515_at	2.352600114
1552516_a_at	2.888035605
1552518_s_at	6.211916432
1552519_at	2.137731595
1552520_at	3.258981716
1552521_a_at	3.10538032
1552522_at	3.19280941
1552523_a_at	2.986350628
1552524_at	2.330022927
1552526_at	1.979328821
1552528_at	1.870198876
1552531_a_at	2.378067716
1552532_a_at	2.961577282
1552535_at	2.483823304
1552536_at	3.029777337
1552538_a_at	2.702678295
1552540_s_at	2.863382782
1552541_at	3.683327304
1552542_s_at	2.183435938
1552543_a_at	1.974599783
1552544_at	3.200687812
1552546_a_at	2.352555072
1552548_at	2.675687179
1552549_a_at	2.557237695
1552552_s_at	3.332044378
1552553_a_at	2.343634056
1552554_a_at	3.046736528
1552555_at	2.257070021
1552557_a_at	2.979106777
1552558_a_at	2.40138223
1552559_a_at	2.563923912
1552562_at	1.625957267
1552563_a_at	2.460519337
1552564_at	3.468772905
1552566_at	1.698326118
1552568_at	2.276291473
1552569_a_at	1.940262161
1552570_at	2.125909597
1552572_a_at	3.200384406
1552573_s_at	3.003615536
1552575_a_at	2.874588634
1552576_at	2.455400882
1552578_a_at	2.920765616
1552579_a_at	4.129801906
1552580_at	2.974266654
1552582_at	3.373906034
1552583_s_at	1.976035408
1552584_at	4.881671175
1552585_s_at	3.350013773
1552586_at	1.959425505
1552587_at	3.002572469
1552588_a_at	2.317254166
1552590_a_at	1.909290251
1552592_at	3.144565017
1552594_at	1.278118277
1552596_at	1.664970265
1552598_at	1.856444646
1552599_at	1.448344378
1552602_at	2.974565955
1552604_at	2.659824885
1552605_s_at	3.38580917
1552607_at	2.881810564
1552608_at	3.020900818
1552609_s_at	2.147065362
1552610_a_at	9.893260288
1552611_a_at	8.09587754
1552612_at	5.704155935
1552613_s_at	8.952753755
1552615_at	2.106683773
1552616_a_at	1.783639023
1552617_a_at	8.487568004
1552618_at	7.075317751
1552619_a_at	10.78088147
1552620_at	2.552685433
1552621_at	9.742051933
1552622_s_at	9.387328152
1552623_at	6.213560867
1552625_a_at	8.097697431
1552626_a_at	2.985326316
1552627_a_at	6.37985085
1552628_a_at	11.15882784
1552629_a_at	1.933948521
1552630_a_at	2.390198171
1552631_a_at	2.39762121
1552632_a_at	2.813453321
1552633_at	6.467603071
1552634_a_at	7.221795338
1552637_at	1.921024546
1552639_at	2.07867306
1552641_s_at	4.568780708
1552643_at	4.759601758
1552644_a_at	4.259820044
1552646_at	2.323497688
1552648_a_at	5.295688465
1552649_a_at	2.024437145
1552651_a_at	4.683561649
1552652_at	8.74476226
1552656_s_at	2.289813719
1552657_a_at	2.427146472
1552658_a_at	3.020701203
1552660_a_at	5.833758706
1552661_at	3.652499105
1552662_a_at	1.949333275
1552663_a_at	4.800462859
1552664_at	7.142723843
1552665_at	2.34748993
1552666_a_at	2.512677467
1552667_a_at	9.306035554
1552669_at	2.354562277
1552670_a_at	2.560852414
1552671_a_at	4.170772162
1552672_a_at	1.482102761
1552673_at	2.21969821
1552674_at	3.333521779
1552675_at	2.903243723
1552676_at	2.00141805
1552677_a_at	3.892527667
1552678_a_at	5.825698712
1552680_a_at	6.375829776
1552682_a_at	5.024474753
1552684_a_at	2.639683134
1552685_a_at	2.257445158
1552686_at	2.155788464
1552687_a_at	2.256964208
1552689_at	3.895734298
1552690_a_at	1.892803645
1552691_at	10.26627121
1552693_at	2.934273945
1552694_at	3.046414562
1552695_a_at	2.459367771
1552696_at	6.17035074
1552698_at	3.308250025
1552701_a_at	6.204579035
1552703_s_at	9.160739268
1552705_at	3.433705468
1552708_a_at	3.531076848
1552711_a_at	8.141257821
1552712_a_at	2.104429717
1552713_a_at	2.249382189
1552714_at	2.496657132
1552715_a_at	2.196770784
1552716_at	2.885104144
1552717_s_at	7.803180974
1552718_at	2.340799177
1552719_at	3.404788874
1552721_a_at	2.012004364
1552722_at	3.721359362
1552724_at	1.872806161
1552725_s_at	2.899381765
1552726_at	2.182235353
1552727_s_at	1.98521159
1552729_at	7.258704775
1552730_at	2.233024822
1552731_at	2.41380607
1552732_at	3.043568556
1552733_at	3.649620311
1552734_at	3.334928777
1552735_at	3.737696217
1552736_a_at	2.705990983
1552737_s_at	2.264926793
1552738_a_at	3.682814028
1552739_s_at	2.974230745
1552740_at	3.460778868
1552742_at	2.357774326
1552743_at	1.539203896
1552745_at	2.010474791
1552747_a_at	2.896850422
1552749_a_at	2.719509861
1552750_at	2.903594337
1552751_a_at	3.19994533
1552752_a_at	2.91034696
1552754_a_at	2.711000785
1552755_at	2.608125685
1552757_s_at	2.312500669
1552758_at	2.73437375
1552760_at	2.162646758
1552761_at	2.585488754
1552763_at	2.755894955
1552765_x_at	3.112240226
1552766_at	2.821004133
1552767_a_at	2.863232015
1552768_at	2.18041065
1552769_at	3.366541207
1552770_s_at	3.70610171
1552771_a_at	2.396714794
1552772_at	2.188397155
1552773_at	2.173921762
1552774_a_at	2.360054207
1552775_at	2.091131128
1552777_a_at	1.979665896
1552779_a_at	3.026995514
1552782_at	3.289730596
1552783_at	3.783447111
1552785_at	3.630793733
1552787_at	3.63063227
1552788_a_at	2.273188094
1552789_at	8.206834918
1552790_a_at	6.30422259
1552791_a_at	3.098605761
1552792_at	3.849605671
1552793_at	2.21523949
1552794_a_at	3.008453895
1552796_a_at	2.206729906
1552797_s_at	3.126971445
1552798_a_at	1.723287758
1552799_at	2.224014661
1552800_at	1.203017883
1552801_at	2.222287185
1552803_a_at	3.57977338
1552804_a_at	1.745180394
1552806_a_at	3.027755137
1552807_a_at	4.598996195
1552808_at	3.005189829
1552809_at	2.840831411
1552811_at	2.260021306
1552812_a_at	6.315885146
1552813_at	1.894105048
1552814_a_at	2.273173313
1552816_at	3.490465374
1552818_a_at	1.872145744
1552819_at	1.841044231
1552822_at	3.404266254
1552825_at	3.654031754
1552826_at	3.185532884
