^SAMPLE = GSM231664
!Sample_title = SH-SY5Y(ECACC)_RA_0h_rep3
!Sample_geo_accession = GSM231664
!Sample_status = Public on Sep 01 2009
!Sample_submission_date = Sep 26 2007
!Sample_last_update_date = Aug 14 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = neuroblastoma cell, retinoic acid (RA), 0hour
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Cell line: SH-SY5Y (EC94030304, obtained from ECACC (European Collection of Cell Cultures))
!Sample_treatment_protocol_ch1 = SH-SY5Y-E cells were seeded in laminin coated culture dishes (BioCoat Laminin Cellware; BD Biosciences) for 1 day and then transferred to a medium containing 10 μM of RA  for five days.
!Sample_growth_protocol_ch1 = Tissue culture cells were maintained in D-MEM/F12 1:1 mixture supplemented with 15% FBS (Fetal Bovine Serum) and 1% NEAA (Non-essential amino acid) in a 5% CO2 humidified incubator at 37oC. The culture medium was changed twice a week.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total cellular RNA was extracted from the cells at specific intervals using the RiboPure Kit (Ambion, An Applied Biosystems Business, Austin, TX, USA) according to the manufacturer’s instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = First-strand cDNA was synthesized using 5 μg of total RNA and the GeneChip One-cycle cDNA Synthesis Kit (Affymetrix, Inc.). Biotin-labeled cRNA was generated by the GeneChip IVT labeling Kit (Affymetrix, Inc.)
!Sample_hyb_protocol = Biotin-labeled cRNA was applied on the Human Genome U133 Plus 2.0 Array (Affymetrix, Inc.) and then hybridized at 45oC for 17 h in a GeneChip Hybridization Oven (Affymetrix, Inc.).
!Sample_scan_protocol = Washing, staining and scanning of the array were performed using the GeneChip Wash and Stain Kit and a GeneChip Scanner 3000 (Affymetrix, Inc.), respectively.
!Sample_description = Sampling of RNA was performed at six different time points (0h, 6h, 1d, 2d, 3d, and 5d, respectively) under RA inducible conditions and at five different time points (0h, 6h, 1d, 2d and 3d, respectively) after the cells were transferred to serum-free medium containing BDNF.
!Sample_data_processing = The average signal intensity for all probes was initially tuned to 500 as global scaling and individual signal intensities were evaluated by detection call (present/marginal/absent) using the Affymetrix Micro Array Suite 5.0 (MAS 5.0) software (Affymetrix, Inc.).
!Sample_platform_id = GPL570
!Sample_contact_name = Tadayuki,,Takeda
!Sample_contact_email = ttakeda@gsc.riken.jp
!Sample_contact_phone = (+81) 45 503 9286
!Sample_contact_fax = (+81) 45 503 9176
!Sample_contact_laboratory = Genome Annotation and Comparative Analysis Team
!Sample_contact_department = Computatinal and Experimental Systems Biology Group
!Sample_contact_institute = RIKEN GSC
!Sample_contact_address = 1-7-22, Suehiro-cho, Tsurumi-ku
!Sample_contact_city = Yokohama
!Sample_contact_state = Kanagawa
!Sample_contact_zip/postal_code = 230-0045
!Sample_contact_country = Japan
!Sample_contact_web_link = http://hgp.gsc.riken.go.jp/index.php/Main_Page
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM231nnn/GSM231664/suppl/GSM231664.CEL.gz
!Sample_series_id = GSE9169
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = Signal
#ABS_CALL = indicating whether the transcript was present (P), absent (A), or marginal (M)
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	683.355	P	0.000662269
AFFX-BioB-M_at	856.469	P	5.16732e-05
AFFX-BioB-3_at	611.092	P	5.16732e-05
AFFX-BioC-5_at	1908.57	P	5.16732e-05
AFFX-BioC-3_at	2475.8	P	4.42873e-05
AFFX-BioDn-5_at	5103.68	P	4.42873e-05
AFFX-BioDn-3_at	8852.95	P	7.00668e-05
AFFX-CreX-5_at	21432.4	P	5.16732e-05
AFFX-CreX-3_at	22952.1	P	4.42873e-05
AFFX-DapX-5_at	776.087	P	4.42873e-05
AFFX-DapX-M_at	1703.59	P	0.000296708
AFFX-DapX-3_at	2001.42	P	4.42873e-05
AFFX-LysX-5_at	118.509	P	0.000753643
AFFX-LysX-M_at	209.536	P	0.0138105
AFFX-LysX-3_at	358.849	P	5.16732e-05
AFFX-PheX-5_at	172.637	P	0.00010954
AFFX-PheX-M_at	215.054	P	0.000445901
AFFX-PheX-3_at	220.902	P	0.000195116
AFFX-ThrX-5_at	205.33	P	0.000224668
AFFX-ThrX-M_at	289.169	P	4.42873e-05
AFFX-ThrX-3_at	490.67	P	5.16732e-05
AFFX-TrpnX-5_at	13.3256	A	0.185131
AFFX-TrpnX-M_at	4.48277	A	0.868847
AFFX-TrpnX-3_at	0.526187	A	0.897855
AFFX-r2-Ec-bioB-5_at	928.441	P	0.000244141
AFFX-r2-Ec-bioB-M_at	919.242	P	0.000244141
AFFX-r2-Ec-bioB-3_at	772.827	P	0.000244141
AFFX-r2-Ec-bioC-5_at	2145.31	P	0.000244141
AFFX-r2-Ec-bioC-3_at	2494.62	P	0.000244141
AFFX-r2-Ec-bioD-5_at	10284.6	P	0.000244141
AFFX-r2-Ec-bioD-3_at	12330.6	P	0.000244141
AFFX-r2-P1-cre-5_at	23477.5	P	0.000244141
AFFX-r2-P1-cre-3_at	30785.6	P	0.000244141
AFFX-r2-Bs-dap-5_at	998.294	P	0.000244141
AFFX-r2-Bs-dap-M_at	1803.08	P	0.000244141
AFFX-r2-Bs-dap-3_at	2491	P	0.000244141
AFFX-r2-Bs-lys-5_at	177.474	P	0.000244141
AFFX-r2-Bs-lys-M_at	184.503	P	0.000244141
AFFX-r2-Bs-lys-3_at	192.645	P	0.000244141
AFFX-r2-Bs-phe-5_at	232.52	P	0.000244141
AFFX-r2-Bs-phe-M_at	263.466	P	0.000244141
AFFX-r2-Bs-phe-3_at	461.752	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	778.918	P	0.00292969
AFFX-r2-Bs-thr-M_s_at	534.819	P	0.000732422
AFFX-r2-Bs-thr-5_s_at	305.669	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	259.706	P	0.00141043
AFFX-HUMISGF3A/M97935_MA_at	482.561	P	0.000753643
AFFX-HUMISGF3A/M97935_MB_at	502.183	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	1758.96	P	6.02111e-05
AFFX-HUMRGE/M10098_5_at	313.548	P	7.00668e-05
AFFX-HUMRGE/M10098_M_at	175.276	P	9.4506e-05
AFFX-HUMRGE/M10098_3_at	340.61	P	0.000445901
AFFX-HUMGAPDH/M33197_5_at	28461.5	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	24774.3	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	28538.3	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	21793.7	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	23771.3	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	31706	P	4.42873e-05
AFFX-M27830_5_at	891.253	P	4.42873e-05
AFFX-M27830_M_at	2631.49	P	0.00227496
AFFX-M27830_3_at	12.9605	A	0.712257
AFFX-hum_alu_at	37601.7	P	2.6068e-13
1007_s_at	1470.97	P	0.000673102
1053_at	2452.59	P	0.000218889
117_at	59.3962	A	0.162935
121_at	482.755	P	0.0193035
1255_g_at	635.646	P	0.00222768
1294_at	105.438	A	0.127606
1316_at	77.151	P	0.00998544
1320_at	222.224	P	0.0130918
1405_i_at	4.57042	A	0.724587
1431_at	27.1956	P	0.0313138
1438_at	66.9937	A	0.150527
1487_at	802.485	P	0.0278597
1494_f_at	125.33	P	0.0313357
1598_g_at	799.411	P	0.00306668
160020_at	172.741	A	0.089405
1729_at	1004.93	P	0.000218889
1773_at	526.59	P	0.00486276
177_at	58.6918	P	0.0313357
179_at	493.347	P	0.024711
1861_at	729.631	P	0.000265621
200000_s_at	4513.83	P	0.000244141
200001_at	5605.78	P	0.000244141
200002_at	23210.7	P	0.000244141
200003_s_at	35397.5	P	0.000244141
200004_at	21382	P	0.000244141
200005_at	6277.07	P	0.000244141
200006_at	18532.9	P	0.000244141
200007_at	15109.7	P	0.000244141
200008_s_at	4268.07	P	0.000244141
200009_at	10341	P	0.000244141
200010_at	23725.5	P	0.000244141
200011_s_at	2988.61	P	0.000244141
200012_x_at	22015.7	P	0.000244141
200013_at	26115	P	0.000244141
200014_s_at	8106.91	P	0.000244141
200015_s_at	12974.5	P	0.000732422
200016_x_at	26864.8	P	0.000244141
200017_at	29481.6	P	0.000244141
200018_at	33013.3	P	0.000244141
200019_s_at	15798.8	P	0.000244141
200020_at	6481.48	P	0.000244141
200021_at	25449.7	P	0.000244141
200022_at	24619.2	P	0.000244141
200023_s_at	11212.2	P	0.000244141
200024_at	22715.6	P	0.000732422
200025_s_at	29736.1	P	0.000244141
200026_at	23791.5	P	0.000244141
200027_at	10374.7	P	0.000244141
200028_s_at	5637.82	P	0.000244141
200029_at	23106.9	P	0.000244141
200030_s_at	13091.5	P	0.000244141
200031_s_at	33767.1	P	0.000244141
200032_s_at	29971.5	P	0.000244141
200033_at	21602.1	P	0.000244141
200034_s_at	29216.5	P	0.000244141
200035_at	1152.63	P	0.000244141
200036_s_at	16163.4	P	0.000244141
200037_s_at	18492.9	P	0.000244141
200038_s_at	32981.6	P	0.000244141
200039_s_at	6984.49	P	0.000244141
200040_at	10986.2	P	0.000244141
200041_s_at	9311.27	P	0.000244141
200042_at	2672.72	P	0.000244141
200043_at	17459.2	P	0.000244141
200044_at	5428.88	P	0.000244141
200045_at	2429.7	P	0.000244141
200046_at	7731.87	P	0.000244141
200047_s_at	7614.46	P	0.000244141
200048_s_at	14443.6	P	0.000244141
200049_at	1303.7	P	0.000244141
200050_at	5100.96	P	0.000732422
200051_at	568.334	P	0.000244141
200052_s_at	9838.95	P	0.000244141
200053_at	1871.36	P	0.000244141
200054_at	1156.57	P	0.000244141
200055_at	5110.86	P	0.000244141
200056_s_at	3954.36	P	0.000244141
200057_s_at	16918.9	P	0.000244141
200058_s_at	8061.06	P	0.000244141
200059_s_at	16430.8	P	0.000244141
200060_s_at	7977.56	P	0.000244141
200061_s_at	25785.1	P	0.000244141
200062_s_at	27048	P	0.000244141
200063_s_at	24663.2	P	0.000244141
200064_at	20046.2	P	0.000244141
200065_s_at	10504.6	P	0.000244141
200066_at	2360.92	P	0.000244141
200067_x_at	9647.48	P	0.000244141
200068_s_at	8452.74	P	0.000244141
200069_at	1464.69	P	0.000244141
200070_at	914.175	P	0.000732422
200071_at	4032.34	P	0.000244141
200072_s_at	8988.67	P	0.000244141
200073_s_at	12307.7	P	0.000244141
200074_s_at	13148	P	0.000244141
200075_s_at	4474.15	P	0.000244141
200076_s_at	2142.76	P	0.000244141
200077_s_at	21176.8	P	0.000244141
200078_s_at	5095.68	P	0.000244141
200079_s_at	9855.03	P	0.000244141
200080_s_at	26807.8	P	0.000244141
200081_s_at	22598.6	P	0.000244141
200082_s_at	26411.1	P	0.000244141
200083_at	4802.97	P	0.000244141
200084_at	8721.45	P	0.000244141
200085_s_at	8010.48	P	0.000244141
200086_s_at	10667.2	P	0.000244141
200087_s_at	11132	P	0.000244141
200088_x_at	25904.6	P	0.000244141
200089_s_at	23841	P	0.000244141
200090_at	6001.46	P	0.000244141
200091_s_at	26062.9	P	0.000244141
200092_s_at	28316.8	P	0.000244141
200093_s_at	13256.3	P	0.000244141
200094_s_at	11064.8	P	0.000244141
200095_x_at	28115.2	P	0.000244141
200096_s_at	4958.02	P	0.000244141
200097_s_at	11937	P	0.000244141
200098_s_at	5173.08	P	0.000244141
200099_s_at	34770.9	P	0.000244141
200593_s_at	3966.89	P	0.000244141
200594_x_at	13174.7	P	0.000244141
200595_s_at	8593.12	P	0.000244141
200596_s_at	3634.44	P	0.000244141
200597_at	999.922	P	0.000244141
200598_s_at	11218.6	P	0.000244141
200599_s_at	17828.5	P	0.000244141
200600_at	23.0646	A	0.533936
200601_at	2253.01	P	0.00195313
200602_at	3675.05	P	0.000244141
200603_at	14126.7	P	0.000244141
200604_s_at	3113.23	P	0.000244141
200605_s_at	7997.07	P	0.000244141
200606_at	6.63654	A	0.5
200607_s_at	2765.6	P	0.000732422
200608_s_at	8504.43	P	0.000244141
200609_s_at	5356.07	P	0.000244141
200610_s_at	13537.9	P	0.000244141
200611_s_at	3746.66	P	0.000244141
200612_s_at	2036.93	P	0.000244141
200613_at	6082.12	P	0.000244141
200614_at	17424.3	P	0.000244141
200615_s_at	1227.39	P	0.000244141
200616_s_at	2210.55	P	0.0012207
200617_at	2067.2	P	0.000244141
200618_at	3458.31	P	0.000244141
200619_at	2614.58	P	0.0141602
