^SAMPLE = GSM169525
!Sample_title = Melanoma cell line D25
!Sample_geo_accession = GSM169525
!Sample_status = Public on Mar 31 2007
!Sample_submission_date = Feb 19 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Melanoma cell line D25
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Melanoma cell line established from metastatic melanoma
!Sample_biomaterial_provider_ch1 = Dr C. Schmidt
!Sample_growth_protocol_ch1 = Melanoma cell lines were cultured in RPMI 1640 in the presence of 10% fetal bovine serum. 
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNA extractions were performed using Qiagen RNeasy Midi-kits as per the manufacturer’s instructions. RNA quality and concentration were assessed using a 2100 BioAnalyser (Agilent Technologies). 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). 
!Sample_hyb_protocol = This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450.
!Sample_scan_protocol = Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). 
!Sample_description = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_data_processing = Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_platform_id = GPL570
!Sample_contact_name = Leisl,,Packer
!Sample_contact_laboratory = Oncogenomics Laboratory
!Sample_contact_department = Cancer and Cell Biology
!Sample_contact_institute = Queensland Institute of Medical Research
!Sample_contact_address = 300 Herston Rd
!Sample_contact_city = Herston
!Sample_contact_state = QLD
!Sample_contact_zip/postal_code = 4006
!Sample_contact_country = Australia
!Sample_contact_web_link = www.qimr.edu.au
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM169nnn/GSM169525/suppl/GSM169525.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM169nnn/GSM169525/suppl/GSM169525.CHP.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE7127
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = signal value
#ABS_CALL = signal absent/present
#DETECTION-P-VALUE = detection p-value
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION-P-VALUE
AFFX-BioB-5_at	259.233	P	0.000296708
AFFX-BioB-M_at	355.223	P	4.42873e-05
AFFX-BioB-3_at	192.168	P	8.14279e-05
AFFX-BioC-5_at	581.038	P	6.02111e-05
AFFX-BioC-3_at	589.801	P	4.42873e-05
AFFX-BioDn-5_at	699.887	P	4.42873e-05
AFFX-BioDn-3_at	2772.05	P	5.16732e-05
AFFX-CreX-5_at	6939.29	P	4.42873e-05
AFFX-CreX-3_at	9067.96	P	4.42873e-05
AFFX-DapX-5_at	27.2601	P	0.00179591
AFFX-DapX-M_at	30.4144	P	0.026111
AFFX-DapX-3_at	42.2818	P	0.00762003
AFFX-LysX-5_at	8.64504	A	0.156732
AFFX-LysX-M_at	11.8616	A	0.470241
AFFX-LysX-3_at	15.5961	P	0.00618711
AFFX-PheX-5_at	0.76893	A	0.910522
AFFX-PheX-M_at	1.81726	A	0.876428
AFFX-PheX-3_at	17.7987	A	0.382599
AFFX-ThrX-5_at	6.37065	A	0.440646
AFFX-ThrX-M_at	15.8905	P	0.0103167
AFFX-ThrX-3_at	14.7335	A	0.195266
AFFX-TrpnX-5_at	8.95315	A	0.205732
AFFX-TrpnX-M_at	12.273	A	0.51489
AFFX-TrpnX-3_at	1.61142	A	0.783476
AFFX-r2-Ec-bioB-5_at	312.158	P	0.000244141
AFFX-r2-Ec-bioB-M_at	444.629	P	0.000244141
AFFX-r2-Ec-bioB-3_at	290.14	P	0.000244141
AFFX-r2-Ec-bioC-5_at	651.19	P	0.000244141
AFFX-r2-Ec-bioC-3_at	908.898	P	0.000244141
AFFX-r2-Ec-bioD-5_at	2887.34	P	0.000244141
AFFX-r2-Ec-bioD-3_at	3067.8	P	0.000244141
AFFX-r2-P1-cre-5_at	11872.6	P	0.000244141
AFFX-r2-P1-cre-3_at	12691.5	P	0.000244141
AFFX-r2-Bs-dap-5_at	14.8688	A	0.0805664
AFFX-r2-Bs-dap-M_at	32.8005	P	0.00195313
AFFX-r2-Bs-dap-3_at	35.8456	P	0.00585938
AFFX-r2-Bs-lys-5_at	0.41398	A	0.888428
AFFX-r2-Bs-lys-M_at	0.627762	A	0.850342
AFFX-r2-Bs-lys-3_at	3.51996	A	0.27417
AFFX-r2-Bs-phe-5_at	9.61069	P	0.0461426
AFFX-r2-Bs-phe-M_at	9.33937	A	0.398926
AFFX-r2-Bs-phe-3_at	19.3218	A	0.303711
AFFX-r2-Bs-thr-3_s_at	10.4602	A	0.567627
AFFX-r2-Bs-thr-M_s_at	23.1566	A	0.19458
AFFX-r2-Bs-thr-5_s_at	24.6589	P	0.0185547
AFFX-HUMISGF3A/M97935_5_at	267.157	P	0.000224668
AFFX-HUMISGF3A/M97935_MA_at	385.574	P	7.00668e-05
AFFX-HUMISGF3A/M97935_MB_at	314.708	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	937.476	P	5.16732e-05
AFFX-HUMRGE/M10098_5_at	52.7688	P	0.0284573
AFFX-HUMRGE/M10098_M_at	65.5052	P	0.00110197
AFFX-HUMRGE/M10098_3_at	112.351	P	0.0020226
AFFX-HUMGAPDH/M33197_5_at	12834.9	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	11423.2	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	12092	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	9678.31	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	10234.4	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	10640.1	P	4.42873e-05
AFFX-M27830_5_at	218.092	P	4.42873e-05
AFFX-M27830_M_at	417.18	P	0.00179591
AFFX-M27830_3_at	17.1558	A	0.544587
AFFX-hum_alu_at	13553.1	P	2.6068e-13
1007_s_at	386.318	P	0.00135385
1053_at	773.75	P	0.000388206
117_at	54.7855	P	0.00306668
121_at	166.114	P	0.00868918
1255_g_at	20.6181	A	0.218983
1294_at	34.5383	A	0.162935
1316_at	28.0088	P	0.0149366
1320_at	34.9492	A	0.11716
1405_i_at	1.04746	A	0.945289
1431_at	14.5023	A	0.162935
1438_at	17.3806	A	0.438361
1487_at	272.91	P	0.00754291
1494_f_at	28.7828	P	0.0351629
1598_g_at	100.009	A	0.204022
160020_at	1647.89	P	0.000265621
1729_at	56.6739	P	0.0439678
1773_at	338.951	P	0.000804598
177_at	130.601	P	0.000265621
