^SAMPLE = GSM552365
!Sample_title = MKN7 - 37 cell line study
!Sample_geo_accession = GSM552365
!Sample_status = Public on Jun 08 2010
!Sample_submission_date = Jun 07 2010
!Sample_last_update_date = Jun 07 2010
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = gastric cancer cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: MKN7
!Sample_characteristics_ch1 = cell type: gastric cancer
!Sample_treatment_protocol_ch1 = Cancer cell lines were grown as per GC cell lines were obtained either from commercial sources or collaborators and cultured as recommended
!Sample_growth_protocol_ch1 = Cancer cell lines were grown as per GC cell lines were obtained either from commercial sources or collaborators and cultured as recommended
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNeasy mini spin columns (Qiagen) were used according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 ug total RNA (Expression Analysis Technical Manual, 2006, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChipÂ® Human Genome U133 Plus 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the Affymetrix GeneChip Scanner GCS3000 7G.
!Sample_description = Series of 37 (unique) gastric cancer cell lines
!Sample_data_processing = The data were analyzed with R version 2.9.0, package affy. Data processing was performed by RMA normalization and Log 2 transformed.
!Sample_platform_id = GPL570
!Sample_contact_name = Chia-Huey,,Ooi
!Sample_contact_institute = F. Hoffmann-La Roche Ltd.
!Sample_contact_address = Grenzacherstrasse 124
!Sample_contact_city = Basel
!Sample_contact_zip/postal_code = 4070
!Sample_contact_country = Switzerland
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM552nnn/GSM552365/suppl/GSM552365.CEL.gz
!Sample_relation = Reanalysis of: GSM387731
!Sample_series_id = GSE15460
!Sample_series_id = GSE22183
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 RMA normalized signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	11.15046483
1053_at	8.988289419
117_at	6.130749566
121_at	9.393075659
1255_g_at	3.566208918
1294_at	6.374442502
1316_at	6.382722001
1320_at	5.910612852
1405_i_at	4.380969634
1431_at	4.357962995
1438_at	6.928888623
1487_at	8.75386799
1494_f_at	7.034317967
1552256_a_at	9.765049877
1552257_a_at	9.054349574
1552258_at	4.867992922
1552261_at	6.24630862
1552263_at	7.075171804
1552264_a_at	8.769091038
1552266_at	4.313975601
1552269_at	5.200599963
1552271_at	6.979038073
1552272_a_at	6.113229687
1552274_at	6.53727307
1552275_s_at	5.916866657
1552276_a_at	6.599239477
1552277_a_at	9.185420717
1552278_a_at	6.521262061
1552279_a_at	8.25274105
1552280_at	4.15133369
1552281_at	7.218808868
1552283_s_at	4.517550365
1552286_at	7.459669566
1552287_s_at	6.702563878
1552288_at	6.321036644
1552289_a_at	7.129759778
1552291_at	7.777103656
1552293_at	5.589268807
1552295_a_at	9.388258311
1552296_at	4.041323647
1552299_at	5.543465662
1552301_a_at	6.007998403
1552302_at	4.176173574
1552303_a_at	6.482010486
1552304_at	5.516912959
1552306_at	7.369259955
1552307_a_at	6.845176067
1552309_a_at	3.909470377
1552310_at	8.687176735
1552311_a_at	8.135758714
1552312_a_at	6.450337964
1552314_a_at	5.762364363
1552315_at	5.652105245
1552316_a_at	3.936154158
1552318_at	3.366064061
1552319_a_at	5.476349263
1552320_a_at	3.812651198
1552321_a_at	3.809399833
1552322_at	3.570530365
1552323_s_at	5.456010989
1552325_at	3.382039733
1552326_a_at	5.536698191
1552327_at	3.434331099
1552329_at	5.099837678
1552330_at	8.266626501
1552332_at	7.761676445
1552334_at	5.727677046
1552335_at	6.27117895
1552337_s_at	5.743137524
1552338_at	5.18602041
1552340_at	5.491014935
1552343_s_at	5.128102012
1552344_s_at	6.785465073
1552347_at	7.310810597
1552348_at	6.415176431
1552349_a_at	5.853516482
1552354_at	6.37527285
1552355_s_at	6.561154815
1552359_at	3.489321231
1552360_a_at	6.546503955
1552362_a_at	5.247176101
1552364_s_at	5.847836778
1552365_at	3.532002108
1552367_a_at	4.164785523
1552368_at	4.038370622
1552370_at	5.788424377
