^SAMPLE = GSM1589684
!Sample_title = BA Her2, TUM047
!Sample_geo_accession = GSM1589684
!Sample_status = Public on Jan 23 2015
!Sample_submission_date = Jan 22 2015
!Sample_last_update_date = Jan 23 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Breast tumor sample from IHC defined Er- Her2+ subgroup
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample_group: Her2
!Sample_characteristics_ch1 = array_batch: B8
!Sample_characteristics_ch1 = hybridation batch: H4
!Sample_growth_protocol_ch1 = Tumor samples were obtained from patients treated at the hospital of Institut Curie (Biological Resource Center, Paris, France). Healthy samples were obtained from mammary plastic surgery. Cell lines were grown from the American Type Culture Collection (ATCC),
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted and purified from frozen tumor samples using the RNeasy Mini Kit (Qiagen) followed by the RNA clean up kit (Macherey Nagel), according to manufacturers’ instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Following RNA quality and quantity control, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.
!Sample_hyb_protocol = standard Affymetrix protocol
!Sample_scan_protocol = standard Affymetrix protocol
!Sample_description = Breast tumor sample from IHC defined Er- Her2+ subgroup
!Sample_data_processing = Data were analyzed using standard AffyCDF or Brainarray HGU133Plus2_Hs_ENTREZG version 13 custom chipset definition file. Data were normalized using GC-RMA. Batch and hybridization effects were corrected using a linear model in which they were treated as fixed effects. Samples with technical replicates were subsequently averaged.
!Sample_platform_id = GPL14877
!Sample_contact_name = Thierry,,Dubois
!Sample_contact_email = thierry.dubois@curie.fr
!Sample_contact_laboratory = Breast Cancer Biology Group
!Sample_contact_department = Recherche Center
!Sample_contact_institute = Institut Curie
!Sample_contact_address = 26 rue d’Ulm
!Sample_contact_city = PARIS
!Sample_contact_zip/postal_code = 75005
!Sample_contact_country = France
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1589nnn/GSM1589684/suppl/GSM1589684_BC04_ARN0061_s2h1s1_U133p2.CEL.gz
!Sample_relation = Reanalysis of: GSM1589034
!Sample_series_id = GSE65212
!Sample_series_id = GSE65216
!Sample_data_row_count = 18123
#ID_REF = 
#VALUE = log2 GCRMA signal from Brainarray Entrez V13 custom cdf
!sample_table_begin
ID_REF	VALUE
100009676_at	2.022674698
10000_at	2.526080002
10001_at	7.915621707
10002_at	2.565103679
10003_at	2.501154052
100048912_at	2.119056833
100049716_at	2.737050108
10004_at	2.207811049
10005_at	7.268630736
10006_at	11.15247226
10007_at	8.232914373
10008_at	2.671594678
100093630_at	8.297469221
10009_at	8.316605877
1000_at	2.568421183
100101938_at	1.895488949
10010_at	8.263849761
100113407_at	3.523084116
10011_at	7.561917734
100124700_at	2.615058227
100125288_at	2.559349369
100126784_at	2.422470606
100126791_at	2.098846685
100126793_at	2.433708543
100127886_at	2.438653917
100127888_at	1.908742297
100127891_at	2.492324636
100127983_at	3.243713713
100128003_at	2.114207474
100128025_at	1.766140227
100128071_at	1.797982728
100128074_at	1.861851766
100128090_at	2.070296267
100128093_at	2.170804645
100128098_at	2.756913323
100128124_at	3.185426305
100128126_at	1.952089161
100128139_at	2.551862011
100128164_at	2.157778359
100128191_at	2.167371327
100128236_at	1.963992038
100128239_at	2.261878479
100128288_at	3.565180138
100128292_at	2.436667046
100128334_at	3.678641582
100128361_at	2.020947041
100128370_at	2.702173123
100128392_at	2.735351855
100128403_at	1.877627875
100128430_at	2.468066954
100128496_at	2.098157132
100128511_at	2.021192628
100128731_at	10.85165212
100128737_at	1.984691928
100128782_at	2.188010755
100128788_at	2.144701643
100128822_at	9.298943622
100128843_at	2.258470296
100128881_at	1.489046635
100128893_at	2.99794312
100128909_at	1.898698188
100128922_at	2.353660121
100128927_at	3.334941021
100128977_at	2.172954095
100128998_at	2.646888337
100129098_at	2.686309368
100129104_at	3.664852676
100129122_at	2.084667727
100129128_at	1.951801781
100129194_at	2.052407261
100129195_at	4.249751212
100129250_at	5.235383871
100129268_at	2.598828392
100129271_at	2.140541315
100129335_at	2.016227933
100129361_at	9.672383252
100129387_at	5.936570179
100129482_at	4.334783812
100129500_at	1.788193008
100129503_at	2.094391323
100129550_at	3.23148361
100129637_at	2.5604557
100129656_at	1.935555033
100129716_at	1.939659347
100129726_at	2.095388912
100129792_at	2.699596192
100129794_at	3.065648138
100129827_at	2.192334082
100129890_at	2.381744467
100129907_at	2.511152811
100129935_at	2.24227496
100129969_at	2.161548905
100129988_at	2.363481257
100130054_at	1.941917117
100130100_at	6.297458673
100130111_at	2.208178949
100130155_at	2.393074014
100130262_at	2.074978814
100130264_at	2.519195751
100130285_at	3.321517463
100130331_at	1.996752136
100130418_at	2.735237739
100130449_at	2.440052019
100130452_at	2.404771786
100130458_at	2.138411021
