^SAMPLE = GSM231627
!Sample_title = SH-SY5Y(ATCC)_RA_6h_rep2
!Sample_geo_accession = GSM231627
!Sample_status = Public on Sep 01 2009
!Sample_submission_date = Sep 26 2007
!Sample_last_update_date = Aug 14 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = neuroblastoma cell, retinoic acid (RA), 6hour
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Cell line: SH-SY5Y (CRL-2266, obtained from ATCC (American Type Culture Collection Cultures))
!Sample_treatment_protocol_ch1 = SH-SY5Y-A cells were seeded in laminin coated culture dishes (BioCoat Laminin Cellware; BD Biosciences) for 1 day and then transferred to a medium containing 10 μM of RA for five days.
!Sample_growth_protocol_ch1 = Tissue culture cells were maintained in D-MEM/F12 1:1 mixture supplemented with 15% FBS (Fetal Bovine Serum) and 1% NEAA (Non-essential amino acid) in a 5% CO2 humidified incubator at 37oC. The culture medium was changed twice a week.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total cellular RNA was extracted from the cells at specific intervals using the RiboPure Kit (Ambion, An Applied Biosystems Business, Austin, TX, USA) according to the manufacturer’s instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = First-strand cDNA was synthesized using 5 μg of total RNA and the GeneChip One-cycle cDNA Synthesis Kit (Affymetrix, Inc.). Biotin-labeled cRNA was generated by the GeneChip IVT labeling Kit (Affymetrix, Inc.)
!Sample_hyb_protocol = Biotin-labeled cRNA was applied on the Human Genome U133 Plus 2.0 Array (Affymetrix, Inc.) and then hybridized at 45oC for 17 h in a GeneChip Hybridization Oven (Affymetrix, Inc.).
!Sample_scan_protocol = Washing, staining and scanning of the array were performed using the GeneChip Wash and Stain Kit and a GeneChip Scanner 3000 (Affymetrix, Inc.), respectively.
!Sample_description = Sampling of RNA was performed at six different time points (0h, 6h, 1d, 2d, 3d, and 5d, respectively) under RA inducible conditions.
!Sample_data_processing = The average signal intensity for all probes was initially tuned to 500 as global scaling and individual signal intensities were evaluated by detection call (present/marginal/absent) using the Affymetrix Micro Array Suite 5.0 (MAS 5.0) software (Affymetrix, Inc.).
!Sample_platform_id = GPL570
!Sample_contact_name = Tadayuki,,Takeda
!Sample_contact_email = ttakeda@gsc.riken.jp
!Sample_contact_phone = (+81) 45 503 9286
!Sample_contact_fax = (+81) 45 503 9176
!Sample_contact_laboratory = Genome Annotation and Comparative Analysis Team
!Sample_contact_department = Computatinal and Experimental Systems Biology Group
!Sample_contact_institute = RIKEN GSC
!Sample_contact_address = 1-7-22, Suehiro-cho, Tsurumi-ku
!Sample_contact_city = Yokohama
!Sample_contact_state = Kanagawa
!Sample_contact_zip/postal_code = 230-0045
!Sample_contact_country = Japan
!Sample_contact_web_link = http://hgp.gsc.riken.go.jp/index.php/Main_Page
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM231nnn/GSM231627/suppl/GSM231627.CEL.gz
!Sample_series_id = GSE9169
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = Signal
#ABS_CALL = indicating whether the transcript was present (P), absent (A), or marginal (M)
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	835.372	P	0.000662269
AFFX-BioB-M_at	1033.58	P	4.42873e-05
AFFX-BioB-3_at	696.17	P	7.00668e-05
AFFX-BioC-5_at	2235.5	P	5.16732e-05
AFFX-BioC-3_at	3083.76	P	4.42873e-05
AFFX-BioDn-5_at	5262.45	P	4.42873e-05
AFFX-BioDn-3_at	10698.6	P	6.02111e-05
AFFX-CreX-5_at	25014.9	P	5.16732e-05
AFFX-CreX-3_at	29716.6	P	4.42873e-05
AFFX-DapX-5_at	360.817	P	4.42873e-05
AFFX-DapX-M_at	696.688	P	0.00141043
AFFX-DapX-3_at	890.456	P	6.02111e-05
AFFX-LysX-5_at	57.1451	P	0.00556451
AFFX-LysX-M_at	64.6167	A	0.139462
AFFX-LysX-3_at	211.761	P	4.42873e-05
AFFX-PheX-5_at	85.9768	P	0.0020226
AFFX-PheX-M_at	60.7687	A	0.139482
AFFX-PheX-3_at	97.3632	A	0.108979
AFFX-ThrX-5_at	117.929	P	0.000972149
AFFX-ThrX-M_at	170.096	P	0.000662269
AFFX-ThrX-3_at	194.578	P	0.000662269
AFFX-TrpnX-5_at	17.9363	A	0.52976
AFFX-TrpnX-M_at	2.61771	A	0.953518
AFFX-TrpnX-3_at	1.63867	A	0.749223
AFFX-r2-Ec-bioB-5_at	1039.27	P	0.000732422
AFFX-r2-Ec-bioB-M_at	1027.08	P	0.000244141
AFFX-r2-Ec-bioB-3_at	1006.93	P	0.000244141
AFFX-r2-Ec-bioC-5_at	2821.46	P	0.000244141
AFFX-r2-Ec-bioC-3_at	2864.92	P	0.000244141
AFFX-r2-Ec-bioD-5_at	12925	P	0.000244141
AFFX-r2-Ec-bioD-3_at	12343.7	P	0.000244141
AFFX-r2-P1-cre-5_at	28305.5	P	0.000244141
AFFX-r2-P1-cre-3_at	37349.1	P	0.000244141
AFFX-r2-Bs-dap-5_at	416.147	P	0.000244141
AFFX-r2-Bs-dap-M_at	747.859	P	0.000244141
AFFX-r2-Bs-dap-3_at	1052.97	P	0.000244141
AFFX-r2-Bs-lys-5_at	53.7019	P	0.00585938
AFFX-r2-Bs-lys-M_at	66.2249	P	0.000732422
AFFX-r2-Bs-lys-3_at	84.0808	P	0.000732422
AFFX-r2-Bs-phe-5_at	83.4612	P	0.0012207
AFFX-r2-Bs-phe-M_at	87.1652	P	0.00195313
AFFX-r2-Bs-phe-3_at	204.075	P	0.000732422
AFFX-r2-Bs-thr-3_s_at	366.327	A	0.0805664
AFFX-r2-Bs-thr-M_s_at	277.08	P	0.00585938
AFFX-r2-Bs-thr-5_s_at	202.152	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	300.954	P	0.000753643
AFFX-HUMISGF3A/M97935_MA_at	513.896	P	0.00110197
AFFX-HUMISGF3A/M97935_MB_at	434.541	P	4.42246e-05
AFFX-HUMISGF3A/M97935_3_at	1333.11	P	8.14279e-05
AFFX-HUMRGE/M10098_5_at	384.591	P	0.000146581
AFFX-HUMRGE/M10098_M_at	301.495	P	0.00179591
AFFX-HUMRGE/M10098_3_at	384.303	P	0.00110197
AFFX-HUMGAPDH/M33197_5_at	37652.3	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	33376.6	P	4.42873e-05
