^SAMPLE = GSM397662
!Sample_title = glioblastoma cell line_LN018_2
!Sample_geo_accession = GSM397662
!Sample_status = Public on Mar 18 2011
!Sample_submission_date = Apr 24 2009
!Sample_last_update_date = Jun 26 2012
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = brain tumor cells
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: LN018
!Sample_characteristics_ch1 = cell type: glioblastoma
!Sample_treatment_protocol_ch1 = No treatment.
!Sample_growth_protocol_ch1 = Human glioblastoma cells were cultured in DMEM supplemented with 10% FCS and standard antibiotics in an incubator at 37°C and 5% CO2 humidified atmosphere.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from the primary tumor samples using Trizol reagent, according to manufacturer’s instructions, and resuspended in diethylpyrocarbonate (DEPC) treated water.  Total RNA was further purified using the RNeasy kit (Qiagen) and following the protocol for Total RNA cleanup.  Cultured cells were collected when plates were 70-80% confluent and RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = RNA was then amplified and labelled using the Affymetrix 2-cycle amplification protocol as per manufacturer’s instructions (Affymetrix).
!Sample_hyb_protocol = Samples were hybridized to Affymetrix U133v2.0 GeneChips and scanned as per manufacturer’s instructions.
!Sample_scan_protocol = Chips were scanned using an Affymetrix GeneChip scanner.
!Sample_description = bh10052006u133v2_02-LN-018-2_2
!Sample_data_processing = Expression values were estimated using the GC-RMA implementation found in Genedata’s Refiner 4.1 (Genedata) package. Data-mining and visualization was performed using Genedata’s Analyst 4.1 package.  Only median fold ratio values with P < 0.05 using t test were used for subsequent analysis. All samples were quintile normalized and median scaled to correct for minor variations in their expression distributions.
!Sample_platform_id = GPL570
!Sample_contact_name = Michal,,Grzmil
!Sample_contact_email = michal.grzmil@fmi.ch
!Sample_contact_phone = +41 61-6978565
!Sample_contact_fax = +41-61-6973976
!Sample_contact_laboratory = 3.46
!Sample_contact_department = Growth control
!Sample_contact_institute = Friedrich Miescher Institute for Biomedical Research
!Sample_contact_address = Maulbeerstrasse 66
!Sample_contact_city = Basel
!Sample_contact_zip/postal_code = 4058
!Sample_contact_country = Switzerland
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM397nnn/GSM397662/suppl/GSM397662.CEL.gz
!Sample_series_id = GSE15824
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = normalized signal
!sample_table_begin
ID_REF	VALUE
AFFX-TrpnX-M_at	4.700538328
AFFX-TrpnX-5_at	4.236135092
AFFX-TrpnX-3_at	5.128193565
AFFX-ThrX-M_at	4.302435207
AFFX-ThrX-5_at	5.361277032
AFFX-ThrX-3_at	4.248986256
AFFX-r2-P1-cre-5_at	8317.700943
AFFX-r2-P1-cre-3_at	8423.270982
AFFX-r2-Ec-bioD-5_at	3462.512484
AFFX-r2-Ec-bioD-3_at	3851.529365
AFFX-r2-Ec-bioC-5_at	596.8176221
AFFX-r2-Ec-bioC-3_at	558.3782085
AFFX-r2-Ec-bioB-M_at	334.2477538
AFFX-r2-Ec-bioB-5_at	205.4782669
AFFX-r2-Ec-bioB-3_at	228.0350053
AFFX-r2-Bs-thr-M_s_at	4.277185123
AFFX-r2-Bs-thr-5_s_at	3.478932727
AFFX-r2-Bs-thr-3_s_at	3.603032429
AFFX-r2-Bs-phe-M_at	5.421590141
AFFX-r2-Bs-phe-5_at	5.260832518
AFFX-r2-Bs-phe-3_at	7.289832679
AFFX-r2-Bs-lys-M_at	4.549104892
AFFX-r2-Bs-lys-5_at	4.744367284
AFFX-r2-Bs-lys-3_at	4.200146937
AFFX-r2-Bs-dap-M_at	3.773641164
AFFX-r2-Bs-dap-5_at	6.298324416
AFFX-r2-Bs-dap-3_at	2.838828159
AFFX-PheX-M_at	3.670342062
AFFX-PheX-5_at	4.158307724
AFFX-PheX-3_at	6.32364624
AFFX-M27830_M_at	275.1515311
AFFX-M27830_5_at	133.7446887
AFFX-M27830_3_at	3.105472742
AFFX-LysX-M_at	3.667887415
AFFX-LysX-5_at	4.549392318
AFFX-LysX-3_at	4.70936929
AFFX-HUMRGE/M10098_M_at	35.05021574
AFFX-HUMRGE/M10098_5_at	28.7762798
AFFX-HUMRGE/M10098_3_at	63.36377986
AFFX-HUMISGF3A/M97935_MB_at	208.9119239
AFFX-HUMISGF3A/M97935_MA_at	263.9296631
AFFX-HUMISGF3A/M97935_5_at	132.2768708
AFFX-HUMISGF3A/M97935_3_at	332.8084568
AFFX-HUMGAPDH/M33197_M_at	11720.64677
AFFX-HUMGAPDH/M33197_5_at	11932.92125
AFFX-HUMGAPDH/M33197_3_at	11447.60975
AFFX-hum_alu_at	11251.80978
AFFX-HSAC07/X00351_M_at	8220.255852
AFFX-HSAC07/X00351_5_at	7655.138499
AFFX-HSAC07/X00351_3_at	10974.34069
AFFX-DapX-M_at	4.239945414
AFFX-DapX-5_at	4.52263952
AFFX-DapX-3_at	4.45683453
AFFX-CreX-5_at	5429.82824
