^SAMPLE = GSM320217
!Sample_title = Breast tumor tissue_HF-11308
!Sample_geo_accession = GSM320217
!Sample_status = Public on Jan 12 2009
!Sample_submission_date = Sep 12 2008
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Breast cancer
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Her2
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen Rneasy kit used for the extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Human Genome U133P 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.
!Sample_description = Breast tumor tissue_HF-11308
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL570
!Sample_contact_name = Mark,,Lackner
!Sample_contact_email = lackner.mark@gene.com
!Sample_contact_institute = Genentech
!Sample_contact_address = 1 DNA Way
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM320nnn/GSM320217/suppl/GSM320217.CEL.gz
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE12763
!Sample_series_id = GSE12790
!Sample_data_row_count = 44754
#ID_REF = 
#VALUE = MAS5.0 signal intensity
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	340.8092
AFFX-BioB-M_at	500.25784
AFFX-BioB-3_at	276.47198
AFFX-BioC-5_at	930.10352
AFFX-BioC-3_at	888.06781
AFFX-BioDn-5_at	1716.6925
AFFX-BioDn-3_at	4670.65674
AFFX-CreX-5_at	13155.40234
AFFX-CreX-3_at	13892.3916
AFFX-DapX-5_at	179.71791
AFFX-DapX-M_at	464.06522
AFFX-DapX-3_at	612.90906
AFFX-LysX-5_at	34.08189
AFFX-LysX-M_at	95.34301
AFFX-LysX-3_at	96.51759
AFFX-PheX-5_at	37.73491
AFFX-PheX-M_at	59.28254
AFFX-PheX-3_at	119.53497
AFFX-ThrX-5_at	64.84521
AFFX-ThrX-M_at	93.95967
AFFX-ThrX-3_at	160.85484
AFFX-TrpnX-5_at	6.95888
AFFX-TrpnX-M_at	6.02394
AFFX-TrpnX-3_at	25.68577
AFFX-HUMISGF3A/M97935_5_at	708.92279
AFFX-HUMISGF3A/M97935_MA_at	2146.56323
AFFX-HUMISGF3A/M97935_MB_at	2120.01611
AFFX-HUMISGF3A/M97935_3_at	5624.74414
AFFX-HUMRGE/M10098_5_at	88.82892
AFFX-HUMRGE/M10098_M_at	88.33069
AFFX-HUMRGE/M10098_3_at	163.57875
AFFX-HUMGAPDH/M33197_5_at	15128.53809
AFFX-HUMGAPDH/M33197_M_at	14002.9209
AFFX-HUMGAPDH/M33197_3_at	14862.3457
AFFX-HSAC07/X00351_5_at	15794.44141
AFFX-HSAC07/X00351_M_at	18649.99609
AFFX-HSAC07/X00351_3_at	20915.01172
AFFX-M27830_5_at	1091.08362
AFFX-M27830_M_at	1988.46826
AFFX-M27830_3_at	96.29019
AFFX-hum_alu_at	7286.91162
31637_s_at	1166.05872
32402_s_at	282.43677
33579_i_at	76.47811
33646_g_at	336.94116
34063_at	142.86911
33494_at	192.99571
34031_i_at	1240.46887
34449_at	237.97121
34471_at	15.744
34478_at	243.16878
35436_at	2026.55249
36711_at	694.29993
36742_at	48.83615
37079_at	114.11678
37117_at	2120.00049
37145_at	300.31912
37152_at	1343.61633
37170_at	120.94003
37424_at	337.05646
37425_g_at	186.77641
37433_at	148.83589
37462_i_at	978.10492
37512_at	162.17764
37793_r_at	192.98602
37796_at	303.70737
37802_r_at	144.20726
37831_at	713.50098
37860_at	348.90616
37872_at	378.84958
38149_at	271.58118
38157_at	552.7467
38158_at	590.80902
38241_at	651.42694
38521_at	345.09305
38892_at	638.21143
38918_at	970.6933
38964_r_at	1452.64954
39248_at	453.65005
39249_at	207.44456
39313_at	162.93976
39318_at	99.23122
39582_at	192.41367
39650_s_at	282.72162
39966_at	93.74783
40016_g_at	480.79507
40020_at	526.18353
40359_at	1258.12842
40665_at	1283.85669
40687_at	279.05432
41037_at	376.15274
41047_at	1835.42371
41113_at	194.1189
41386_i_at	1255.5481
41387_r_at	1309.99133
41397_at	148.25363
41469_at	256.54425
41644_at	5973.47754
41657_at	680.6178
41660_at	270.25589
41856_at	607.34186
41858_at	686.89417
31799_at	224.69092
31807_at	546.88715
31826_at	800.53241
31835_at	60.95768
31837_at	690.40637
31845_at	493.41968
31846_at	2027.69678
31861_at	841.21143
31874_at	893.76019
32029_at	731.83911
32032_at	610.45728
32042_at	165.22758
32062_at	62.36643
32069_at	1052.71936
32088_at	253.02487
32091_at	812.83203
32094_at	159.67412
32099_at	853.43365
32128_at	394.25085
32137_at	539.64978
32625_at	92.09807
32699_s_at	244.43709
32723_at	605.19568
33304_at	1062.88037
33307_at	409.05734
33322_i_at	4392.06836
33323_r_at	2624.49634
33736_at	302.58096
33760_at	585.1803
33767_at	6.14229
33768_at	997.24658
33778_at	1063.96057
33814_at	1613.45532
34187_at	187.18971
34206_at	424.6088
34210_at	763.39319
34221_at	838.89539
34225_at	742.37305
34260_at	313.2746
34689_at	937.16907
34697_at	256.74579
34726_at	677.53302
34764_at	661.30969
35147_at	1676.45972
35148_at	430.46729
35150_at	770.81354
35156_at	584.06506
35160_at	603.27838
35179_at	439.78409
35201_at	1174.29114
35617_at	523.03564
35626_at	824.47485
35666_at	3113.54834
35671_at	2745.11475
35685_at	1087.99731
35974_at	106.70352
36004_at	719.76392
36019_at	1159.41907
36030_at	515.40997
36084_at	768.29901
36475_at	368.68481
36499_at	675.4881
36545_s_at	433.19687
36552_at	699.99652
36553_at	714.99799
36554_at	478.43634
36564_at	705.30408
36566_at	356.82318
36829_at	565.82251
36830_at	613.89746
36865_at	297.59
36888_at	815.06848
36907_at	1069.0481
36920_at	223.10042
37201_at	133.85649
37226_at	211.1548
37232_at	241.51836
37254_at	454.8223
37278_at	284.46341
37547_at	29.51583
37549_g_at	201.96866
37566_at	42.71117
37577_at	119.07852
37586_at	141.27867
37590_g_at	224.43146
37892_at	1340.48853
37943_at	259.56934
37950_at	235.50313
37953_s_at	135.76344
37965_at	378.73291
37966_at	255.19344
37986_at	120.04013
37996_s_at	744.50793
38269_at	1707.1239
38290_at	268.45288
38340_at	1436.23987
38671_at	1257.33276
38691_s_at	184.93057
38703_at	2188.35938
38707_r_at	1987.79407
38710_at	2255.47705
39402_at	513.58948
39705_at	356.90933
39729_at	5823.47754
39763_at	587.29108
40093_at	1018.8858
40148_at	353.15472
40149_at	1171.80591
40420_at	519.71106
40446_at	1951.60767
40465_at	819.00189
40472_at	176.27715
40489_at	516.42798
40829_at	1173.28711
40837_at	1047.17798
40850_at	447.72842
41160_at	1084.66858
41220_at	6116.2251
32209_at	2791.53809
32259_at	435.64774
32811_at	1227.41931
32836_at	2451.23438
32837_at	1486.16101
33850_at	202.12247
34406_at	545.22528
34408_at	797.18909
34846_at	182.07388
34858_at	546.02283
34868_at	507.78751
35254_at	1347.36401
35265_at	924.46924
35776_at	829.49561
35820_at	1089.8407
35846_at	522.42249
36129_at	1280.49036
36612_at	710.08252
36936_at	2507.36084
36994_at	5819.49365
37004_at	44.65955
37005_at	2440.79468
37012_at	5285.64746
37020_at	10.15601
37022_at	346.63806
37028_at	472.55939
37384_at	297.38623
37408_at	1146.81677
37652_at	1177.64246
38037_at	140.02145
38043_at	417.12463
38069_at	1175.00171
38398_at	500.19736
38447_at	1187.38013
38487_at	1229.42114
38766_at	463.53522
39548_at	638.41711
39549_at	1533.50024
39817_s_at	806.31439
39835_at	581.07184
39854_r_at	2046.81226
39891_at	474.88629
40189_at	4803.88525
40225_at	1542.72534
40255_at	517.28333
40273_at	622.73956
40284_at	7.40385
40524_at	43.27113
40560_at	251.75668
40562_at	964.04663
40569_at	418.58582
40612_at	146.61534
40640_at	163.95848
41329_at	980.66119
41512_at	238.14828
41553_at	87.96739
41577_at	92.17971
32502_at	247.55594
32540_at	96.33476
32541_at	180.2915
33132_at	811.15308
33148_at	180.36612
33197_at	171.08345
2028_s_at	176.89331
1861_at	296.90097
1773_at	355.49411
1729_at	1001.43475
1598_g_at	1081.28076
1487_at	651.58795
1494_f_at	168.5551
1438_at	455.12805
1431_at	68.06979
1405_i_at	3485.08643
1316_at	107.07517
1320_at	19.65065
1294_at	725.10022
1255_g_at	30.33426
1053_at	534.33337
1007_s_at	4123.50537
823_at	511.99512
632_at	467.49115
635_s_at	292.06125
564_at	1218.02905
396_f_at	2400.08447
336_at	83.37702
320_at	154.0573
266_s_at	10067.93262
243_g_at	1792.51489
177_at	160.07616
179_at	978.29529
117_at	339.42596
121_at	1454.7373
42361_g_at	179.96193
43427_at	357.93188
45526_g_at	2078.31006
45572_s_at	2183.52515
46947_at	232.18842
49111_at	305.39279
49306_at	164.48093
50965_at	565.44806
52731_at	810.94366
52741_at	167.73483
52837_at	70.67866
52940_at	1246.62769
53720_at	888.29279
53912_at	921.66553
54632_at	759.97241
56256_at	1136.93909
44040_at	347.73016
44065_at	317.18939
44111_at	728.36011
44120_at	649.34338
44146_at	831.0014
44654_at	1323.27844
44669_at	357.74512
44673_at	382.84192
44696_at	551.4397
44702_at	595.03192
45288_at	106.48663
45297_at	507.41516
45714_at	710.84113
45749_at	1708.61511
45828_at	1094.44421
46256_at	2347.55151
46270_at	1081.37341
46323_at	3146.61108
52255_s_at	429.43561
52285_f_at	404.11966
44783_s_at	718.05072
44790_s_at	218.80598
44822_s_at	459.4057
47773_at	244.31413
49878_at	1081.18518
52651_at	276.53445
56197_at	2362.61621
56821_at	621.73779
56829_at	797.37585
56919_at	467.29968
57516_at	328.28296
57532_at	535.33752
57539_at	272.24738
57540_at	328.16861
57588_at	244.44743
57703_at	247.51591
58308_at	707.21948
58916_at	118.59722
58994_at	465.62299
59625_at	699.78619
59631_at	267.68262
59644_at	290.97852
59697_at	972.74579
59705_at	41.90752
43511_s_at	379.80728
43544_at	656.4281
43934_at	394.52975
43977_at	1151.60986
44563_at	437.16504
44617_at	729.37842
45633_at	197.06622
45653_at	468.57095
45687_at	1422.27795
46142_at	285.81934
46167_at	559.44403
46665_at	3771.35425
47069_at	484.4776
47083_at	605.95538
47105_at	310.62296
47530_at	609.97424
47550_at	126.62109
47553_at	249.1031
47560_at	984.43298
47571_at	635.42908
47608_at	906.24219
48030_i_at	1465.80701
48031_r_at	240.14854
48106_at	391.16602
48117_at	409.40186
48531_at	805.44745
48580_at	1615.49451
49327_at	1212.66162
49452_at	504.64346
49485_at	763.19318
50221_at	269.11041
50277_at	2161.84302
50314_i_at	283.36774
50374_at	593.33643
50376_at	1195.11255
50400_at	152.00626
51146_at	419.57178
51158_at	717.53992
