^SAMPLE = GSM1230736
!Sample_title = TOV-112D:PTX_3
!Sample_geo_accession = GSM1230736
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = TOV-112D Paclitaxel 24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: TOV-112D
!Sample_characteristics_ch1 = cell type: ovarian cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230736/suppl/GSM1230736_CEL_280_4579_02_01_2012.CEL.gz
!Sample_series_id = GSE50831
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	6.221
AFFX-BioB-M_at	6.276
AFFX-BioB-3_at	5.783
AFFX-BioC-5_at	7.343
AFFX-BioC-3_at	8.02
AFFX-BioDn-5_at	8.99
AFFX-BioDn-3_at	10.018
AFFX-CreX-5_at	11.32
AFFX-CreX-3_at	11.63
AFFX-DapX-5_at	2.11
AFFX-DapX-M_at	1.791
AFFX-DapX-3_at	2.723
AFFX-LysX-5_at	2.003
AFFX-LysX-M_at	2.558
AFFX-LysX-3_at	1.962
AFFX-PheX-5_at	2.3
AFFX-PheX-M_at	2.073
AFFX-PheX-3_at	3.889
AFFX-ThrX-5_at	2.28
AFFX-ThrX-M_at	2.099
AFFX-ThrX-3_at	3.097
AFFX-TrpnX-5_at	2.912
AFFX-TrpnX-M_at	2.381
AFFX-TrpnX-3_at	1.776
AFFX-r2-Ec-bioB-5_at	6.43
AFFX-r2-Ec-bioB-M_at	6.54
AFFX-r2-Ec-bioB-3_at	6.581
AFFX-r2-Ec-bioC-5_at	7.987
AFFX-r2-Ec-bioC-3_at	8.492
AFFX-r2-Ec-bioD-5_at	10.16
AFFX-r2-Ec-bioD-3_at	10.551
AFFX-r2-P1-cre-5_at	11.993
AFFX-r2-P1-cre-3_at	12.194
AFFX-r2-Bs-dap-5_at	2.304
AFFX-r2-Bs-dap-M_at	1.902
AFFX-r2-Bs-dap-3_at	1.704
AFFX-r2-Bs-lys-5_at	1.597
AFFX-r2-Bs-lys-M_at	2.027
AFFX-r2-Bs-lys-3_at	2.055
AFFX-r2-Bs-phe-5_at	1.974
AFFX-r2-Bs-phe-M_at	1.824
AFFX-r2-Bs-phe-3_at	2.451
AFFX-r2-Bs-thr-3_s_at	2.736
AFFX-r2-Bs-thr-M_s_at	3.061
AFFX-r2-Bs-thr-5_s_at	2.445
AFFX-HUMISGF3A/M97935_5_at	4.347
AFFX-HUMISGF3A/M97935_MA_at	5.566
AFFX-HUMISGF3A/M97935_MB_at	5.479
AFFX-HUMISGF3A/M97935_3_at	8.403
AFFX-HUMRGE/M10098_5_at	12.462
AFFX-HUMRGE/M10098_M_at	11.946
AFFX-HUMRGE/M10098_3_at	11.639
AFFX-HUMGAPDH/M33197_5_at	11.901
AFFX-HUMGAPDH/M33197_M_at	12.157
AFFX-HUMGAPDH/M33197_3_at	12.248
AFFX-HSAC07/X00351_5_at	10.483
AFFX-HSAC07/X00351_M_at	11.054
AFFX-HSAC07/X00351_3_at	11.531
AFFX-M27830_5_at	12.071
AFFX-M27830_M_at	10.291
AFFX-M27830_3_at	4.221
AFFX-hum_alu_at	13.071
1007_s_at	8.208
1053_at	7.477
117_at	4.467
121_at	7.12
1255_g_at	2.176
1294_at	4.447
1316_at	5.082
1320_at	5.255
1405_i_at	2.125
1431_at	2.733
1438_at	4.367
1487_at	6.611
1494_f_at	5.008
1598_g_at	6.539
160020_at	6.406
1729_at	7.241
1773_at	5.413
177_at	3.732
179_at	7.182
1861_at	4.828
200000_s_at	8.945
200001_at	8.59
200002_at	12.267
200003_s_at	12.192
200004_at	11.284
200005_at	9.638
200006_at	11.553
200007_at	11.055
200008_s_at	9.751
200009_at	11.294
200010_at	12.152
200011_s_at	8.082
200012_x_at	12.428
200013_at	12.287
200014_s_at	11.138
200015_s_at	10.998
200016_x_at	12.421
200017_at	12.335
200018_at	12.439
200019_s_at	11.607
200020_at	9.876
200021_at	11.795
200022_at	11.984
200023_s_at	11.324
200024_at	11.953
200025_s_at	12.712
200026_at	11.981
200027_at	11.23
200028_s_at	10.053
200029_at	12.559
200030_s_at	12.21
200031_s_at	12.136
200032_s_at	12.279
200033_at	11.885
200034_s_at	12.357
200035_at	7.828
200036_s_at	11.642
200037_s_at	11.077
200038_s_at	12.288
200039_s_at	10.707
200040_at	10.581
200041_s_at	9.213
200042_at	9.179
200043_at	12.001
200044_at	10.983
200045_at	9.422
200046_at	10.157
200047_s_at	11.082
200048_s_at	11.224
200049_at	7.107
200050_at	9.878
200051_at	7.422
200052_s_at	10.829
200053_at	9.193
200054_at	8.108
200055_at	9.342
200056_s_at	9.283
200057_s_at	11.836
200058_s_at	9.521
200059_s_at	11.323
200060_s_at	9.923
200061_s_at	12.386
200062_s_at	12.313
200063_s_at	12.323
200064_at	11.938
200065_s_at	10.371
200066_at	8.815
200067_x_at	10.723
200068_s_at	10.229
200069_at	8.714
200070_at	7.284
200071_at	10.096
200072_s_at	11.057
200073_s_at	11.033
200074_s_at	11.244
200075_s_at	8.377
200076_s_at	7.681
200077_s_at	11.672
200078_s_at	9.176
200079_s_at	10.876
200080_s_at	12.361
200081_s_at	12.454
200082_s_at	12.327
200083_at	9.827
200084_at	10.433
200085_s_at	10.921
200086_s_at	11.274
200087_s_at	11.184
200088_x_at	12.525
200089_s_at	11.906
200090_at	10.559
200091_s_at	11.843
200092_s_at	12.578
