^SAMPLE = GSM206533
!Sample_title = Panc1005
!Sample_geo_accession = GSM206533
!Sample_status = Public on Aug 31 2007
!Sample_submission_date = Jun 29 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Panc1005 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = No treatment.  See ATCC/DSMZ for cell line details.
!Sample_growth_protocol_ch1 = B128RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_hyb_protocol = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_scan_protocol = Affymetrix standard protocols.  See Clin Cancer Res 2005;11(24) December 15, 2005
!Sample_description = Baseline gene expression for cancer cell line grown in vitro
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings (see Clin Cancer Res 2005;11(24) December 15, 2005).  The mean value of replicates was used.
!Sample_platform_id = GPL570
!Sample_contact_name = Guy,,Cavet
!Sample_contact_institute = Genentech, Inc.
!Sample_contact_address = 1 DNA Way MS93
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM206nnn/GSM206533/suppl/GSM206533.CEL.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE8332
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal intensity
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	318.82
AFFX-BioB-M_at	495.166
AFFX-BioB-3_at	282.765
AFFX-BioC-5_at	1098.399
AFFX-BioC-3_at	950.177
AFFX-BioDn-5_at	1289.459
AFFX-BioDn-3_at	6513.397
AFFX-CreX-5_at	15280.758
AFFX-CreX-3_at	16210.782
AFFX-DapX-5_at	2342.541
AFFX-DapX-M_at	3988.396
AFFX-DapX-3_at	5443.658
AFFX-LysX-5_at	524.512
AFFX-LysX-M_at	888.198
AFFX-LysX-3_at	1631.928
AFFX-PheX-5_at	722.674
AFFX-PheX-M_at	829.366
AFFX-PheX-3_at	538.344
AFFX-ThrX-5_at	14237.304
AFFX-ThrX-M_at	19924.031
AFFX-ThrX-3_at	24780.609
AFFX-TrpnX-5_at	13.197
AFFX-TrpnX-M_at	44.622
AFFX-TrpnX-3_at	31.472
AFFX-r2-Ec-bioB-5_at	331.832
AFFX-r2-Ec-bioB-M_at	626.019
AFFX-r2-Ec-bioB-3_at	637.122
AFFX-r2-Ec-bioC-5_at	1357.176
AFFX-r2-Ec-bioC-3_at	1627.208
AFFX-r2-Ec-bioD-5_at	5738.713
AFFX-r2-Ec-bioD-3_at	7356.263
AFFX-r2-P1-cre-5_at	21648.848
AFFX-r2-P1-cre-3_at	25391.238
AFFX-r2-Bs-dap-5_at	2766.355
AFFX-r2-Bs-dap-M_at	4561.226
AFFX-r2-Bs-dap-3_at	6134.052
AFFX-r2-Bs-lys-5_at	819.805
AFFX-r2-Bs-lys-M_at	777.628
AFFX-r2-Bs-lys-3_at	813.302
AFFX-r2-Bs-phe-5_at	884.654
AFFX-r2-Bs-phe-M_at	1082.244
AFFX-r2-Bs-phe-3_at	1469.214
AFFX-r2-Bs-thr-3_s_at	29145.148
AFFX-r2-Bs-thr-M_s_at	26234.375
AFFX-r2-Bs-thr-5_s_at	18189.75
AFFX-HUMISGF3A/M97935_5_at	778.68
AFFX-HUMISGF3A/M97935_MA_at	1799.099
AFFX-HUMISGF3A/M97935_MB_at	1704.015
