^SAMPLE = GSM1219502
!Sample_title = UISO_6_GPL570
!Sample_geo_accession = GSM1219502
!Sample_status = Public on Dec 23 2014
!Sample_submission_date = Aug 29 2013
!Sample_last_update_date = Dec 23 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = UISO cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: UISO cell line
!Sample_characteristics_ch1 = sample_type: cell line
!Sample_characteristics_ch1 = mcv_status: negative
!Sample_growth_protocol_ch1 = Mkl-1, WaGa, MCC13, MCC26, and UISO cells were grown and passaged in RPMI-1640 medium (Gibco by Life Technologies) supplemented with 10% FBS (Hyclone – Thermo Fisher), 100 U/mL penicillin, 0.1 mg/mL streptomycin, and 0.1 mg/ml Normocin (InvivoGen).
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from cell lines using the RNeasy Mini Kit (Qiagen Cat. No. 74104). All samples were treated with RNase-free DNase (Qiagen Cat. No. 79254).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = RNA (100 ng) was reverse-transcribed and labeled with biotin using the Affymetrix 3' IVT Express Kit following manufacturer's protocol.
!Sample_hyb_protocol = The samples were hybridized to Affymetrix GeneChip Human Genome U133 Plus 2.0 Array.
!Sample_scan_protocol = The chips were scanned on Affymetrix GeneChip Scanner 3000G. Data were collected using Affymetrix GeneChip Command Console (AGCC) Software.
!Sample_data_processing = All microarray expression analysis was performed using R. The R package “affy” was used to read in probe intensity data, and the Robust Multi-Array Average (RMA) procedure from the “affy” package was used for background correction, quantile normalisation and probeset summarization. Data for platform GPL570 was normalized with a subset of data from GSE36133 (see supplementary file on Series record)and processed with ComBat to remove batch effects.
!Sample_platform_id = GPL570
!Sample_contact_name = Isaac,,Brownell
!Sample_contact_email = isaac.brownell@nih.gov
!Sample_contact_department = Dermatology Branch
!Sample_contact_institute = National Cancer Institute
!Sample_contact_address = 10 Center Drive
!Sample_contact_city = Bethesda
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 20892
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1219nnn/GSM1219502/suppl/GSM1219502_UISO_late_3_CSAS13317_GPL570.CEL.gz
!Sample_series_id = GSE50451
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 RMA signal
!sample_table_begin
ID_REF	VALUE
1007_s_at	8.501734331
1053_at	9.175023492
117_at	5.007290468
121_at	7.329270022
1255_g_at	3.816680288
1294_at	6.185898382
1316_at	5.40549848
1320_at	5.009550163
1405_i_at	4.512723179
1431_at	3.566417166
1438_at	7.348518001
1487_at	8.46253702
1494_f_at	5.492655312
1552256_a_at	9.253003187
1552257_a_at	9.072067047
1552258_at	4.946437884
1552261_at	3.835931746
1552263_at	7.777373471
1552264_a_at	9.670451784
1552266_at	3.713550139
1552269_at	3.922980888
1552271_at	4.218561546
1552272_a_at	5.149754552
1552274_at	7.449949922
1552275_s_at	6.756123596
1552276_a_at	4.602715502
1552277_a_at	10.36818493
1552278_a_at	4.541347624
1552279_a_at	7.331988925
1552280_at	4.157796077
1552281_at	4.479674663
1552283_s_at	5.933180617
1552286_at	6.289104931
1552287_s_at	7.465888905
1552288_at	3.89430274
1552289_a_at	3.964617432
1552291_at	9.689519937
1552293_at	4.013689785
1552295_a_at	7.774898397
1552296_at	3.642081335
1552299_at	3.895482511
1552301_a_at	4.263243524
1552302_at	4.630395298
1552303_a_at	4.738045487
1552304_at	5.98281381
1552306_at	7.137409004
1552307_a_at	7.835134349
1552309_a_at	4.288235003
1552310_at	8.935139836
1552311_a_at	4.938633099
1552312_a_at	7.680380015
1552314_a_at	4.702678005
1552315_at	3.594647925
1552316_a_at	3.438952734
1552318_at	3.43971593
1552319_a_at	3.926699506
1552320_a_at	3.542409763
1552321_a_at	3.679294545
1552322_at	3.495005313
1552323_s_at	4.751776877
1552325_at	3.197237173
1552326_a_at	3.884954467
1552327_at	3.669891378
1552329_at	7.613718316
1552330_at	7.660616723
1552332_at	6.78952445
1552334_at	7.090956017
1552335_at	5.098791609
1552337_s_at	3.634180918
1552338_at	3.935646279
1552340_at	3.859798375
1552343_s_at	4.116660215
1552344_s_at	8.329040686
1552347_at	7.076085211
1552348_at	4.64102778
1552349_a_at	4.330822765
1552354_at	3.77591627
1552355_s_at	4.708698821
1552359_at	3.579057333
1552360_a_at	6.887124534
1552362_a_at	5.784739591
1552364_s_at	5.936017988
1552365_at	5.002669172
1552367_a_at	5.051626729
1552368_at	3.657640402
1552370_at	5.765136447
1552372_at	3.327439607
1552373_s_at	3.117727062
1552375_at	4.574463495
1552377_s_at	5.278095228
1552378_s_at	6.643905386
1552379_at	3.221151334
1552381_at	4.16593104
1552383_at	4.261888304
1552384_a_at	3.967840146
1552386_at	3.353470829
1552388_at	4.934571976
1552389_at	3.94804121
1552390_a_at	4.110503769
1552391_at	3.435154871
1552393_at	3.809705138
1552394_a_at	4.110098309
1552395_at	5.568501212
1552396_at	4.163242916
1552398_a_at	3.725993267
1552399_a_at	4.928559467
1552400_a_at	3.775034968
1552401_a_at	3.273880766
1552402_at	3.600236996
1552405_at	3.535332285
1552408_at	3.707469998
1552409_a_at	4.945392589
1552410_at	3.987431343
1552411_at	6.103542438
1552412_a_at	3.758989328
1552414_at	3.603883512
1552415_a_at	4.369718939
1552417_a_at	8.463009147
1552418_at	4.331378727
1552419_s_at	4.516754257
1552421_a_at	3.449342653
1552422_at	4.233477036
1552423_at	5.826409844
1552424_at	3.354873102
1552425_a_at	3.901607513
1552426_a_at	9.676500081
1552427_at	5.089482235
1552430_at	3.328020764
1552432_at	4.479927362
1552436_a_at	3.676876546
1552438_a_at	3.742690374
1552439_s_at	5.126071224
1552440_at	3.443036547
1552445_a_at	4.351830547
1552448_a_at	2.9945166
1552449_a_at	3.353483679
1552450_a_at	4.400660426
1552452_at	3.944926927
1552453_a_at	3.730704272
1552455_at	3.090419088
1552456_a_at	4.670496413
1552457_a_at	5.03063058
1552458_at	3.681474557
1552459_a_at	4.353141314
1552461_at	3.474985902
1552463_at	3.731283092
1552466_x_at	3.527368578
1552467_at	4.55248908
1552468_a_at	3.916415995
1552470_a_at	6.329834719
1552472_a_at	7.828096238
1552473_at	7.502655016
1552474_a_at	8.505947961
1552476_s_at	5.264102583
1552477_a_at	5.191505383
1552478_a_at	4.567572377
1552480_s_at	3.062655243
1552481_s_at	5.200084989
1552482_at	5.758198568
1552484_at	5.318534387
1552485_at	8.462134489
1552486_s_at	8.416281792
1552487_a_at	3.642187501
1552489_s_at	4.032772917
1552490_at	4.600282385
1552491_at	4.256647299
1552493_s_at	3.728335987
1552494_at	3.734195413
1552496_a_at	3.955664799
1552497_a_at	4.45580419
1552498_at	4.080079281
1552499_a_at	3.985879354
1552501_a_at	4.220881781
1552502_s_at	6.51074535
1552503_at	4.941342022
1552504_a_at	5.228060592
1552506_at	4.131675054
1552507_at	7.358556457
1552508_at	6.795442528
1552509_a_at	4.233827831
1552510_at	7.393236989
1552511_a_at	3.555915359
1552514_at	3.677031373
1552515_at	3.936600397
1552516_a_at	5.302313694
1552518_s_at	3.976667118
1552519_at	5.291024346
1552520_at	3.81471052
1552521_a_at	2.813482227
1552522_at	3.606617263
1552523_a_at	4.486391894
1552524_at	4.337692142
1552526_at	3.470773868
1552528_at	5.466279704
1552531_a_at	4.481272447
1552532_a_at	5.186675935
1552535_at	4.250327767
1552536_at	6.051471533
1552538_a_at	3.651186814
1552540_s_at	3.623154283
1552541_at	4.148034013
1552542_s_at	3.542546505
1552543_a_at	4.39007286
1552544_at	4.191848794
1552546_a_at	6.116297851
1552548_at	3.530593245
1552549_a_at	4.533414755
1552552_s_at	3.700883646
1552553_a_at	4.067815647
1552554_a_at	3.740205601
1552555_at	4.220416772
1552557_a_at	2.950682559
1552558_a_at	4.687157565
1552559_a_at	4.132277433
1552562_at	5.281816158
1552563_a_at	3.648449701
1552564_at	3.785543318
1552566_at	3.829845968
1552568_at	4.388230605
1552569_a_at	3.663962746
1552570_at	3.537710095
1552572_a_at	4.238580792
1552573_s_at	6.095672171
1552575_a_at	8.857459554
1552576_at	4.466712172
1552578_a_at	3.473835621
1552579_a_at	4.727772123
1552580_at	3.830972008
1552582_at	3.565030396
1552583_s_at	4.296966197
1552584_at	3.921830921
1552585_s_at	3.785813841
1552586_at	4.45609996
1552587_at	3.506005492
1552588_a_at	3.541327317
1552590_a_at	4.022657824
1552592_at	3.397891457
1552594_at	4.33586178
1552596_at	4.702381837
1552598_at	4.292868513
1552599_at	3.975385529
1552602_at	4.902112167
1552604_at	4.07420654
1552605_s_at	4.057951374
1552607_at	4.592333486
1552608_at	4.154533554
1552609_s_at	3.332052614
1552610_a_at	8.645447679
1552611_a_at	8.651787113
1552612_at	7.879354876
1552613_s_at	7.094968731
1552615_at	7.027137293
1552616_a_at	5.032952652
1552617_a_at	9.284253883
1552618_at	7.686850529
1552619_a_at	10.11269272
1552620_at	6.592714415
1552621_at	9.633597811
1552622_s_at	9.225017006
1552623_at	4.200614625
1552625_a_at	8.687663201
1552626_a_at	6.294920912
1552627_a_at	8.316964872
1552628_a_at	10.51227412
1552629_a_at	4.150884554
1552630_a_at	4.606600299
1552631_a_at	5.210382057
1552632_a_at	6.441263029
1552633_at	6.789521504
1552634_a_at	6.553367096
1552637_at	3.79766118
1552639_at	4.50232496
1552641_s_at	8.04184616
1552643_at	3.537815915
1552644_a_at	6.315809103
1552646_at	4.869021834
1552648_a_at	7.874211891
1552649_a_at	5.152399755
1552651_a_at	6.931273276
1552652_at	5.433219362
1552656_s_at	7.605445007
1552657_a_at	4.508231071
1552658_a_at	6.170758656
1552660_a_at	6.890801018
1552661_at	3.112374618
1552662_a_at	4.171837324
1552663_a_at	7.468189285
1552664_at	8.044744114
1552665_at	5.6894711
1552666_a_at	4.87352448
1552667_a_at	3.536009284
1552669_at	3.488271196
1552670_a_at	4.866538015
1552671_a_at	6.803514304
1552672_a_at	5.376784056
1552673_at	3.573513614
1552674_at	3.473105221
1552675_at	3.589794759
1552676_at	4.590469384
1552677_a_at	6.004584287
1552678_a_at	7.986459398
1552680_a_at	8.545253097
1552682_a_at	5.992894219
1552684_a_at	4.903843136
1552685_a_at	4.764128993
1552686_at	3.954521852
1552687_a_at	4.045119511
1552689_at	6.703563324
1552690_a_at	4.627511593
1552691_at	2.997207141
1552693_at	3.28627079
1552694_at	4.536607665
1552695_a_at	6.827710106
1552696_at	6.291545984
1552698_at	4.786298944
1552701_a_at	5.698657556
1552703_s_at	5.515055877
1552705_at	5.001998623
1552708_a_at	4.44908284
1552711_a_at	6.733395958
1552712_a_at	4.994453325
1552713_a_at	3.906408439
1552714_at	3.851554159
1552715_a_at	3.676193844
1552716_at	6.847837566
1552717_s_at	5.4106709
1552718_at	4.843542186
1552719_at	5.633244513
1552721_a_at	5.856941821
1552722_at	3.461481614
1552724_at	3.957376651
1552725_s_at	3.685309726
1552726_at	4.588125324
1552727_s_at	3.274503495
1552729_at	6.605033968
1552730_at	3.691873965
1552731_at	3.602495379
1552732_at	3.527055586
1552733_at	3.95041221
1552734_at	4.875031324
1552735_at	5.843440948
1552736_a_at	6.64837657
1552737_s_at	5.464822234
1552738_a_at	5.360005622
1552739_s_at	5.950962455
1552740_at	4.414984831
1552742_at	2.942071269
1552743_at	4.419151845
1552745_at	3.767055315
1552747_a_at	3.314077978
1552749_a_at	6.918249062
1552750_at	3.49933326
1552751_a_at	4.998494738
1552752_a_at	3.262147339
1552754_a_at	2.734958783
1552755_at	4.120898305
1552757_s_at	3.748927028
1552758_at	4.184599836
1552760_at	4.905735471
1552761_at	3.832226765
1552763_at	3.072888856
1552765_x_at	4.228775318
1552766_at	3.615276693
1552767_a_at	4.227552681
1552768_at	3.945435275
1552769_at	5.714278434
1552770_s_at	4.097577393
1552771_a_at	3.52294832
1552772_at	3.51123595
1552773_at	4.646305537
1552774_a_at	3.735688144
1552775_at	5.172365606
1552777_a_at	4.135084094
1552779_a_at	4.178886254
1552782_at	4.645271036
1552783_at	3.561526574
1552785_at	3.645987306
1552787_at	5.863699726
1552788_a_at	6.748283051
1552789_at	5.992033491
1552790_a_at	8.251800717
1552791_a_at	3.333205684
1552792_at	5.072529286
1552793_at	4.947405896
1552794_a_at	3.969935952
1552796_a_at	3.723239077
1552797_s_at	5.847885954
1552798_a_at	5.159814727
1552799_at	3.857303458
1552800_at	6.00098103
1552801_at	3.422643863
1552803_a_at	3.954582888
1552804_a_at	5.01543872
1552806_a_at	3.473218944
1552807_a_at	4.28909052
1552808_at	3.482364845
1552809_at	3.812587958
1552811_at	5.268457303
1552812_a_at	6.548549582
1552813_at	4.778069385
1552814_a_at	3.57342816
1552816_at	3.701053827
1552818_a_at	3.58539824
1552819_at	4.250532887
1552822_at	5.440325379
1552825_at	3.513825533
1552826_at	3.149601032
