^SAMPLE = GSM322535
!Sample_title = OVCAR8 parental cells 2
!Sample_geo_accession = GSM322535
!Sample_status = Public on Sep 20 2008
!Sample_submission_date = Sep 19 2008
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = OVCAR8 parental cells
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = OVCAR8
!Sample_treatment_protocol_ch1 = The stable transfectants, containing retroviral vectors OT1521 or OT1529 with the internal inducible mouse metallothionine-1 (MT-1) promoter, and genes encoding PKA subunits RIα and RIIβ were treated with 60 uM ZnSO4 for 6 days prior to the start of the experiment.  To exclude other effects of Zn++, parental cells were treated with ZnSO4 in the same manner as transfected cells.
!Sample_growth_protocol_ch1 = OVCAR-8 cells were grown in RPMI Medium 1640 supplemented with 10% heat-inactivated fetal bovine serum, MEM non-essential amino acids, and antibiotic-antimycotic, in a humidified incubator (95% air and 5% CO2) at 37⁰C.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol extraction of total RNA was performed according to the manufacturer's instructions.  Additional purification was performed on RNAeasy columns.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 20 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array.  GeneChips were washed and stained in the Affymetrix Fluidics Station 400.
!Sample_scan_protocol = GeneChips were scanned using the Affymetrix GeneArray Scanner G2500A.
!Sample_description = DCT-Tumor Repository (NCI)
!Sample_data_processing = The data were analyzed with the Affymetrix Expression Console Software using the Robust Multichip Analysis (RMA) default analysis settings as the normalization method.
!Sample_platform_id = GPL570
!Sample_contact_name = chris,,cheadle
!Sample_contact_email = ccheadl1@jhmi.edu
!Sample_contact_phone = 4105505984
!Sample_contact_laboratory = JHBMC Genomics Core
!Sample_contact_department = SOM
!Sample_contact_institute = JHU
!Sample_contact_address = 5200 Eastern Ave
!Sample_contact_city = baltimore
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 21224
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM322nnn/GSM322535/suppl/GSM322535.CEL.gz
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE12854
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = RMA log2 signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	8.904
1053_at	5.931
117_at	6.339
121_at	10.543
1255_g_at	4.200
1294_at	4.910
1316_at	5.294
1320_at	4.900
1405_i_at	4.369
1431_at	4.233
1438_at	6.876
1487_at	7.681
1494_f_at	6.561
1552256_a_at	6.173
1552257_a_at	6.656
1552258_at	5.996
1552261_at	4.989
1552263_at	6.619
1552264_a_at	5.933
1552266_at	5.188
1552269_at	4.568
1552271_at	5.218
1552272_a_at	5.387
1552274_at	6.974
1552275_s_at	6.306
1552276_a_at	5.322
1552277_a_at	9.981
1552278_a_at	5.604
1552279_a_at	7.386
1552280_at	5.119
1552281_at	7.944
1552283_s_at	4.897
1552286_at	6.758
1552287_s_at	7.635
1552288_at	4.443
1552289_a_at	4.973
1552291_at	6.196
1552293_at	5.209
1552295_a_at	7.943
1552296_at	3.966
1552299_at	6.256
1552301_a_at	5.303
1552302_at	5.251
1552303_a_at	4.433
1552304_at	5.474
1552306_at	6.896
1552307_a_at	6.632
1552309_a_at	7.779
1552310_at	6.732
1552311_a_at	7.337
1552312_a_at	5.480
1552314_a_at	5.770
1552315_at	5.273
1552316_a_at	3.692
1552318_at	4.075
1552319_a_at	4.815
1552320_a_at	3.772
1552321_a_at	3.945
1552322_at	4.018
1552323_s_at	5.477
1552325_at	3.365
1552326_a_at	6.611
1552327_at	5.833
1552329_at	5.899
1552330_at	5.659
1552332_at	7.946
1552334_at	5.612
1552335_at	6.934
1552337_s_at	4.507
1552338_at	5.091
1552340_at	4.933
1552343_s_at	4.831
1552344_s_at	7.068
1552347_at	7.597
1552348_at	8.743
1552349_a_at	5.246
1552354_at	8.329
1552355_s_at	5.527
1552359_at	3.621
1552360_a_at	4.909
1552362_a_at	6.070
1552364_s_at	5.953
1552365_at	7.216
1552367_a_at	4.427
1552368_at	9.870
1552370_at	7.192
1552372_at	3.539
1552373_s_at	4.026
1552375_at	5.781
1552377_s_at	7.894
1552378_s_at	4.782
1552379_at	3.504
1552381_at	4.467
1552383_at	8.353
1552384_a_at	5.517
1552386_at	4.640
1552388_at	4.991
1552389_at	4.888
1552390_a_at	7.018
1552391_at	4.320
1552393_at	3.922
1552394_a_at	3.944
1552395_at	7.842
1552396_at	4.901
1552398_a_at	3.789
1552399_a_at	4.377
1552400_a_at	5.271
1552401_a_at	4.458
1552402_at	4.745
1552405_at	6.274
1552408_at	4.442
1552409_a_at	7.488
1552410_at	7.231
1552411_at	9.055
1552412_a_at	4.448
1552414_at	5.209
1552415_a_at	6.161
1552417_a_at	5.147
1552418_at	5.669
1552419_s_at	7.126
1552421_a_at	4.530
1552422_at	7.826
1552423_at	7.619
1552424_at	4.023
1552425_a_at	5.705
1552426_a_at	9.223
1552427_at	5.182
1552430_at	3.962
1552432_at	5.391
1552436_a_at	4.057
1552438_a_at	5.166
1552439_s_at	3.845
1552440_at	4.919
1552445_a_at	6.178
1552448_a_at	5.477
1552449_a_at	4.846
1552450_a_at	7.626
1552452_at	4.387
1552453_a_at	4.552
1552455_at	4.477
1552456_a_at	5.005
1552457_a_at	4.351
1552458_at	4.511
1552459_a_at	4.994
1552461_at	4.688
1552463_at	4.868
1552466_x_at	3.945
1552467_at	5.591
1552468_a_at	6.792
1552470_a_at	3.551
1552472_a_at	6.957
1552473_at	8.339
1552474_a_at	6.590
1552476_s_at	8.442
1552477_a_at	3.957
1552478_a_at	4.531
1552480_s_at	3.427
1552481_s_at	6.637
1552482_at	5.369
1552484_at	6.565
1552485_at	8.168
1552486_s_at	6.309
1552487_a_at	7.803
1552489_s_at	4.450
1552490_at	4.389
1552491_at	5.965
1552493_s_at	5.645
1552494_at	5.300
1552496_a_at	4.827
1552497_a_at	8.715
1552498_at	5.286
1552499_a_at	5.476
1552501_a_at	8.138
1552502_s_at	5.396
1552503_at	5.002
1552504_a_at	5.463
1552506_at	5.299
1552507_at	5.608
1552508_at	6.173
1552509_a_at	6.957
1552510_at	9.084
1552511_a_at	3.809
1552514_at	4.030
1552515_at	6.409
1552516_a_at	5.145
1552518_s_at	6.507
1552519_at	7.069
1552520_at	7.734
1552521_a_at	6.019
1552522_at	3.710
1552523_a_at	4.466
1552524_at	7.048
1552526_at	5.026
1552528_at	5.612
1552531_a_at	5.963
1552532_a_at	3.985
1552535_at	6.213
1552536_at	5.869
1552538_a_at	4.279
1552540_s_at	4.455
1552541_at	6.231
1552542_s_at	4.721
1552543_a_at	6.720
1552544_at	7.112
1552546_a_at	7.213
1552548_at	4.857
1552549_a_at	6.363
1552552_s_at	4.713
1552553_a_at	4.715
1552554_a_at	4.545
1552555_at	6.863
1552557_a_at	5.671
1552558_a_at	6.399
1552559_a_at	8.565
1552562_at	6.177
1552563_a_at	6.316
1552564_at	4.745
1552566_at	4.188
1552568_at	6.478
1552569_a_at	5.235
1552570_at	5.232
1552572_a_at	3.966
1552573_s_at	5.905
1552575_a_at	6.718
1552576_at	5.391
1552578_a_at	4.132
1552579_a_at	6.778
1552580_at	4.474
1552582_at	5.516
1552583_s_at	6.587
1552584_at	4.281
1552585_s_at	6.757
1552586_at	6.863
1552587_at	5.291
1552588_a_at	5.247
1552590_a_at	5.426
1552592_at	3.579
1552594_at	6.628
1552596_at	5.959
1552598_at	6.705
1552599_at	5.502
1552602_at	7.102
1552604_at	4.907
1552605_s_at	5.869
1552607_at	5.355
1552608_at	6.235
1552609_s_at	4.074
1552610_a_at	6.574
1552611_a_at	9.137
1552612_at	8.070
1552613_s_at	7.092
1552615_at	8.979
1552616_a_at	4.760
1552617_a_at	8.088
1552618_at	7.914
1552619_a_at	10.595
1552620_at	8.971
1552621_at	6.625
1552622_s_at	4.478
1552623_at	5.042
1552625_a_at	7.803
1552626_a_at	5.974
1552627_a_at	5.503
1552628_a_at	8.592
1552629_a_at	6.619
1552630_a_at	4.724
1552631_a_at	4.767
1552632_a_at	5.845
1552633_at	5.902
1552634_a_at	6.495
1552637_at	4.288
1552639_at	5.743
1552641_s_at	4.815
1552643_at	7.020
1552644_a_at	5.209
1552646_at	7.436
1552648_a_at	6.082
1552649_a_at	4.278
1552651_a_at	6.633
1552652_at	6.562
1552656_s_at	7.962
1552657_a_at	6.509
1552658_a_at	5.059
1552660_a_at	7.288
1552661_at	3.462
1552662_a_at	7.000
1552663_a_at	8.459
1552664_at	8.346
1552665_at	7.184
1552666_a_at	4.161
1552667_a_at	4.697
1552669_at	4.050
1552670_a_at	6.232
1552671_a_at	5.192
1552672_a_at	6.465
1552673_at	4.336
1552674_at	4.036
1552675_at	3.916
1552676_at	6.154
1552677_a_at	5.331
1552678_a_at	8.345
1552680_a_at	8.809
1552682_a_at	6.597
1552684_a_at	4.173
1552685_a_at	4.637
1552686_at	7.062
1552687_a_at	5.777
1552689_at	6.076
1552690_a_at	6.349
1552691_at	3.530
1552693_at	3.825
1552694_at	3.560
1552695_a_at	7.080
1552696_at	4.874
1552698_at	7.978
1552701_a_at	9.701
1552703_s_at	4.018
1552705_at	3.853
1552708_a_at	4.242
1552711_a_at	8.889
1552712_a_at	5.944
