^SAMPLE = GSM711708
!Sample_title = OVCAR-3
!Sample_geo_accession = GSM711708
!Sample_status = Public on May 21 2013
!Sample_submission_date = Apr 19 2011
!Sample_last_update_date = May 21 2013
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Cultured ovarian cancer cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: cultured ovarian carcinoma
!Sample_characteristics_ch1 = cell line: OVCAR-3
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted by Qiagen RNEasy kit according to the manufacturer's instructions.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.
!Sample_data_processing = Data were normalized by Robust Multichip Average (RMA) using R with Bioconductor.
!Sample_platform_id = GPL570
!Sample_contact_name = Tuan Zea,,Tan
!Sample_contact_email = csittz@nus.edu.sg
!Sample_contact_department = Cancer Science Institute Singapore
!Sample_contact_institute = National University of Singapore
!Sample_contact_address = 14 Medical Drive, #11-01, Singapore
!Sample_contact_city = Singapore
!Sample_contact_zip/postal_code = 117599
!Sample_contact_country = Singapore
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM711nnn/GSM711708/suppl/GSM711708_AFG1127-42.CEL.gz
!Sample_series_id = GSE28724
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = RMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	11.82190903
1053_at	8.828311772
117_at	5.347718166
121_at	11.48696502
1255_g_at	2.692974266
1294_at	5.845474113
1316_at	6.075059299
1320_at	5.302232721
1405_i_at	3.011103185
1431_at	3.951548751
1438_at	7.027511971
1487_at	9.061560884
1494_f_at	5.891843233
1552256_a_at	7.99151514
1552257_a_at	8.203067193
1552258_at	5.560451847
1552261_at	5.131286798
1552263_at	6.566035296
1552264_a_at	7.569122667
1552266_at	3.30406538
1552269_at	5.477690787
1552271_at	5.578043623
1552272_a_at	5.430158423
1552274_at	5.244711917
1552275_s_at	5.677752428
1552276_a_at	5.776462105
1552277_a_at	9.531958945
1552278_a_at	5.985955688
1552279_a_at	7.3543059
1552280_at	3.547850163
1552281_at	6.573487456
1552283_s_at	5.082384865
1552286_at	6.713563085
1552287_s_at	6.902730692
1552288_at	5.459833404
1552289_a_at	6.146891023
1552291_at	9.170150411
1552293_at	4.497439027
1552295_a_at	7.452038888
1552296_at	3.612723143
1552299_at	5.318498509
1552301_a_at	5.500659556
1552302_at	3.192493853
1552303_a_at	5.790202115
1552304_at	6.019166921
1552306_at	7.032980154
1552307_a_at	6.904591449
1552309_a_at	5.269329309
1552310_at	8.098121078
1552311_a_at	7.174739279
1552312_a_at	7.181535565
1552314_a_at	5.94929733
1552315_at	3.960324059
1552316_a_at	3.11672284
1552318_at	3.182616146
1552319_a_at	8.511644925
1552320_a_at	3.234821273
1552321_a_at	4.115116116
1552322_at	3.46872335
1552323_s_at	5.893099075
1552325_at	2.580261656
1552326_a_at	4.546366872
1552327_at	3.321292902
1552329_at	6.358599033
1552330_at	6.604563159
1552332_at	7.570748899
1552334_at	5.191126798
1552335_at	6.24152306
1552337_s_at	5.406874995
1552338_at	5.109073259
1552340_at	3.719943297
1552343_s_at	5.374764736
1552344_s_at	9.342692946
