^SAMPLE = GSM579886
!Sample_title = BJ_Fibroblast_1
!Sample_geo_accession = GSM579886
!Sample_status = Public on Sep 30 2010
!Sample_submission_date = Aug 16 2010
!Sample_last_update_date = Mar 06 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = fibroblast, untransfected
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: BJ fibroblast
!Sample_characteristics_ch1 = reprogramming protocol: n/a
!Sample_growth_protocol_ch1 = Fibroblasts were grown in alpha-MEM containing 10 % inactivated fetal serum (IFS), 50 U/ml penicillin, 50 mg/ml streptomycin, and 1 mM L-glutamine. Replacement,10 ng/ml bFGF, 1 mM L-glutamine, 100 uM nonessential amino acids, 100 uM 2-mercaptoethanol, 50 U/ml penicillin, and 50 mg/ml streptomycin).
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol isolation followed by Rneasy (Qiagen) column purification were performed according to manufacturer's specifications
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Preparation of biotinylated cDNA was performed according to the standard Nugen amplification sample preparation protocol, starting with 100ng of total RNA
!Sample_hyb_protocol = cDNA was fragmented and 10ug hybridized to an Affymetrix U133 Plus 2.0 array for 16 hours. Arrays were washed and stained using the Affy 450 Fluidics Station according to the manufacturer's protocol
!Sample_scan_protocol = Arrays were scanned using a GeneChip 3000 scanner according to the manufacturers recommendation
!Sample_description = Gene expression data obtained from fibroblasts
!Sample_data_processing = RMA (Bioconductor Affy Package)
!Sample_platform_id = GPL570
!Sample_contact_name = Hu,,Li
!Sample_contact_email = huli@bu.edu
!Sample_contact_laboratory = James Collins
!Sample_contact_institute = Wyss Institute
!Sample_contact_address = 3 Blackfan Circle
!Sample_contact_city = Boston
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02115
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM579nnn/GSM579886/suppl/GSM579886.CEL.gz
!Sample_relation = Reanalyzed by: GSM1341461
!Sample_series_id = GSE23583
!Sample_data_row_count = 54613
#ID_REF = 
#VALUE = RMA signal intensity
!sample_table_begin
ID_REF	VALUE
1007_s_at	9.172042848
1053_at	7.599393136
117_at	4.753445429
121_at	8.189364074
1255_g_at	4.75608147
1294_at	6.672680221
1316_at	7.320536917
1320_at	6.007605636
1405_i_at	3.237391871
1431_at	4.249916365
1438_at	6.654369276
1487_at	7.817873015
1494_f_at	5.76205088
1552256_a_at	7.412674379
1552257_a_at	8.314485168
1552258_at	5.384943299
1552261_at	4.56938434
1552263_at	7.013612927
1552264_a_at	7.951733447
1552266_at	3.180832769
1552269_at	3.861323143
1552271_at	5.521853644
1552272_a_at	4.822289985
1552274_at	7.842300828
1552275_s_at	7.250646956
1552276_a_at	6.010062224
1552277_a_at	9.847119955
1552278_a_at	4.570612106
1552279_a_at	5.96134737
1552280_at	3.23825534
1552281_at	6.399872267
1552283_s_at	4.160883624
1552286_at	6.47003076
1552287_s_at	7.039560371
1552288_at	4.377030244
1552289_a_at	5.201774654
1552291_at	7.629064745
1552293_at	4.358051203
1552295_a_at	8.142777231
1552296_at	4.183240291
1552299_at	5.163484206
1552301_a_at	6.236607267
1552302_at	5.16688032
1552303_a_at	6.223548447
1552304_at	3.717705709
1552306_at	4.709680965
1552307_a_at	7.976208547
1552309_a_at	11.55036922
1552310_at	8.4555786
1552311_a_at	7.304919516
1552312_a_at	6.285744415
1552314_a_at	4.555809909
1552315_at	4.206755772
1552316_a_at	3.318588523
1552318_at	3.204130463
1552319_a_at	3.918232668
1552320_a_at	3.299908051
1552321_a_at	3.509877222
1552322_at	3.103335161
1552323_s_at	5.570750466
1552325_at	3.029774767
1552326_a_at	4.403729385
1552327_at	4.342311355
1552329_at	6.498061646
1552330_at	6.947891098
1552332_at	7.73134644
1552334_at	6.840906161
1552335_at	6.467486842
1552337_s_at	4.100397138
1552338_at	4.251710075
1552340_at	4.567745955
1552343_s_at	4.217422305
1552344_s_at	8.072531632
1552347_at	6.978602493
1552348_at	4.743926699
1552349_a_at	4.236313601
1552354_at	4.41039705
1552355_s_at	5.197188443
1552359_at	3.299064149
1552360_a_at	6.279445858
1552362_a_at	4.631386788
1552364_s_at	4.980636069
1552365_at	3.513705303
1552367_a_at	3.548814309
1552368_at	3.560600576
1552370_at	6.479301802
1552372_at	2.860336992
1552373_s_at	3.003052836
