^SAMPLE = GSM1230716
!Sample_title = TOV-21G:PTX_1
!Sample_geo_accession = GSM1230716
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = TOV-21G Paclitaxel 24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: TOV-21G
!Sample_characteristics_ch1 = cell type: ovarian cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230716/suppl/GSM1230716_CEL_280_4559_02_01_2012.CEL.gz
!Sample_series_id = GSE50831
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	6.179
AFFX-BioB-M_at	6.367
AFFX-BioB-3_at	5.797
AFFX-BioC-5_at	7.347
AFFX-BioC-3_at	7.826
AFFX-BioDn-5_at	8.681
AFFX-BioDn-3_at	9.941
AFFX-CreX-5_at	11.239
AFFX-CreX-3_at	11.576
AFFX-DapX-5_at	2.065
AFFX-DapX-M_at	1.959
AFFX-DapX-3_at	2.669
AFFX-LysX-5_at	1.842
AFFX-LysX-M_at	2.213
AFFX-LysX-3_at	1.872
AFFX-PheX-5_at	2.159
AFFX-PheX-M_at	2.029
AFFX-PheX-3_at	3.389
AFFX-ThrX-5_at	2.349
AFFX-ThrX-M_at	1.956
AFFX-ThrX-3_at	3.306
AFFX-TrpnX-5_at	2.73
AFFX-TrpnX-M_at	2.26
AFFX-TrpnX-3_at	1.95
AFFX-r2-Ec-bioB-5_at	6.175
AFFX-r2-Ec-bioB-M_at	6.545
AFFX-r2-Ec-bioB-3_at	6.478
AFFX-r2-Ec-bioC-5_at	7.991
AFFX-r2-Ec-bioC-3_at	8.321
AFFX-r2-Ec-bioD-5_at	10.077
AFFX-r2-Ec-bioD-3_at	10.542
AFFX-r2-P1-cre-5_at	11.965
AFFX-r2-P1-cre-3_at	12.191
AFFX-r2-Bs-dap-5_at	2.295
AFFX-r2-Bs-dap-M_at	1.853
AFFX-r2-Bs-dap-3_at	1.772
AFFX-r2-Bs-lys-5_at	1.891
AFFX-r2-Bs-lys-M_at	1.863
AFFX-r2-Bs-lys-3_at	2.105
AFFX-r2-Bs-phe-5_at	1.656
AFFX-r2-Bs-phe-M_at	2.101
AFFX-r2-Bs-phe-3_at	2.091
AFFX-r2-Bs-thr-3_s_at	2.813
AFFX-r2-Bs-thr-M_s_at	3.171
AFFX-r2-Bs-thr-5_s_at	2.191
AFFX-HUMISGF3A/M97935_5_at	4.757
AFFX-HUMISGF3A/M97935_MA_at	6.018
AFFX-HUMISGF3A/M97935_MB_at	5.829
AFFX-HUMISGF3A/M97935_3_at	8.717
