^SAMPLE = GSM881279
!Sample_title = HSC3_HNSCC_rep1
!Sample_geo_accession = GSM881279
!Sample_status = Public on Oct 03 2017
!Sample_submission_date = Feb 27 2012
!Sample_last_update_date = Oct 03 2017
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = HNSCC cell line HSC3
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: HSC3
!Sample_characteristics_ch1 = cell type: HNSCC (head and neck squamous cell carcinoma)
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was isolated from the cell lines using Qiagen RNeasy Mini kit as directed (Qiagen, Valencia, CA). The quality and quantity of the RNA was determined using the Agilent RNA 6000 NanoLabChip kit and Agilent 2100 bioanalyzer (Agilent Technologies, Santa Clara, CA).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = The RNA was labeled with GeneChipR One-Cycle Target Labeling and Control Reagents.
!Sample_hyb_protocol = Following fragmentation, the RNA was loaded on to the Affymetrix Human Genome U133 plus 2.0 GeneChip as directed (Affymetrix, Santa Clara, CA).
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner 7G.
!Sample_description = 940CC0120-20090511-Hu133.CEL
!Sample_description = '7 day cetuximab cell survival assay' (% colony area in Cetuximab relative to control): Matrigel was purchased from (BD Matrigel Matrix Growth Factor Reduced). After thawing on ice overnight, matrigel solution (45ul/well) was put into 96-well culture plates. For 30 min incubation at 37C to form a solid surface, cells (1000 cells/well) were seeded on the surface of the matrigel in triplicate for each condition. The reagents were added 24hr later. The media and reagents were replaced every 3 days. After 7 days treatment, cell colonies were stained by 4mg/ml 3-(4,5-Dimethythiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT)  (Sigma, NY) for 2 hr. Then, cell colonies were scanned and analyzed with GelCountTM(Oxford Optronix Ltd; UK). The total area (average colony area x number of colonies) of treated cells divided by that of control cells was considered the survival rate to the reagents.
!Sample_data_processing = fRMA normalization and removal of date effect estimated with a limma linear model
!Sample_platform_id = GPL570
!Sample_contact_name = Elana,Judith,Fertig
!Sample_contact_email = ejfertig@jhmi.edu, ejfertig@som.umaryland.edu
!Sample_contact_department = Institute for Genome Sciences
!Sample_contact_institute = University of Maryland, Baltimore
!Sample_contact_address = 670 W. Baltimore Street, 3rd floor
!Sample_contact_city = Baltimore
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 21201
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM881nnn/GSM881279/suppl/GSM881279_940CC0120-20090511-Hu133.CEL.gz
!Sample_series_id = GSE84557
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = fRMA normalized log2 expression.
!sample_table_begin
ID_REF	VALUE
1007_s_at	10.99087662
1053_at	7.177738634
117_at	5.035971533
121_at	7.720941743
1255_g_at	3.644478366
1294_at	7.28926685
1316_at	5.8651224
1320_at	5.03864731
1405_i_at	3.814105935
1431_at	3.40169669
1438_at	7.355791226
1487_at	9.009223371
1494_f_at	5.724691262
1552256_a_at	8.152160798
1552257_a_at	8.666901499
1552258_at	4.154609542
1552261_at	4.390943349
1552263_at	7.208497107
1552264_a_at	9.406500359
1552266_at	3.38406762
1552269_at	3.664341471
1552271_at	5.452971887
1552272_a_at	5.258255092
1552274_at	6.145742097
1552275_s_at	5.649339943
1552276_a_at	5.533598301
1552277_a_at	8.321505816
1552278_a_at	4.937854378
1552279_a_at	7.070731129
1552280_at	4.031390635
1552281_at	6.779034183
1552283_s_at	4.126550487
1552286_at	5.960977454
1552287_s_at	6.506120768
1552288_at	3.538071648
1552289_a_at	4.725394363
1552291_at	6.580956441
1552293_at	4.480933636
1552295_a_at	7.77216026
1552296_at	3.870077793
1552299_at	4.34115967
1552301_a_at	6.078633376
1552302_at	3.428260138
1552303_a_at	4.834487115
1552304_at	4.577407954
1552306_at	5.794718264
1552307_a_at	6.497272807
1552309_a_at	4.768498036
1552310_at	7.548665523
1552311_a_at	5.429356991
1552312_a_at	7.406007117
1552314_a_at	4.395765988
1552315_at	4.704250695
1552316_a_at	3.230032786
1552318_at	3.685812812
1552319_a_at	8.380273789
1552320_a_at	3.755159057
1552321_a_at	3.566828232
1552322_at	3.420399224
1552323_s_at	4.551390498
1552325_at	2.997361059
1552326_a_at	4.201151293
1552327_at	4.273885471
1552329_at	6.232473129
1552330_at	6.524161775
1552332_at	6.838928487
1552334_at	5.124624534
1552335_at	5.228475921
1552337_s_at	4.172393742
1552338_at	4.568075306
1552340_at	4.517554374
1552343_s_at	4.825701624
1552344_s_at	5.686252929
1552347_at	6.539959925
1552348_at	6.052610302
1552349_a_at	4.86685761
1552354_at	5.344181225
1552355_s_at	5.470703347
1552359_at	3.141073386
1552360_a_at	4.873050774
1552362_a_at	5.018263863
1552364_s_at	6.775674516
1552365_at	3.341798369
1552367_a_at	3.663818413
1552368_at	3.580205275
1552370_at	6.643584357
1552372_at	3.032069637
1552373_s_at	3.150454475
1552375_at	4.429212214
1552377_s_at	6.565273126
1552378_s_at	6.896356012
1552379_at	2.974794012
1552381_at	3.310978751
1552383_at	5.55466058
1552384_a_at	4.45337053
1552386_at	3.741375175
1552388_at	5.568850752
1552389_at	4.048603598
1552390_a_at	4.623637814
1552391_at	4.3473612
1552393_at	3.089783452
1552394_a_at	3.352044546
1552395_at	6.446831611
1552396_at	4.732911919
1552398_a_at	4.226206125
1552399_a_at	4.638255852
1552400_a_at	4.858802193
1552401_a_at	3.92699868
1552402_at	4.109211328
1552405_at	4.565959399
1552408_at	3.778823663
1552409_a_at	5.777222349
1552410_at	5.061282132
1552411_at	6.237884973
1552412_a_at	3.462894872
1552414_at	4.189001644
1552415_a_at	4.243450693
1552417_a_at	7.034973337
1552418_at	4.718787449
1552419_s_at	5.521442793
1552421_a_at	3.85086207
1552422_at	4.706548908
1552423_at	5.429747158
1552424_at	3.497990295
1552425_a_at	3.79150533
1552426_a_at	8.863895689
1552427_at	3.531595406
1552430_at	3.097060257
1552432_at	5.942118498
1552436_a_at	5.097678254
1552438_a_at	3.830322911
1552439_s_at	3.285853059
1552440_at	4.314086192
1552445_a_at	3.50957978
1552448_a_at	3.804926269
1552449_a_at	3.901224037
1552450_a_at	5.219729173
1552452_at	3.658556451
1552453_a_at	4.113568949
1552455_at	3.701664075
1552456_a_at	4.320267371
1552457_a_at	3.806980573
1552458_at	3.702921143
1552459_a_at	4.283684869
1552461_at	3.359489621
1552463_at	3.71936991
1552466_x_at	3.120651867
1552467_at	5.682277647
1552468_a_at	5.545893605
1552470_a_at	4.390358613
1552472_a_at	7.290050323
1552473_at	7.526726019
1552474_a_at	8.003556189
1552476_s_at	7.331780161
1552477_a_at	9.447667756
1552478_a_at	7.930535995
1552480_s_at	2.826579233
1552481_s_at	6.764664913
1552482_at	4.104049627
1552484_at	5.971023046
1552485_at	5.994263479
1552486_s_at	6.382768654
1552487_a_at	9.247042928
1552489_s_at	3.553989141
1552490_at	3.758159117
1552491_at	4.460268477
1552493_s_at	4.491456754
1552494_at	5.010385961
1552496_a_at	3.629427311
1552497_a_at	4.96762873
1552498_at	4.887200769
1552499_a_at	4.212439913
1552501_a_at	5.852046146
1552502_s_at	4.49570036
1552503_at	5.144188495
1552504_a_at	6.405099905
1552506_at	4.795803653
1552507_at	4.329692783
1552508_at	4.201563502
1552509_a_at	3.807150441
1552510_at	7.64995602
1552511_a_at	3.309613727
1552514_at	3.392099763
1552515_at	4.208509689
1552516_a_at	6.177009448
1552518_s_at	3.635133368
1552519_at	5.831489897
1552520_at	3.437945394
1552521_a_at	3.10779879
1552522_at	3.128915501
1552523_a_at	3.789702609
1552524_at	5.495653073
1552526_at	4.487887533
1552528_at	6.740582291
1552531_a_at	4.155801664
1552532_a_at	3.642607937
1552535_at	5.20636851
1552536_at	3.975090009
1552538_a_at	6.412112185
1552540_s_at	5.176226897
1552541_at	7.251693319
1552542_s_at	4.212529669
1552543_a_at	6.533429523
1552544_at	4.484067996
1552546_a_at	5.123235043
1552548_at	4.037450367
1552549_a_at	5.35713124
1552552_s_at	3.45423143
1552553_a_at	4.130199088
1552554_a_at	3.57060714
1552555_at	5.857744409
1552557_a_at	3.237911997
1552558_a_at	6.71708408
1552559_a_at	4.738222391
1552562_at	3.701905329
1552563_a_at	3.642931209
1552564_at	3.545696986
1552566_at	3.985590374
1552568_at	6.1557834
1552569_a_at	4.927332485
1552570_at	4.101314995
1552572_a_at	3.498734238
1552573_s_at	3.645269127
1552575_a_at	6.886194063
1552576_at	5.179108517
1552578_a_at	3.43376535
1552579_a_at	4.915908273
1552580_at	5.054515478
1552582_at	3.347624671
1552583_s_at	3.847786463
1552584_at	4.384097071
1552585_s_at	3.323207413
1552586_at	5.379773929
1552587_at	3.484723809
1552588_a_at	3.273742707
1552590_a_at	3.651502308
1552592_at	3.227847652
1552594_at	5.644772817
1552596_at	5.874126731
1552598_at	5.036181488
1552599_at	3.583423174
1552602_at	4.939093784
1552604_at	4.505102323
1552605_s_at	4.107962676
1552607_at	4.737488608
1552608_at	3.825042533
1552609_s_at	3.706858762
1552610_a_at	9.386793099
1552611_a_at	8.746376811
1552612_at	8.050148188
1552613_s_at	7.768479982
1552615_at	7.804904398
1552616_a_at	5.075754709
1552617_a_at	8.699002236
1552618_at	8.337605202
1552619_a_at	7.301952613
1552620_at	7.205182261
1552621_at	7.692475067
1552622_s_at	6.921851944
1552623_at	4.301754445
1552625_a_at	6.426185821
1552626_a_at	4.309412059
1552627_a_at	7.656331879
1552628_a_at	8.589755044
1552629_a_at	4.189590658
1552630_a_at	5.264070392
