^SAMPLE = GSM1230544
!Sample_title = HEC-108_control_3
!Sample_geo_accession = GSM1230544
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = HEC-108  Control
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: HEC-108
!Sample_characteristics_ch1 = cell type: endometrial cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = vehicle
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230544/suppl/GSM1230544_CEL_273_4320_12_06_2011.CEL.gz
!Sample_series_id = GSE50830
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.446
AFFX-BioB-M_at	4.465
AFFX-BioB-3_at	4.224
AFFX-BioC-5_at	7.899
AFFX-BioC-3_at	8.461
AFFX-BioDn-5_at	9.622
AFFX-BioDn-3_at	10.514
AFFX-CreX-5_at	11.72
AFFX-CreX-3_at	12.113
AFFX-DapX-5_at	2.435
AFFX-DapX-M_at	2.378
AFFX-DapX-3_at	2.769
AFFX-LysX-5_at	2.165
AFFX-LysX-M_at	2.449
AFFX-LysX-3_at	2.216
AFFX-PheX-5_at	2.665
AFFX-PheX-M_at	2.479
AFFX-PheX-3_at	4.292
AFFX-ThrX-5_at	2.938
AFFX-ThrX-M_at	2.7
AFFX-ThrX-3_at	3.551
AFFX-TrpnX-5_at	2.907
AFFX-TrpnX-M_at	2.722
AFFX-TrpnX-3_at	2.236
AFFX-r2-Ec-bioB-5_at	4.688
AFFX-r2-Ec-bioB-M_at	4.959
AFFX-r2-Ec-bioB-3_at	5.215
AFFX-r2-Ec-bioC-5_at	8.399
AFFX-r2-Ec-bioC-3_at	8.681
AFFX-r2-Ec-bioD-5_at	11.013
AFFX-r2-Ec-bioD-3_at	11.228
AFFX-r2-P1-cre-5_at	12.426
AFFX-r2-P1-cre-3_at	12.669
AFFX-r2-Bs-dap-5_at	2.662
AFFX-r2-Bs-dap-M_at	2.153
AFFX-r2-Bs-dap-3_at	2.083
AFFX-r2-Bs-lys-5_at	2.099
AFFX-r2-Bs-lys-M_at	2.544
AFFX-r2-Bs-lys-3_at	2.354
AFFX-r2-Bs-phe-5_at	2.031
AFFX-r2-Bs-phe-M_at	2.243
AFFX-r2-Bs-phe-3_at	2.801
AFFX-r2-Bs-thr-3_s_at	3.347
AFFX-r2-Bs-thr-M_s_at	3.273
AFFX-r2-Bs-thr-5_s_at	2.676
AFFX-HUMISGF3A/M97935_5_at	7.271
AFFX-HUMISGF3A/M97935_MA_at	7.541
AFFX-HUMISGF3A/M97935_MB_at	7.895
AFFX-HUMISGF3A/M97935_3_at	10.007
AFFX-HUMRGE/M10098_5_at	13.233
AFFX-HUMRGE/M10098_M_at	12.676
AFFX-HUMRGE/M10098_3_at	12.47
AFFX-HUMGAPDH/M33197_5_at	12.714
AFFX-HUMGAPDH/M33197_M_at	12.91
AFFX-HUMGAPDH/M33197_3_at	12.947
AFFX-HSAC07/X00351_5_at	11.864
AFFX-HSAC07/X00351_M_at	12.322
AFFX-HSAC07/X00351_3_at	12.619
AFFX-M27830_5_at	12.494
AFFX-M27830_M_at	10.157
AFFX-M27830_3_at	5.319
AFFX-hum_alu_at	13.37
1007_s_at	10.472
1053_at	8.736
117_at	4.883
121_at	9.371
1255_g_at	2.416
1294_at	5.186
1316_at	6.274
1320_at	4.829
1405_i_at	2.891
1431_at	3.208
1438_at	4.926
1487_at	7.939
1494_f_at	5.178
1598_g_at	8.294
160020_at	5.806
1729_at	8.085
1773_at	5.656
177_at	5.078
179_at	7.552
1861_at	7.08
200000_s_at	9.283
200001_at	10.336
200002_at	12.038
200003_s_at	12.757
200004_at	12.197
200005_at	10.559
200006_at	11.938
200007_at	11.847
200008_s_at	10.148
200009_at	11.388
200010_at	11.883
200011_s_at	9.186
200012_x_at	13.139
200013_at	12.466
200014_s_at	11.323
200015_s_at	11.617
200016_x_at	12.677
200017_at	12.754
200018_at	12.935
200019_s_at	12.202
200020_at	10.174
200021_at	12.619
200022_at	12.249
200023_s_at	11.806
200024_at	12.611
200025_s_at	12.669
200026_at	11.595
200027_at	12.05
200028_s_at	10.755
200029_at	13.047
200030_s_at	12.327
200031_s_at	12.971
200032_s_at	12.553
200033_at	12.072
200034_s_at	12.614
200035_at	8.696
200036_s_at	11.945
200037_s_at	11.639
200038_s_at	12.469
200039_s_at	11.38
200040_at	10.773
200041_s_at	8.813
200042_at	9.315
200043_at	12.127
200044_at	11.511
200045_at	8.566
200046_at	11.613
200047_s_at	11.78
200048_s_at	11.736
200049_at	7.647
200050_at	10.923
200051_at	8.072
200052_s_at	10.789
200053_at	9.36
200054_at	8.316
200055_at	10.422
200056_s_at	10.228
200057_s_at	11.781
200058_s_at	10.287
200059_s_at	11.73
200060_s_at	9.766
200061_s_at	12.734
200062_s_at	12.933
200063_s_at	12.985
200064_at	11.994
200065_s_at	10.644
200066_at	9.41
200067_x_at	11.389
200068_s_at	11.972
200069_at	9.227
200070_at	8.156
200071_at	10.631
200072_s_at	11.248
200073_s_at	10.731
200074_s_at	12.263
200075_s_at	9.39
200076_s_at	8.447
200077_s_at	12.529
200078_s_at	9.543
200079_s_at	11.247
200080_s_at	12.771
200081_s_at	12.477
200082_s_at	12.461
200083_at	10.284
200084_at	11.197
200085_s_at	11.858
200086_s_at	12.448
200087_s_at	12.339
200088_x_at	12.581
200089_s_at	12.473
200090_at	10.416
200091_s_at	12.623
200092_s_at	12.943
200093_s_at	12.286
200094_s_at	11.124
200095_x_at	13.089
200096_s_at	11.647
200097_s_at	11.581
200098_s_at	10.646
200099_s_at	12.921
200593_s_at	10.47
200594_x_at	11.911
200595_s_at	10.731
200596_s_at	10.194
200597_at	7.305
200598_s_at	12.408
200599_s_at	12.3
200600_at	11.293
200601_at	8.934
200602_at	11.903
200603_at	11.987
200604_s_at	9.049
200605_s_at	11.885
200606_at	11.158
200607_s_at	10.048
200608_s_at	11.04
200609_s_at	8.87
200610_s_at	11.628
200611_s_at	8.808
200612_s_at	9.519
200613_at	9.037
200614_at	12.569
200615_s_at	9.973
200616_s_at	11.588
200617_at	8.932
200618_at	10.987
200619_at	10.095
200620_at	10.588
200621_at	7.682
200622_x_at	9.438
200623_s_at	8.182
200624_s_at	11.353
200625_s_at	10.729
